#Variables:
#tasmin_HadGEM2-CC365_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_HadGEM2-CC365_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_HadGEM2-CC365_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_HadGEM2-CC365_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_HadGEM2-CC365_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_HadGEM2-CC365_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_HadGEM2-CC365_historical(K),tasmax_HadGEM2-CC365_historical(K),pr_HadGEM2-CC365_historical(mm)"
""
yyyy-mm-dd,tasmin_HadGEM2-CC365_historical(K),tasmax_HadGEM2-CC365_historical(K),pr_HadGEM2-CC365_historical(mm)
1950-01-01,278.859924,291.371063,1.964382
1950-01-02,277.648132,296.352661,0.000000
1950-01-03,278.061829,294.461670,0.000000
1950-01-04,285.204407,297.051727,0.396165
1950-01-05,284.248260,294.655853,0.000000
1950-01-06,286.707764,296.669006,0.336502
1950-01-07,283.152863,292.954041,0.682688
1950-01-08,279.558746,288.868561,0.000000
1950-01-09,275.327332,287.239929,0.000000
1950-01-10,276.514191,292.397614,0.000000
1950-01-11,278.200653,294.608429,0.000000
1950-01-12,283.166077,297.065155,0.000000
1950-01-13,284.547394,294.219299,1.158827
1950-01-14,279.408722,290.292328,3.503169
1950-01-15,277.353394,286.527405,22.400841
1950-01-16,277.302216,286.952209,7.038291
1950-01-17,275.939819,288.950409,0.000000
1950-01-18,276.876007,295.888214,0.000000
1950-01-19,276.901825,297.945465,0.000000
1950-01-20,278.504456,294.797852,0.000000
1950-01-21,282.361511,291.688599,0.000000
1950-01-22,278.933228,293.096130,0.000000
1950-01-23,280.757355,296.727264,0.411914
1950-01-24,280.957916,294.986969,0.000000
