#Variables:
#tasmin_HadGEM2-CC365_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_HadGEM2-CC365_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_HadGEM2-CC365_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_HadGEM2-CC365_rcp45(K),tasmax_HadGEM2-CC365_rcp45(K),pr_HadGEM2-CC365_rcp45(mm)"
""
yyyy-mm-dd,tasmin_HadGEM2-CC365_rcp45(K),tasmax_HadGEM2-CC365_rcp45(K),pr_HadGEM2-CC365_rcp45(mm)
2006-01-01,278.819397,295.582764,0.000000
2006-01-02,278.685364,298.483795,0.000000
2006-01-03,281.743744,299.738403,0.000000
2006-01-04,277.555481,293.033905,0.000000
2006-01-05,273.264709,286.414459,0.000000
2006-01-06,271.531464,286.771881,0.000000
2006-01-07,273.576691,289.450012,0.000000
2006-01-08,277.057434,288.096680,0.000000
2006-01-09,278.514252,290.050171,0.000000
2006-01-10,277.857880,290.415863,0.000000
2006-01-11,275.341461,288.954498,0.000000
2006-01-12,276.658508,288.855835,0.000000
2006-01-13,279.766541,290.929474,0.000000
2006-01-14,283.112976,293.439972,0.307905
2006-01-15,283.703949,293.263580,1.277386
2006-01-16,276.506592,288.769501,10.415917
2006-01-17,277.214478,287.480865,4.866474
2006-01-18,274.842712,290.492859,0.000000
2006-01-19,279.221649,296.933319,0.000000
2006-01-20,280.752838,299.893860,0.000000
2006-01-21,283.657440,299.219635,0.000000
2006-01-22,286.588806,299.239838,0.000000
2006-01-23,284.934387,299.315613,0.000000
2006-01-24,277.769958,298.768646,0.000000
2006-01-25,274.274353,294.144226,0.000000
2006-01-26,273.372498,290.052399,0.000000
2006-01-27,277.291901,293.600403,0.000000
2006-01-28,280.798340,294.843689,0.000000
2006-01-29,277.886688,296.412628,0.000000
2006-01-30,278.771271,297.508850,0.000000
2006-01-31,280.983246,297.716156,0.000000
2006-02-01,283.723541,298.145020,0.302266
2006-02-02,282.831573,298.813721,0.373233
2006-02-03,280.983582,298.804016,0.000000
2006-02-04,280.989075,297.543213,0.000000
2006-02-05,279.211395,294.384033,0.000000
2006-02-06,281.210693,292.600800,0.000000
2006-02-07,283.847595,294.366425,0.000000
2006-02-08,285.138702,298.088470,0.000000
2006-02-09,286.160522,300.186279,0.000000
2006-02-10,283.615662,298.181824,10.208955
2006-02-11,277.814301,289.717834,24.131283
2006-02-12,276.615692,280.833923,8.067619
2006-02-13,275.549225,289.301208,0.000000
2006-02-14,278.197479,296.808929,0.000000
2006-02-15,281.940582,297.839111,0.000000
2006-02-16,284.794739,300.195374,0.000000
2006-02-17,287.339630,299.872559,0.000000
2006-02-18,289.193146,300.773224,1.178485
2006-02-19,285.860992,300.699249,2.595334
2006-02-20,275.761139,295.076904,1.016109
2006-02-21,276.002533,288.957611,0.000000
2006-02-22,278.962769,288.955597,0.000000
2006-02-23,281.210571,287.682373,0.471018
2006-02-24,281.588043,288.871979,1.247983
2006-02-25,284.361053,292.764893,6.066216
2006-02-26,282.874084,296.089691,6.380640
2006-02-27,279.105835,297.164642,0.000000
2006-02-28,282.087128,299.500641,0.000000
2006-03-01,283.663544,297.700470,0.000000
2006-03-02,285.434052,294.273987,0.000000
2006-03-03,286.622498,295.085938,7.118588
2006-03-04,285.530243,293.519257,5.167738
2006-03-05,286.830994,293.911926,0.698110
2006-03-06,286.907806,298.958984,0.000000
2006-03-07,285.902863,299.643768,0.000000
2006-03-08,288.773865,297.650146,7.546845
2006-03-09,287.601837,298.779633,32.077316
2006-03-10,285.816315,304.966827,0.000000
2006-03-11,286.323914,299.514435,9.185217
2006-03-12,286.662415,294.832184,1.023398
2006-03-13,282.556671,291.654846,1.193686
2006-03-14,283.427094,289.149139,1.884145
2006-03-15,282.072449,299.140198,0.000000
2006-03-16,281.073212,300.136719,0.000000
2006-03-17,283.954681,300.869110,0.000000
2006-03-18,287.589539,300.502747,0.000000
2006-03-19,289.366028,300.557343,0.000000
2006-03-20,288.276184,297.964020,0.463532
2006-03-21,287.279541,291.697021,2.499571
