#Variables:
#tasmin_HadGEM2-ES365_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_HadGEM2-ES365_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_HadGEM2-ES365_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_HadGEM2-ES365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_HadGEM2-ES365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_HadGEM2-ES365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_HadGEM2-ES365_rcp85(K),tasmax_HadGEM2-ES365_rcp85(K),pr_HadGEM2-ES365_rcp85(mm)"
""
yyyy-mm-dd,tasmin_HadGEM2-ES365_rcp85(K),tasmax_HadGEM2-ES365_rcp85(K),pr_HadGEM2-ES365_rcp85(mm)
2006-01-01,285.691833,299.258728,0.481450
2006-01-02,281.752167,301.778015,0.000000
2006-01-03,283.172943,301.009003,0.000000
2006-01-04,287.054352,300.489014,1.434864
2006-01-05,287.892975,303.874237,0.000000
2006-01-06,287.783295,302.296600,0.000000
2006-01-07,277.596375,293.178467,1.162231
2006-01-08,274.867523,278.800293,10.576610
2006-01-09,269.529572,275.502045,41.499233
2006-01-10,272.257690,278.464142,17.960163
2006-01-11,266.263184,275.774048,4.581115
2006-01-12,266.596436,275.849579,0.000000
2006-01-13,267.518555,275.438934,0.000000
2006-01-14,269.033264,276.599060,0.000000
2006-01-15,271.555603,278.425903,0.000000
2006-01-16,273.444641,281.407043,0.000000
2006-01-17,271.764923,283.550507,0.000000
2006-01-18,277.896271,292.469208,0.000000
2006-01-19,284.560913,297.791077,0.000000
2006-01-20,281.345276,295.932312,0.000000
2006-01-21,278.557526,288.721161,0.000000
2006-01-22,281.097015,290.440613,0.939721
2006-01-23,281.197449,294.216583,1.375152
2006-01-24,280.277527,297.897491,0.000000
2006-01-25,282.078308,299.293518,0.000000
2006-01-26,285.011658,299.388031,0.000000
2006-01-27,284.391449,298.045319,0.000000
2006-01-28,280.014130,293.911407,0.000000
2006-01-29,277.610474,288.928223,0.000000
2006-01-30,273.906708,286.355103,0.000000
2006-01-31,272.251892,286.656952,0.000000
2006-02-01,275.310822,285.854156,0.000000
2006-02-02,276.861664,282.881439,0.000000
2006-02-03,275.402740,279.762787,0.706477
2006-02-04,279.738800,285.506531,9.113996
2006-02-05,279.456146,291.784637,5.604739
2006-02-06,282.903290,294.012756,0.000000
2006-02-07,286.425568,293.133301,0.000000
2006-02-08,284.133087,291.528931,0.000000
2006-02-09,279.324402,290.216827,0.000000
2006-02-10,279.805817,290.190857,0.000000
2006-02-11,281.965851,290.271881,1.894069
2006-02-12,281.238647,293.934418,0.000000
2006-02-13,281.103790,297.730133,0.000000
2006-02-14,285.186401,297.867340,0.000000
2006-02-15,282.175415,296.652710,0.000000
2006-02-16,274.024567,291.056427,0.000000
2006-02-17,271.416199,286.244904,0.000000
2006-02-18,274.203339,288.571655,0.000000
2006-02-19,277.917511,290.925812,0.000000
2006-02-20,283.608185,293.006897,0.000000
2006-02-21,284.385620,291.915497,2.639639
2006-02-22,286.729370,297.867737,0.000000
2006-02-23,288.349030,300.473419,0.000000
2006-02-24,288.975433,300.522980,0.000000
2006-02-25,288.520905,300.775421,1.566601
2006-02-26,282.062500,296.894623,4.659989
2006-02-27,277.719696,289.701660,0.781748
2006-02-28,277.596161,289.553864,0.000000
2006-03-01,278.171814,289.005737,0.000000
2006-03-02,277.310760,284.785736,0.000000
2006-03-03,279.573395,285.367310,0.000000
2006-03-04,277.416931,292.694672,0.000000
2006-03-05,280.930267,298.236023,0.000000
2006-03-06,287.000977,299.327667,0.000000
2006-03-07,289.762207,303.615082,0.000000
2006-03-08,286.501648,303.236359,0.355453
2006-03-09,285.454315,303.195709,0.000000
2006-03-10,282.071808,299.260376,0.000000
2006-03-11,285.798431,294.481049,0.799614
2006-03-12,282.000549,292.958496,0.000000
2006-03-13,279.954407,292.366333,0.000000
2006-03-14,277.875305,294.961487,0.000000
2006-03-15,278.689880,300.846008,0.000000
2006-03-16,284.294037,303.327362,0.000000
2006-03-17,287.864624,302.861572,0.000000
2006-03-18,289.249420,302.006012,0.929149
2006-03-19,287.653839,302.297913,0.000000
2006-03-20,288.835815,300.530640,0.662195
2006-03-21,286.363831,299.789581,0.000000
2006-03-22,283.214935,291.459778,0.000000
2006-03-23,284.484741,297.737213,0.000000
2006-03-24,289.203400,298.079376,0.000000
2006-03-25,290.592834,300.826874,2.167320
2006-03-26,290.022339,305.592102,1.558611
2006-03-27,286.955475,303.279114,0.000000
2006-03-28,283.681976,296.926971,4.970583
2006-03-29,282.343414,288.951752,2.651333
2006-03-30,279.638367,293.896545,0.000000
2006-03-31,283.180603,301.342316,0.000000
2006-04-01,285.947876,302.856781,0.000000
2006-04-02,280.601654,301.520538,0.000000
2006-04-03,272.949402,293.224426,0.000000
2006-04-04,275.662720,293.855804,0.000000
2006-04-05,279.965363,298.315857,0.000000
2006-04-06,283.747345,298.908417,0.000000
2006-04-07,288.442902,298.524780,0.000000
2006-04-08,290.458435,301.281525,3.084382
2006-04-09,285.915924,300.268127,0.000000
2006-04-10,280.296265,295.864288,0.000000
2006-04-11,277.099152,296.924835,0.000000
2006-04-12,281.726105,301.095276,0.000000
2006-04-13,287.451904,305.304504,0.000000
2006-04-14,290.262817,305.806641,0.000000
2006-04-15,291.093842,303.436127,7.922984
