#Variables:
#tasmin_inmcm4_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_inmcm4_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_inmcm4_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_inmcm4_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_inmcm4_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_inmcm4_historical(K),tasmax_inmcm4_historical(K),pr_inmcm4_historical(mm)"
""
yyyy-mm-dd,tasmin_inmcm4_historical(K),tasmax_inmcm4_historical(K),pr_inmcm4_historical(mm)
1950-01-01,276.327118,282.369141,0.000000
1950-01-02,279.403961,288.051117,0.332809
1950-01-03,277.971069,288.466888,0.000000
1950-01-04,279.142853,286.155365,0.000000
1950-01-05,283.770966,290.141083,0.000000
1950-01-06,286.992249,298.680267,1.446226
1950-01-07,289.536652,300.310883,0.000000
1950-01-08,276.038788,299.462402,0.000000
1950-01-09,275.644501,292.185211,0.000000
1950-01-10,282.076874,297.153534,0.000000
1950-01-11,282.535675,297.338806,0.000000
1950-01-12,272.896149,284.487793,0.000000
1950-01-13,274.589020,287.644806,4.765834
1950-01-14,283.593048,291.483459,7.091427
1950-01-15,279.212860,291.093262,1.073011
1950-01-16,276.186432,287.754395,0.000000
1950-01-17,277.836853,291.432587,0.000000
1950-01-18,279.764587,290.416016,0.000000
1950-01-19,270.880493,283.696533,0.000000
1950-01-20,274.240540,286.975159,0.000000
1950-01-21,277.744263,287.046021,0.000000
1950-01-22,273.816681,287.785736,0.000000
1950-01-23,275.676849,289.857361,0.000000
1950-01-24,278.279205,289.558258,0.000000
1950-01-25,278.907593,290.064209,2.009499
1950-01-26,277.813934,289.633270,0.000000
1950-01-27,279.966644,292.791168,0.000000
1950-01-28,287.323090,297.512177,0.000000
1950-01-29,283.760529,297.087158,0.742702
1950-01-30,278.652374,293.641846,0.000000
1950-01-31,274.047394,283.051392,0.000000
1950-02-01,280.140045,291.782410,0.000000
1950-02-02,275.531097,291.692566,0.000000
1950-02-03,272.942902,287.496521,0.000000
1950-02-04,272.065796,286.213470,0.000000
1950-02-05,282.500763,294.882080,0.000000
1950-02-06,277.895844,295.291260,0.000000
1950-02-07,276.279541,291.103516,0.000000
1950-02-08,284.371216,297.980011,0.000000
1950-02-09,284.842072,297.982880,0.000000
1950-02-10,274.611145,295.095703,0.000000
1950-02-11,264.232849,274.693573,0.000000
1950-02-12,272.590088,273.434692,6.236111
1950-02-13,269.551270,272.910553,1.305326
1950-02-14,272.742920,275.022339,0.000000
1950-02-15,272.203552,284.651489,0.000000
1950-02-16,274.553497,285.531189,0.000000
1950-02-17,271.582397,288.397583,0.000000
1950-02-18,281.978943,287.625824,0.579747
1950-02-19,281.519745,287.837952,8.322954
1950-02-20,282.111084,288.235657,18.463306
1950-02-21,280.864838,291.346405,0.899032
1950-02-22,279.227844,299.036194,0.000000
1950-02-23,279.889160,299.486816,0.000000
1950-02-24,284.512634,299.061432,0.000000
1950-02-25,288.100159,297.150208,3.166584
1950-02-26,279.355713,298.241974,0.000000
1950-02-27,277.851776,297.144073,0.000000
1950-02-28,276.606964,297.553741,0.000000
1950-03-01,284.936829,295.107300,1.262797
1950-03-02,282.666595,291.435608,0.000000
1950-03-03,282.203400,297.369843,0.000000
1950-03-04,285.809387,301.552429,0.000000
1950-03-05,288.257019,303.370056,0.000000
1950-03-06,278.653564,302.962646,0.431298
1950-03-07,268.200043,277.742218,0.000000
1950-03-08,267.551697,286.117065,0.000000
1950-03-09,281.228973,292.689972,0.000000
1950-03-10,287.597534,294.410400,9.461395
1950-03-11,283.669739,300.088318,0.000000
1950-03-12,289.412903,300.757233,0.000000
1950-03-13,286.026123,293.309845,18.741232
1950-03-14,287.779114,296.237823,16.673899
1950-03-15,285.956665,300.842255,0.921080
1950-03-16,282.967743,300.796539,0.000000
1950-03-17,290.226227,298.367950,0.956132
1950-03-18,283.168030,295.435699,0.872042
1950-03-19,282.613800,294.332184,0.000000
1950-03-20,281.747772,291.900238,0.000000
1950-03-21,287.859375,294.168610,1.722416
1950-03-22,287.038361,292.924622,3.901721
1950-03-23,284.697662,292.463928,0.000000
1950-03-24,289.184723,294.729614,2.762665
1950-03-25,278.957825,295.155334,0.000000
1950-03-26,280.434296,294.896210,0.000000
1950-03-27,279.891418,300.635101,0.000000
1950-03-28,290.909210,302.755798,0.000000
1950-03-29,284.559631,301.850891,0.000000
1950-03-30,284.809784,299.081390,0.000000
1950-03-31,288.372650,299.114105,6.797272
1950-04-01,281.609833,298.381958,0.000000
1950-04-02,284.319550,299.705322,0.000000
1950-04-03,292.150879,301.071777,0.000000
1950-04-04,290.078064,301.361877,0.000000
1950-04-05,290.446899,301.483154,0.000000
1950-04-06,290.374268,301.179016,0.000000
1950-04-07,290.094604,302.214233,0.000000
1950-04-08,292.962524,303.251343,0.000000
1950-04-09,291.190643,303.504425,0.000000
1950-04-10,286.115753,301.505005,0.000000
1950-04-11,279.772064,295.221619,0.000000
1950-04-12,282.443695,294.209198,0.000000
1950-04-13,284.597595,295.013519,0.000000
1950-04-14,286.839325,296.950043,0.000000
1950-04-15,289.973846,299.530975,0.000000
1950-04-16,292.130371,302.395630,0.000000
1950-04-17,283.881653,304.198975,0.000000
1950-04-18,282.597839,306.720978,0.000000
1950-04-19,291.618744,306.348297,0.000000
1950-04-20,292.409210,304.400970,2.194887
1950-04-21,293.188843,303.871826,6.394315
1950-04-22,291.752136,302.468689,13.598930
1950-04-23,289.932281,295.940063,0.000000
1950-04-24,285.094604,298.450043,0.000000
1950-04-25,284.600037,299.389404,0.000000
1950-04-26,281.431702,301.397003,0.000000
1950-04-27,284.071899,304.757629,0.000000
1950-04-28,286.059570,307.909332,0.000000
1950-04-29,286.737518,308.105225,0.000000
1950-04-30,288.888855,303.515747,0.000000
1950-05-01,291.386597,303.515411,0.000000
1950-05-02,292.070587,303.114227,26.245296
1950-05-03,290.017975,297.024170,37.165867
1950-05-04,286.107391,290.565643,2.622545
1950-05-05,286.691589,292.937988,0.000000
1950-05-06,284.761871,298.914581,0.000000
1950-05-07,287.231598,302.461670,0.000000
1950-05-08,287.956329,303.569855,0.000000
1950-05-09,290.139648,303.631805,0.000000
1950-05-10,287.955872,304.299561,0.000000
1950-05-11,291.222626,305.731415,0.000000
1950-05-12,292.769318,306.083160,0.000000
1950-05-13,294.236481,305.855713,0.000000
1950-05-14,282.233765,307.900696,0.000000
1950-05-15,292.778381,307.084167,11.165388
1950-05-16,290.510956,301.652557,13.888139
1950-05-17,284.128845,302.461182,0.000000
1950-05-18,285.960052,303.460785,0.000000
1950-05-19,293.061829,305.613068,0.000000
1950-05-20,292.450256,305.727417,0.000000
1950-05-21,292.456543,307.064331,0.000000
1950-05-22,292.711151,308.331482,0.000000
1950-05-23,294.006134,308.333771,0.000000
1950-05-24,292.761353,306.927765,0.000000
1950-05-25,293.899658,306.181091,0.000000
1950-05-26,292.932831,306.117310,1.153902
1950-05-27,293.740601,306.646088,0.000000
1950-05-28,295.377686,307.905945,0.000000
1950-05-29,294.938080,309.138641,0.000000
1950-05-30,285.052765,310.797913,0.000000
1950-05-31,288.716827,310.964874,0.000000
1950-06-01,294.447632,310.615509,0.000000
1950-06-02,296.598297,310.879639,0.000000
1950-06-03,296.988342,310.251862,0.000000
1950-06-04,295.956573,309.919861,0.000000
1950-06-05,294.996399,309.577972,0.000000
1950-06-06,295.326508,310.440247,0.000000
1950-06-07,296.508301,310.983643,0.000000
1950-06-08,296.414032,311.340851,0.000000
1950-06-09,296.434875,311.060791,0.000000
1950-06-10,296.084747,309.935608,0.786084
1950-06-11,291.981934,307.727631,0.000000
1950-06-12,294.749451,307.547424,0.978857
1950-06-13,293.832306,306.063629,3.708099
1950-06-14,292.962646,305.488434,0.000000
1950-06-15,292.874176,306.873932,0.000000
1950-06-16,294.455017,306.909607,0.000000
1950-06-17,292.126129,306.995544,0.000000
1950-06-18,293.562347,306.665863,0.000000
1950-06-19,293.904694,306.821472,0.000000
1950-06-20,293.985657,306.951752,0.000000
1950-06-21,294.255676,307.895081,0.000000
1950-06-22,294.533844,308.662018,0.000000
1950-06-23,295.708984,309.460724,0.000000
1950-06-24,296.732880,309.546539,0.412123
1950-06-25,297.786743,309.829559,0.518597
1950-06-26,296.855713,309.072815,0.000000
1950-06-27,298.448029,308.462036,1.618162
1950-06-28,297.585693,305.446411,16.122326
1950-06-29,296.688782,305.961548,1.998126
1950-06-30,296.272217,307.766785,0.000000
1950-07-01,296.034912,307.745270,0.000000
1950-07-02,294.793823,307.247314,0.000000
1950-07-03,294.447876,307.296509,0.000000
1950-07-04,295.571198,308.449219,0.000000
1950-07-05,296.861023,309.628662,0.000000
1950-07-06,296.717255,310.389008,0.000000
1950-07-07,296.741272,310.325745,0.000000
1950-07-08,296.091400,311.067780,0.000000
1950-07-09,297.898590,312.570984,0.000000
1950-07-10,299.095551,313.460938,1.675135
1950-07-11,297.722961,312.654358,0.000000
1950-07-12,296.304047,309.070343,0.000000
1950-07-13,295.500488,307.815369,0.000000
1950-07-14,296.860901,307.760773,0.000000
1950-07-15,296.437683,308.049774,0.000000
1950-07-16,295.480591,308.218750,0.000000
1950-07-17,297.017334,307.533081,0.000000
1950-07-18,296.809479,306.613007,0.000000
1950-07-19,295.915619,306.560730,0.529790
1950-07-20,295.926880,307.459076,0.000000
1950-07-21,295.356995,309.381195,0.000000
1950-07-22,296.691101,310.027405,0.000000
1950-07-23,297.795532,310.407928,0.000000
1950-07-24,297.671906,310.325806,0.000000
1950-07-25,297.455536,310.390930,0.493978
1950-07-26,296.019043,309.050446,0.000000
1950-07-27,295.934113,309.022430,0.000000
1950-07-28,295.008636,308.762573,0.000000
1950-07-29,295.463135,307.716492,3.118011
1950-07-30,296.039246,306.492371,0.664472
1950-07-31,295.839630,306.024200,0.000000
1950-08-01,295.965424,307.030975,0.000000
1950-08-02,295.419983,308.703522,0.000000
1950-08-03,294.283966,308.911163,0.000000
1950-08-04,295.353699,308.889465,0.000000
1950-08-05,294.931152,309.982727,0.000000
1950-08-06,295.189697,310.453796,0.000000
1950-08-07,296.130646,311.070862,0.000000
1950-08-08,296.466522,311.548431,0.000000
1950-08-09,295.189972,312.262939,0.000000
1950-08-10,298.699432,312.632111,0.280950
1950-08-11,298.595367,312.566833,0.297414
1950-08-12,298.202789,310.813416,1.766276
1950-08-13,297.012054,311.095032,0.000000
1950-08-14,297.366852,310.468536,0.000000
1950-08-15,297.837982,309.980865,0.000000
1950-08-16,296.573914,309.591797,0.000000
1950-08-17,294.906738,309.714081,0.000000
1950-08-18,296.354340,310.340088,0.000000
1950-08-19,297.559174,311.548401,0.000000
1950-08-20,296.309998,311.814026,0.000000
1950-08-21,295.509277,311.833557,0.000000
1950-08-22,296.053864,310.377533,0.000000
1950-08-23,296.719635,309.510376,0.000000
1950-08-24,296.970551,310.012665,1.098199
1950-08-25,296.983490,309.665649,0.000000
1950-08-26,296.307343,309.666870,0.000000
1950-08-27,296.119720,309.477753,0.000000
1950-08-28,296.058289,309.642761,0.000000
