#Variables:
#tasmin_inmcm4_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_inmcm4_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_inmcm4_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_inmcm4_rcp85(K),tasmax_inmcm4_rcp85(K),pr_inmcm4_rcp85(mm)"
""
yyyy-mm-dd,tasmin_inmcm4_rcp85(K),tasmax_inmcm4_rcp85(K),pr_inmcm4_rcp85(mm)
2006-01-01,267.449371,287.069275,0.000000
2006-01-02,276.146698,295.977936,0.000000
2006-01-03,267.160889,296.154266,0.000000
2006-01-04,276.078857,304.021790,0.000000
2006-01-05,277.658966,304.450317,0.000000
2006-01-06,274.307037,305.822723,0.000000
2006-01-07,278.102173,305.799072,0.000000
2006-01-08,282.233521,303.746704,0.000000
2006-01-09,287.134644,300.123077,0.448698
2006-01-10,283.333130,297.112793,2.120944
2006-01-11,273.385040,294.474731,0.000000
2006-01-12,276.348541,295.969421,0.000000
2006-01-13,267.465271,290.792969,0.000000
2006-01-14,267.365509,293.125183,0.000000
2006-01-15,275.643707,301.344482,0.000000
2006-01-16,280.045990,299.968170,0.000000
2006-01-17,272.541901,301.249390,0.000000
2006-01-18,276.567932,302.185822,0.000000
2006-01-19,280.775757,299.773407,1.033576
2006-01-20,278.215576,296.019135,6.135012
2006-01-21,276.066925,281.351135,0.782000
2006-01-22,272.533936,284.978729,0.000000
2006-01-23,274.502441,284.051239,0.000000
2006-01-24,279.451660,283.803589,0.000000
2006-01-25,279.009857,285.195312,9.292833
2006-01-26,280.527893,285.505341,4.002236
2006-01-27,276.649506,288.403015,0.000000
2006-01-28,277.521851,291.513977,0.000000
2006-01-29,280.532440,291.277527,0.000000
2006-01-30,278.640106,287.560455,10.740202
2006-01-31,283.219543,290.986267,22.960487
2006-02-01,283.717865,293.469574,16.358980
2006-02-02,273.520905,279.697845,3.401971
2006-02-03,276.215881,284.807343,0.000000
2006-02-04,282.417816,296.781464,0.000000
2006-02-05,282.021423,298.817535,0.000000
2006-02-06,285.792114,299.220917,0.000000
2006-02-07,288.918274,298.310272,0.000000
2006-02-08,280.150543,296.514526,0.000000
2006-02-09,271.009491,286.049103,0.000000
2006-02-10,278.847290,296.524048,0.000000
2006-02-11,288.128815,299.024048,0.000000
2006-02-12,280.217072,298.156403,0.000000
2006-02-13,284.648041,295.679321,0.474879
2006-02-14,287.005646,294.675568,27.021694
2006-02-15,279.771820,295.863312,1.646630
2006-02-16,278.909485,296.133972,0.000000
2006-02-17,281.639771,295.465393,0.000000
2006-02-18,282.568604,294.497131,0.828425
2006-02-19,279.201965,295.155884,0.000000
2006-02-20,284.226685,299.048920,0.000000
2006-02-21,289.940948,298.295013,3.367488
2006-02-22,289.434967,300.624878,2.203794
2006-02-23,285.295227,299.399536,1.164633
2006-02-24,281.113800,296.864044,0.000000
2006-02-25,284.133026,296.112976,0.690673
2006-02-26,284.735016,295.620026,3.857893
2006-02-27,280.728638,295.455109,0.000000
2006-02-28,288.378265,293.684937,2.672082
2006-03-01,280.238892,292.358582,0.000000
2006-03-02,282.353851,294.873413,0.000000
2006-03-03,287.455902,294.246338,6.009910
2006-03-04,284.771606,289.932007,0.000000
2006-03-05,284.687317,293.902527,0.000000
2006-03-06,288.626801,295.356537,0.000000
2006-03-07,287.687378,295.507507,0.925628
2006-03-08,288.336151,297.511993,2.001761
2006-03-09,282.973358,297.248322,0.370164
