#Variables:
#tasmin_IPSL-CM5A-LR_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_IPSL-CM5A-LR_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_IPSL-CM5A-LR_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5A-LR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_IPSL-CM5A-LR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_IPSL-CM5A-LR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_IPSL-CM5A-LR_historical(K),tasmax_IPSL-CM5A-LR_historical(K),pr_IPSL-CM5A-LR_historical(mm)"
""
yyyy-mm-dd,tasmin_IPSL-CM5A-LR_historical(K),tasmax_IPSL-CM5A-LR_historical(K),pr_IPSL-CM5A-LR_historical(mm)
1950-01-01,278.494659,287.966705,6.826052
1950-01-02,274.898834,283.951111,17.054211
1950-01-03,271.836365,275.027161,2.943383
1950-01-04,272.077728,274.810333,0.535632
1950-01-05,273.632629,279.941620,0.349744
1950-01-06,275.295837,284.034271,0.000000
1950-01-07,274.831573,283.925171,0.000000
1950-01-08,279.933105,287.424194,10.208596
1950-01-09,276.990326,285.273285,2.671154
1950-01-10,270.189789,281.589966,0.000000
1950-01-11,270.860016,284.667175,0.000000
1950-01-12,275.497620,286.319122,0.000000
1950-01-13,274.905334,288.500549,0.000000
1950-01-14,275.443268,285.374054,0.000000
1950-01-15,273.054749,286.951477,0.000000
1950-01-16,277.739716,289.974915,0.000000
1950-01-17,278.396545,292.448486,0.000000
1950-01-18,279.414154,291.976685,0.000000
1950-01-19,278.990356,288.214447,0.000000
1950-01-20,275.698975,285.306824,0.000000
1950-01-21,279.907440,291.333618,1.781066
1950-01-22,280.921387,290.570740,0.000000
1950-01-23,278.491913,287.853851,0.000000
1950-01-24,280.200928,290.682465,0.000000
1950-01-25,281.963074,294.004333,0.000000
1950-01-26,280.575500,293.996277,0.000000
1950-01-27,283.653870,291.315765,4.707484
1950-01-28,280.731262,289.500305,3.390109
1950-01-29,274.587524,282.742554,0.000000
1950-01-30,277.487183,286.205475,8.474751
1950-01-31,277.174927,281.723175,5.880551
1950-02-01,273.088074,278.335083,0.698088
1950-02-02,270.569183,278.966278,0.000000
1950-02-03,272.885498,285.938263,0.528466
1950-02-04,275.592499,291.893097,0.000000
1950-02-05,280.265137,292.920349,0.000000
1950-02-06,284.616791,291.518585,0.000000
1950-02-07,281.800934,294.971069,0.000000
1950-02-08,283.616760,295.306183,0.000000
1950-02-09,282.210083,290.677277,0.000000
1950-02-10,275.733582,283.312317,0.000000
1950-02-11,277.351807,291.294525,0.000000
1950-02-12,281.369415,294.429199,0.000000
1950-02-13,279.513763,295.005066,0.000000
1950-02-14,284.100952,297.579041,0.000000
1950-02-15,286.804901,299.036194,0.000000
1950-02-16,288.106750,294.992157,0.000000
1950-02-17,281.396759,295.873047,0.000000
1950-02-18,286.172333,297.701233,0.000000
1950-02-19,283.114410,292.368042,1.156555
1950-02-20,277.644562,287.014465,0.000000
1950-02-21,277.646179,286.924652,0.000000
1950-02-22,277.488190,286.724457,0.000000
1950-02-23,276.907990,289.790161,0.000000
1950-02-24,278.639832,292.176697,0.000000
1950-02-25,279.315308,289.408813,0.000000
1950-02-26,278.393951,291.085907,0.000000
1950-02-27,282.909058,292.097260,0.000000
1950-02-28,285.526093,295.860382,6.138014
1950-03-01,285.315094,298.428192,1.808244
1950-03-02,285.108521,295.932495,0.000000
1950-03-03,282.776947,293.003326,0.000000
1950-03-04,286.049866,294.065186,0.412569
1950-03-05,286.099304,295.587738,0.563272
1950-03-06,282.111023,292.427795,0.479717
1950-03-07,280.393158,292.219025,0.000000
1950-03-08,280.779266,292.210358,0.000000
1950-03-09,282.987549,292.077179,0.000000
1950-03-10,284.199463,293.197021,0.000000
1950-03-11,284.635406,293.274109,12.015036
1950-03-12,286.786469,298.244385,16.673899
1950-03-13,284.091125,298.103271,0.424588
1950-03-14,282.340668,301.140472,0.000000
1950-03-15,286.155365,298.369171,0.000000
1950-03-16,283.012451,296.789948,0.000000
1950-03-17,283.310638,296.630798,0.000000
1950-03-18,284.075104,299.096497,0.000000
1950-03-19,286.469971,298.088257,0.000000
1950-03-20,287.690948,301.643127,0.000000
1950-03-21,289.489777,300.220642,0.000000
1950-03-22,286.839203,295.428894,0.000000
1950-03-23,281.286835,293.408661,0.000000
1950-03-24,282.635895,293.010284,0.000000
1950-03-25,281.209503,293.644684,0.000000
1950-03-26,287.024384,293.623138,1.366280
1950-03-27,287.746613,299.544952,0.000000
1950-03-28,284.403534,294.285126,0.000000
1950-03-29,282.866516,288.692444,3.209675
1950-03-30,280.948792,296.004242,0.000000
1950-03-31,286.379974,300.061066,2.839737
1950-04-01,285.763977,295.415527,1.140518
1950-04-02,282.696350,297.147125,0.000000
1950-04-03,285.136444,294.927765,0.000000
1950-04-04,284.558136,302.672211,0.330403
1950-04-05,290.365601,299.181213,0.000000
1950-04-06,286.892578,302.868835,0.000000
1950-04-07,289.941376,300.355957,1.581934
1950-04-08,283.807098,296.979492,0.823915
1950-04-09,290.490692,299.310181,0.498863
1950-04-10,285.800293,296.904388,0.000000
1950-04-11,281.938629,292.618256,0.000000
1950-04-12,280.610962,291.604950,0.000000
1950-04-13,283.158813,297.434662,0.000000
1950-04-14,287.790985,298.222382,0.471264
1950-04-15,290.464478,300.633636,0.535890
1950-04-16,288.736542,299.061432,0.000000
1950-04-17,283.811920,294.825714,0.000000
1950-04-18,284.815460,293.452026,0.000000
1950-04-19,283.397949,297.537415,0.000000
1950-04-20,287.964111,300.354675,0.000000
1950-04-21,287.423859,298.414276,0.000000
1950-04-22,288.998047,298.300262,3.979924
1950-04-23,290.070923,295.649567,18.004616
1950-04-24,282.617981,301.633881,0.000000
1950-04-25,286.049164,306.043213,0.000000
1950-04-26,290.731018,307.481720,0.000000
1950-04-27,291.662323,306.321045,0.000000
1950-04-28,291.290710,306.180847,0.000000
1950-04-29,290.203247,303.454834,0.000000
1950-04-30,286.702240,302.177795,0.000000
1950-05-01,287.207947,303.594299,0.000000
1950-05-02,290.731537,306.571716,0.000000
1950-05-03,293.079834,308.779755,0.000000
1950-05-04,293.430237,307.466553,0.000000
1950-05-05,294.282013,305.479462,0.000000
1950-05-06,294.969940,303.774353,0.000000
1950-05-07,293.905457,306.263275,2.066014
1950-05-08,292.461670,303.330261,0.000000
1950-05-09,293.899597,305.281677,0.000000
1950-05-10,292.819336,304.308807,0.000000
1950-05-11,293.633881,300.996674,0.000000
1950-05-12,292.491241,301.754242,0.681999
1950-05-13,293.047455,301.777863,0.000000
1950-05-14,291.819336,303.158447,0.000000
1950-05-15,293.614319,300.658752,0.000000
1950-05-16,293.421478,303.762268,7.427946
1950-05-17,292.761017,301.638367,4.154629
1950-05-18,293.837463,302.661285,1.953323
1950-05-19,293.412201,304.844574,0.000000
1950-05-20,293.769989,307.683563,0.000000
1950-05-21,294.638672,308.340454,0.315054
1950-05-22,295.061188,308.251923,0.000000
1950-05-23,296.461975,306.597015,0.000000
1950-05-24,296.041412,308.532013,0.000000
1950-05-25,297.423798,304.623474,0.000000
1950-05-26,295.783752,305.729492,5.718552
1950-05-27,295.753235,304.689972,0.321611
1950-05-28,295.941895,303.600433,4.442104
1950-05-29,295.861511,303.768677,9.310447
1950-05-30,293.561768,300.669373,15.776205
1950-05-31,295.120483,301.192688,10.523173
1950-06-01,293.056458,303.549774,0.360155
1950-06-02,293.411713,305.441742,0.000000
1950-06-03,293.328644,305.751190,0.000000
1950-06-04,293.832306,305.357361,8.246457
1950-06-05,294.641266,299.635895,35.177906
1950-06-06,291.846710,304.092560,65.837479
1950-06-07,293.430939,305.368622,10.888663
1950-06-08,292.772583,306.895233,0.551092
1950-06-09,294.512482,305.372467,5.237420
1950-06-10,294.460388,303.715057,9.598866
1950-06-11,292.234161,304.328003,3.347770
1950-06-12,293.578979,305.471741,0.000000
1950-06-13,292.884979,306.612549,3.052876
1950-06-14,293.884644,308.334778,0.000000
1950-06-15,295.076355,307.507294,2.750327
1950-06-16,294.873138,304.949371,0.000000
1950-06-17,292.746613,305.958832,0.000000
1950-06-18,294.762787,308.045013,0.409575
1950-06-19,295.401459,308.419830,0.470326
1950-06-20,295.372864,307.723694,3.516492
1950-06-21,295.257629,310.706757,1.289301
1950-06-22,296.102875,310.824524,0.000000
1950-06-23,297.041565,310.960541,0.000000
1950-06-24,297.974884,310.411163,0.000000
1950-06-25,296.615753,310.567932,0.000000
1950-06-26,296.123169,310.633240,0.885913
1950-06-27,296.149872,309.652557,0.000000
1950-06-28,295.891876,306.614227,3.067028
1950-06-29,295.429962,305.441956,1.346408
1950-06-30,295.386688,307.305664,0.000000
1950-07-01,295.425110,307.445557,0.000000
1950-07-02,295.735046,308.479095,0.000000
1950-07-03,295.537842,308.011108,0.000000
1950-07-04,295.832703,306.819031,0.000000
1950-07-05,295.212738,307.482452,0.000000
1950-07-06,295.326660,307.733521,0.000000
1950-07-07,295.394012,309.810669,0.000000
1950-07-08,296.188080,311.099213,0.000000
1950-07-09,296.921143,311.489594,0.000000
1950-07-10,296.426392,311.836090,0.000000
1950-07-11,296.851624,311.053528,0.000000
1950-07-12,296.547180,309.432007,0.000000
1950-07-13,295.909119,307.984833,0.000000
1950-07-14,295.868866,308.042847,0.000000
1950-07-15,296.811005,308.892700,0.000000
1950-07-16,296.409180,307.065277,1.227568
1950-07-17,295.490997,305.289520,0.708422
1950-07-18,294.945251,306.871826,0.000000
1950-07-19,294.768066,308.940796,0.000000
1950-07-20,295.802887,310.324310,0.000000
1950-07-21,295.636475,310.356171,0.000000
1950-07-22,294.685150,309.493347,0.000000
1950-07-23,294.769196,310.349854,0.000000
1950-07-24,295.033325,311.008911,0.000000
1950-07-25,295.412445,311.095764,0.000000
1950-07-26,295.815155,311.091156,0.000000
1950-07-27,296.153961,310.868256,0.000000
1950-07-28,296.616333,311.336273,0.000000
