#Variables:
#tasmin_IPSL-CM5B-LR_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_IPSL-CM5B-LR_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_IPSL-CM5B-LR_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5B-LR_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_IPSL-CM5B-LR_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_IPSL-CM5B-LR_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_IPSL-CM5B-LR_rcp85(K),tasmax_IPSL-CM5B-LR_rcp85(K),pr_IPSL-CM5B-LR_rcp85(mm)"
""
yyyy-mm-dd,tasmin_IPSL-CM5B-LR_rcp85(K),tasmax_IPSL-CM5B-LR_rcp85(K),pr_IPSL-CM5B-LR_rcp85(mm)
2006-01-01,271.340881,292.120056,0.000000
2006-01-02,283.319427,292.874939,0.510470
2006-01-03,271.353699,292.608765,0.000000
2006-01-04,280.554749,293.483795,0.000000
2006-01-05,277.067596,302.346466,0.000000
2006-01-06,277.460266,294.330414,0.000000
2006-01-07,272.448853,286.388611,0.000000
2006-01-08,270.049042,290.390137,0.000000
2006-01-09,274.621094,295.011169,0.436827
2006-01-10,278.557129,297.501404,0.000000
2006-01-11,281.386536,298.248199,0.000000
2006-01-12,283.534119,299.735596,0.000000
2006-01-13,281.645447,293.406555,3.020269
2006-01-14,279.047363,284.607697,4.835374
2006-01-15,283.184998,297.778687,3.606238
2006-01-16,278.396790,293.637543,0.000000
2006-01-17,273.440399,290.076294,0.000000
2006-01-18,275.244446,292.070435,0.000000
2006-01-19,276.634125,293.410278,0.000000
2006-01-20,278.728973,297.100983,0.000000
2006-01-21,279.850647,297.037262,0.000000
2006-01-22,279.469269,294.704651,0.000000
2006-01-23,278.071228,290.091309,0.000000
2006-01-24,274.839569,295.377441,0.000000
2006-01-25,278.059174,295.733826,0.000000
2006-01-26,276.473480,289.671326,0.000000
2006-01-27,276.515503,290.779419,0.000000
2006-01-28,278.480194,286.683014,1.692820
2006-01-29,280.300110,287.175964,16.086632
2006-01-30,274.278992,286.588715,0.360196
2006-01-31,272.807281,282.855133,0.000000
2006-02-01,278.845581,286.291595,0.620817
2006-02-02,273.720154,290.358948,0.000000
2006-02-03,275.321899,296.449799,0.000000
2006-02-04,279.070282,301.595001,0.000000
2006-02-05,279.749603,302.760925,0.000000
2006-02-06,285.166412,302.400208,0.000000
2006-02-07,280.450958,301.612427,0.000000
2006-02-08,276.751312,300.179474,0.000000
2006-02-09,279.787079,304.558838,0.000000
2006-02-10,281.528198,302.325378,0.000000
2006-02-11,282.847595,302.291168,0.000000
2006-02-12,284.824005,301.727142,0.000000
2006-02-13,283.720123,301.797119,0.000000
2006-02-14,282.797913,296.184875,0.000000
2006-02-15,278.527405,298.122589,0.000000
2006-02-16,281.563446,298.369171,0.000000
2006-02-17,280.553162,299.189911,0.000000
2006-02-18,281.297943,297.296539,0.000000
2006-02-19,284.861084,302.065186,0.000000
2006-02-20,285.484955,299.142395,0.000000
2006-02-21,283.230804,293.949432,0.000000
2006-02-22,285.290649,298.634583,0.000000
2006-02-23,290.842194,299.563843,6.615934
2006-02-24,290.226044,299.024780,3.385901
2006-02-25,288.504761,300.020630,2.421963
2006-02-26,286.152863,296.963379,0.848077
2006-02-27,284.861359,293.833008,11.360495
2006-02-28,283.568573,292.314697,11.449583
2006-03-01,279.815338,285.969025,6.872257
2006-03-02,279.525665,291.088348,0.646241
2006-03-03,280.869598,299.348175,0.000000
2006-03-04,284.581573,304.310486,0.000000
2006-03-05,282.858154,300.289520,0.000000
2006-03-06,284.166748,294.325226,0.870915
2006-03-07,275.553040,287.771362,0.000000
2006-03-08,273.793762,290.483978,0.473189
2006-03-09,282.212677,289.686096,4.778889
2006-03-10,280.963043,287.758514,13.694854
2006-03-11,285.070892,291.600372,48.362766
2006-03-12,279.828278,289.371399,1.802504
2006-03-13,274.191040,293.587616,0.000000
2006-03-14,277.225555,297.260101,0.000000
2006-03-15,278.047577,293.802124,1.061843
