#Variables:
#tasmin_MIROC-ESM_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC-ESM_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_MIROC-ESM_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC-ESM_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MIROC-ESM_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_MIROC-ESM_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MIROC-ESM_rcp45(K),tasmax_MIROC-ESM_rcp45(K),pr_MIROC-ESM_rcp45(mm)"
""
yyyy-mm-dd,tasmin_MIROC-ESM_rcp45(K),tasmax_MIROC-ESM_rcp45(K),pr_MIROC-ESM_rcp45(mm)
2006-01-01,277.253204,294.958893,0.000000
2006-01-02,278.198303,293.679749,0.000000
2006-01-03,280.034088,298.296173,0.000000
2006-01-04,285.962891,297.340790,3.268984
2006-01-05,289.892639,292.472595,6.165087
2006-01-06,274.882568,289.788666,0.000000
2006-01-07,278.463257,294.059845,0.000000
2006-01-08,275.278656,289.963501,0.000000
2006-01-09,277.073547,292.334747,0.000000
2006-01-10,277.331726,288.480835,0.000000
2006-01-11,272.999603,290.146088,0.000000
2006-01-12,276.578705,295.812500,0.000000
2006-01-13,281.939667,293.443970,0.000000
2006-01-14,274.890350,295.326965,0.000000
2006-01-15,281.183411,291.418671,0.000000
2006-01-16,274.247772,290.079620,0.000000
2006-01-17,278.367615,298.037781,0.000000
2006-01-18,282.744415,299.732880,0.000000
2006-01-19,284.271362,298.037506,0.000000
2006-01-20,283.930450,291.564117,0.000000
2006-01-21,270.928558,281.287781,0.000000
2006-01-22,271.553467,289.821899,0.434694
2006-01-23,283.231964,288.740631,0.797283
2006-01-24,276.345093,293.979126,0.000000
2006-01-25,273.664032,286.356232,0.000000
2006-01-26,274.286102,296.385620,0.000000
2006-01-27,286.243713,300.489532,0.556103
2006-01-28,286.340607,300.814697,0.000000
2006-01-29,285.842651,296.979218,0.302679
2006-01-30,273.072357,290.746460,0.000000
2006-01-31,278.027679,296.686859,0.000000
2006-02-01,278.153015,301.208893,0.000000
2006-02-02,284.924347,300.312134,0.000000
2006-02-03,268.811798,294.618347,0.420847
2006-02-04,266.831451,280.617981,0.000000
2006-02-05,271.771759,292.824982,0.000000
2006-02-06,281.696960,296.412903,0.559006
2006-02-07,278.449829,295.475464,0.512512
2006-02-08,274.515228,287.062561,0.000000
2006-02-09,273.323792,285.847504,0.341142
2006-02-10,276.416260,296.951233,0.000000
2006-02-11,283.686066,303.857300,0.000000
2006-02-12,286.746063,301.261688,0.000000
2006-02-13,285.663361,301.412842,0.000000
2006-02-14,287.714355,297.692291,5.936844
2006-02-15,284.722961,300.790649,1.541164
2006-02-16,281.828613,299.738892,0.000000
2006-02-17,284.184418,303.152191,0.000000
2006-02-18,286.597473,303.097412,0.000000
2006-02-19,286.446899,299.075806,0.000000
2006-02-20,280.438141,290.112152,0.000000
2006-02-21,284.423309,287.575226,0.000000
2006-02-22,278.217499,293.972778,0.000000
2006-02-23,283.045715,293.024902,1.004048
2006-02-24,284.788940,296.857178,3.727700
2006-02-25,283.627594,296.807220,0.000000
2006-02-26,281.815979,290.831543,0.000000
2006-02-27,268.372009,284.958923,0.000000
2006-02-28,274.678162,291.181458,0.000000
2006-03-01,288.106537,295.115234,19.326448
2006-03-02,283.121246,290.468719,4.544954
2006-03-03,276.536255,287.451324,0.000000
2006-03-04,280.350891,290.615631,1.177716
2006-03-05,283.352020,301.107147,0.000000
2006-03-06,280.743805,296.048798,0.000000
2006-03-07,271.805786,283.653564,0.000000
2006-03-08,271.658081,290.241608,0.000000
2006-03-09,277.760376,299.569244,0.000000
2006-03-10,281.778473,293.635529,0.000000
2006-03-11,271.773346,292.318329,0.000000
2006-03-12,279.166016,300.892944,0.000000
2006-03-13,282.180054,304.388000,0.000000
2006-03-14,286.644806,300.227875,0.000000
2006-03-15,285.706604,300.557190,0.000000
2006-03-16,288.944489,300.312408,0.000000
2006-03-17,284.759460,300.348541,0.000000
2006-03-18,289.442993,298.098602,7.672435
2006-03-19,287.194336,298.085022,4.262577
2006-03-20,288.777344,300.259277,0.000000
2006-03-21,290.287659,300.070312,0.564833
2006-03-22,287.306793,297.230835,1.110448
2006-03-23,278.500244,290.717224,0.000000
2006-03-24,281.975861,290.909882,0.450356
2006-03-25,283.803558,290.523773,0.000000
2006-03-26,282.087677,295.473358,0.000000
2006-03-27,287.315460,293.012482,1.919350
2006-03-28,287.032440,295.028412,4.527174
2006-03-29,286.793335,300.146667,0.000000
2006-03-30,284.886658,301.230621,0.000000
2006-03-31,288.809052,301.238434,0.000000
2006-04-01,292.098938,299.213440,0.000000
2006-04-02,288.210205,294.103027,0.000000
2006-04-03,288.120178,297.812622,2.992139
2006-04-04,292.172546,297.327667,0.882740
2006-04-05,283.668213,294.189362,0.000000
2006-04-06,282.516449,291.922577,0.000000
2006-04-07,280.696716,291.157379,0.000000
2006-04-08,279.385620,296.850037,0.000000
2006-04-09,281.738251,299.309052,0.000000
2006-04-10,287.246521,296.105957,9.490650
2006-04-11,282.550659,298.000946,0.000000
2006-04-12,285.199158,301.879272,0.000000
2006-04-13,283.508179,308.428284,0.000000
2006-04-14,290.224121,301.699097,0.000000
2006-04-15,284.929260,303.865784,0.000000
2006-04-16,285.400726,308.211060,0.000000
2006-04-17,288.063660,302.993073,0.000000
2006-04-18,292.254974,301.681213,3.919307
2006-04-19,282.627808,299.214752,0.000000
2006-04-20,284.088501,299.559204,0.000000
2006-04-21,284.570160,301.107635,0.000000
2006-04-22,289.724976,299.835541,15.504957
2006-04-23,286.566711,298.627869,4.853805
2006-04-24,287.142944,298.156158,9.345783
2006-04-25,283.415161,295.849457,0.000000
2006-04-26,282.731689,305.673828,0.000000
