#Variables:
#tasmin_MIROC-ESM-CHEM_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC-ESM-CHEM_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_MIROC-ESM-CHEM_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC-ESM-CHEM_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MIROC-ESM-CHEM_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_MIROC-ESM-CHEM_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MIROC-ESM-CHEM_rcp45(K),tasmax_MIROC-ESM-CHEM_rcp45(K),pr_MIROC-ESM-CHEM_rcp45(mm)"
""
yyyy-mm-dd,tasmin_MIROC-ESM-CHEM_rcp45(K),tasmax_MIROC-ESM-CHEM_rcp45(K),pr_MIROC-ESM-CHEM_rcp45(mm)
2006-01-01,276.266876,294.699158,0.000000
2006-01-02,276.238220,288.124817,0.000000
2006-01-03,274.825256,283.035034,0.000000
2006-01-04,270.031708,288.605804,0.000000
2006-01-05,275.746765,286.862244,0.723259
2006-01-06,266.873871,284.650635,0.000000
2006-01-07,271.639496,281.433319,0.000000
2006-01-08,275.542450,292.345459,0.000000
2006-01-09,282.271973,296.461151,0.000000
2006-01-10,278.110870,289.568848,0.000000
2006-01-11,268.451385,282.883331,0.000000
2006-01-12,276.026489,292.648010,0.000000
2006-01-13,272.912720,291.320679,0.000000
2006-01-14,277.511810,299.440735,0.000000
2006-01-15,281.100098,304.096161,0.000000
2006-01-16,280.826752,295.779907,0.000000
2006-01-17,278.822235,294.038940,0.000000
2006-01-18,279.253540,297.681152,0.000000
2006-01-19,284.331665,299.552673,0.419636
2006-01-20,284.496338,298.624451,1.171858
2006-01-21,279.166809,295.078949,0.000000
2006-01-22,278.939941,302.616150,0.000000
2006-01-23,288.370148,300.376831,0.000000
2006-01-24,287.416046,299.561279,2.683273
2006-01-25,282.285431,293.520020,0.000000
2006-01-26,281.048035,299.462067,0.329445
2006-01-27,287.649506,299.934265,3.345299
2006-01-28,286.944580,297.288391,3.647311
2006-01-29,276.646271,290.150269,0.000000
2006-01-30,274.101074,293.862335,0.000000
2006-01-31,275.886414,294.868683,0.000000
2006-02-01,280.706268,298.583740,0.000000
2006-02-02,283.204895,293.449341,6.377430
2006-02-03,277.786835,292.322144,0.000000
2006-02-04,280.503021,290.926483,35.619328
2006-02-05,276.810455,283.861450,6.104712
2006-02-06,271.556915,279.580719,0.000000
2006-02-07,275.594666,288.744171,0.000000
2006-02-08,281.295105,289.003998,0.341993
