#Variables:
#tasmin_MRI-CGCM3_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MRI-CGCM3_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_MRI-CGCM3_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MRI-CGCM3_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MRI-CGCM3_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_MRI-CGCM3_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MRI-CGCM3_rcp85(K),tasmax_MRI-CGCM3_rcp85(K),pr_MRI-CGCM3_rcp85(mm)"
""
yyyy-mm-dd,tasmin_MRI-CGCM3_rcp85(K),tasmax_MRI-CGCM3_rcp85(K),pr_MRI-CGCM3_rcp85(mm)
2006-01-01,271.891174,287.088684,0.000000
2006-01-02,276.233215,290.926575,0.331637
2006-01-03,282.873840,297.130188,0.000000
2006-01-04,278.414703,292.938171,0.000000
2006-01-05,277.562714,297.042480,0.000000
2006-01-06,277.680725,297.097992,0.000000
2006-01-07,281.816559,294.166107,0.000000
2006-01-08,270.579315,286.262543,0.000000
2006-01-09,268.830200,287.082550,0.000000
2006-01-10,277.302551,292.583832,0.000000
2006-01-11,277.316437,293.842133,0.000000
2006-01-12,277.911621,297.962463,0.000000
2006-01-13,275.782349,296.635529,0.000000
2006-01-14,278.214752,299.462555,0.000000
2006-01-15,280.906891,302.558960,0.000000
2006-01-16,280.552887,300.362305,0.000000
2006-01-17,281.878632,299.098602,0.000000
2006-01-18,281.745422,298.572418,0.000000
2006-01-19,286.081787,300.338440,0.000000
2006-01-20,283.050354,297.887115,1.103888
2006-01-21,279.221191,297.115204,0.000000
2006-01-22,282.690369,295.784851,0.000000
2006-01-23,279.232758,291.257141,0.000000
2006-01-24,280.648468,294.539551,0.000000
2006-01-25,282.546143,300.418182,0.000000
2006-01-26,282.415131,298.536102,0.000000
2006-01-27,278.070221,298.761597,0.000000
2006-01-28,281.346802,299.510223,0.000000
2006-01-29,280.632538,299.544342,0.000000
2006-01-30,283.088806,298.501526,0.000000
2006-01-31,285.647095,296.512573,0.304181
2006-02-01,287.197327,298.169708,0.000000
2006-02-02,288.476196,300.433289,0.000000
2006-02-03,287.271301,299.457458,0.856948
