#Variables:
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_bcc-csm1-1_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),pr_bcc-csm1-1_rcp85(mm)"
""
yyyy-mm-dd,tasmin_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),pr_bcc-csm1-1_rcp85(mm)
2006-01-01,277.411499,290.162354,0.000000
2006-01-02,274.204468,287.957947,0.000000
2006-01-03,277.272858,286.000092,2.500868
2006-01-04,277.994537,289.506042,0.000000
2006-01-05,279.030060,288.614441,0.000000
2006-01-06,274.023926,285.661682,0.000000
2006-01-07,272.187683,286.614441,0.000000
2006-01-08,274.229614,289.188690,0.000000
2006-01-09,277.365875,292.970215,0.000000
2006-01-10,277.915619,297.285583,0.000000
2006-01-11,279.865112,296.248993,0.000000
2006-01-12,286.464966,295.272461,0.349356
2006-01-13,278.831451,294.107849,1.712055
2006-01-14,267.253448,280.864532,11.889627
2006-01-15,266.481873,271.170380,17.592089
2006-01-16,269.091003,281.664307,0.884183
2006-01-17,271.282440,282.633728,0.000000
2006-01-18,271.855743,285.630371,0.000000
2006-01-19,273.155029,285.363953,0.000000
2006-01-20,270.646179,286.694702,7.943162
2006-01-21,265.557587,273.142090,0.000000
2006-01-22,272.010773,275.800598,11.896000
2006-01-23,273.409454,281.939362,5.037152
2006-01-24,273.138550,282.485626,0.000000
