#Variables:
#tasmin_NorESM1-M_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_NorESM1-M_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_NorESM1-M_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_NorESM1-M_historical(K),tasmax_NorESM1-M_historical(K),pr_NorESM1-M_historical(mm)"
""
yyyy-mm-dd,tasmin_NorESM1-M_historical(K),tasmax_NorESM1-M_historical(K),pr_NorESM1-M_historical(mm)
1950-01-01,271.816559,277.937897,6.593008
1950-01-02,274.196320,279.287384,2.233345
1950-01-03,274.858643,278.763489,0.000000
1950-01-04,267.873932,277.943146,0.000000
1950-01-05,271.553436,283.092102,0.000000
1950-01-06,274.330872,283.433533,0.000000
1950-01-07,277.808380,290.917511,0.000000
1950-01-08,281.234436,291.884705,0.000000
1950-01-09,283.635345,298.986145,0.000000
1950-01-10,285.222595,303.187988,0.409166
1950-01-11,287.166138,302.161713,0.000000
1950-01-12,285.592743,300.856476,0.000000
1950-01-13,286.363953,300.283691,0.000000
1950-01-14,286.948914,300.594910,0.000000
1950-01-15,284.908020,301.351929,0.000000
1950-01-16,283.301971,297.659637,0.000000
1950-01-17,285.093750,297.049591,0.000000
1950-01-18,287.169830,297.457642,0.000000
1950-01-19,287.265930,298.449127,0.303502
1950-01-20,284.696106,297.070221,0.000000
1950-01-21,279.047150,294.605865,0.000000
1950-01-22,278.984772,295.687805,0.000000
1950-01-23,275.501007,287.612579,0.000000
1950-01-24,272.750702,287.163116,0.000000
1950-01-25,274.414764,287.727631,0.000000
1950-01-26,274.977905,287.715149,0.000000
1950-01-27,276.959137,288.381012,0.000000
1950-01-28,277.963501,292.568878,0.000000
1950-01-29,277.599274,294.279205,0.000000
1950-01-30,278.576935,296.226349,0.000000
1950-01-31,278.393738,290.249512,0.000000
1950-02-01,274.040161,284.148621,0.000000
1950-02-02,269.797760,284.907684,0.000000
1950-02-03,272.012390,287.389923,0.000000
1950-02-04,272.375061,288.667999,0.000000
1950-02-05,275.682648,289.134766,0.000000
1950-02-06,272.806061,285.491913,0.000000
1950-02-07,266.391815,279.137024,0.000000
1950-02-08,266.450897,283.918945,0.000000
1950-02-09,272.557434,286.514069,0.000000
1950-02-10,273.502228,291.323395,0.000000
1950-02-11,277.737274,291.859070,0.000000
1950-02-12,281.093445,289.504303,12.017621
1950-02-13,287.238953,294.291168,5.210354
1950-02-14,285.921967,300.907471,0.000000
1950-02-15,285.812012,297.623047,0.000000
1950-02-16,286.554932,299.047760,0.000000
1950-02-17,286.259827,296.054321,0.000000
1950-02-18,278.129150,291.323914,0.000000
1950-02-19,277.204712,286.987061,0.000000
1950-02-20,280.702545,288.984772,0.852262
1950-02-21,283.611053,298.063171,0.000000
1950-02-22,284.675262,300.972626,0.000000
1950-02-23,279.769867,292.634399,0.000000
1950-02-24,272.604034,283.939728,0.000000
1950-02-25,269.968475,286.598053,0.000000
1950-02-26,273.183899,292.592285,0.000000
1950-02-27,278.130310,298.888489,0.000000
1950-02-28,282.409210,303.726898,0.000000
1950-03-01,283.710052,299.075439,0.000000
1950-03-02,285.216187,296.237823,0.000000
1950-03-03,284.825439,298.635406,0.000000
1950-03-04,287.280029,299.027374,0.000000
1950-03-05,287.582764,297.757965,0.908876
1950-03-06,288.046936,297.206085,1.186760
1950-03-07,290.831665,299.244446,11.077553
1950-03-08,287.317078,294.475677,13.621336
1950-03-09,286.049866,292.913055,2.492667
1950-03-10,282.309296,294.267334,0.000000
1950-03-11,284.795471,292.461334,0.921080
1950-03-12,286.849915,295.849030,30.593166
1950-03-13,286.628906,294.410400,18.741232
1950-03-14,287.665863,297.566193,0.000000
1950-03-15,288.238007,301.308777,7.629443
1950-03-16,287.088715,294.243530,12.419342
1950-03-17,278.206055,289.409271,0.304117
1950-03-18,279.211823,297.894257,0.000000
1950-03-19,283.899323,298.579346,0.000000
1950-03-20,287.391052,298.677002,0.000000
1950-03-21,288.129730,299.902161,0.000000
1950-03-22,285.492126,300.064026,0.000000
1950-03-23,290.041382,297.773102,0.000000
1950-03-24,289.086670,299.401489,0.405809
1950-03-25,287.797089,298.446716,0.000000
1950-03-26,288.662262,297.411377,0.000000
1950-03-27,288.276703,297.574402,0.000000
1950-03-28,286.293549,301.754120,1.150964
1950-03-29,281.228729,298.400452,0.000000
1950-03-30,281.377655,300.664215,0.000000
1950-03-31,283.164093,303.435577,0.000000
1950-04-01,278.992737,294.751251,0.000000
1950-04-02,279.977509,300.016571,0.000000
1950-04-03,286.965027,300.367401,0.000000
1950-04-04,289.241669,298.416046,0.000000
1950-04-05,289.062317,302.184387,0.000000
1950-04-06,288.236053,301.323639,0.815895
1950-04-07,284.519897,295.266785,0.000000
1950-04-08,279.894226,299.598267,0.000000
1950-04-09,280.858582,300.548431,0.000000
1950-04-10,284.768860,301.051056,0.000000
1950-04-11,286.798401,304.917511,0.000000
1950-04-12,287.031647,303.554810,0.000000
1950-04-13,289.254578,299.024231,0.000000
1950-04-14,287.390594,295.671570,1.803515
1950-04-15,286.840149,300.208405,0.000000
1950-04-16,288.730927,301.654541,0.000000
1950-04-17,290.011993,303.983215,0.000000
1950-04-18,290.144928,304.304626,0.435773
1950-04-19,292.433533,299.471039,13.598930
1950-04-20,293.740021,306.167450,1.038619
1950-04-21,293.459076,307.000153,0.000000
1950-04-22,295.030212,306.074432,1.025269
1950-04-23,294.527679,306.670502,0.000000
1950-04-24,294.164459,305.128174,0.000000
1950-04-25,293.636749,302.190430,3.264533
1950-04-26,292.855133,298.896088,9.732830
1950-04-27,287.945038,287.945038,19.680759
1950-04-28,287.528534,290.250610,39.162243
1950-04-29,289.962433,295.840454,5.045845
1950-04-30,291.710205,302.047607,2.071855
1950-05-01,292.710968,304.970520,0.000000
1950-05-02,292.783417,306.867401,0.000000
1950-05-03,291.678955,308.377167,0.000000
1950-05-04,293.187378,305.089783,0.000000
1950-05-05,293.888092,302.983917,0.000000
1950-05-06,293.658020,303.476074,0.000000
1950-05-07,293.839508,304.522369,0.000000
1950-05-08,293.661072,303.889709,2.945531
1950-05-09,293.170837,303.220215,0.929389
1950-05-10,292.761169,300.956818,0.000000
1950-05-11,289.436676,296.384796,0.000000
1950-05-12,287.924072,295.345093,0.643814
1950-05-13,289.486053,302.397247,2.148648
1950-05-14,292.121948,308.786713,0.875861
1950-05-15,290.896606,308.881775,0.000000
1950-05-16,291.457825,306.321472,0.000000
1950-05-17,293.806335,307.065430,3.302292
1950-05-18,292.573517,304.244202,0.769215
1950-05-19,287.223541,300.028534,0.000000
1950-05-20,283.813507,297.605103,0.000000
1950-05-21,286.391296,305.397675,0.000000
1950-05-22,292.448517,308.885437,0.000000
1950-05-23,294.334808,308.299744,1.834344
1950-05-24,294.308289,308.238220,0.000000
1950-05-25,294.336700,307.778442,0.000000
1950-05-26,294.357056,307.997101,1.358118
1950-05-27,295.574615,306.056244,10.565271
1950-05-28,294.331573,307.026306,11.228604
1950-05-29,293.769989,302.737549,10.521934
1950-05-30,293.713226,303.207977,0.905617
1950-05-31,293.215698,305.479767,0.000000
1950-06-01,294.526276,306.836334,0.000000
1950-06-02,295.027374,308.857758,0.000000
1950-06-03,295.207153,307.373779,9.997839
1950-06-04,294.564972,302.520020,18.742098
1950-06-05,294.761841,305.826111,0.000000
1950-06-06,295.049133,307.755615,0.000000
1950-06-07,297.062073,308.568512,2.632406
1950-06-08,295.854645,308.362732,0.641824
1950-06-09,295.893494,308.849182,1.152199
1950-06-10,295.064880,308.551392,0.000000
1950-06-11,295.369141,307.194763,1.362428
1950-06-12,294.745758,305.026947,7.970459
1950-06-13,295.742981,305.759705,9.548405
1950-06-14,295.798218,301.548004,10.527341
1950-06-15,294.535370,301.540100,4.165826
1950-06-16,292.745270,302.384369,0.000000
1950-06-17,294.921112,307.978577,0.000000
1950-06-18,295.077850,308.080536,5.176156
1950-06-19,295.711304,309.651154,0.408387
1950-06-20,296.057129,309.355530,0.000000
1950-06-21,296.879456,308.432007,0.000000
1950-06-22,296.985687,309.273254,0.000000
1950-06-23,297.046051,309.683655,0.000000
1950-06-24,297.258209,309.763062,0.806392
1950-06-25,295.674744,307.590515,0.000000
1950-06-26,294.690063,307.394165,0.000000
1950-06-27,293.679840,307.490417,0.000000
1950-06-28,293.663452,307.481812,1.301686
1950-06-29,293.714325,307.161621,0.487048
1950-06-30,293.412720,305.021698,0.000000
1950-07-01,293.948914,305.824036,0.000000
1950-07-02,294.127930,306.742065,0.000000
1950-07-03,295.397339,307.581757,0.000000
1950-07-04,295.245270,306.663330,0.000000
1950-07-05,295.270294,306.410553,0.000000
1950-07-06,294.509888,307.136414,0.000000
1950-07-07,295.717010,307.682251,0.332818
1950-07-08,295.318176,308.538330,0.000000
1950-07-09,294.800049,308.657349,0.000000
1950-07-10,294.236938,309.463379,0.000000
1950-07-11,294.586945,309.998169,0.000000
1950-07-12,294.560394,308.359863,0.000000
1950-07-13,294.494446,308.234467,0.000000
1950-07-14,295.266174,309.089325,0.000000
1950-07-15,295.799957,307.427826,8.649172
1950-07-16,296.385590,306.866852,5.857298
1950-07-17,296.885468,308.443237,0.913631
1950-07-18,296.317932,309.343506,0.000000
1950-07-19,296.465149,309.905212,0.000000
1950-07-20,296.549316,309.599457,0.000000
1950-07-21,296.302124,308.531616,0.000000
1950-07-22,295.433533,309.827881,0.000000
1950-07-23,295.273071,310.217773,0.000000
1950-07-24,295.285736,309.502960,0.000000
1950-07-25,295.760620,310.780334,0.000000
1950-07-26,295.458282,312.099487,0.000000
1950-07-27,296.486938,313.436768,1.504681
1950-07-28,299.528076,313.762665,0.000000
1950-07-29,298.702271,313.203461,0.000000
1950-07-30,298.005493,313.264648,0.000000
1950-07-31,298.346436,311.652069,0.000000
1950-08-01,296.565674,309.570007,0.000000
1950-08-02,296.308777,308.533600,0.000000
1950-08-03,296.079529,309.329163,0.000000
1950-08-04,296.223846,309.970184,0.000000
1950-08-05,296.014893,310.368561,0.000000
1950-08-06,296.188690,310.391510,0.000000
