#Variables:
#tasmin_NorESM1-M_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_NorESM1-M_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_NorESM1-M_rcp45(K),tasmax_NorESM1-M_rcp45(K),pr_NorESM1-M_rcp45(mm)"
""
yyyy-mm-dd,tasmin_NorESM1-M_rcp45(K),tasmax_NorESM1-M_rcp45(K),pr_NorESM1-M_rcp45(mm)
2006-01-01,277.672577,295.702271,0.000000
2006-01-02,278.844604,295.249268,0.000000
2006-01-03,278.042725,292.085083,0.000000
2006-01-04,278.264313,294.382172,0.000000
2006-01-05,277.618103,293.947235,0.000000
2006-01-06,277.925568,294.510986,0.000000
2006-01-07,279.744598,294.856018,0.000000
2006-01-08,276.183685,288.359589,0.000000
2006-01-09,274.357208,291.994354,0.000000
2006-01-10,275.526093,293.594391,0.000000
2006-01-11,278.372681,294.080750,0.719661
2006-01-12,280.272278,291.718781,3.934082
2006-01-13,279.184662,288.750244,2.487748
2006-01-14,279.563293,287.898956,3.381844
2006-01-15,270.629150,284.085236,0.000000
2006-01-16,272.908508,281.802765,0.000000
2006-01-17,272.000183,286.911896,0.000000
2006-01-18,275.318359,287.194183,0.000000
2006-01-19,275.261292,286.498688,0.000000
2006-01-20,272.952820,287.516754,0.000000
2006-01-21,277.464722,286.483612,0.000000
2006-01-22,278.229187,286.025604,0.749483
2006-01-23,282.460693,289.348999,27.167582
2006-01-24,279.647430,285.983429,28.375313
2006-01-25,277.919342,283.559875,3.932818
2006-01-26,281.894073,286.467285,11.267445
2006-01-27,282.534851,288.539337,7.280995
2006-01-28,277.153839,283.098083,0.820431
