#Variables:
#tasmin_bcc-csm1-1-m_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_bcc-csm1-1-m_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_bcc-csm1-1-m_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_bcc-csm1-1-m_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_bcc-csm1-1-m_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_bcc-csm1-1-m_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_bcc-csm1-1-m_rcp85(K),tasmax_bcc-csm1-1-m_rcp85(K),pr_bcc-csm1-1-m_rcp85(mm)"
""
yyyy-mm-dd,tasmin_bcc-csm1-1-m_rcp85(K),tasmax_bcc-csm1-1-m_rcp85(K),pr_bcc-csm1-1-m_rcp85(mm)
2006-01-01,272.781921,289.159821,0.000000
2006-01-02,277.113861,292.484558,0.000000
2006-01-03,279.950500,297.222931,0.000000
2006-01-04,281.420074,297.692108,0.000000
2006-01-05,281.712433,300.065552,0.000000
2006-01-06,285.005157,299.755707,0.000000
2006-01-07,283.801392,298.956268,0.000000
2006-01-08,269.767578,292.696899,2.893114
2006-01-09,267.584351,277.629608,0.000000
2006-01-10,270.576965,289.344543,0.000000
2006-01-11,276.892212,293.402222,0.000000
2006-01-12,276.849609,295.320984,0.000000
2006-01-13,278.594971,298.955200,0.000000
2006-01-14,279.857666,298.957214,0.000000
2006-01-15,285.691895,296.321869,0.000000
2006-01-16,287.358032,292.880646,30.348478
2006-01-17,282.199371,289.731445,7.065008
2006-01-18,283.087128,289.829132,0.000000
2006-01-19,286.659729,294.512543,17.477238
2006-01-20,282.351868,294.481018,0.000000
2006-01-21,283.344482,294.152313,17.952553
2006-01-22,279.656372,291.750214,0.000000
2006-01-23,281.897400,290.369385,1.424150
2006-01-24,279.450287,289.009674,7.610224
2006-01-25,275.242889,282.544403,1.766733
2006-01-26,274.575165,282.447632,0.000000
2006-01-27,276.313721,288.236847,0.000000
2006-01-28,278.673218,291.819061,0.000000
2006-01-29,278.703583,294.467621,0.000000
2006-01-30,281.303589,293.719086,0.000000
2006-01-31,279.740723,291.905121,0.000000
2006-02-01,277.527557,290.523987,0.360018
2006-02-02,281.449310,289.638245,1.270069
2006-02-03,286.135925,298.909058,2.074839
2006-02-04,285.454803,299.533112,0.000000
2006-02-05,287.796234,298.007568,0.401663
2006-02-06,279.625397,295.481537,0.000000
2006-02-07,278.082001,288.054077,2.505493
2006-02-08,275.116821,283.677185,43.097538
2006-02-09,267.733765,272.150177,2.103927
2006-02-10,268.353210,282.317688,0.000000
2006-02-11,274.215271,281.918213,0.000000
2006-02-12,271.408020,282.928864,0.000000
2006-02-13,273.628571,290.523163,0.000000
2006-02-14,276.157654,289.135040,0.000000
2006-02-15,272.625427,288.463318,0.000000
2006-02-16,274.225342,291.642303,0.000000
2006-02-17,275.402222,292.249908,0.000000
2006-02-18,280.410736,293.617798,3.913567
2006-02-19,280.368042,294.524353,0.000000
2006-02-20,278.560822,289.435913,0.000000
2006-02-21,275.962891,294.788116,0.000000
2006-02-22,281.299622,296.901520,0.000000
2006-02-23,282.213013,296.345154,0.000000
2006-02-24,287.766479,293.629211,0.923884
2006-02-25,285.426208,293.196106,6.848878
2006-02-26,278.822571,292.460693,0.000000
2006-02-27,278.620331,295.020477,0.000000
2006-02-28,280.572296,295.289734,0.000000
2006-03-01,282.881042,297.664673,0.000000
2006-03-02,288.298737,298.115356,0.370719
2006-03-03,281.416382,299.025055,0.000000
2006-03-04,285.264862,303.335815,0.000000
2006-03-05,289.122925,303.734619,0.000000
2006-03-06,290.228363,302.771393,1.541303
2006-03-07,287.617432,297.180573,6.188162
2006-03-08,281.841278,296.558411,0.000000
2006-03-09,282.533539,297.041687,0.000000
2006-03-10,284.088379,299.013367,0.000000
2006-03-11,286.087372,298.310394,0.000000
2006-03-12,288.991760,295.451172,4.291604
2006-03-13,286.351105,294.178864,0.000000
2006-03-14,285.131409,294.776154,0.000000
2006-03-15,289.728241,300.009796,0.507944
2006-03-16,286.765198,300.310547,0.935212
2006-03-17,283.057770,299.286316,0.000000
2006-03-18,279.652802,298.403656,0.000000
2006-03-19,280.929871,291.524170,1.967710
2006-03-20,279.637451,298.181702,0.000000
2006-03-21,283.268829,301.044128,0.000000
2006-03-22,292.007996,300.832428,2.136339
2006-03-23,286.227722,299.556824,14.230033
2006-03-24,278.763428,291.037872,0.860722
2006-03-25,280.079102,290.722229,0.000000
2006-03-26,280.607269,299.294220,0.000000
2006-03-27,283.006836,299.667023,0.000000
2006-03-28,288.475464,297.625366,0.000000
2006-03-29,285.454498,294.362640,1.405801
2006-03-30,290.000244,296.853699,5.869363
2006-03-31,289.999664,295.532623,0.398380
2006-04-01,288.797089,296.624146,0.000000
2006-04-02,286.985382,297.046631,0.000000
2006-04-03,288.199432,298.992401,0.000000
2006-04-04,288.697479,302.983795,0.000000
2006-04-05,292.115509,302.909760,0.776703
2006-04-06,289.601349,300.790161,0.000000
2006-04-07,290.539001,300.555267,6.195889
2006-04-08,290.840118,299.712494,0.000000
2006-04-09,291.432434,296.395844,0.537540
2006-04-10,292.711670,296.884064,10.721237
2006-04-11,292.120728,300.421936,14.378220
2006-04-12,290.482758,296.569611,19.297974
2006-04-13,290.398346,297.025543,1.311478
2006-04-14,288.573181,299.478546,0.000000
2006-04-15,291.532379,300.657349,0.417476
2006-04-16,292.537567,299.843872,0.000000
2006-04-17,292.202393,296.648865,9.075558
2006-04-18,293.064911,299.163574,18.103188
2006-04-19,288.084656,301.915070,10.928305
2006-04-20,285.881073,298.305847,0.000000
2006-04-21,284.691620,299.406708,0.000000
2006-04-22,285.348083,300.820465,0.000000
2006-04-23,286.993469,302.979004,0.000000
2006-04-24,288.539429,303.143127,0.000000
2006-04-25,293.339050,301.638733,16.521500
2006-04-26,288.007751,298.197449,4.868198
2006-04-27,281.664764,296.836395,0.000000
2006-04-28,288.205811,295.966766,3.840689
2006-04-29,289.499634,298.947205,0.000000
2006-04-30,288.026306,306.574219,4.735947
2006-05-01,289.671722,305.069366,0.000000
2006-05-02,289.537750,306.870636,0.000000
2006-05-03,286.543427,305.269531,0.000000
2006-05-04,285.784790,301.146973,0.000000
2006-05-05,284.502441,302.891357,0.000000
2006-05-06,286.829132,302.559204,0.000000
2006-05-07,289.524780,297.263367,0.000000
2006-05-08,289.151245,293.164246,7.218699
2006-05-09,291.153076,294.896851,2.074947
2006-05-10,290.628204,298.751373,0.000000
2006-05-11,293.333405,299.911346,2.345248
2006-05-12,294.012207,298.932831,5.431133
2006-05-13,293.621979,300.677155,12.072850
2006-05-14,291.873993,300.977844,0.000000
2006-05-15,289.130920,302.044800,0.000000
2006-05-16,292.761719,300.748138,5.234971
2006-05-17,288.854156,299.705200,0.000000
2006-05-18,292.653198,300.544983,5.536840
2006-05-19,291.770813,300.444794,0.000000
2006-05-20,293.503387,301.347443,5.583408
2006-05-21,293.519653,301.100372,23.326210
2006-05-22,293.891113,301.121246,10.485939
2006-05-23,293.482941,301.632721,0.000000
2006-05-24,292.886078,301.034363,7.832669
2006-05-25,294.708069,300.211761,3.046262
2006-05-26,293.761932,298.756409,6.366718
2006-05-27,292.653534,301.630920,5.587201
2006-05-28,292.175110,301.300995,0.000000
2006-05-29,293.970245,297.616333,52.215828
2006-05-30,295.922485,302.970947,12.478057
2006-05-31,294.533081,301.475677,0.640602
2006-06-01,288.974640,301.604858,0.000000
2006-06-02,290.057739,300.832153,9.866479
2006-06-03,291.505524,301.495636,23.688442
2006-06-04,294.138824,301.952667,0.000000
2006-06-05,294.055786,303.768555,9.941318
2006-06-06,294.384674,303.427460,0.293016
2006-06-07,293.386017,303.076538,0.000000
2006-06-08,295.909241,303.200439,2.954090
2006-06-09,295.286896,301.391937,10.105228
2006-06-10,295.981964,304.935455,1.681299
2006-06-11,295.505371,308.678223,0.000000
2006-06-12,294.883087,308.258331,0.000000
2006-06-13,293.792419,311.878571,0.000000
2006-06-14,295.326782,313.637085,0.000000
2006-06-15,294.037567,312.700897,0.000000
2006-06-16,293.948456,312.141052,0.000000
2006-06-17,294.910767,308.720215,0.000000
2006-06-18,293.726074,304.517365,4.984460
2006-06-19,292.030151,310.494202,0.000000
2006-06-20,296.541931,312.953430,0.000000
2006-06-21,297.442505,313.374451,0.000000
2006-06-22,295.739746,312.955322,0.000000
2006-06-23,294.823242,309.819641,0.000000
2006-06-24,294.818207,307.714722,0.000000
2006-06-25,295.108643,309.108124,12.908039
2006-06-26,295.608398,308.106415,1.730089
2006-06-27,294.597351,308.663940,0.315860
