#Variables:
#tasmin_BNU-ESM_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_BNU-ESM_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_BNU-ESM_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_BNU-ESM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_BNU-ESM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_BNU-ESM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_BNU-ESM_historical(K),tasmax_BNU-ESM_historical(K),pr_BNU-ESM_historical(mm)"
""
yyyy-mm-dd,tasmin_BNU-ESM_historical(K),tasmax_BNU-ESM_historical(K),pr_BNU-ESM_historical(mm)
1950-01-01,267.906525,282.416565,1.044935
1950-01-02,266.912201,284.246155,0.000000
1950-01-03,277.738190,292.157074,0.000000
1950-01-04,283.830048,297.636566,0.000000
1950-01-05,279.472504,295.541260,0.000000
1950-01-06,280.297485,290.414215,0.000000
1950-01-07,275.826477,291.086853,0.000000
1950-01-08,277.541199,297.407104,0.000000
1950-01-09,287.258240,297.778809,0.000000
1950-01-10,278.936615,290.634735,0.000000
1950-01-11,268.052948,283.300140,4.696473
1950-01-12,269.263428,277.497040,30.675701
1950-01-13,268.065094,274.643311,1.898942
1950-01-14,272.449829,278.404755,2.661131
1950-01-15,276.014038,286.882507,1.058908
1950-01-16,281.005920,288.883728,0.000000
1950-01-17,279.977753,289.808411,0.000000
1950-01-18,275.498016,293.038269,0.000000
1950-01-19,279.692322,295.630432,0.000000
1950-01-20,281.362366,297.516022,0.000000
1950-01-21,284.958069,296.679718,0.341821
1950-01-22,278.522675,295.071289,4.760807
1950-01-23,270.594971,285.443451,0.000000
1950-01-24,271.759308,290.928314,0.000000
1950-01-25,274.965027,294.384491,0.000000
1950-01-26,277.961121,296.449982,0.000000
1950-01-27,279.093384,296.866364,0.000000
1950-01-28,282.047119,296.383179,0.000000
1950-01-29,284.723083,297.602631,0.559450
1950-01-30,284.016418,293.617493,0.288910
1950-01-31,283.515961,289.373016,0.000000
1950-02-01,285.469421,295.527069,0.000000
1950-02-02,287.411041,299.700653,0.877716
1950-02-03,287.792664,299.481262,0.000000
1950-02-04,288.057831,300.572174,0.532407
1950-02-05,286.149536,297.837372,1.169040
1950-02-06,276.824890,287.886139,0.000000
1950-02-07,279.753937,285.066956,11.792320
1950-02-08,275.248810,279.207733,8.340676
1950-02-09,274.797516,278.286316,5.565407
1950-02-10,276.686707,279.776215,3.138895
1950-02-11,273.700470,283.824036,0.000000
1950-02-12,276.401917,283.762238,0.000000
1950-02-13,271.577728,285.084625,0.000000
1950-02-14,273.273193,288.463989,0.000000
1950-02-15,275.962799,290.717529,0.000000
1950-02-16,280.212036,294.593903,0.000000
1950-02-17,279.525696,295.657867,0.000000
1950-02-18,285.106628,293.219482,0.000000
1950-02-19,277.836853,295.260651,0.000000
1950-02-20,282.909058,298.793365,0.000000
1950-02-21,282.946320,297.394897,0.000000
1950-02-22,282.139709,296.647644,0.000000
1950-02-23,279.333893,299.069794,0.000000
1950-02-24,283.268188,301.536865,0.000000
1950-02-25,285.116425,297.601379,0.000000
1950-02-26,278.068817,296.983826,0.000000
1950-02-27,284.483063,301.855713,0.000000
1950-02-28,281.584076,297.280945,0.000000
1950-03-01,275.501129,292.406250,0.000000
1950-03-02,269.216736,291.107819,0.000000
1950-03-03,278.407013,297.465607,0.000000
1950-03-04,283.616974,300.109436,0.000000
1950-03-05,281.598663,296.566925,0.000000
1950-03-06,275.691895,294.679138,0.000000
1950-03-07,279.973328,300.408325,0.000000
1950-03-08,284.681915,303.731873,0.000000
1950-03-09,286.018066,303.908722,0.000000
1950-03-10,284.431122,304.117859,0.000000
1950-03-11,283.616394,303.951508,0.000000
1950-03-12,288.129211,303.090851,0.000000
1950-03-13,285.920959,299.203522,0.000000
1950-03-14,283.848297,294.410400,5.461435
1950-03-15,283.230042,286.119232,0.608885
1950-03-16,269.115448,283.904877,0.848157
1950-03-17,271.162811,282.942657,0.000000
1950-03-18,272.997131,291.262177,0.000000
1950-03-19,281.422394,292.687408,0.000000
1950-03-20,284.176575,296.887604,0.000000
1950-03-21,282.377197,295.588745,0.000000
1950-03-22,284.640259,299.029572,0.000000
1950-03-23,287.379089,303.037018,1.015629
1950-03-24,288.536133,303.408539,0.000000
1950-03-25,288.484436,302.568054,0.515264
1950-03-26,282.577240,299.231628,0.000000
1950-03-27,283.935394,302.712769,0.000000
1950-03-28,287.999207,303.826599,0.000000
1950-03-29,291.775421,303.011414,3.877569
1950-03-30,288.158600,301.590179,0.510427
1950-03-31,283.460724,303.261322,0.000000
1950-04-01,288.001953,304.071686,0.000000
1950-04-02,285.652527,302.924683,0.000000
1950-04-03,283.392822,298.151520,0.285581
1950-04-04,286.366547,297.320374,1.227783
1950-04-05,279.717896,293.704803,0.000000
1950-04-06,281.565399,300.826324,0.000000
1950-04-07,287.775635,301.628784,0.354494
1950-04-08,288.548584,299.311981,0.000000
1950-04-09,282.362793,295.221619,0.000000
1950-04-10,288.299133,298.489868,0.000000
1950-04-11,291.036316,302.910095,0.000000
1950-04-12,288.837891,303.026459,0.000000
1950-04-13,287.028839,299.514465,0.000000
1950-04-14,283.880127,302.672211,0.000000
1950-04-15,290.223083,304.920380,0.000000
1950-04-16,290.246063,306.128357,0.000000
1950-04-17,290.290314,304.791473,0.000000
1950-04-18,287.481781,304.357483,0.000000
1950-04-19,291.103027,308.261444,0.000000
1950-04-20,293.162292,307.589996,0.000000
1950-04-21,289.879272,307.077087,0.000000
1950-04-22,289.970673,306.674194,0.000000
1950-04-23,291.882141,306.675537,0.000000
1950-04-24,293.062347,305.955078,0.000000
1950-04-25,293.324127,302.592072,0.317766
1950-04-26,290.752136,303.414734,0.000000
1950-04-27,292.318329,305.325256,0.000000
1950-04-28,292.583771,302.559418,17.212627
1950-04-29,289.681671,295.782074,5.142812
1950-04-30,286.905365,300.770630,0.000000
1950-05-01,288.727844,303.797485,0.000000
1950-05-02,291.228912,303.728485,0.000000
1950-05-03,287.157166,300.181580,0.000000
1950-05-04,284.703796,301.731140,0.000000
1950-05-05,289.652374,306.521393,0.000000
1950-05-06,293.297485,309.537048,0.000000
1950-05-07,292.888947,312.955994,0.000000
1950-05-08,292.376007,311.795013,0.000000
1950-05-09,293.509766,309.035889,1.931731
1950-05-10,291.731415,308.095673,0.356345
1950-05-11,288.528839,296.011505,2.492140
1950-05-12,286.630035,294.996338,0.000000
1950-05-13,286.719971,298.471191,0.000000
1950-05-14,286.321228,302.518768,0.000000
1950-05-15,288.567841,306.498901,0.000000
1950-05-16,289.910065,305.397675,0.000000
1950-05-17,289.296722,305.845184,0.000000
1950-05-18,289.389893,306.813843,0.000000
1950-05-19,291.518860,307.195312,0.000000
1950-05-20,291.795074,307.706818,0.000000
1950-05-21,292.610962,307.338776,0.000000
1950-05-22,294.006134,306.251068,0.000000
1950-05-23,291.903717,301.901825,10.354244
1950-05-24,294.873322,303.177368,2.979894
1950-05-25,295.049591,302.958069,3.474503
1950-05-26,295.030975,303.865448,0.000000
1950-05-27,293.149323,305.906342,0.000000
1950-05-28,292.650757,306.909241,0.000000
1950-05-29,292.425751,307.844208,0.000000
1950-05-30,293.663239,307.895874,0.000000
1950-05-31,295.248199,307.984741,0.000000
1950-06-01,294.963013,308.035492,0.000000
1950-06-02,294.769348,308.261536,0.000000
1950-06-03,293.725006,307.933258,0.000000
1950-06-04,292.430847,306.602509,0.000000
1950-06-05,294.180054,306.631622,0.000000
1950-06-06,294.757965,305.864136,0.000000
1950-06-07,294.229034,304.047058,0.000000
1950-06-08,292.630646,305.729401,0.000000
1950-06-09,292.350037,308.971191,0.000000
