#Variables:
#tasmin_BNU-ESM_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_BNU-ESM_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_BNU-ESM_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_BNU-ESM_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_BNU-ESM_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_BNU-ESM_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_BNU-ESM_rcp45(K),tasmax_BNU-ESM_rcp45(K),pr_BNU-ESM_rcp45(mm)"
""
yyyy-mm-dd,tasmin_BNU-ESM_rcp45(K),tasmax_BNU-ESM_rcp45(K),pr_BNU-ESM_rcp45(mm)
2006-01-01,288.283844,290.278381,0.000000
2006-01-02,284.799805,297.972931,0.000000
2006-01-03,286.454346,293.974365,0.000000
2006-01-04,281.841888,293.493500,0.000000
2006-01-05,283.170074,294.648315,0.000000
2006-01-06,285.581787,295.602081,0.000000
2006-01-07,287.310852,294.209656,0.000000
2006-01-08,279.543793,290.736572,0.000000
2006-01-09,278.110321,286.416748,0.000000
2006-01-10,279.099030,285.559082,0.000000
2006-01-11,279.128448,284.945221,0.000000
2006-01-12,277.309509,282.575195,0.992538
2006-01-13,275.363464,280.758240,0.000000
2006-01-14,277.253357,284.021301,0.000000
2006-01-15,279.957520,289.829529,0.000000
2006-01-16,280.501190,297.364258,0.000000
2006-01-17,273.445007,292.024689,4.655781
2006-01-18,269.810883,280.892029,0.000000
2006-01-19,274.711975,286.210602,1.593502
2006-01-20,278.166016,285.535950,3.993461
2006-01-21,276.930023,285.391663,2.952105
2006-01-22,280.914978,294.805664,2.262602
2006-01-23,284.115662,297.927612,2.555826
2006-01-24,285.174896,292.842743,1.737154
2006-01-25,279.378021,291.389862,6.646925
2006-01-26,279.642426,287.941772,5.308281
2006-01-27,276.984772,284.415314,2.543252
2006-01-28,274.937714,284.078003,1.595910
2006-01-29,274.266693,283.582642,0.903518
2006-01-30,266.900574,280.702728,1.843830
2006-01-31,267.765198,277.497009,1.218896
2006-02-01,269.946930,287.933624,0.000000
2006-02-02,277.636597,290.432922,0.000000
2006-02-03,279.940796,288.248749,0.000000
2006-02-04,283.746765,289.398926,0.000000
2006-02-05,282.876648,290.813904,0.000000
2006-02-06,281.597900,292.123230,0.000000
2006-02-07,281.885223,291.738495,0.000000
2006-02-08,284.109741,292.149994,0.000000
2006-02-09,281.165833,295.349823,0.000000
2006-02-10,281.142273,293.914795,0.000000
2006-02-11,282.907928,299.406647,0.000000
2006-02-12,283.525116,298.109070,0.000000
2006-02-13,280.794037,293.186218,0.000000
2006-02-14,274.995453,288.513275,4.041412
2006-02-15,274.088409,284.362305,0.000000
2006-02-16,276.146240,289.080933,0.000000
2006-02-17,276.630859,293.976929,0.000000
2006-02-18,272.647461,289.058594,0.000000
2006-02-19,269.740143,283.049103,0.000000
2006-02-20,273.772003,286.657867,0.000000
2006-02-21,280.517120,287.953705,3.728447
2006-02-22,280.669525,291.672394,0.000000
2006-02-23,280.429535,296.342316,0.000000
2006-02-24,281.447876,295.525269,0.000000
2006-02-25,275.571106,291.940002,0.000000
2006-02-26,279.825439,297.236481,0.000000
2006-02-27,281.547211,300.237793,0.000000
2006-02-28,286.934021,298.783356,0.000000
2006-03-01,285.639893,300.957855,3.273757
2006-03-02,282.295258,295.659058,0.000000
2006-03-03,280.939880,284.792114,14.899928
2006-03-04,271.169983,285.827087,6.935897
2006-03-05,272.703430,284.155609,0.000000
2006-03-06,271.342499,282.974915,0.000000
2006-03-07,275.684601,282.492157,0.000000
2006-03-08,275.657349,282.049896,1.549512
2006-03-09,284.242096,287.328186,13.260281
2006-03-10,277.458466,291.352875,0.000000
2006-03-11,279.912292,293.789246,0.000000
2006-03-12,286.126953,296.360352,0.000000
2006-03-13,282.902405,301.275024,6.740746
2006-03-14,286.206177,301.569000,0.408204
2006-03-15,285.648621,299.839783,0.554830
2006-03-16,284.873260,296.475281,1.700624
2006-03-17,280.157867,288.023590,6.284071
2006-03-18,273.896851,284.092896,0.562802
2006-03-19,272.220123,283.486572,0.000000
2006-03-20,271.505554,287.474518,0.000000
2006-03-21,279.528656,292.683441,0.000000
2006-03-22,285.197906,292.325073,2.872682
2006-03-23,288.924896,291.989258,2.985143
2006-03-24,288.362640,295.336273,28.001347
2006-03-25,288.119110,296.532379,4.349564
2006-03-26,282.671509,293.907745,0.000000
2006-03-27,277.527679,292.517456,0.000000
2006-03-28,285.564087,299.682220,0.439807
2006-03-29,286.654633,299.495575,0.000000
