#Variables:
#tasmin_CanESM2_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CanESM2_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_CanESM2_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CanESM2_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CanESM2_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_CanESM2_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CanESM2_historical(K),tasmax_CanESM2_historical(K),pr_CanESM2_historical(mm)"
""
yyyy-mm-dd,tasmin_CanESM2_historical(K),tasmax_CanESM2_historical(K),pr_CanESM2_historical(mm)
1950-01-01,281.392212,298.752075,0.000000
1950-01-02,281.262695,299.811951,0.000000
1950-01-03,281.347473,300.532440,0.000000
1950-01-04,280.674469,300.134277,0.000000
1950-01-05,282.829132,299.758209,0.000000
1950-01-06,280.342926,298.199310,0.000000
1950-01-07,281.033173,291.426636,0.535632
1950-01-08,278.812927,288.587341,0.000000
1950-01-09,274.434570,289.561981,0.000000
1950-01-10,275.581482,292.558685,0.000000
1950-01-11,282.443817,293.989075,0.000000
1950-01-12,286.861664,296.861206,0.000000
1950-01-13,287.599487,295.112396,1.009688
1950-01-14,287.633972,295.959015,6.929592
1950-01-15,278.474976,291.250580,1.854488
1950-01-16,279.128265,293.705200,4.760807
1950-01-17,274.569458,291.702179,0.000000
1950-01-18,277.495331,288.122986,0.000000
1950-01-19,275.426056,288.668579,0.000000
1950-01-20,273.348877,287.075378,0.000000
1950-01-21,275.650391,283.382324,0.350362
1950-01-22,273.797089,287.426361,0.000000
1950-01-23,264.804291,280.039520,0.000000
1950-01-24,273.359375,284.445160,0.000000
1950-01-25,277.612366,287.485260,14.365184
1950-01-26,279.647430,291.517639,0.309324
1950-01-27,275.985901,289.931976,0.000000
1950-01-28,277.781860,283.332001,1.470375
1950-01-29,276.838409,285.050354,5.233508
1950-01-30,274.669373,291.117584,0.000000
1950-01-31,273.829132,288.570862,0.000000
1950-02-01,281.249023,291.695435,0.000000
1950-02-02,279.846680,289.859528,0.000000
1950-02-03,275.924103,291.889618,0.000000
1950-02-04,280.681122,291.922058,0.000000
1950-02-05,275.873108,295.550201,0.000000
1950-02-06,278.294250,291.692566,0.000000
1950-02-07,281.112183,290.252838,0.000000
1950-02-08,281.826447,295.864563,0.000000
1950-02-09,284.399902,290.921326,0.742658
1950-02-10,284.379089,292.464874,13.193293
1950-02-11,286.034119,296.652283,0.000000
1950-02-12,281.725525,291.592438,0.000000
1950-02-13,273.247528,289.838318,0.000000
1950-02-14,277.677216,291.872650,0.000000
1950-02-15,281.978943,293.995148,0.000000
1950-02-16,283.776947,294.891907,0.000000
1950-02-17,286.355103,292.690430,3.166584
1950-02-18,285.789612,293.308472,1.491767
1950-02-19,284.446228,297.493469,3.296285
1950-02-20,282.286835,300.869446,0.000000
1950-02-21,288.237915,302.735870,0.000000
1950-02-22,278.261230,295.873047,0.949935
1950-02-23,272.451447,280.306458,0.000000
1950-02-24,276.688416,280.331696,2.928898
1950-02-25,280.740173,291.245911,8.087315
1950-02-26,279.458191,290.147858,0.852262
1950-02-27,282.365448,297.464722,0.557143
1950-02-28,281.386139,292.982056,0.000000
1950-03-01,278.559845,284.700226,0.000000
1950-03-02,274.028961,292.011139,0.000000
1950-03-03,277.111145,296.101990,0.000000
1950-03-04,282.018402,291.407959,8.101478
1950-03-05,283.738190,299.397308,11.257932
1950-03-06,282.908600,300.874329,0.000000
1950-03-07,287.582764,296.783508,1.051367
1950-03-08,279.000824,296.580627,7.747276
1950-03-09,268.793549,281.614624,0.000000
1950-03-10,273.098785,286.784821,0.000000
1950-03-11,279.612671,291.350739,0.000000
1950-03-12,283.601654,299.096039,0.000000
1950-03-13,288.734039,298.959991,0.000000
1950-03-14,290.437958,300.585205,0.000000
1950-03-15,290.946777,299.203522,0.000000
1950-03-16,289.926849,298.281433,0.889051
1950-03-17,289.754395,296.904694,0.000000
1950-03-18,286.514771,295.126129,0.000000
1950-03-19,285.909027,295.497375,0.000000
1950-03-20,289.671021,300.203339,3.739176
1950-03-21,284.514191,302.999634,0.327561
1950-03-22,288.607910,302.153137,4.045534
1950-03-23,276.090729,297.811157,2.219050
1950-03-24,277.152924,282.637787,0.000000
1950-03-25,277.559937,289.747314,0.000000
1950-03-26,279.681061,292.602814,0.000000
1950-03-27,286.150543,289.527557,0.000000
1950-03-28,288.827698,296.171234,0.483312
1950-03-29,289.745911,303.101044,0.000000
1950-03-30,287.447845,299.855560,0.000000
1950-03-31,284.754364,299.535614,0.000000
1950-04-01,290.953827,302.138153,0.000000
1950-04-02,292.713043,303.603149,0.000000
1950-04-03,286.312714,298.936951,0.000000
1950-04-04,279.395844,303.346741,0.000000
1950-04-05,284.788513,301.269653,0.723251
1950-04-06,285.124847,301.563293,0.000000
1950-04-07,288.424744,306.157013,0.000000
1950-04-08,291.796936,309.756348,0.000000
1950-04-09,288.989349,309.844513,0.000000
1950-04-10,293.721863,308.287689,0.000000
1950-04-11,291.226288,304.290497,0.000000
1950-04-12,281.949341,304.861786,0.000000
1950-04-13,285.436249,304.473053,0.000000
1950-04-14,284.916748,299.321350,0.000000
1950-04-15,281.630066,300.470947,0.000000
1950-04-16,284.362732,301.439758,0.000000
1950-04-17,286.319641,304.350128,0.000000
1950-04-18,290.692505,306.483398,0.000000
1950-04-19,291.711639,306.128357,0.000000
1950-04-20,292.091827,301.515045,0.000000
1950-04-21,292.001587,306.073883,0.000000
1950-04-22,287.901794,307.779449,0.000000
1950-04-23,290.277039,303.294067,0.000000
1950-04-24,289.833191,298.896088,9.835216
1950-04-25,286.365356,295.185883,2.776253
1950-04-26,291.399719,305.957153,5.142812
1950-04-27,288.523956,298.733734,0.000000
1950-04-28,283.344269,303.562073,0.000000
1950-04-29,287.390808,305.959839,0.000000
1950-04-30,289.836212,305.474213,0.000000
1950-05-01,289.464203,302.409088,0.000000
1950-05-02,289.664581,300.938660,0.000000
1950-05-03,291.216339,303.115814,0.000000
1950-05-04,292.282898,302.716644,9.901199
1950-05-05,287.622955,304.061218,0.000000
1950-05-06,289.355499,302.922119,0.000000
1950-05-07,290.407928,304.173920,0.000000
1950-05-08,286.950226,306.326385,0.000000
1950-05-09,286.719971,305.890533,0.000000
1950-05-10,287.604675,304.044983,0.000000
1950-05-11,289.817749,303.977295,0.000000
1950-05-12,290.013519,303.001129,0.000000
1950-05-13,289.280914,304.733154,0.000000
1950-05-14,293.771729,303.006226,20.922773
1950-05-15,291.073395,304.751038,0.000000
1950-05-16,292.573517,303.449799,0.000000
1950-05-17,291.693817,303.337433,0.000000
1950-05-18,291.547119,304.274536,0.000000
1950-05-19,291.569733,303.121979,0.000000
1950-05-20,292.348724,303.727509,0.000000
1950-05-21,294.216583,301.246002,34.409672
1950-05-22,293.059326,301.160339,12.161847
1950-05-23,294.184448,301.041016,0.937923
1950-05-24,293.082794,303.971954,2.401821
1950-05-25,292.711090,305.696381,0.000000
1950-05-26,286.896576,304.950836,0.000000
1950-05-27,291.876038,305.312866,4.472562
1950-05-28,294.910370,302.452209,41.190739
1950-05-29,294.223053,303.637939,0.000000
1950-05-30,294.548889,308.679626,0.000000
1950-05-31,296.847626,310.924408,1.264029
1950-06-01,297.922302,310.098083,0.000000
1950-06-02,297.367523,310.663757,0.000000
1950-06-03,296.214020,307.362518,0.000000
1950-06-04,295.139618,306.721527,0.000000
1950-06-05,294.978546,305.271606,0.000000
1950-06-06,293.767029,306.093811,0.000000
1950-06-07,293.783783,306.718079,0.000000
1950-06-08,295.079224,307.193817,0.000000
1950-06-09,295.223846,306.586731,0.000000
