#Variables:
#tasmin_CanESM2_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CanESM2_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_CanESM2_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CanESM2_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CanESM2_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CanESM2_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CanESM2_rcp85(K),tasmax_CanESM2_rcp85(K),pr_CanESM2_rcp85(mm)"
""
yyyy-mm-dd,tasmin_CanESM2_rcp85(K),tasmax_CanESM2_rcp85(K),pr_CanESM2_rcp85(mm)
2006-01-01,276.535217,291.503967,0.000000
2006-01-02,285.699554,295.144379,0.000000
2006-01-03,281.401398,294.120117,0.542577
2006-01-04,274.349609,280.792053,0.000000
2006-01-05,274.727570,277.040070,0.000000
2006-01-06,274.015381,277.280701,2.547126
2006-01-07,272.016235,281.013672,0.000000
2006-01-08,271.350616,279.717712,0.000000
2006-01-09,269.448975,279.796021,0.000000
2006-01-10,275.522949,285.238556,0.331330
2006-01-11,278.220886,283.165222,1.249306
2006-01-12,279.411835,292.550049,4.443832
2006-01-13,286.588898,292.336121,22.867998
2006-01-14,275.778748,289.501251,8.931202
2006-01-15,279.775146,288.351746,0.000000
2006-01-16,276.943176,290.103485,0.000000
2006-01-17,281.972107,294.321899,0.000000
2006-01-18,276.889923,288.738678,0.000000
2006-01-19,274.797760,283.378265,0.000000
2006-01-20,273.112457,281.566650,0.000000
2006-01-21,273.468628,280.678284,0.863984
2006-01-22,274.582153,283.711700,10.851315
2006-01-23,272.610352,282.181885,0.000000
2006-01-24,271.388947,282.649689,0.000000
2006-01-25,273.017303,286.033630,0.000000
2006-01-26,277.304871,292.039368,0.000000
2006-01-27,278.410583,292.090607,0.000000
2006-01-28,276.736908,285.903809,0.000000
2006-01-29,273.608551,285.357025,0.000000
2006-01-30,270.671844,284.860901,0.000000
2006-01-31,272.305542,282.377655,0.000000
2006-02-01,275.368439,288.682648,0.000000
2006-02-02,275.643646,284.039734,0.000000
2006-02-03,276.139832,284.368500,0.000000
2006-02-04,284.600769,296.703339,0.000000
2006-02-05,283.987305,293.094452,0.000000
2006-02-06,280.037048,289.328369,0.000000
2006-02-07,270.820953,282.743683,0.000000
2006-02-08,268.635132,286.002075,0.000000
2006-02-09,277.937836,294.561249,0.000000
2006-02-10,280.042297,294.566589,0.000000
2006-02-11,276.782318,286.806366,0.000000
2006-02-12,276.419250,288.096039,0.000000
2006-02-13,274.267700,292.220978,0.000000
2006-02-14,271.823822,293.312195,0.000000
2006-02-15,285.641968,293.577179,10.246017
2006-02-16,285.476410,291.262024,24.190315
2006-02-17,277.518829,285.928345,10.368796
2006-02-18,277.302490,287.702850,0.000000
2006-02-19,277.087006,286.966431,0.000000
2006-02-20,276.040222,286.154816,0.000000
2006-02-21,276.640930,284.188141,0.000000
2006-02-22,281.904846,290.432739,17.363453
2006-02-23,280.756165,291.432007,6.243502
2006-02-24,278.181335,288.557892,0.643809
2006-02-25,276.383484,291.302155,0.000000
2006-02-26,275.687775,291.657684,0.000000
2006-02-27,279.685852,295.800476,0.000000
2006-02-28,279.950317,296.241425,0.000000
2006-03-01,284.099426,292.072784,6.246500
2006-03-02,284.729736,291.160126,44.318584
2006-03-03,273.742157,286.682220,0.000000
2006-03-04,277.584961,288.845490,0.000000
2006-03-05,281.820007,286.354614,0.609356
2006-03-06,284.593872,288.445892,6.144369
2006-03-07,279.660553,290.942963,0.000000
2006-03-08,282.582458,288.095947,0.000000
2006-03-09,285.068451,293.643250,11.166964
2006-03-10,279.316071,286.930542,2.784648
2006-03-11,277.204376,286.704895,0.000000
2006-03-12,277.704163,291.020630,0.000000
2006-03-13,274.170746,292.462097,0.000000
2006-03-14,275.526611,292.976410,0.000000
2006-03-15,281.545624,294.200500,0.000000
2006-03-16,284.090790,294.665802,0.000000
2006-03-17,281.142761,290.557129,0.000000
2006-03-18,281.135895,294.790283,0.891157
2006-03-19,280.381561,293.883911,0.000000
2006-03-20,279.237701,298.143280,0.000000
2006-03-21,282.442719,299.081787,0.000000
2006-03-22,284.791656,301.749847,0.000000
2006-03-23,286.753906,299.795227,0.000000
2006-03-24,286.229523,294.729919,7.033341
2006-03-25,280.990356,293.490387,0.000000
2006-03-26,279.638672,296.231506,0.000000
2006-03-27,283.700806,301.210052,0.000000
2006-03-28,288.889862,298.439270,0.522478
2006-03-29,281.941956,294.372406,0.000000
2006-03-30,279.384888,300.510101,0.000000
2006-03-31,283.533447,300.858795,0.000000
2006-04-01,288.072327,301.448303,1.920469
2006-04-02,285.394226,299.020599,15.059190
2006-04-03,283.332306,301.358521,0.000000
2006-04-04,285.301025,296.971100,0.000000
2006-04-05,284.629150,290.667999,1.351779
2006-04-06,283.747955,293.331818,0.614002
2006-04-07,282.707977,298.568115,0.000000
2006-04-08,288.329254,297.869873,0.000000
2006-04-09,288.397552,302.807251,0.000000
2006-04-10,286.297699,300.775787,0.000000
2006-04-11,286.978577,297.913055,0.000000
2006-04-12,283.322174,296.875336,0.000000
2006-04-13,281.893433,301.439240,0.000000
2006-04-14,284.167847,301.902924,0.000000
2006-04-15,286.074310,301.290253,0.000000
2006-04-16,286.860046,301.152008,0.000000
2006-04-17,292.355011,305.669220,0.000000
2006-04-18,288.415527,305.708771,0.000000
2006-04-19,287.463287,304.179871,0.000000
2006-04-20,286.475586,303.996735,0.000000
2006-04-21,287.665771,305.551483,0.666825
2006-04-22,285.462830,308.776672,1.493092
2006-04-23,287.181732,306.281036,0.000000
2006-04-24,290.717163,302.165131,0.000000
2006-04-25,292.459656,297.700165,16.773699
2006-04-26,287.877441,293.684174,21.904467
2006-04-27,284.597748,295.520386,0.000000
2006-04-28,290.598694,293.752411,47.115215
2006-04-29,291.971436,295.753204,59.557968
2006-04-30,293.085114,295.705719,90.221535
2006-05-01,289.281342,299.730774,8.645516
2006-05-02,286.859253,299.479034,0.000000
2006-05-03,292.215759,300.005615,11.462527
2006-05-04,290.075043,299.608398,0.000000
2006-05-05,292.714722,301.941589,0.000000
2006-05-06,293.799835,300.378021,0.347599
2006-05-07,295.475098,301.028198,0.363027
2006-05-08,293.701019,304.246429,0.000000
2006-05-09,293.934296,304.303101,0.000000
2006-05-10,291.663879,303.961456,0.000000
2006-05-11,291.659576,304.836609,0.000000
2006-05-12,292.783356,302.424622,0.000000
2006-05-13,293.925964,306.732635,0.303462
2006-05-14,294.966736,307.452240,0.000000
2006-05-15,296.337982,304.043335,16.271551
2006-05-16,294.261444,300.976837,17.116398
2006-05-17,295.906464,305.741821,43.734303
2006-05-18,291.968842,301.622406,9.955893
2006-05-19,291.884583,300.081085,27.184568
2006-05-20,288.955048,298.603577,0.000000
2006-05-21,287.518005,300.083832,2.832966
2006-05-22,291.084503,302.396118,0.000000
2006-05-23,293.165527,304.684906,0.000000
2006-05-24,293.936401,306.840851,0.000000
2006-05-25,295.089783,309.453003,0.000000
2006-05-26,295.969574,310.518921,0.000000
2006-05-27,295.884888,311.859558,0.000000
2006-05-28,290.863251,308.062714,0.000000
2006-05-29,296.307434,303.117188,14.987194
2006-05-30,295.002930,302.711914,0.756516
2006-05-31,295.282928,305.400299,0.000000
2006-06-01,298.178070,309.226044,0.280385
2006-06-02,298.389587,309.866577,5.965016
2006-06-03,297.121399,307.218811,12.040678
2006-06-04,298.014893,307.096863,1.877888
2006-06-05,296.738647,305.277405,2.559019
2006-06-06,295.099854,305.091614,0.000000
2006-06-07,293.658051,306.029755,0.000000
2006-06-08,293.525085,306.561432,0.000000
2006-06-09,294.213379,308.204742,0.000000
2006-06-10,295.376099,310.862610,0.000000
2006-06-11,295.908936,311.647064,5.904273
2006-06-12,296.852600,307.023224,1.748303
2006-06-13,297.254089,305.397614,7.499394
2006-06-14,294.482269,303.629974,1.656138
2006-06-15,291.212494,306.662140,0.716397
2006-06-16,292.903137,307.371552,0.000000
2006-06-17,292.580566,307.253845,0.000000
2006-06-18,292.521027,307.534241,0.000000
2006-06-19,294.069153,307.693878,0.000000
2006-06-20,294.495483,310.539246,0.000000
2006-06-21,298.195251,310.992950,0.000000
2006-06-22,297.969208,309.077332,0.000000
2006-06-23,296.288208,307.378998,1.284149
2006-06-24,296.814514,302.711151,18.032074
2006-06-25,296.549042,304.346375,0.673326
2006-06-26,295.635986,305.921112,0.000000
2006-06-27,295.054535,305.852234,0.000000
2006-06-28,293.939423,305.623596,0.000000
2006-06-29,295.408844,306.535797,0.639350
2006-06-30,296.393799,304.408203,0.000000
2006-07-01,295.404144,306.760803,0.000000
2006-07-02,295.932709,306.985291,0.000000
2006-07-03,295.915771,306.994232,0.000000
2006-07-04,295.881836,307.736023,0.000000
2006-07-05,295.354370,307.929291,0.000000
2006-07-06,296.152344,306.403870,9.745337
2006-07-07,297.062042,307.288055,0.000000
2006-07-08,296.549377,308.442657,1.035381
2006-07-09,297.986938,308.762299,0.000000
2006-07-10,297.374176,309.064728,0.000000
2006-07-11,296.675751,309.167419,0.000000
2006-07-12,297.456665,308.348114,0.000000
2006-07-13,297.397034,309.370636,0.000000
2006-07-14,297.547119,308.998077,0.000000
2006-07-15,298.810059,310.421814,0.000000
2006-07-16,299.011749,310.027832,0.000000
2006-07-17,297.045471,308.814240,0.000000
2006-07-18,296.025848,307.263855,5.925109
2006-07-19,293.332611,297.145203,38.432552
2006-07-20,295.709656,303.994476,0.000000
2006-07-21,293.841339,309.547943,0.000000
2006-07-22,297.282471,307.689117,7.665328
2006-07-23,296.766296,303.167603,19.725918
2006-07-24,295.662994,300.179565,7.110702
2006-07-25,295.575684,300.538422,8.357920
2006-07-26,295.526367,304.326904,0.000000
2006-07-27,295.987183,305.258087,0.000000
2006-07-28,295.670258,305.942505,0.000000
2006-07-29,295.331299,306.263824,0.302097
2006-07-30,297.035095,306.782867,3.168773
2006-07-31,296.577148,307.443756,0.000000
2006-08-01,297.026001,307.698395,0.000000
2006-08-02,297.543488,307.569794,0.000000
2006-08-03,297.169922,308.053986,0.000000
2006-08-04,297.076630,308.617828,0.000000
2006-08-05,296.844177,307.688019,0.000000
2006-08-06,296.325653,308.248047,0.000000
2006-08-07,295.907227,307.673981,0.000000
2006-08-08,297.835571,307.967316,15.889433
2006-08-09,296.277466,308.267303,5.702813
2006-08-10,295.495239,308.170807,0.000000
2006-08-11,295.453369,308.386414,0.000000
2006-08-12,295.864838,308.699921,0.000000
2006-08-13,296.909821,308.006805,0.000000
2006-08-14,299.160889,307.531494,2.042133
2006-08-15,298.759460,308.671234,8.323255
2006-08-16,297.251190,308.665192,0.000000
2006-08-17,295.343170,309.089417,0.000000
2006-08-18,295.128967,309.211090,0.000000
2006-08-19,295.291260,309.219208,0.283534
2006-08-20,296.851929,309.173706,1.492226
2006-08-21,297.269745,308.191589,3.700513
2006-08-22,297.088074,308.655212,0.000000
2006-08-23,297.275635,309.414886,0.522025
2006-08-24,297.689697,308.173279,0.000000
2006-08-25,296.451172,308.512543,0.000000
2006-08-26,293.379852,310.162354,0.726717
2006-08-27,296.842651,309.894104,0.000000
2006-08-28,296.895020,309.412415,0.000000
2006-08-29,298.550507,308.309509,2.782625
2006-08-30,296.536163,307.951996,1.404129
2006-08-31,296.571533,308.810944,0.474748
2006-09-01,297.310211,307.444550,2.370752
2006-09-02,294.524872,308.468933,0.398753
2006-09-03,293.049194,308.768982,0.393595
2006-09-04,295.199066,305.807281,18.324293
2006-09-05,294.585510,302.455505,31.025835
2006-09-06,291.381073,297.528320,70.475456
2006-09-07,294.640564,299.614532,13.375175
2006-09-08,293.206299,299.183105,12.480419
2006-09-09,293.349182,302.704376,5.502827
2006-09-10,290.598999,298.143982,83.492455
2006-09-11,294.626740,299.712128,10.997946
2006-09-12,296.264374,303.175476,0.000000
2006-09-13,296.455170,302.841736,0.000000
2006-09-14,295.980682,302.664764,0.000000
2006-09-15,295.789520,303.446320,0.493984
2006-09-16,294.035858,302.319336,0.000000
2006-09-17,295.041626,303.092682,0.000000
2006-09-18,296.363159,302.544586,0.000000
2006-09-19,294.571594,305.156281,0.000000
2006-09-20,293.417542,304.027008,0.000000
2006-09-21,294.843567,303.841492,0.000000
2006-09-22,295.425537,304.402466,0.000000
2006-09-23,293.708801,305.829956,0.000000
2006-09-24,292.831818,304.866852,12.662724
2006-09-25,291.024353,305.055664,0.000000
2006-09-26,289.649750,304.661713,0.000000
2006-09-27,291.873138,305.047180,0.000000
2006-09-28,291.101410,305.585541,1.337075
2006-09-29,293.514465,306.069000,0.394667
2006-09-30,294.870331,302.438416,0.793838
2006-10-01,295.154572,304.089264,0.000000
2006-10-02,295.900330,301.707764,0.687186
2006-10-03,296.304077,303.111664,0.000000
2006-10-04,294.860870,306.503845,13.894964
2006-10-05,294.774445,303.783325,7.071860
2006-10-06,295.489960,304.024750,0.433510
2006-10-07,292.948425,306.438812,0.508612
2006-10-08,292.406250,301.587250,0.576025
