#Variables:
#tasmin_CCSM4_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CCSM4_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_CCSM4_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CCSM4_rcp85(K),tasmax_CCSM4_rcp85(K),pr_CCSM4_rcp85(mm)"
""
yyyy-mm-dd,tasmin_CCSM4_rcp85(K),tasmax_CCSM4_rcp85(K),pr_CCSM4_rcp85(mm)
2006-01-01,287.558624,297.316345,5.947573
2006-01-02,281.293732,294.919891,0.000000
2006-01-03,279.681610,289.255798,0.000000
2006-01-04,279.481171,285.744324,2.960983
2006-01-05,281.180023,294.283478,2.707777
2006-01-06,287.054108,293.657959,1.091990
2006-01-07,277.556335,290.334167,0.000000
2006-01-08,276.967468,293.200745,0.000000
2006-01-09,280.111023,293.960846,0.000000
2006-01-10,279.615509,294.027252,0.000000
2006-01-11,279.776367,294.739899,0.000000
2006-01-12,280.301270,293.306763,0.000000
2006-01-13,282.048279,295.667023,0.725190
2006-01-14,286.735748,298.217407,0.000000
2006-01-15,286.327362,295.230621,2.318430
2006-01-16,277.841888,292.366577,0.000000
2006-01-17,277.612122,295.306030,0.000000
2006-01-18,279.138336,298.169800,0.000000
2006-01-19,280.838074,300.347168,0.000000
2006-01-20,282.437561,301.878052,0.000000
2006-01-21,284.023285,298.287933,0.000000
2006-01-22,281.825836,298.904755,0.000000
2006-01-23,282.480682,300.852539,0.000000
2006-01-24,284.753174,301.917633,0.000000
2006-01-25,284.720551,301.664825,0.000000
2006-01-26,280.385345,296.593201,0.000000
2006-01-27,284.070618,292.095459,4.995786
2006-01-28,273.732788,288.876526,67.833870
2006-01-29,275.035431,281.156403,7.761854
2006-01-30,274.561218,291.628418,0.000000
2006-01-31,274.815369,292.291687,0.000000
2006-02-01,278.385834,296.046570,0.000000
2006-02-02,278.064178,288.935608,0.000000
2006-02-03,271.878204,279.902252,0.000000
2006-02-04,271.263641,286.012207,0.000000
2006-02-05,275.715454,289.853577,0.000000
2006-02-06,276.079010,287.423676,0.000000
2006-02-07,276.511230,289.486115,0.000000
2006-02-08,275.988434,291.110352,0.000000
2006-02-09,280.953278,290.739868,0.000000
2006-02-10,284.665466,290.032379,2.746013
2006-02-11,284.068390,291.261169,0.403685
2006-02-12,281.184784,290.147888,0.000000
2006-02-13,279.899780,294.732117,0.479557
2006-02-14,284.664917,297.639648,2.317137
2006-02-15,278.930695,298.250671,5.962902
2006-02-16,274.264984,285.488525,0.000000
2006-02-17,275.103821,286.402069,2.517308
2006-02-18,272.414062,285.344543,0.000000
2006-02-19,275.471832,292.622345,0.000000
2006-02-20,281.342804,303.744629,0.000000
2006-02-21,274.622559,297.149200,0.000000
2006-02-22,275.653046,290.134033,0.000000
2006-02-23,279.233307,289.909027,0.000000
2006-02-24,278.872040,288.482483,0.000000
2006-02-25,280.412994,294.969788,0.000000
2006-02-26,286.441498,303.191132,0.000000
2006-02-27,283.866302,297.855560,0.000000
2006-02-28,284.597900,292.635529,0.000000
2006-03-01,280.939545,294.501099,1.272754
2006-03-02,280.555481,295.184082,0.000000
2006-03-03,284.397095,293.822357,1.577545
2006-03-04,287.643890,296.725494,1.865241
2006-03-05,283.290100,291.488861,0.386851
2006-03-06,289.344025,297.373291,10.226370
2006-03-07,291.169373,301.785400,7.995831
2006-03-08,285.204712,298.560272,0.331354
2006-03-09,282.441101,295.201416,0.000000
2006-03-10,283.063019,297.996155,0.000000
2006-03-11,284.806946,300.014832,0.000000
2006-03-12,288.731262,302.080078,0.000000
2006-03-13,290.843750,300.025269,1.708192
2006-03-14,284.916199,293.171448,14.451070
2006-03-15,287.317200,297.566864,0.403411
2006-03-16,282.155273,288.370514,7.107828
2006-03-17,279.879364,287.370819,12.523852
2006-03-18,276.164856,287.165222,0.000000
2006-03-19,278.099670,289.022064,0.000000
2006-03-20,280.481140,288.160370,0.000000
2006-03-21,282.685760,289.779755,0.000000
2006-03-22,285.295471,295.395416,0.000000
2006-03-23,289.006195,296.256653,0.309905
2006-03-24,290.499023,297.010925,6.119234
2006-03-25,290.072510,296.867157,8.812943
2006-03-26,287.150635,296.111908,32.599247
2006-03-27,283.883423,294.279968,6.552816
2006-03-28,280.199097,291.631317,0.000000
2006-03-29,279.511627,294.417206,0.000000
2006-03-30,282.755280,293.949127,0.000000
2006-03-31,283.539551,297.106506,0.000000
2006-04-01,287.445862,303.809235,0.898846
2006-04-02,287.083771,299.306519,0.000000
2006-04-03,287.431519,294.380890,5.278487
2006-04-04,283.893158,291.534637,0.000000
2006-04-05,286.897308,294.415192,0.000000
2006-04-06,290.495453,296.089996,0.000000
2006-04-07,291.272430,299.261566,0.348313
2006-04-08,291.045013,302.692932,1.226303
2006-04-09,290.528259,299.262451,0.000000
2006-04-10,286.740173,298.956726,0.000000
2006-04-11,287.553589,301.905273,0.000000
2006-04-12,293.013367,305.423401,0.000000
2006-04-13,294.506958,304.515381,0.291378
2006-04-14,294.434540,305.519836,0.000000
2006-04-15,293.899872,305.055084,0.000000
2006-04-16,293.931915,308.512390,0.000000
2006-04-17,290.916382,307.603210,0.000000
2006-04-18,292.595734,306.649475,3.180281
2006-04-19,292.845398,306.035095,0.000000
2006-04-20,284.634369,297.379761,0.000000
2006-04-21,284.033112,290.328522,0.000000
2006-04-22,284.789032,297.242950,0.000000
2006-04-23,292.125366,307.706421,2.934678
2006-04-24,290.191284,305.352539,1.401235
2006-04-25,290.656921,303.329285,2.040081
2006-04-26,289.403473,299.075836,14.085881
2006-04-27,292.422058,300.367767,22.839230
2006-04-28,293.311035,300.474274,15.516234
2006-04-29,292.964783,296.064087,26.568419
2006-04-30,290.889282,302.411774,0.000000
2006-05-01,290.830414,303.313965,0.000000
2006-05-02,292.447266,303.479828,0.000000
2006-05-03,293.439545,304.322449,0.000000
2006-05-04,294.322479,301.864319,1.996307
2006-05-05,295.831512,300.233551,1.325939
2006-05-06,295.720856,301.483276,8.529000
2006-05-07,294.176514,304.189026,0.000000
2006-05-08,294.399261,303.000885,0.327275
2006-05-09,294.892273,304.154846,0.000000
2006-05-10,294.995819,301.834747,9.620043
2006-05-11,294.965607,302.271606,10.179139
2006-05-12,293.613495,300.426239,0.000000
2006-05-13,292.340668,304.198273,0.000000
2006-05-14,289.890350,304.566711,0.000000
2006-05-15,290.819946,303.367004,0.000000
2006-05-16,292.342102,298.337799,5.807274
2006-05-17,291.823334,299.760132,5.097637
2006-05-18,289.607941,299.254852,1.210659
2006-05-19,289.577057,302.039093,0.000000
2006-05-20,290.178741,302.448059,0.000000
2006-05-21,290.835754,302.773071,0.000000
2006-05-22,292.240417,304.503479,0.000000
2006-05-23,290.157928,305.398438,0.000000
2006-05-24,290.563599,306.944519,0.000000
2006-05-25,291.330475,307.354767,0.000000
2006-05-26,294.363159,308.825409,0.000000
2006-05-27,295.524719,309.480591,0.000000
2006-05-28,295.447601,308.661835,0.000000
2006-05-29,297.142517,307.878906,0.000000
2006-05-30,293.780212,306.175171,0.000000
2006-05-31,295.742035,305.610199,0.000000
2006-06-01,295.339630,302.227997,4.788094
2006-06-02,294.702759,301.053131,17.437252
2006-06-03,294.289032,299.770233,3.684002
2006-06-04,295.959412,303.992828,9.009648
2006-06-05,294.696014,300.758942,8.901168
2006-06-06,294.303406,303.047638,4.699318
2006-06-07,294.928802,304.210388,3.350991
2006-06-08,294.417389,300.777069,8.977691
2006-06-09,295.867279,303.164551,4.664656
2006-06-10,296.602570,303.835785,0.000000
2006-06-11,297.031067,301.800934,19.930300
2006-06-12,295.901245,304.879608,0.354651
2006-06-13,295.579590,305.477509,0.000000
2006-06-14,294.026001,306.523926,0.000000
2006-06-15,293.397400,306.213593,0.000000
2006-06-16,293.824036,306.507599,0.000000
2006-06-17,294.471741,306.845764,0.000000
2006-06-18,295.738678,307.833008,0.000000
2006-06-19,296.897217,308.302429,0.000000
2006-06-20,299.561371,308.463501,3.777395
2006-06-21,299.532806,307.888763,2.996145
2006-06-22,300.093658,308.633606,2.651522
2006-06-23,298.870728,309.014679,1.440405
2006-06-24,298.142975,308.890076,4.711413
2006-06-25,297.273743,308.595703,0.000000
2006-06-26,297.938019,308.464996,0.702210
2006-06-27,298.731659,308.680420,0.000000
2006-06-28,297.507904,308.880707,0.000000
2006-06-29,296.884888,308.841644,0.000000
2006-06-30,295.759644,307.246765,0.000000
2006-07-01,296.097992,307.641907,0.000000
2006-07-02,295.808746,307.248322,0.000000
2006-07-03,296.270325,307.294342,0.000000
2006-07-04,297.143036,307.223999,0.000000
2006-07-05,297.252350,307.822662,0.373282
2006-07-06,297.965210,308.935028,1.494207
2006-07-07,298.451263,309.986877,0.000000
2006-07-08,299.131989,312.096344,0.000000
2006-07-09,299.575806,313.062500,0.000000
2006-07-10,299.606323,313.052246,0.282152
2006-07-11,298.732483,311.662170,0.000000
2006-07-12,298.528351,310.471954,0.637056
2006-07-13,298.382172,311.012909,0.000000
2006-07-14,297.768158,311.303101,0.000000
2006-07-15,297.662842,312.042938,0.000000
2006-07-16,297.373352,310.304474,0.000000
2006-07-17,297.474640,309.904846,0.000000
2006-07-18,299.586731,311.812866,0.000000
2006-07-19,300.235565,310.579285,12.685865
2006-07-20,300.273773,312.513824,10.922854
2006-07-21,298.843903,309.829865,16.875626
2006-07-22,297.322845,305.330872,21.801590
2006-07-23,297.581451,305.311005,12.989824
2006-07-24,298.428070,305.836975,0.000000
2006-07-25,298.005463,305.694458,0.000000
2006-07-26,298.158325,309.158142,0.000000
2006-07-27,299.060394,308.362061,0.803354
2006-07-28,298.801086,306.612030,1.454761
2006-07-29,297.426605,306.095856,0.000000
2006-07-30,297.154724,305.717560,0.586783
2006-07-31,296.848999,306.490967,0.000000
2006-08-01,296.199615,309.473083,0.000000
2006-08-02,297.180176,310.176849,0.000000
2006-08-03,297.803467,309.267151,1.920189
2006-08-04,298.909271,308.352997,0.000000
2006-08-05,298.514923,307.426178,2.849397
2006-08-06,297.410767,307.940277,0.000000
2006-08-07,298.470306,309.355530,0.000000
2006-08-08,298.556244,310.257538,0.000000
2006-08-09,297.385284,309.495056,0.000000
2006-08-10,296.223755,310.823334,0.000000
2006-08-11,297.405884,311.503204,3.593136
2006-08-12,298.930939,310.187347,0.625188
2006-08-13,299.019806,311.852356,0.000000
2006-08-14,299.417877,311.446869,6.385144
2006-08-15,299.716705,309.852844,6.374452
2006-08-16,299.511597,308.783051,2.331760
2006-08-17,298.908966,309.215088,0.745153
2006-08-18,298.485870,308.150665,18.843721
2006-08-19,297.872803,306.343994,0.000000
2006-08-20,297.739105,306.475983,1.619313
2006-08-21,297.482941,307.805267,0.000000
2006-08-22,296.834595,309.041992,0.000000
2006-08-23,296.398102,309.279236,0.000000
2006-08-24,297.744507,309.857758,0.000000
2006-08-25,298.887909,310.421234,0.000000
2006-08-26,297.948822,309.497498,0.000000
2006-08-27,298.363953,307.736176,0.000000
2006-08-28,297.070526,308.322968,1.017091
2006-08-29,297.291718,310.216034,1.789456
2006-08-30,296.651276,309.917389,0.000000
2006-08-31,296.461487,308.941376,0.000000
