#Variables:
#tasmin_CNRM-CM5_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CNRM-CM5_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_CNRM-CM5_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CNRM-CM5_historical(K),tasmax_CNRM-CM5_historical(K),pr_CNRM-CM5_historical(mm)"
""
yyyy-mm-dd,tasmin_CNRM-CM5_historical(K),tasmax_CNRM-CM5_historical(K),pr_CNRM-CM5_historical(mm)
1950-01-01,285.032867,302.907593,0.000000
1950-01-02,281.287842,297.837738,0.000000
1950-01-03,278.476776,293.818115,0.000000
1950-01-04,286.676727,293.701935,6.382607
1950-01-05,282.496460,292.016663,10.351170
1950-01-06,272.388214,284.278198,0.000000
1950-01-07,272.707458,289.962860,0.000000
1950-01-08,275.994141,294.456940,0.000000
1950-01-09,279.503967,294.711914,0.000000
1950-01-10,281.775848,293.289734,0.000000
1950-01-11,280.239288,293.891479,1.613191
1950-01-12,279.864777,295.862793,0.000000
1950-01-13,277.899506,295.854370,0.000000
1950-01-14,280.233734,298.556671,0.000000
1950-01-15,280.984131,298.033783,0.000000
1950-01-16,283.779297,298.718628,0.000000
1950-01-17,282.786346,297.837372,0.000000
1950-01-18,284.958069,293.535400,7.730788
1950-01-19,282.343536,290.291412,3.768100
1950-01-20,277.587891,288.909332,20.206705
1950-01-21,275.780670,289.827454,0.000000
1950-01-22,276.499329,291.432587,0.000000
1950-01-23,277.677185,296.449982,0.000000
1950-01-24,279.990540,296.445038,0.000000
1950-01-25,285.401581,298.075745,1.669436
1950-01-26,280.089478,295.203430,0.000000
1950-01-27,277.557312,293.705750,0.000000
1950-01-28,281.095123,290.416595,2.208085
1950-01-29,277.677612,284.301575,0.000000
1950-01-30,279.942200,282.114258,0.288910
1950-01-31,276.379639,277.621735,2.489662
1950-02-01,278.063690,283.234589,26.732426
1950-02-02,273.720673,279.025269,1.033421
1950-02-03,274.336334,285.024933,0.000000
1950-02-04,273.592194,288.721375,0.000000
1950-02-05,277.844269,290.659515,0.000000
1950-02-06,280.344116,293.968994,0.000000
1950-02-07,280.262054,297.603638,0.615708
1950-02-08,280.681122,299.716888,0.000000
1950-02-09,273.113678,294.227570,0.000000
1950-02-10,270.829346,283.485352,0.000000
1950-02-11,279.381683,294.608002,1.454922
1950-02-12,269.717438,285.962402,0.517676
1950-02-13,265.166840,272.952515,0.000000
1950-02-14,266.732208,271.868988,0.000000
1950-02-15,266.447845,278.358948,0.000000
1950-02-16,273.121368,284.235809,0.459693
1950-02-17,270.440002,287.006226,0.000000
1950-02-18,273.626709,292.565399,0.000000
1950-02-19,279.740265,299.320068,0.000000
1950-02-20,278.376434,299.096375,0.000000
1950-02-21,281.608826,300.587677,0.000000
1950-02-22,283.463043,297.976440,0.000000
1950-02-23,280.505798,297.856506,0.000000
1950-02-24,283.046600,293.834198,0.791516
1950-02-25,279.151215,285.150177,12.101071
1950-02-26,281.005646,284.909668,18.757492
1950-02-27,279.527954,290.320862,6.289180
1950-02-28,281.509521,295.097473,0.000000
1950-03-01,287.513367,298.744659,2.704952
1950-03-02,283.958160,296.057983,0.000000
1950-03-03,284.674530,300.534729,0.000000
1950-03-04,286.847595,302.184265,0.000000
1950-03-05,280.914825,296.648193,0.000000
1950-03-06,270.921234,279.976196,0.000000
1950-03-07,273.157593,284.962372,0.471007
1950-03-08,272.368835,289.354248,0.489645
1950-03-09,279.947174,287.779846,0.000000
1950-03-10,283.667633,291.073578,17.404314
1950-03-11,284.882385,295.426758,4.161484
1950-03-12,283.437195,295.993042,0.000000
1950-03-13,282.673859,292.967468,0.000000
1950-03-14,278.511841,293.211884,0.000000
1950-03-15,282.905853,294.181183,0.000000
1950-03-16,286.832397,295.789917,7.399707
1950-03-17,281.431000,295.658447,0.000000
1950-03-18,281.076050,299.347931,0.000000
1950-03-19,285.181122,295.710510,0.000000
1950-03-20,290.890350,301.195374,0.993159
1950-03-21,287.355255,300.588440,0.000000
1950-03-22,285.467560,300.735779,0.000000
1950-03-23,281.640472,297.514404,0.000000
1950-03-24,281.126648,296.885162,0.000000
1950-03-25,280.937500,297.491974,0.000000
1950-03-26,285.547455,298.483276,0.000000
1950-03-27,287.443756,299.371063,0.515264
1950-03-28,282.811371,296.171234,0.000000
1950-03-29,280.576630,298.377777,0.000000
1950-03-30,280.957947,303.620239,0.000000
1950-03-31,288.852264,302.568054,0.000000
1950-04-01,289.964142,299.321350,1.005207
1950-04-02,290.369751,295.947968,23.877737
1950-04-03,289.241669,292.382446,23.122849
1950-04-04,289.925110,300.347107,17.683327
1950-04-05,286.293457,296.601349,0.000000
