#Variables:
#tasmin_CNRM-CM5_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CNRM-CM5_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_CNRM-CM5_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CNRM-CM5_rcp85(K),tasmax_CNRM-CM5_rcp85(K),pr_CNRM-CM5_rcp85(mm)"
""
yyyy-mm-dd,tasmin_CNRM-CM5_rcp85(K),tasmax_CNRM-CM5_rcp85(K),pr_CNRM-CM5_rcp85(mm)
2006-01-01,276.306244,290.404663,0.853473
2006-01-02,274.370667,282.428619,0.000000
2006-01-03,273.967468,283.454437,0.000000
2006-01-04,273.411102,286.183990,0.000000
2006-01-05,274.550903,287.739166,0.000000
2006-01-06,276.517487,289.008575,0.000000
2006-01-07,278.435272,289.447327,0.000000
2006-01-08,276.046814,286.492493,0.000000
2006-01-09,279.380615,286.184113,0.000000
2006-01-10,273.801910,289.666443,0.000000
2006-01-11,277.884521,295.681000,0.297582
2006-01-12,275.972870,289.928650,0.000000
2006-01-13,277.467773,289.981354,0.000000
2006-01-14,275.537170,291.892426,0.000000
2006-01-15,279.031616,296.391968,0.000000
2006-01-16,282.445435,291.704071,0.000000
2006-01-17,275.116760,289.862305,0.000000
2006-01-18,281.464417,297.964417,0.000000
2006-01-19,279.464691,293.988983,0.392867
2006-01-20,269.958923,279.912262,4.702382
2006-01-21,267.865448,279.584198,0.000000
2006-01-22,270.473358,282.990173,0.000000
2006-01-23,272.223755,288.504425,0.000000
2006-01-24,274.390717,286.159454,0.000000
2006-01-25,276.231049,293.502899,0.000000
2006-01-26,277.424347,293.373718,0.000000
2006-01-27,277.853760,293.981354,0.000000
2006-01-28,280.848236,295.475555,0.000000
2006-01-29,280.070221,296.392639,0.000000
2006-01-30,281.869446,295.066864,0.000000
2006-01-31,285.461365,299.839722,0.000000
2006-02-01,284.157410,300.342499,0.279926
2006-02-02,285.332062,296.159271,0.000000
2006-02-03,279.427307,296.511841,0.000000
2006-02-04,286.242096,300.491272,0.500628
2006-02-05,268.404999,292.950165,0.000000
2006-02-06,265.061066,278.459869,0.000000
2006-02-07,274.577698,294.561829,0.000000
2006-02-08,282.202332,300.860565,0.000000
2006-02-09,282.179443,299.653076,0.000000
2006-02-10,272.371582,293.500793,0.000000
2006-02-11,270.079712,279.547119,0.000000
2006-02-12,270.504242,281.114777,0.000000
2006-02-13,272.567810,290.406281,0.000000
2006-02-14,280.869019,301.536774,0.000000
2006-02-15,284.616852,299.915527,0.733443
