#Variables:
#tasmin_CSIRO-Mk3-6-0_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CSIRO-Mk3-6-0_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_CSIRO-Mk3-6-0_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CSIRO-Mk3-6-0_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CSIRO-Mk3-6-0_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_CSIRO-Mk3-6-0_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CSIRO-Mk3-6-0_historical(K),tasmax_CSIRO-Mk3-6-0_historical(K),pr_CSIRO-Mk3-6-0_historical(mm)"
""
yyyy-mm-dd,tasmin_CSIRO-Mk3-6-0_historical(K),tasmax_CSIRO-Mk3-6-0_historical(K),pr_CSIRO-Mk3-6-0_historical(mm)
1950-01-01,284.767700,295.840240,0.000000
1950-01-02,280.193756,297.408203,0.000000
1950-01-03,282.657043,299.564789,0.364125
1950-01-04,282.339600,295.901093,0.000000
1950-01-05,280.359650,290.924805,0.000000
1950-01-06,274.184296,285.584137,0.000000
1950-01-07,273.482452,292.394135,0.000000
1950-01-08,278.050751,295.188293,0.000000
1950-01-09,283.387939,293.316650,0.847751
1950-01-10,282.230957,291.563995,1.464432
1950-01-11,276.888428,288.293427,0.000000
1950-01-12,276.901794,288.098816,0.000000
1950-01-13,276.563202,283.873505,42.606743
1950-01-14,275.512939,283.978058,2.137095
1950-01-15,276.710205,285.099182,0.000000
1950-01-16,272.773254,284.612152,0.000000
1950-01-17,273.030853,284.223938,0.000000
1950-01-18,272.553741,285.959412,0.000000
1950-01-19,274.876709,283.173004,0.000000
1950-01-20,272.672058,287.587280,0.000000
1950-01-21,274.955872,291.836182,0.000000
1950-01-22,279.985626,288.342346,0.000000
1950-01-23,275.769379,282.182465,13.587336
1950-01-24,279.443542,284.215912,0.596484
1950-01-25,281.451752,287.576050,0.000000
1950-01-26,283.923096,293.898071,2.488756
1950-01-27,287.239777,295.007660,2.672705
1950-01-28,286.769562,297.448700,0.000000
1950-01-29,280.067322,294.157959,0.000000
1950-01-30,278.966400,286.769073,0.000000
1950-01-31,281.084442,288.332336,19.314497
1950-02-01,281.093445,292.394043,4.832635
1950-02-02,285.348022,296.355530,0.802869
1950-02-03,277.972748,294.770477,0.000000
1950-02-04,281.434265,298.071045,0.000000
1950-02-05,281.167236,297.579041,0.000000
1950-02-06,288.542542,297.395660,4.826541
1950-02-07,284.130615,298.056580,0.000000
1950-02-08,280.547852,294.033020,1.093617
1950-02-09,275.547455,289.438141,0.000000
1950-02-10,278.360504,293.637451,0.000000
1950-02-11,281.538727,295.906250,0.000000
1950-02-12,284.812225,293.546570,0.860222
1950-02-13,286.754272,292.777527,9.918325
1950-02-14,284.272156,291.323395,0.887153
1950-02-15,282.315674,287.940155,7.435393
1950-02-16,282.756378,286.753540,15.212204
