#Variables:
#tasmin_CSIRO-Mk3-6-0_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CSIRO-Mk3-6-0_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_CSIRO-Mk3-6-0_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CSIRO-Mk3-6-0_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CSIRO-Mk3-6-0_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CSIRO-Mk3-6-0_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CSIRO-Mk3-6-0_rcp45(K),tasmax_CSIRO-Mk3-6-0_rcp45(K),pr_CSIRO-Mk3-6-0_rcp45(mm)"
""
yyyy-mm-dd,tasmin_CSIRO-Mk3-6-0_rcp45(K),tasmax_CSIRO-Mk3-6-0_rcp45(K),pr_CSIRO-Mk3-6-0_rcp45(mm)
2006-01-01,283.161591,299.725403,0.460097
2006-01-02,285.395691,298.162048,0.626081
2006-01-03,280.565094,291.830536,0.000000
2006-01-04,268.876984,284.775452,0.000000
2006-01-05,273.096252,279.676300,0.000000
2006-01-06,278.768768,284.798859,0.000000
2006-01-07,281.174072,289.313324,0.000000
2006-01-08,283.294403,296.632629,3.550808
2006-01-09,282.467834,295.132629,0.000000
2006-01-10,275.320435,287.520569,0.000000
2006-01-11,278.758179,287.884766,0.709159
2006-01-12,282.282837,294.383240,3.793713
2006-01-13,288.202606,298.406891,0.567340
2006-01-14,288.854523,302.117340,2.956265
2006-01-15,283.368225,297.485626,0.000000
2006-01-16,277.411407,290.927246,0.000000
2006-01-17,276.410187,286.356445,0.000000
2006-01-18,278.652222,282.340790,8.561872
2006-01-19,273.771088,287.443787,0.000000
2006-01-20,273.185883,286.186829,0.000000
2006-01-21,276.467987,289.865265,0.000000
2006-01-22,282.531860,297.096649,0.000000
2006-01-23,281.452972,299.121307,0.000000
2006-01-24,282.556152,300.217621,0.000000
2006-01-25,287.164825,299.524994,0.000000
2006-01-26,280.844025,298.476013,0.000000
2006-01-27,282.293610,294.933716,0.000000
2006-01-28,280.670013,290.447418,0.000000
2006-01-29,283.851135,295.927063,4.494596
2006-01-30,284.037964,298.411438,0.347019
2006-01-31,281.404816,294.365814,0.000000
2006-02-01,279.989746,293.412842,0.000000
2006-02-02,285.637939,294.419495,0.000000
2006-02-03,286.357330,295.346527,36.701584
2006-02-04,281.371613,293.429382,12.838037
2006-02-05,277.003357,282.525482,0.608189
2006-02-06,271.858185,288.018646,0.000000
2006-02-07,273.570923,294.524353,0.000000
2006-02-08,277.775177,297.834106,0.000000
2006-02-09,282.366516,300.843048,0.000000
2006-02-10,285.571869,299.986267,0.000000
2006-02-11,286.724854,297.150330,0.000000
2006-02-12,288.651855,297.738190,0.628138
2006-02-13,289.446075,297.390198,0.892363
2006-02-14,289.726990,300.756836,5.303770
2006-02-15,284.492035,300.212921,1.238214
2006-02-16,283.341736,300.601227,0.000000
2006-02-17,283.296875,298.534576,7.474547
2006-02-18,280.577484,289.661041,3.026283
2006-02-19,277.218201,285.500671,0.000000
2006-02-20,274.547974,285.505219,0.000000
2006-02-21,275.088196,286.257080,0.000000
2006-02-22,276.938416,289.852692,0.000000
2006-02-23,277.504547,294.143616,0.000000
2006-02-24,279.197998,298.934875,0.000000
2006-02-25,280.597595,301.005432,0.000000
2006-02-26,284.680176,299.093475,0.000000
2006-02-27,284.674835,296.301025,0.000000
2006-02-28,285.436371,293.134094,2.119766
2006-03-01,288.206238,297.318756,6.969505
2006-03-02,292.358276,296.277008,9.927573
2006-03-03,288.753204,297.281189,18.498091
2006-03-04,286.566864,300.225708,4.475984
2006-03-05,281.477722,295.808441,0.000000
2006-03-06,276.963776,293.461823,0.000000
2006-03-07,281.286804,296.006989,0.000000
2006-03-08,282.554199,295.261169,0.000000
2006-03-09,279.763550,297.712799,0.000000
2006-03-10,283.090424,301.639191,0.000000
2006-03-11,284.818115,301.175812,0.000000
2006-03-12,286.602692,299.449799,0.000000
2006-03-13,287.644745,301.106903,0.000000
2006-03-14,287.131226,302.406281,0.000000
2006-03-15,288.613892,299.993713,0.000000
2006-03-16,289.686493,303.349976,0.000000
2006-03-17,290.394226,303.798950,1.585674
2006-03-18,291.579071,302.134125,8.651208
2006-03-19,285.298920,298.702545,0.000000
2006-03-20,279.851379,296.495270,0.000000
2006-03-21,280.177704,293.918518,0.000000
2006-03-22,281.182800,297.575500,0.000000
2006-03-23,288.927917,300.555328,0.000000
2006-03-24,283.688782,298.726868,1.075637
2006-03-25,278.916870,291.636169,0.426817
2006-03-26,276.484863,295.416351,0.000000
2006-03-27,281.368561,301.342651,0.000000
2006-03-28,284.162628,301.882874,0.000000
2006-03-29,286.128418,301.041077,0.000000
2006-03-30,289.346893,301.654510,0.000000
2006-03-31,292.109192,302.457062,0.000000
2006-04-01,288.039246,302.014587,2.076693
2006-04-02,285.213013,301.598785,0.000000
2006-04-03,288.758942,300.476471,6.798736
2006-04-04,276.541656,296.062714,0.000000
2006-04-05,282.073364,296.236023,0.000000
2006-04-06,285.140747,293.814087,0.000000
2006-04-07,289.609802,302.326385,2.358684
2006-04-08,281.723145,300.020844,0.000000
2006-04-09,280.463715,298.948700,0.000000
2006-04-10,288.364624,303.069916,0.000000
2006-04-11,289.497742,303.111481,0.000000
2006-04-12,284.987701,300.366394,0.000000
2006-04-13,281.143677,295.893860,0.000000
2006-04-14,284.334167,304.037262,0.000000
2006-04-15,289.923157,307.354767,0.000000
2006-04-16,290.760712,308.753571,0.000000
2006-04-17,290.528595,308.943970,0.000000
2006-04-18,291.903748,307.269073,0.000000
2006-04-19,290.939575,304.940338,0.650290
2006-04-20,291.539856,303.288483,0.000000
2006-04-21,294.105408,308.580994,0.000000
2006-04-22,288.158783,309.196503,0.000000
2006-04-23,288.338074,311.364716,0.000000
2006-04-24,291.261139,311.771973,0.000000
2006-04-25,293.386719,311.583801,0.000000
2006-04-26,294.099945,310.164917,0.000000
2006-04-27,293.964996,310.059845,0.000000
2006-04-28,294.361603,309.585052,0.000000
2006-04-29,293.702423,309.283722,0.000000
2006-04-30,291.779419,308.362762,0.000000
2006-05-01,294.579224,307.843048,0.000000
2006-05-02,295.363617,308.394073,0.000000
2006-05-03,295.748047,307.444641,0.812753
2006-05-04,292.862549,308.115784,0.000000
2006-05-05,291.337494,306.954712,0.389976
2006-05-06,290.285828,306.525299,0.000000
2006-05-07,292.888428,308.452667,0.000000
2006-05-08,294.295959,309.373779,0.000000
2006-05-09,295.613007,308.169769,0.000000
2006-05-10,292.984833,304.249878,0.000000
2006-05-11,294.798615,308.237823,0.000000
2006-05-12,295.566895,310.246948,0.000000
2006-05-13,294.993439,309.706421,0.000000
2006-05-14,296.259125,308.089355,2.368654
2006-05-15,294.756134,307.109558,0.430711
2006-05-16,295.438385,306.241425,12.780677
2006-05-17,295.973480,309.785187,9.021492
2006-05-18,296.860321,309.715668,3.361565
2006-05-19,296.021942,304.839722,8.394626
2006-05-20,296.233917,305.550873,10.271239
2006-05-21,295.184082,302.815948,27.128731
2006-05-22,294.486633,304.425812,16.087097
2006-05-23,297.568298,306.953461,7.059996
2006-05-24,297.310181,307.795959,8.931412
2006-05-25,297.540588,308.688995,4.169758
2006-05-26,296.765198,309.040497,0.301743
2006-05-27,296.655029,307.269836,0.000000
2006-05-28,296.069305,307.042419,0.000000
2006-05-29,295.062561,306.525208,0.000000
2006-05-30,295.388367,307.054932,0.000000
2006-05-31,295.619019,307.975739,0.415379
2006-06-01,296.516907,308.674561,0.000000
2006-06-02,296.314972,309.308563,0.000000
2006-06-03,295.508728,309.590942,0.298023
2006-06-04,296.450195,309.903748,7.198285
2006-06-05,297.379395,309.474457,0.665764
2006-06-06,297.346375,308.710327,0.000000
2006-06-07,297.388550,307.660309,3.532001
2006-06-08,296.291473,308.578430,0.306710
2006-06-09,296.835663,308.854248,4.981526
2006-06-10,296.443237,306.894958,5.319631
2006-06-11,298.063446,310.570679,0.000000
2006-06-12,298.094360,309.738098,4.877632
2006-06-13,298.110291,306.896423,11.272236
2006-06-14,299.339081,307.724731,2.978946
2006-06-15,297.207367,307.669586,0.000000
2006-06-16,296.045135,306.538239,0.000000
2006-06-17,295.718536,306.518738,5.724310
2006-06-18,297.023438,305.543304,1.784635
2006-06-19,296.762939,307.295959,1.334687
2006-06-20,297.134796,307.267334,1.449929
2006-06-21,297.291504,305.979309,0.551423
2006-06-22,297.751770,304.566193,2.333742
2006-06-23,296.789642,302.624664,9.442612
2006-06-24,296.989868,306.755066,0.000000
2006-06-25,297.631073,310.604919,0.000000
2006-06-26,298.089264,309.818756,21.526876
2006-06-27,297.807098,306.207886,0.000000
2006-06-28,297.507843,308.224823,0.000000
2006-06-29,297.458557,308.289093,0.000000
2006-06-30,296.726959,308.416046,0.000000
2006-07-01,296.441498,308.484802,0.000000
2006-07-02,296.682220,309.275452,0.000000
2006-07-03,296.608002,309.234406,0.000000
2006-07-04,297.019928,309.669434,0.000000
2006-07-05,296.698364,310.001251,0.000000
2006-07-06,297.513123,311.280457,0.295026
2006-07-07,298.751587,312.598999,0.307291
2006-07-08,298.117554,312.220856,0.293218
2006-07-09,297.983185,309.868530,0.000000
2006-07-10,297.454712,309.752502,0.000000
2006-07-11,297.739594,309.267853,0.000000
2006-07-12,298.940826,310.028870,0.000000
2006-07-13,298.616089,308.389801,0.397260
2006-07-14,297.909332,309.414734,0.000000
2006-07-15,296.847351,308.876373,0.000000
2006-07-16,296.748993,308.955322,0.000000
2006-07-17,296.697144,309.389587,0.000000
2006-07-18,296.834137,309.254272,0.000000
2006-07-19,297.264954,310.393402,0.000000
2006-07-20,297.812500,311.832977,0.000000
2006-07-21,299.354919,311.105011,0.000000
2006-07-22,299.969757,309.649872,0.000000
2006-07-23,300.220032,306.835205,5.361856
2006-07-24,297.334717,307.705780,0.000000
2006-07-25,296.878235,309.945801,0.000000
2006-07-26,298.028748,310.934113,0.000000
2006-07-27,298.329010,309.853455,0.000000
2006-07-28,297.949341,309.078583,1.952763
2006-07-29,298.385620,309.058990,0.840770
2006-07-30,298.183685,311.781982,2.210196
2006-07-31,298.229614,309.466797,0.000000
2006-08-01,297.334717,309.052612,0.716874
2006-08-02,296.925659,309.748047,0.000000
2006-08-03,297.388763,310.997803,0.000000
2006-08-04,297.404968,310.898224,0.000000
2006-08-05,297.960083,312.252411,0.000000
2006-08-06,297.905823,312.268646,0.000000
2006-08-07,297.197754,312.062317,0.292936
2006-08-08,297.102661,312.414795,0.000000
2006-08-09,297.555389,312.369629,0.000000
2006-08-10,298.429169,313.036560,0.000000
2006-08-11,298.611755,310.859528,0.000000
2006-08-12,298.364136,309.517792,0.000000
2006-08-13,297.488678,310.653381,0.000000
2006-08-14,297.333893,312.285370,0.432003
2006-08-15,297.908447,312.348663,0.000000
2006-08-16,298.538727,312.633759,0.000000
2006-08-17,300.778351,313.263123,0.000000
2006-08-18,300.186279,312.808289,0.000000
2006-08-19,299.449432,312.666321,0.000000
2006-08-20,297.261902,312.068878,0.000000
2006-08-21,297.571167,311.260559,0.000000
2006-08-22,296.893585,310.883301,0.000000
2006-08-23,297.382050,310.923859,0.000000
2006-08-24,297.398315,312.136139,0.000000
2006-08-25,298.415314,310.212921,0.000000
2006-08-26,296.371033,308.388489,0.000000
2006-08-27,296.414581,308.720032,0.000000
2006-08-28,296.112885,308.500824,0.000000
2006-08-29,295.807526,307.390076,0.000000
2006-08-30,294.866272,307.703491,0.000000
2006-08-31,296.310059,307.714325,0.000000
2006-09-01,294.311279,309.670227,0.000000
2006-09-02,294.878143,313.821442,0.000000
2006-09-03,295.538055,314.823059,0.000000
2006-09-04,297.036194,311.923553,2.954898
2006-09-05,294.780090,304.495331,12.904348
2006-09-06,294.061066,304.918457,1.051148
2006-09-07,293.178009,305.453461,0.000000
2006-09-08,292.677032,305.188812,0.000000
2006-09-09,293.407257,306.515991,0.000000
2006-09-10,293.470032,306.415314,0.000000
2006-09-11,295.038483,307.476562,0.000000
2006-09-12,296.005859,308.098816,0.000000
2006-09-13,296.147217,309.778290,0.000000
2006-09-14,295.900238,307.676636,1.593562
2006-09-15,295.430084,306.376190,5.735325
2006-09-16,295.808258,304.472290,11.589094
2006-09-17,295.258026,303.804626,2.398957
2006-09-18,294.936859,304.193604,1.784776
2006-09-19,294.653656,303.147003,0.403506
2006-09-20,294.654877,305.841370,1.269681
2006-09-21,295.418549,306.015564,0.000000
2006-09-22,295.758606,306.124390,0.000000
2006-09-23,294.670135,305.059479,0.000000
2006-09-24,293.665466,304.742035,5.763825
2006-09-25,284.869141,299.683807,0.529246
2006-09-26,285.636536,294.542297,0.000000
2006-09-27,285.493042,297.444885,0.000000
2006-09-28,286.926239,302.528961,0.000000
2006-09-29,288.116821,303.144928,16.284143
2006-09-30,294.038483,301.673523,3.024856
2006-10-01,292.851166,304.108063,0.000000
2006-10-02,293.460083,304.596985,0.000000
2006-10-03,293.096283,304.877106,0.000000
2006-10-04,293.501953,304.465485,0.000000
2006-10-05,290.619141,306.149597,0.000000
2006-10-06,291.067566,304.913025,0.000000
2006-10-07,288.611694,302.222809,0.000000
2006-10-08,287.518311,302.260956,0.000000
2006-10-09,287.058563,301.567627,0.000000
2006-10-10,287.171082,302.700500,0.000000
2006-10-11,287.668762,304.051422,0.000000
2006-10-12,288.376648,304.788483,0.000000
2006-10-13,288.760437,304.986053,0.000000
2006-10-14,289.010773,302.285065,0.000000
2006-10-15,286.552704,301.117310,0.000000
2006-10-16,285.431488,301.228485,0.000000
2006-10-17,286.763184,301.600220,0.000000
2006-10-18,288.246094,302.519287,0.000000
2006-10-19,289.445343,302.987488,0.000000
2006-10-20,289.596619,305.180054,0.000000
2006-10-21,289.319824,305.048889,0.000000
2006-10-22,289.454071,305.442383,0.000000
2006-10-23,289.379578,305.664307,0.000000
2006-10-24,288.714142,305.020630,0.000000
2006-10-25,289.540436,306.032776,0.000000
2006-10-26,288.123810,301.892151,0.000000
2006-10-27,281.670532,297.235962,0.000000
2006-10-28,282.284668,300.753998,0.000000
2006-10-29,283.824738,300.937500,0.000000
2006-10-30,286.010529,300.792419,0.000000
2006-10-31,287.142853,298.959412,0.000000
