#Variables:
#tasmin_GFDL-ESM2M_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_GFDL-ESM2M_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_GFDL-ESM2M_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_GFDL-ESM2M_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_GFDL-ESM2M_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_GFDL-ESM2M_historical(K),tasmax_GFDL-ESM2M_historical(K),pr_GFDL-ESM2M_historical(mm)"
""
yyyy-mm-dd,tasmin_GFDL-ESM2M_historical(K),tasmax_GFDL-ESM2M_historical(K),pr_GFDL-ESM2M_historical(mm)
1950-01-01,274.531860,290.304688,0.000000
1950-01-02,274.551025,290.502991,0.000000
1950-01-03,272.449829,292.173889,0.000000
1950-01-04,275.948975,291.684265,0.000000
1950-01-05,279.395203,290.197388,0.000000
1950-01-06,282.076874,291.937683,5.808750
1950-01-07,283.656189,293.705475,7.789189
1950-01-08,276.892273,291.695709,0.415648
1950-01-09,276.397003,288.666992,0.000000
1950-01-10,273.566162,290.741852,0.000000
1950-01-11,276.355957,291.942688,0.000000
1950-01-12,276.670258,293.686890,0.000000
1950-01-13,279.403961,295.236298,0.000000
1950-01-14,279.966980,292.702332,0.000000
1950-01-15,273.149841,293.716187,0.000000
1950-01-16,276.949982,295.460327,0.000000
1950-01-17,281.733887,297.751434,0.000000
1950-01-18,283.595581,299.937500,0.000000
1950-01-19,288.079376,298.954071,0.000000
1950-01-20,273.556183,297.098297,0.000000
1950-01-21,269.560333,285.923859,0.000000
1950-01-22,273.341980,286.320068,0.000000
1950-01-23,273.050964,290.984558,0.000000
1950-01-24,273.716309,293.517426,0.000000
1950-01-25,275.414948,291.152405,0.000000
1950-01-26,272.750702,289.827454,0.000000
1950-01-27,274.303528,288.318939,0.000000
1950-01-28,272.510162,285.045868,0.000000
1950-01-29,268.960327,282.767944,0.000000
1950-01-30,269.417542,288.068726,0.000000
1950-01-31,273.261475,293.243500,0.000000
1950-02-01,279.552246,294.022827,0.000000
1950-02-02,281.891724,293.333527,5.880551
1950-02-03,276.826782,287.092285,0.340420
1950-02-04,273.121704,289.597321,0.000000
1950-02-05,279.367615,297.662994,0.000000
1950-02-06,285.591949,298.986023,0.000000
1950-02-07,274.421539,295.225739,0.579922
1950-02-08,272.635345,291.320496,0.000000
1950-02-09,277.744019,295.102570,0.000000
1950-02-10,284.964233,299.241394,0.000000
1950-02-11,273.113678,297.905243,0.000000
1950-02-12,270.569183,284.196808,0.000000
1950-02-13,272.394714,287.034302,0.000000
1950-02-14,267.996826,286.159485,0.000000
1950-02-15,267.829071,277.006195,5.907804
1950-02-16,267.149414,276.822906,0.787259
1950-02-17,273.102356,294.682922,1.698352
1950-02-18,287.173584,297.733643,2.698871
