#Variables:
#tasmin_GFDL-ESM2M_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_GFDL-ESM2M_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_GFDL-ESM2M_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_GFDL-ESM2M_rcp85(K),tasmax_GFDL-ESM2M_rcp85(K),pr_GFDL-ESM2M_rcp85(mm)"
""
yyyy-mm-dd,tasmin_GFDL-ESM2M_rcp85(K),tasmax_GFDL-ESM2M_rcp85(K),pr_GFDL-ESM2M_rcp85(mm)
2006-01-01,271.507233,282.458405,0.000000
2006-01-02,276.117157,281.668091,5.745561
2006-01-03,274.261963,282.325592,1.849421
2006-01-04,274.483734,279.476807,18.279348
2006-01-05,271.272980,277.534119,4.118675
2006-01-06,270.107330,277.024780,1.249735
2006-01-07,268.718842,277.930664,0.000000
2006-01-08,270.052673,279.573700,0.000000
2006-01-09,271.947601,286.012085,0.000000
2006-01-10,273.091156,286.318420,0.000000
2006-01-11,275.912811,285.436615,0.337039
2006-01-12,276.644653,284.577698,0.000000
2006-01-13,273.458710,283.911621,0.000000
2006-01-14,272.143280,285.414612,0.000000
2006-01-15,273.104218,285.321594,0.000000
2006-01-16,274.315948,286.187805,0.000000
2006-01-17,276.325165,291.507629,0.000000
2006-01-18,281.447968,296.520660,0.000000
2006-01-19,283.522400,298.258667,0.000000
2006-01-20,282.909271,298.000732,0.000000
2006-01-21,286.951447,300.700500,0.000000
2006-01-22,282.738129,298.685760,0.000000
2006-01-23,275.568604,287.505035,0.000000
2006-01-24,273.887054,283.326569,3.141924
2006-01-25,274.940247,278.773865,19.161242
2006-01-26,271.001312,274.696259,9.336846
2006-01-27,267.434509,274.779053,0.000000
2006-01-28,267.982513,274.685852,0.000000
2006-01-29,268.239471,276.368134,0.000000
2006-01-30,268.506409,277.739136,0.000000
2006-01-31,270.757263,278.076294,0.000000
2006-02-01,279.867920,286.206543,6.844962
2006-02-02,277.702454,296.826965,3.587877
2006-02-03,287.443268,299.410004,0.000000
2006-02-04,288.925262,298.973755,0.000000
2006-02-05,284.881226,297.120605,0.000000
2006-02-06,284.450897,296.196777,1.747117
2006-02-07,288.381500,296.958649,1.302864
2006-02-08,288.814850,296.864227,0.445228
2006-02-09,289.068665,299.068359,0.309969
2006-02-10,288.915466,298.661652,0.000000
2006-02-11,279.559265,296.554962,0.000000
2006-02-12,278.063416,291.884186,0.000000
2006-02-13,280.608948,294.858459,0.000000
2006-02-14,282.182953,294.418121,0.000000
2006-02-15,283.913757,294.501251,0.000000
2006-02-16,285.700928,297.696991,0.000000
2006-02-17,284.562836,298.143585,0.000000
2006-02-18,281.576141,296.789215,0.000000
2006-02-19,284.444183,300.909302,0.000000
2006-02-20,288.115906,302.675537,0.000000
2006-02-21,289.480835,302.785339,0.000000
