#Variables:
#tasmin_GFDL-ESM2G_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_GFDL-ESM2G_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_GFDL-ESM2G_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_GFDL-ESM2G_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_GFDL-ESM2G_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_GFDL-ESM2G_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_GFDL-ESM2G_historical(K),tasmax_GFDL-ESM2G_historical(K),pr_GFDL-ESM2G_historical(mm)"
""
yyyy-mm-dd,tasmin_GFDL-ESM2G_historical(K),tasmax_GFDL-ESM2G_historical(K),pr_GFDL-ESM2G_historical(mm)
1950-01-01,276.142181,291.467773,0.000000
1950-01-02,277.802063,292.650696,0.000000
1950-01-03,278.637085,292.328949,0.000000
1950-01-04,280.155579,292.495789,0.000000
1950-01-05,283.913635,290.722534,3.404605
1950-01-06,283.666626,293.017487,1.446226
1950-01-07,281.426697,292.554871,0.000000
1950-01-08,284.821564,298.305573,0.000000
1950-01-09,278.580841,295.537750,0.000000
1950-01-10,268.137543,284.379089,0.000000
1950-01-11,267.695923,277.231781,0.000000
1950-01-12,267.506073,278.634735,0.000000
1950-01-13,270.665680,283.066650,0.000000
1950-01-14,272.509247,285.363281,0.000000
1950-01-15,274.114258,285.672821,0.000000
1950-01-16,275.291901,286.320068,0.000000
1950-01-17,276.047577,288.961121,0.000000
1950-01-18,278.898102,294.042725,0.000000
1950-01-19,280.624878,295.190063,0.000000
1950-01-20,281.241730,295.184906,0.000000
1950-01-21,282.102814,296.218170,0.000000
1950-01-22,280.343719,295.010773,0.000000
1950-01-23,276.034668,289.680878,0.000000
1950-01-24,274.503540,283.619019,1.180890
1950-01-25,274.376068,283.241333,52.193089
1950-01-26,268.605194,278.238800,1.206712
1950-01-27,269.264587,278.408905,0.000000
1950-01-28,270.484375,279.074493,0.000000
1950-01-29,275.652679,283.618774,11.340343
1950-01-30,273.016479,281.090057,7.900267
1950-01-31,272.722168,279.446777,0.000000
1950-02-01,273.697174,284.724304,0.000000
1950-02-02,274.669189,286.450592,0.000000
1950-02-03,275.489471,287.606476,0.000000
1950-02-04,275.501984,285.926025,0.000000
1950-02-05,275.326447,284.584412,0.509435
1950-02-06,276.501465,287.612946,6.918455
1950-02-07,275.022369,288.923370,6.367635
1950-02-08,274.157715,288.776428,0.000000
1950-02-09,274.142181,287.092285,0.331582
1950-02-10,273.798309,283.391357,0.380467
1950-02-11,275.649689,287.120209,1.114635
1950-02-12,271.369598,282.955872,0.000000
1950-02-13,273.256073,283.649292,0.000000
1950-02-14,279.041473,288.410034,4.832635
1950-02-15,280.572784,291.661896,5.518583
1950-02-16,279.927490,293.627197,13.897776
1950-02-17,280.506622,287.034058,16.884848
1950-02-18,278.521851,288.653198,6.338638
1950-02-19,274.530762,287.046539,0.000000
1950-02-20,277.104492,287.948059,0.000000
1950-02-21,276.835938,289.923218,0.000000
1950-02-22,279.372986,292.406250,0.000000
1950-02-23,280.521973,292.176697,0.539382
1950-02-24,278.548035,291.093048,0.000000
1950-02-25,278.935577,291.098267,0.000000
1950-02-26,282.849060,297.144073,5.362279
1950-02-27,282.877289,296.667114,0.000000
1950-02-28,283.681732,297.445984,0.000000
1950-03-01,282.514038,296.024841,0.000000
1950-03-02,284.490387,294.078979,0.000000
1950-03-03,277.097351,292.689667,0.000000
1950-03-04,273.143341,285.974396,0.000000
1950-03-05,272.994598,281.458405,6.199089
1950-03-06,277.838013,282.610748,11.822115
1950-03-07,278.048401,287.011353,0.000000
1950-03-08,279.147888,288.979034,0.382367
1950-03-09,283.312164,292.584473,14.865388
1950-03-10,282.160278,292.677399,1.174764
1950-03-11,280.506714,294.131348,0.000000
1950-03-12,284.825439,296.997620,0.000000
1950-03-13,283.626160,299.116364,0.000000
1950-03-14,286.366425,298.462616,0.797719
1950-03-15,282.317657,296.194824,1.029302
1950-03-16,281.000610,293.979065,0.000000
1950-03-17,277.569855,288.523407,0.000000
1950-03-18,278.666168,285.885223,0.000000
