#Variables:
#tasmin_GFDL-ESM2G_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_GFDL-ESM2G_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_GFDL-ESM2G_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_GFDL-ESM2G_rcp85(K),tasmax_GFDL-ESM2G_rcp85(K),pr_GFDL-ESM2G_rcp85(mm)"
""
yyyy-mm-dd,tasmin_GFDL-ESM2G_rcp85(K),tasmax_GFDL-ESM2G_rcp85(K),pr_GFDL-ESM2G_rcp85(mm)
2006-01-01,278.951202,296.084686,0.000000
2006-01-02,281.699646,300.115540,0.000000
2006-01-03,284.126129,299.623352,0.000000
2006-01-04,284.033447,302.244659,0.000000
2006-01-05,285.497101,301.387665,0.000000
2006-01-06,281.046509,301.091675,0.000000
2006-01-07,286.534210,301.816895,0.000000
2006-01-08,285.934662,301.715820,0.000000
2006-01-09,277.110901,290.359558,0.000000
2006-01-10,277.691315,293.226685,0.000000
2006-01-11,283.711731,300.851807,0.000000
2006-01-12,287.430237,302.172974,0.000000
2006-01-13,288.394409,302.949310,0.000000
2006-01-14,287.047119,302.720123,0.000000
2006-01-15,279.014191,291.858215,0.000000
2006-01-16,277.835876,290.415283,0.000000
2006-01-17,277.436707,288.932587,0.000000
2006-01-18,274.551666,285.557343,0.000000
2006-01-19,275.793762,286.900604,0.000000
2006-01-20,275.682556,290.846191,0.000000
2006-01-21,278.769104,296.309784,0.000000
2006-01-22,280.465912,296.728333,0.000000
2006-01-23,281.936920,296.151489,0.000000
2006-01-24,282.049652,291.052582,0.000000
2006-01-25,283.937225,295.239136,4.140066
2006-01-26,283.726135,296.207703,3.698274
2006-01-27,277.810089,292.096771,0.000000
2006-01-28,278.900818,290.711884,0.000000
2006-01-29,279.689880,289.980225,0.000000
2006-01-30,280.113800,289.099670,1.815621
2006-01-31,281.108032,290.828949,10.349591
2006-02-01,285.418640,294.222656,31.985626
2006-02-02,283.721252,292.539581,11.680215
2006-02-03,277.721863,288.881317,0.000000
2006-02-04,275.574951,287.329224,0.000000
2006-02-05,275.912476,285.331909,0.000000
2006-02-06,280.275421,284.294159,9.047419
2006-02-07,279.546051,287.424194,32.068638
2006-02-08,275.941010,292.535034,3.916054
2006-02-09,281.818512,295.732971,0.000000
2006-02-10,282.352844,294.131622,0.000000
2006-02-11,269.149567,290.714417,1.150952
2006-02-12,268.958832,281.689453,0.454315
2006-02-13,273.675415,285.567474,0.000000
2006-02-14,276.854034,285.312927,1.117092
2006-02-15,277.684570,285.943085,4.416416
2006-02-16,277.919952,286.710327,1.416053
2006-02-17,277.256195,287.111694,0.000000
2006-02-18,273.469696,290.050323,0.000000
2006-02-19,277.527313,293.930786,0.000000
2006-02-20,279.774292,295.969849,0.000000
2006-02-21,281.960449,296.266296,0.000000
2006-02-22,279.033447,294.248169,0.000000
2006-02-23,274.538635,285.920746,0.000000
2006-02-24,279.559601,290.584839,0.000000
2006-02-25,283.432831,298.999939,0.000000
2006-02-26,278.778717,299.441956,3.108625
2006-02-27,271.342194,284.200653,1.007624
2006-02-28,272.371185,283.078949,0.000000
2006-03-01,276.121460,285.550049,0.690369
2006-03-02,276.036102,285.499054,8.635978
2006-03-03,270.022675,280.713348,0.000000
2006-03-04,275.120453,285.950623,0.000000
2006-03-05,276.944214,292.494873,0.000000
2006-03-06,281.761047,291.988373,0.000000
2006-03-07,278.697510,291.023926,0.000000
2006-03-08,280.178467,291.007263,0.000000
2006-03-09,283.360352,291.296417,0.000000
2006-03-10,284.856659,297.326721,1.308929
2006-03-11,284.633850,300.805939,0.000000
2006-03-12,286.760559,300.433960,0.511093
2006-03-13,288.078644,301.514130,0.303582
2006-03-14,289.589996,303.200378,0.948843
2006-03-15,283.343689,302.031311,2.951896
2006-03-16,281.221558,287.118744,5.864216
2006-03-17,282.718201,302.323059,1.211634
2006-03-18,286.806366,302.277008,0.000000
2006-03-19,277.398468,292.081818,0.000000
2006-03-20,273.353363,285.006958,0.000000
2006-03-21,277.038422,285.236115,0.000000
2006-03-22,280.714691,295.984131,0.657892
2006-03-23,289.089722,304.641479,0.000000
2006-03-24,292.702606,304.406830,0.000000
2006-03-25,279.819550,303.645599,1.087759
2006-03-26,279.063995,288.019989,18.252657
2006-03-27,278.504852,286.817688,1.175282
2006-03-28,278.739258,287.488708,0.000000
2006-03-29,280.963440,290.576477,0.000000
2006-03-30,284.658997,291.746185,0.000000
2006-03-31,285.010620,292.675659,0.807190
2006-04-01,285.260773,295.146332,0.000000
2006-04-02,285.442139,298.882111,0.000000
2006-04-03,286.206818,300.666138,0.000000
2006-04-04,286.996185,300.920868,0.000000
2006-04-05,290.013214,302.582855,0.291453
2006-04-06,290.411530,303.704681,0.798262
2006-04-07,291.233063,304.506012,0.680156
2006-04-08,291.362885,303.802856,0.565103
2006-04-09,290.474884,303.517365,27.729488
2006-04-10,280.589386,294.908295,13.155583
2006-04-11,277.356689,294.889038,0.000000
2006-04-12,285.256561,300.344177,0.000000
2006-04-13,290.836884,301.557434,0.000000
2006-04-14,291.175293,301.925659,1.248760
2006-04-15,291.341034,302.664398,0.000000
2006-04-16,292.660461,304.979248,0.000000
2006-04-17,292.455383,304.427490,0.327937
2006-04-18,290.624512,303.584259,0.000000
2006-04-19,285.628204,299.412384,0.000000
2006-04-20,286.601990,299.498779,0.000000
2006-04-21,290.968048,303.014008,0.000000
2006-04-22,292.105957,302.418304,0.000000
2006-04-23,291.200867,300.491913,1.160158
2006-04-24,292.461609,303.719696,0.543024
2006-04-25,293.776855,301.508423,3.994392
2006-04-26,294.385468,302.804535,14.525599
2006-04-27,294.248444,304.102264,0.000000
2006-04-28,293.209900,304.432922,0.000000
2006-04-29,294.628784,306.256226,0.000000
2006-04-30,289.083344,304.824646,0.000000
2006-05-01,289.775604,305.119995,0.000000
2006-05-02,292.800507,305.109741,0.500051
2006-05-03,294.614868,307.917816,0.657412
2006-05-04,294.873688,306.804504,0.000000
2006-05-05,292.398865,299.437714,3.484179
2006-05-06,290.445374,295.749329,11.511236
2006-05-07,293.622192,299.511230,13.165098
2006-05-08,293.188416,302.083466,8.851747
2006-05-09,293.322083,302.854218,7.247571
2006-05-10,292.541290,304.029510,0.977635
2006-05-11,290.271912,304.076691,0.000000
2006-05-12,292.301575,303.549408,0.000000
2006-05-13,292.153442,303.041840,0.000000
2006-05-14,292.868073,303.992767,0.000000
2006-05-15,294.688232,302.342133,6.860827
2006-05-16,292.594208,296.964142,19.357746
2006-05-17,292.962616,296.962097,67.123093
2006-05-18,293.884064,305.155457,6.034716
2006-05-19,293.010223,304.496063,1.359621
2006-05-20,294.090637,303.172913,0.000000
2006-05-21,294.017029,304.038391,0.000000
2006-05-22,294.433472,303.291229,0.000000
2006-05-23,294.105591,303.262177,0.000000
2006-05-24,293.313019,303.551880,0.000000
2006-05-25,293.251740,305.072876,0.000000
2006-05-26,293.587677,305.521515,0.000000
2006-05-27,296.063660,304.510284,0.000000
2006-05-28,295.333221,304.123993,7.411684
2006-05-29,293.508270,304.792175,0.000000
2006-05-30,291.692566,306.096649,0.000000
2006-05-31,293.666016,307.188568,0.000000
2006-06-01,294.529205,307.278778,0.000000
2006-06-02,296.009155,308.103821,0.000000
2006-06-03,296.605682,309.246796,0.000000
2006-06-04,296.524811,309.693939,0.000000
2006-06-05,296.370880,309.579681,0.000000
2006-06-06,296.937805,307.966644,2.608525
2006-06-07,294.542786,301.347137,5.126706
2006-06-08,294.842468,301.511108,20.856876
2006-06-09,294.798859,303.787628,17.132326
2006-06-10,295.627472,306.207397,7.573609
2006-06-11,295.391663,306.243927,9.775961
2006-06-12,295.867401,303.971954,1.211615
2006-06-13,296.096924,305.443237,0.487412
2006-06-14,295.736389,306.783203,0.420419
2006-06-15,296.054047,306.529205,1.021643
2006-06-16,296.313110,307.738495,2.907146
2006-06-17,297.211121,308.241638,10.290367
2006-06-18,296.813568,307.706940,4.243000
2006-06-19,295.819855,307.931946,0.683372
2006-06-20,295.288025,308.012024,0.000000
2006-06-21,295.696045,308.372955,0.000000
2006-06-22,295.852417,308.626526,0.367861
2006-06-23,296.474762,307.978485,4.640512
2006-06-24,294.480682,303.121643,1.230764
2006-06-25,292.864288,304.664093,0.000000
2006-06-26,294.102570,304.081787,0.000000
2006-06-27,294.359406,305.577576,0.903109
2006-06-28,294.681000,307.734406,0.525747
2006-06-29,296.213013,307.971313,2.088932
2006-06-30,296.448792,302.877502,22.316824
2006-07-01,296.162231,303.415466,11.567447
2006-07-02,296.511963,301.063812,37.443913
2006-07-03,294.839447,295.783325,48.586208
2006-07-04,296.915527,301.208069,37.376198
2006-07-05,296.689575,301.890991,10.794677
2006-07-06,296.029480,302.017212,26.320387
2006-07-07,294.637512,302.342194,13.806726
2006-07-08,294.655945,303.582550,0.550710
2006-07-09,294.521851,304.233429,1.743253
