#Variables:
#tasmax_bcc-csm1-1_historical(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) "
#Original Data File(s):
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax_bcc-csm1-1_historical(K)"
""
yyyy-mm-dd,tasmax_bcc-csm1-1_historical(K)
1950-01-01,293.908783
1950-01-02,291.860535
1950-01-03,292.105103
1950-01-04,296.862915
1950-01-05,294.942810
1950-01-06,295.102448
1950-01-07,299.019287
1950-01-08,295.659576
1950-01-09,285.835602
1950-01-10,283.013672
1950-01-11,287.888214
1950-01-12,288.884216
1950-01-13,293.151733
1950-01-14,292.678497
1950-01-15,296.586365
1950-01-16,297.630188
1950-01-17,299.730225
1950-01-18,297.347748
1950-01-19,284.257202
1950-01-20,271.845551
1950-01-21,280.071777
1950-01-22,284.900543
1950-01-23,291.234344
1950-01-24,291.795563
1950-01-25,294.296875
1950-01-26,294.861908
1950-01-27,294.980743
1950-01-28,292.717499
1950-01-29,290.036621
1950-01-30,297.837830
1950-01-31,298.590881
1950-02-01,301.635254
1950-02-02,302.225433
1950-02-03,302.974182
1950-02-04,302.010956
1950-02-05,302.322205
1950-02-06,297.784424
1950-02-07,293.753052
1950-02-08,295.235626
1950-02-09,296.964478
1950-02-10,299.010040
1950-02-11,298.486053
1950-02-12,295.097351
1950-02-13,292.191681
1950-02-14,294.608856
1950-02-15,300.900269
1950-02-16,302.135040
1950-02-17,302.590607
1950-02-18,302.045502
1950-02-19,300.559387
1950-02-20,299.083557
1950-02-21,296.807953
1950-02-22,291.599915
1950-02-23,287.806824
1950-02-24,293.483307
1950-02-25,300.971283
1950-02-26,302.570312
1950-02-27,303.880188
1950-02-28,303.008026
1950-03-01,302.056030
1950-03-02,303.003815
1950-03-03,302.613922
1950-03-04,295.774231
1950-03-05,290.809692
1950-03-06,288.095978
1950-03-07,290.071655
1950-03-08,284.914551
1950-03-09,285.029816
1950-03-10,286.719757
1950-03-11,287.076172
1950-03-12,297.246490
1950-03-13,295.707489
1950-03-14,291.595367
1950-03-15,291.868286
1950-03-16,291.473358
1950-03-17,292.987396
1950-03-18,290.493774
1950-03-19,290.002502
1950-03-20,290.262360
1950-03-21,297.600739
1950-03-22,294.666962
1950-03-23,291.786407
1950-03-24,292.184113
1950-03-25,295.437042
1950-03-26,295.497375
1950-03-27,298.958557
1950-03-28,293.040710
1950-03-29,290.835602
1950-03-30,288.109070
1950-03-31,288.988129
1950-04-01,284.696289
1950-04-02,288.489410
1950-04-03,291.376282
1950-04-04,292.006256
1950-04-05,293.809723
