#Variables:
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) "
#Original Data File(s):
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K)"
""
yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K)
2006-01-01,290.162354
2006-01-02,287.957947
2006-01-03,286.000092
2006-01-04,289.506042
2006-01-05,288.614441
2006-01-06,285.661682
2006-01-07,286.614441
2006-01-08,289.188690
2006-01-09,292.970215
2006-01-10,297.285583
2006-01-11,296.248993
2006-01-12,295.272461
2006-01-13,294.107849
2006-01-14,280.864532
2006-01-15,271.170380
2006-01-16,281.664307
2006-01-17,282.633728
2006-01-18,285.630371
2006-01-19,285.363953
2006-01-20,286.694702
2006-01-21,273.142090
2006-01-22,275.800598
2006-01-23,281.939362
2006-01-24,282.485626
2006-01-25,281.821228
2006-01-26,281.396332
2006-01-27,282.310577
2006-01-28,286.852051
2006-01-29,288.582306
2006-01-30,296.422760
2006-01-31,295.902557
2006-02-01,295.882874
2006-02-02,294.304474
2006-02-03,281.023590
2006-02-04,285.937439
2006-02-05,290.621826
2006-02-06,296.422119
2006-02-07,295.058228
2006-02-08,291.562042
2006-02-09,282.430023
2006-02-10,279.262299
2006-02-11,281.607605
2006-02-12,285.914734
2006-02-13,288.839935
2006-02-14,289.565094
2006-02-15,294.223328
2006-02-16,292.349823
2006-02-17,296.170074
2006-02-18,295.284821
2006-02-19,292.344635
2006-02-20,291.879028
2006-02-21,297.889832
2006-02-22,297.655579
2006-02-23,291.772827
2006-02-24,298.579163
2006-02-25,295.340668
2006-02-26,298.842712
2006-02-27,301.450500
2006-02-28,300.323975
2006-03-01,296.178864
2006-03-02,295.235748
2006-03-03,303.123322
2006-03-04,303.020935
2006-03-05,303.224701
2006-03-06,303.159088
2006-03-07,303.547729
2006-03-08,305.443604
2006-03-09,304.789032
2006-03-10,304.530151
2006-03-11,305.087616
2006-03-12,305.213593
2006-03-13,304.511169
2006-03-14,299.762756
2006-03-15,299.641998
2006-03-16,302.969055
2006-03-17,303.619476
2006-03-18,300.881073
2006-03-19,294.416901
2006-03-20,299.222900
2006-03-21,302.560425
2006-03-22,302.485291
2006-03-23,301.845062
2006-03-24,301.078064
2006-03-25,301.535065
2006-03-26,300.276550
2006-03-27,297.954590
2006-03-28,301.528381
2006-03-29,303.040497
2006-03-30,303.877930
2006-03-31,306.511902
2006-04-01,303.808044
2006-04-02,303.014984
2006-04-03,302.304932
2006-04-04,302.322449
2006-04-05,304.608643
2006-04-06,306.423828
2006-04-07,305.628754
2006-04-08,301.948639
2006-04-09,295.840271
2006-04-10,303.041473
2006-04-11,303.277649
2006-04-12,302.740326
2006-04-13,302.814484
2006-04-14,293.596130
2006-04-15,303.577179
2006-04-16,305.824554
2006-04-17,305.446869
2006-04-18,303.643066
2006-04-19,303.274597
2006-04-20,298.805511
2006-04-21,298.451141
2006-04-22,302.478302
2006-04-23,302.876862
2006-04-24,303.334259
2006-04-25,303.546478
2006-04-26,303.575378
2006-04-27,302.683228
2006-04-28,306.299713
2006-04-29,306.840698
2006-04-30,308.146179
2006-05-01,306.774506
2006-05-02,308.532867
2006-05-03,308.228546
2006-05-04,299.804413
2006-05-05,307.186646
2006-05-06,310.691711
2006-05-07,309.226532
2006-05-08,307.391388
2006-05-09,301.442932
2006-05-10,304.981262
2006-05-11,306.321777
2006-05-12,307.148193
2006-05-13,306.186279
2006-05-14,311.733887
2006-05-15,312.344360
2006-05-16,306.520538
2006-05-17,310.206268
2006-05-18,310.722321
2006-05-19,310.412537
2006-05-20,308.129730
2006-05-21,306.454163
2006-05-22,307.300781
2006-05-23,309.542938
2006-05-24,309.494629
2006-05-25,306.512634
2006-05-26,307.960968
2006-05-27,307.969269
2006-05-28,307.497711
2006-05-29,305.469543
2006-05-30,308.494202
2006-05-31,308.777283
2006-06-01,308.745697
2006-06-02,308.328369
2006-06-03,308.009644
2006-06-04,307.258972
2006-06-05,299.437103
2006-06-06,302.899597
2006-06-07,301.686707
2006-06-08,300.289307
2006-06-09,302.036194
2006-06-10,303.961243
2006-06-11,303.373291
2006-06-12,303.917633
2006-06-13,307.397583
2006-06-14,309.982361
2006-06-15,310.048737
2006-06-16,310.099670
2006-06-17,308.540009
2006-06-18,307.914368
2006-06-19,306.848755
2006-06-20,305.218903
2006-06-21,305.840576
2006-06-22,306.420654
2006-06-23,306.717438
2006-06-24,305.869385
2006-06-25,305.405090
2006-06-26,304.252747
2006-06-27,304.375671
2006-06-28,307.531158
2006-06-29,308.240784
2006-06-30,309.181641
2006-07-01,310.303284
2006-07-02,307.078033
2006-07-03,306.064209
2006-07-04,306.798279
2006-07-05,307.967957
2006-07-06,308.796906
2006-07-07,308.390411
2006-07-08,307.705963
2006-07-09,306.729828
2006-07-10,304.392273
2006-07-11,305.253204
2006-07-12,306.885376
2006-07-13,308.175659
2006-07-14,309.873657
2006-07-15,311.167480
2006-07-16,311.266479
2006-07-17,310.206970
2006-07-18,309.554535
2006-07-19,310.548370
2006-07-20,310.784698
2006-07-21,311.282043
2006-07-22,311.243866
2006-07-23,310.665466
2006-07-24,307.643219
2006-07-25,308.388550
2006-07-26,308.621368
2006-07-27,309.688873
2006-07-28,310.106903
2006-07-29,309.973267
2006-07-30,310.091095
2006-07-31,310.120361
2006-08-01,312.888580
2006-08-02,313.177155
2006-08-03,312.501984
2006-08-04,309.984497
2006-08-05,309.107452
2006-08-06,310.180725
2006-08-07,310.281982
2006-08-08,310.374084
2006-08-09,312.030853
2006-08-10,312.032166
2006-08-11,311.669250
2006-08-12,310.947449
2006-08-13,309.701691
2006-08-14,309.744507
2006-08-15,309.159912
2006-08-16,307.394562
2006-08-17,306.369751
2006-08-18,305.508942
2006-08-19,305.299316
2006-08-20,304.749756
2006-08-21,302.621552
2006-08-22,305.497528
2006-08-23,306.735504
2006-08-24,307.099945
2006-08-25,307.833649
2006-08-26,307.849304
2006-08-27,307.356018
2006-08-28,306.164551
2006-08-29,305.781616
2006-08-30,306.824371
2006-08-31,308.033112
2006-09-01,307.746704
2006-09-02,308.358002
2006-09-03,309.239807
2006-09-04,310.283630
2006-09-05,310.382141
2006-09-06,310.778381
2006-09-07,311.002686
2006-09-08,310.945312
2006-09-09,307.695343
2006-09-10,308.103577
2006-09-11,309.648071
2006-09-12,310.286896
2006-09-13,309.266968
2006-09-14,307.679596
2006-09-15,307.756348
2006-09-16,306.820404
2006-09-17,306.951416
2006-09-18,308.142059
2006-09-19,309.143219
2006-09-20,308.473358
2006-09-21,306.228027
2006-09-22,302.429230
2006-09-23,299.148865
2006-09-24,299.564667
2006-09-25,296.859863
2006-09-26,296.000000
2006-09-27,298.982941
2006-09-28,299.768982
2006-09-29,298.759155
2006-09-30,302.581482
2006-10-01,305.604431
2006-10-02,303.566406
2006-10-03,300.406860
2006-10-04,300.921844
2006-10-05,303.492126
2006-10-06,304.274872
2006-10-07,305.592163
2006-10-08,305.262482
2006-10-09,303.591461
2006-10-10,302.988892
2006-10-11,304.363037
2006-10-12,304.114960
2006-10-13,288.960022
2006-10-14,294.326233
2006-10-15,294.617859
2006-10-16,292.354584
2006-10-17,294.675568
2006-10-18,296.760345
2006-10-19,296.385193
2006-10-20,299.918060
2006-10-21,300.324219
2006-10-22,299.105225
2006-10-23,298.243958
2006-10-24,295.930847
2006-10-25,294.146118
2006-10-26,293.435272
2006-10-27,292.475189
2006-10-28,295.459442
2006-10-29,291.342010
2006-10-30,294.270813
2006-10-31,292.763397
2006-11-01,298.005066
2006-11-02,299.694916
2006-11-03,297.699066
2006-11-04,301.537964
2006-11-05,298.438507
2006-11-06,297.370605
2006-11-07,294.348785
2006-11-08,296.337830
2006-11-09,297.967987
2006-11-10,297.115509
2006-11-11,298.301544
2006-11-12,297.903229
2006-11-13,286.226929
2006-11-14,285.337708
2006-11-15,286.512573
2006-11-16,284.855835
2006-11-17,285.328705
2006-11-18,289.032196
2006-11-19,286.727142
2006-11-20,285.289673
2006-11-21,288.468842
2006-11-22,291.079773
2006-11-23,294.140594
2006-11-24,291.346649
2006-11-25,282.643433
2006-11-26,283.402405
2006-11-27,293.087402
2006-11-28,297.775635
2006-11-29,298.611053
2006-11-30,297.863831
2006-12-01,290.082886
2006-12-02,282.726898
2006-12-03,281.918060
2006-12-04,283.591980
2006-12-05,286.231262
2006-12-06,283.517639
2006-12-07,286.162384
2006-12-08,293.366089
2006-12-09,297.240295
2006-12-10,297.163055
2006-12-11,298.240326
2006-12-12,290.724823
2006-12-13,290.884888
2006-12-14,290.998779
2006-12-15,288.341705
2006-12-16,281.828918
2006-12-17,278.853027
2006-12-18,280.875885
2006-12-19,282.434998
2006-12-20,280.991333
2006-12-21,285.075378
2006-12-22,284.217224
2006-12-23,289.043152
2006-12-24,285.958923
2006-12-25,283.541840
2006-12-26,288.274811
2006-12-27,292.313629
2006-12-28,290.946289
2006-12-29,291.640259
2006-12-30,289.934845
2006-12-31,292.597717
2007-01-01,293.887085
2007-01-02,290.542816
2007-01-03,296.916412
2007-01-04,292.954529
2007-01-05,292.309021
2007-01-06,290.335571
2007-01-07,289.996185
2007-01-08,291.279022
2007-01-09,290.761536
2007-01-10,287.226990
2007-01-11,292.248901
2007-01-12,290.415466
2007-01-13,284.058197
2007-01-14,282.156891
2007-01-15,284.400787
2007-01-16,287.480194
2007-01-17,286.475739
2007-01-18,285.120361
2007-01-19,285.829010
2007-01-20,287.400818
2007-01-21,290.552094
2007-01-22,287.563354
2007-01-23,285.241791
2007-01-24,290.958923
2007-01-25,288.669281
2007-01-26,292.887085
2007-01-27,291.428802
2007-01-28,284.727661
2007-01-29,284.358459
2007-01-30,288.238464
2007-01-31,289.661835
2007-02-01,292.981781
2007-02-02,297.900299
2007-02-03,291.092407
2007-02-04,289.326355
2007-02-05,272.147400
2007-02-06,276.828949
2007-02-07,279.534393
2007-02-08,284.212067
2007-02-09,292.050751
2007-02-10,290.947479
2007-02-11,293.644257
2007-02-12,296.441223
2007-02-13,297.949158
2007-02-14,295.321533
2007-02-15,291.929596
2007-02-16,297.871185
2007-02-17,295.228760
2007-02-18,288.197693
2007-02-19,289.973358
2007-02-20,298.110992
2007-02-21,301.458099
2007-02-22,300.450409
2007-02-23,298.802551
2007-02-24,296.799194
2007-02-25,296.127289
2007-02-26,299.611206
2007-02-27,303.312286
2007-02-28,301.424408
2007-03-01,300.733307
2007-03-02,298.129181
2007-03-03,291.033936
2007-03-04,298.506470
2007-03-05,297.666229
2007-03-06,290.975189
2007-03-07,295.960236
2007-03-08,300.944611
2007-03-09,300.182861
2007-03-10,296.404541
2007-03-11,302.112030
2007-03-12,300.864349
2007-03-13,302.815643
2007-03-14,304.036072
2007-03-15,303.945740
2007-03-16,304.588989
2007-03-17,304.205200
2007-03-18,302.670685
2007-03-19,297.288147
2007-03-20,290.489166
2007-03-21,295.003326
2007-03-22,297.920715
2007-03-23,302.414093
2007-03-24,302.610077
2007-03-25,301.950989
2007-03-26,294.156311
2007-03-27,300.857330
2007-03-28,303.416626
2007-03-29,307.123230
2007-03-30,306.811676
2007-03-31,310.467407
2007-04-01,306.860657
2007-04-02,305.663330
2007-04-03,305.626129
2007-04-04,305.279419
2007-04-05,307.086365
2007-04-06,306.857483
2007-04-07,306.342896
2007-04-08,304.915497
2007-04-09,304.859497
2007-04-10,302.710266
2007-04-11,301.359833
2007-04-12,301.346680
2007-04-13,300.222412
2007-04-14,300.637054
2007-04-15,301.614166
2007-04-16,305.862915
2007-04-17,305.485443
2007-04-18,308.591461
2007-04-19,307.851379
2007-04-20,305.014465
2007-04-21,300.530090
2007-04-22,298.756958
2007-04-23,300.186554
2007-04-24,300.313660
2007-04-25,305.102112
2007-04-26,306.047302
2007-04-27,306.249908
2007-04-28,302.503540
2007-04-29,300.472900
2007-04-30,304.177094
2007-05-01,306.369019
2007-05-02,308.375244
2007-05-03,310.093567
2007-05-04,309.238312
2007-05-05,304.982666
2007-05-06,304.537994
2007-05-07,305.771515
2007-05-08,304.975403
2007-05-09,295.820801
2007-05-10,302.327545
2007-05-11,302.151978
2007-05-12,306.397766
2007-05-13,312.097290
2007-05-14,311.179779
2007-05-15,305.634491
2007-05-16,299.982880
2007-05-17,301.153229
2007-05-18,304.161804
2007-05-19,305.613403
2007-05-20,305.305725
2007-05-21,306.672485
2007-05-22,304.835236
2007-05-23,304.300262
2007-05-24,304.472351
2007-05-25,304.079956
2007-05-26,304.071289
2007-05-27,306.708374
2007-05-28,308.610199
2007-05-29,308.990692
2007-05-30,306.851746
2007-05-31,307.516144
2007-06-01,307.653046
2007-06-02,305.068726
2007-06-03,306.414886
2007-06-04,308.655060
2007-06-05,311.450226
2007-06-06,311.751434
2007-06-07,313.123535
2007-06-08,312.502655
2007-06-09,310.779633
2007-06-10,309.615845
2007-06-11,308.071198
2007-06-12,308.074310
2007-06-13,308.987122
2007-06-14,308.666260
2007-06-15,308.754913
2007-06-16,308.238495
2007-06-17,307.631439
2007-06-18,303.823456
2007-06-19,304.359467
2007-06-20,304.240570
2007-06-21,305.599365
2007-06-22,308.466095
2007-06-23,309.528473
2007-06-24,310.185425
2007-06-25,310.132812
2007-06-26,309.722992
2007-06-27,309.429443
2007-06-28,308.336365
2007-06-29,307.497345
2007-06-30,307.567413
2007-07-01,307.592529
2007-07-02,306.862976
2007-07-03,308.297913
2007-07-04,309.068085
2007-07-05,310.114197
2007-07-06,310.073517
2007-07-07,309.386047
2007-07-08,308.594879
2007-07-09,306.519989
2007-07-10,306.478546
2007-07-11,306.780121
2007-07-12,305.503082
2007-07-13,304.686523
2007-07-14,304.591034
2007-07-15,304.982513
2007-07-16,306.418976
2007-07-17,307.257782
2007-07-18,307.544342
2007-07-19,306.834045
2007-07-20,307.035126
2007-07-21,309.164856
2007-07-22,311.713623
2007-07-23,312.071167
2007-07-24,312.386597
2007-07-25,312.424133
2007-07-26,312.108002
2007-07-27,310.430695
2007-07-28,310.936188
2007-07-29,311.963013
2007-07-30,312.176788
2007-07-31,312.973022
2007-08-01,312.811981
2007-08-02,312.229858
2007-08-03,312.313293
2007-08-04,312.834534
2007-08-05,312.399750
2007-08-06,312.712708
2007-08-07,312.314453
2007-08-08,312.134521
2007-08-09,310.914307
2007-08-10,309.329437
2007-08-11,309.968750
2007-08-12,309.672638
2007-08-13,310.085449
2007-08-14,310.493835
2007-08-15,310.300812
2007-08-16,309.371246
2007-08-17,309.315979
2007-08-18,308.994354
2007-08-19,308.592194
2007-08-20,309.302338
2007-08-21,310.033661
2007-08-22,309.707550
2007-08-23,309.825714
2007-08-24,309.292053
2007-08-25,309.064667
2007-08-26,309.666199
2007-08-27,310.178711
2007-08-28,310.486542
2007-08-29,310.483795
2007-08-30,310.315674
2007-08-31,310.332520
2007-09-01,310.806488
2007-09-02,310.810028
2007-09-03,310.769409
2007-09-04,309.813232
