#Variables:,
#tasmax_bcc-csm1-1_historical(K):Daily Maximum Near-Surface Air Temperature,
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) ",
#Original Data File(s):,
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc ,
#===============================================,
"yyyy-mm-dd,tasmax_bcc-csm1-1_historical(K)",
,
yyyy-mm-dd,tasmax_CCSM4_historical(K)
1/1/1950,294.711914
1/2/1950,299.694641
1/3/1950,298.644775
1/4/1950,291.854645
1/5/1950,291.669067
1/6/1950,291.467773
1/7/1950,295.862793
1/8/1950,296.713623
1/9/1950,297.408203
1/10/1950,296.867767
1/11/1950,284.887878
1/12/1950,290.490417
1/13/1950,291.14859
1/14/1950,288.482178
1/15/1950,291.357727
1/16/1950,292.71817
1/17/1950,291.255157
1/18/1950,293.784637
1/19/1950,290.259705
1/20/1950,287.612579
1/21/1950,289.729736
1/22/1950,291.246399
1/23/1950,290.416016
1/24/1950,294.673523
1/25/1950,293.34552
1/26/1950,291.009979
1/27/1950,290.364044
1/28/1950,289.547302
1/29/1950,290.076385
1/30/1950,289.656097
1/31/1950,287.589355
2/1/1950,290.348297
2/2/1950,294.187927
2/3/1950,300.228485
2/4/1950,297.995667
2/5/1950,293.490387
2/6/1950,290.496704
2/7/1950,284.587341
2/8/1950,272.910553
2/9/1950,279.435211
2/10/1950,288.426941
2/11/1950,283.918945
2/12/1950,285.430725
2/13/1950,288.746246
2/14/1950,290.735809
2/15/1950,293.259369
2/16/1950,293.966919
2/17/1950,295.256561
2/18/1950,293.634766
2/19/1950,291.973663
2/20/1950,294.560974
2/21/1950,296.728363
2/22/1950,299.112762
2/23/1950,296.505157
2/24/1950,296.486145
2/25/1950,296.441376
2/26/1950,299.110168
2/27/1950,302.772369
2/28/1950,301.560699
3/1/1950,303.41272
3/2/1950,299.902588
3/3/1950,289.907196
3/4/1950,291.814209
3/5/1950,300.922546
3/6/1950,295.102509
3/7/1950,301.982391
3/8/1950,300.511475
3/9/1950,298.557526
3/10/1950,296.587128
3/11/1950,297.480286
3/12/1950,302.577728
3/13/1950,304.920349
3/14/1950,306.660919
3/15/1950,305.661865
3/16/1950,306.368835
3/17/1950,304.001282
3/18/1950,300.77066
3/19/1950,300.525452
3/20/1950,298.295288
3/21/1950,297.773102
3/22/1950,299.485352
3/23/1950,296.510895
3/24/1950,291.686554
3/25/1950,297.159668
3/26/1950,297.187378
3/27/1950,300.37085
3/28/1950,298.746521
3/29/1950,290.284546
3/30/1950,291.66214
3/31/1950,295.208435
4/1/1950,298.943665
4/2/1950,302.238495
4/3/1950,300.875763
4/4/1950,297.430725
4/5/1950,297.705963
4/6/1950,295.855408
4/7/1950,298.632294
4/8/1950,295.877563
4/9/1950,297.037964
4/10/1950,295.326721
4/11/1950,297.304535
4/12/1950,302.868835
4/13/1950,299.942017
4/14/1950,301.008118
4/15/1950,303.336487
4/16/1950,298.717957
4/17/1950,300.763245
4/18/1950,302.610962
4/19/1950,300.369507
4/20/1950,300.849579
4/21/1950,303.637939
4/22/1950,305.765991
4/23/1950,306.911285
4/24/1950,304.954315
4/25/1950,304.400208
4/26/1950,307.030273
4/27/1950,303.958252
4/28/1950,299.48877
4/29/1950,309.503143
4/30/1950,310.340942
5/1/1950,308.4245
5/2/1950,305.441284
5/3/1950,304.57666
5/4/1950,303.895905
5/5/1950,301.23703
5/6/1950,301.006287
5/7/1950,303.448029
5/8/1950,303.678772
5/9/1950,301.305298
5/10/1950,301.382324
5/11/1950,304.131134
5/12/1950,304.591309
5/13/1950,303.164795
5/14/1950,306.556427
5/15/1950,306.751831
5/16/1950,304.347473
5/17/1950,305.174469
5/18/1950,306.863525
5/19/1950,307.967529
5/20/1950,306.820221
5/21/1950,306.273712
5/22/1950,308.331482
5/23/1950,307.118958
5/24/1950,306.908997
5/25/1950,306.704651
5/26/1950,307.245117
5/27/1950,308.70108
5/28/1950,307.941101
5/29/1950,306.199585
5/30/1950,304.368225
5/31/1950,305.946777
6/1/1950,304.699921
6/2/1950,304.730042
6/3/1950,303.879456
6/4/1950,301.192688
6/5/1950,303.618988
6/6/1950,303.309906
6/7/1950,305.967865
6/8/1950,307.404694
6/9/1950,309.219604
6/10/1950,310.404968
6/11/1950,310.576691
6/12/1950,310.196716
6/13/1950,309.040436
6/14/1950,308.907074
6/15/1950,307.404877
6/16/1950,307.509827
6/17/1950,308.503662
6/18/1950,308.64032
6/19/1950,307.588776
6/20/1950,307.304077
6/21/1950,306.878174
6/22/1950,307.12439
6/23/1950,309.857025
6/24/1950,309.367371
6/25/1950,308.330994
6/26/1950,310.595703
6/27/1950,310.794434
6/28/1950,311.297211
6/29/1950,310.997986
6/30/1950,309.789001
7/1/1950,310.160919
7/2/1950,308.448456
7/3/1950,307.03717
7/4/1950,309.165375
7/5/1950,310.49588
7/6/1950,308.665253
7/7/1950,307.973206
7/8/1950,309.92337
7/9/1950,311.262787
7/10/1950,311.3013
7/11/1950,311.278717
7/12/1950,310.992065
7/13/1950,311.919647
7/14/1950,312.052612
7/15/1950,311.129395
7/16/1950,310.307373
7/17/1950,310.35318
7/18/1950,309.944733
7/19/1950,310.963928
7/20/1950,311.634003
7/21/1950,310.203674
7/22/1950,310.192413
7/23/1950,310.742737
7/24/1950,311.761353
7/25/1950,309.79541
7/26/1950,309.099762
7/27/1950,309.933014
7/28/1950,309.750336
7/29/1950,309.711182
7/30/1950,311.033295
7/31/1950,311.855042
8/1/1950,312.066071
8/2/1950,311.940521
8/3/1950,310.975067
8/4/1950,309.7117
8/5/1950,309.890259
8/6/1950,310.292084
8/7/1950,310.043213
8/8/1950,310.914856
8/9/1950,310.707794
8/10/1950,309.80484
8/11/1950,308.990173
8/12/1950,309.111694
8/13/1950,310.343384
8/14/1950,310.552368
8/15/1950,311.209961
8/16/1950,312.081635
8/17/1950,311.854401
8/18/1950,309.331299
8/19/1950,306.641632
8/20/1950,305.953094
8/21/1950,304.610657
8/22/1950,303.248596
8/23/1950,305.138275
8/24/1950,304.988647
8/25/1950,302.709778
8/26/1950,305.855743
8/27/1950,307.33313
8/28/1950,308.308746
8/29/1950,308.71524
8/30/1950,308.859894
8/31/1950,307.914764
9/1/1950,306.712341
9/2/1950,306.63385
9/3/1950,306.789307
9/4/1950,307.852448
9/5/1950,310.014557
9/6/1950,310.951111
9/7/1950,310.045868
9/8/1950,308.017242
9/9/1950,304.323486
9/10/1950,299.732025
9/11/1950,296.286285
9/12/1950,300.462677
