#Variables:,
#pr_bcc-csm1-1_rcp45(mm):Precipitation,
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) ",
#Original Data File(s):,
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc ,
#===============================================,
"yyyy-mm-dd,pr_bcc-csm1-1_rcp45(mm)",
,
yyyy-mm-dd,pr_CCSM4_rcp45(mm)
1/1/2006,2.025701
1/2/2006,2.257721
1/3/2006,3.476029
1/4/2006,0
1/5/2006,0
1/6/2006,0
1/7/2006,0
1/8/2006,0
1/9/2006,3.497371
1/10/2006,0
1/11/2006,0
1/12/2006,0.34518
1/13/2006,0
1/14/2006,0
1/15/2006,0
1/16/2006,0
1/17/2006,10.992262
1/18/2006,5.016342
1/19/2006,0.8263
1/20/2006,9.361677
1/21/2006,1.665689
1/22/2006,0
1/23/2006,0
1/24/2006,0
1/25/2006,0
1/26/2006,0
1/27/2006,0
1/28/2006,0
1/29/2006,0
1/30/2006,0
1/31/2006,0
2/1/2006,0
2/2/2006,0
2/3/2006,0
2/4/2006,0
2/5/2006,0
2/6/2006,0
2/7/2006,0
2/8/2006,0
2/9/2006,4.745589
2/10/2006,0
2/11/2006,0
2/12/2006,0
2/13/2006,0
2/14/2006,0.334522
2/15/2006,0
2/16/2006,0
2/17/2006,0
2/18/2006,0
2/19/2006,0
2/20/2006,0
2/21/2006,0
2/22/2006,0
2/23/2006,0
2/24/2006,0
2/25/2006,0
2/26/2006,0
2/27/2006,0
2/28/2006,0
3/1/2006,0
3/2/2006,0
3/3/2006,5.940277
3/4/2006,14.374725
3/5/2006,7.912846
3/6/2006,10.534326
3/7/2006,16.003754
3/8/2006,0.513374
3/9/2006,0
3/10/2006,44.043808
3/11/2006,6.219017
3/12/2006,4.846041
3/13/2006,0
3/14/2006,0
3/15/2006,20.253542
3/16/2006,0
3/17/2006,0
3/18/2006,0
3/19/2006,2.404148
3/20/2006,0
3/21/2006,0
3/22/2006,0
3/23/2006,0.486849
3/24/2006,0
