#Variables:,
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature,
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) ",
#Original Data File(s):,
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc ,
#===============================================,
"yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K)",
,
yyyy-mm-dd,tasmax_CCSM4_rcp85(K)
1/1/2006,297.316345
1/2/2006,294.919891
1/3/2006,289.255798
1/4/2006,285.744324
1/5/2006,294.283478
1/6/2006,293.657959
1/7/2006,290.334167
1/8/2006,293.200745
1/9/2006,293.960846
1/10/2006,294.027252
1/11/2006,294.739899
1/12/2006,293.306763
1/13/2006,295.667023
1/14/2006,298.217407
1/15/2006,295.230621
1/16/2006,292.366577
1/17/2006,295.30603
1/18/2006,298.1698
1/19/2006,300.347168
1/20/2006,301.878052
1/21/2006,298.287933
1/22/2006,298.904755
1/23/2006,300.852539
1/24/2006,301.917633
1/25/2006,301.664825
1/26/2006,296.593201
1/27/2006,292.095459
1/28/2006,288.876526
1/29/2006,281.156403
1/30/2006,291.628418
1/31/2006,292.291687
2/1/2006,296.04657
2/2/2006,288.935608
2/3/2006,279.902252
2/4/2006,286.012207
2/5/2006,289.853577
2/6/2006,287.423676
2/7/2006,289.486115
2/8/2006,291.110352
2/9/2006,290.739868
2/10/2006,290.032379
2/11/2006,291.261169
2/12/2006,290.147888
2/13/2006,294.732117
2/14/2006,297.639648
2/15/2006,298.250671
2/16/2006,285.488525
2/17/2006,286.402069
2/18/2006,285.344543
2/19/2006,292.622345
2/20/2006,303.744629
2/21/2006,297.1492
2/22/2006,290.134033
2/23/2006,289.909027
2/24/2006,288.482483
2/25/2006,294.969788
2/26/2006,303.191132
2/27/2006,297.85556
2/28/2006,292.635529
3/1/2006,294.501099
3/2/2006,295.184082
3/3/2006,293.822357
3/4/2006,296.725494
3/5/2006,291.488861
3/6/2006,297.373291
3/7/2006,301.7854
3/8/2006,298.560272
3/9/2006,295.201416
3/10/2006,297.996155
3/11/2006,300.014832
3/12/2006,302.080078
3/13/2006,300.025269
3/14/2006,293.171448
3/15/2006,297.566864
3/16/2006,288.370514
3/17/2006,287.370819
3/18/2006,287.165222
3/19/2006,289.022064
3/20/2006,288.16037
3/21/2006,289.779755
3/22/2006,295.395416
