#Variables:
#vas_bcc-csm1-1_historical(ms-1):Northward Wind
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_vas_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,vas_bcc-csm1-1_historical(ms-1)"
""
yyyy-mm-dd,vas_bcc-csm1-1_historical(ms-1)
1950-01-01,3.454917
1950-01-02,-4.173544
1950-01-03,1.520620
1950-01-04,3.224938
1950-01-05,3.073087
1950-01-06,-1.294049
1950-01-07,-1.121098
1950-01-08,-6.244654
1950-01-09,-7.320902
1950-01-10,-6.253203
1950-01-11,-6.175117
1950-01-12,-4.012175
1950-01-13,3.477003
1950-01-14,-3.646252
1950-01-15,-2.104256
1950-01-16,0.000007
1950-01-17,4.179893
1950-01-18,1.118426
1950-01-19,-7.611507
1950-01-20,-7.102236
1950-01-21,-1.962964
1950-01-22,3.857140
1950-01-23,4.835694
1950-01-24,5.000587
1950-01-25,3.411326
1950-01-26,2.415955
1950-01-27,2.752314
1950-01-28,-0.417055
1950-01-29,1.456325
1950-01-30,0.784067
1950-01-31,2.115289
1950-02-01,1.363230
1950-02-02,5.156163
1950-02-03,5.189705
1950-02-04,5.629187
1950-02-05,5.790164
1950-02-06,3.446353
1950-02-07,3.474076
1950-02-08,-2.025803
1950-02-09,4.758123
1950-02-10,5.381482
1950-02-11,4.206687
1950-02-12,-2.821325
1950-02-13,-2.521968
1950-02-14,5.992166
1950-02-15,6.159823
1950-02-16,5.611866
1950-02-17,6.958557
1950-02-18,8.104031
1950-02-19,5.606541
1950-02-20,2.141423
1950-02-21,-5.360021
1950-02-22,-2.037072
1950-02-23,3.755620
1950-02-24,5.725942
1950-02-25,5.733595
1950-02-26,3.041794
1950-02-27,3.256738
1950-02-28,-2.194545
1950-03-01,1.748682
1950-03-02,5.963039
1950-03-03,1.958465
1950-03-04,-5.008477
1950-03-05,-2.642201
1950-03-06,-1.325496
1950-03-07,-3.985255
1950-03-08,-5.897674
1950-03-09,-6.288921
1950-03-10,2.390082
1950-03-11,5.544806
1950-03-12,6.138095
1950-03-13,4.644612
1950-03-14,4.269585
1950-03-15,-0.446095
1950-03-16,-0.594861
1950-03-17,3.086292
1950-03-18,1.898001
1950-03-19,1.269153
1950-03-20,3.731942
1950-03-21,6.116187
1950-03-22,4.052622
1950-03-23,-8.014332
1950-03-24,-3.049264
1950-03-25,5.069421
1950-03-26,5.314033
1950-03-27,4.721144
1950-03-28,-5.799337
1950-03-29,-3.486069
1950-03-30,-2.919886
1950-03-31,-3.867596
1950-04-01,-4.293777
1950-04-02,-5.918567
1950-04-03,-3.157922
1950-04-04,3.635218
1950-04-05,4.983277
1950-04-06,6.175630
1950-04-07,5.201100
1950-04-08,3.016944
1950-04-09,4.476320
1950-04-10,-5.264423
1950-04-11,-0.836533
1950-04-12,3.575035
1950-04-13,3.565710
1950-04-14,6.809866
1950-04-15,6.767467
1950-04-16,4.258158
1950-04-17,3.537334
1950-04-18,3.787176
1950-04-19,3.654986
1950-04-20,4.874969
1950-04-21,3.272342
1950-04-22,2.466434
1950-04-23,4.233687
1950-04-24,5.253457
1950-04-25,4.694946
1950-04-26,5.288772
1950-04-27,6.631089
1950-04-28,5.706879
1950-04-29,5.609647
1950-04-30,-0.436433
1950-05-01,-3.230428
1950-05-02,1.596354
1950-05-03,2.863382
1950-05-04,5.002037
1950-05-05,1.108171
1950-05-06,-1.592659
1950-05-07,3.717560
1950-05-08,6.171952
1950-05-09,5.659571
1950-05-10,4.190412
1950-05-11,5.958503
1950-05-12,4.678544
1950-05-13,3.264706
1950-05-14,2.408280
1950-05-15,3.731851
1950-05-16,6.445221
1950-05-17,6.549679
1950-05-18,5.839390
1950-05-19,4.530599
1950-05-20,3.913708
1950-05-21,5.266751
1950-05-22,6.268713
1950-05-23,6.677006
1950-05-24,6.020571
1950-05-25,5.393359
1950-05-26,3.448879
1950-05-27,2.006740
1950-05-28,3.707851
1950-05-29,5.870871
1950-05-30,5.257517
1950-05-31,3.667692
1950-06-01,4.063494
1950-06-02,5.356548
1950-06-03,5.815751
1950-06-04,4.272646
1950-06-05,4.793101
1950-06-06,5.341641
1950-06-07,1.942139
1950-06-08,-0.069197
1950-06-09,-1.343135
1950-06-10,1.934960
1950-06-11,2.703914
1950-06-12,2.399882
1950-06-13,2.878401
1950-06-14,2.575419
1950-06-15,3.067111
1950-06-16,2.290683
1950-06-17,-1.717125
1950-06-18,-3.223918
1950-06-19,2.541344
1950-06-20,2.501596
1950-06-21,3.034947
1950-06-22,4.046310
1950-06-23,4.635822
1950-06-24,3.628446
1950-06-25,4.498290
1950-06-26,5.128160
1950-06-27,5.077549
1950-06-28,5.355383
1950-06-29,6.505661
1950-06-30,5.818882
1950-07-01,5.421390
1950-07-02,5.635436
1950-07-03,5.756704
1950-07-04,6.038043
1950-07-05,6.083816
1950-07-06,5.980087
1950-07-07,5.546762
1950-07-08,5.505183
1950-07-09,5.907646
1950-07-10,6.101392
1950-07-11,5.055835
1950-07-12,5.270021
1950-07-13,5.175262
1950-07-14,6.399261
1950-07-15,6.702921
1950-07-16,5.205402
1950-07-17,4.266941
1950-07-18,4.405080
1950-07-19,3.183105
1950-07-20,0.514073
1950-07-21,2.345484
1950-07-22,3.768383
1950-07-23,5.538846
1950-07-24,7.167822
1950-07-25,5.273777
1950-07-26,4.914618
1950-07-27,5.618194
1950-07-28,6.141375
1950-07-29,5.873784
1950-07-30,7.062276
1950-07-31,7.257728
1950-08-01,6.638063
1950-08-02,5.242623
1950-08-03,4.219477
1950-08-04,3.941742
1950-08-05,3.743729
1950-08-06,4.195959
1950-08-07,4.710558
1950-08-08,4.791655
1950-08-09,3.718214
1950-08-10,3.929043
1950-08-11,4.133515
1950-08-12,3.291123
1950-08-13,2.611554
1950-08-14,0.959391
1950-08-15,0.984745
1950-08-16,3.050762
1950-08-17,5.320348
1950-08-18,4.839913
1950-08-19,4.270065
1950-08-20,3.905757
1950-08-21,3.470044
1950-08-22,2.748830
1950-08-23,3.121870
1950-08-24,3.507731
1950-08-25,3.724667
1950-08-26,3.399862
1950-08-27,2.296686
1950-08-28,-1.580895
1950-08-29,-2.666658
1950-08-30,1.388180
1950-08-31,4.428568
1950-09-01,5.907803
1950-09-02,6.180951
1950-09-03,4.966936
1950-09-04,3.156565
1950-09-05,3.056825
1950-09-06,2.517941
1950-09-07,2.323878
1950-09-08,-2.252838
1950-09-09,-4.461447
1950-09-10,-1.344752
1950-09-11,3.345352
1950-09-12,3.497935
1950-09-13,2.709444
1950-09-14,2.029501
1950-09-15,2.723287
1950-09-16,3.300072
1950-09-17,3.412231
1950-09-18,2.964852
1950-09-19,0.890798
1950-09-20,0.918507
1950-09-21,0.517964
1950-09-22,-1.314050
1950-09-23,-3.084116
1950-09-24,-3.070765
1950-09-25,-1.780312
1950-09-26,-0.559578
1950-09-27,0.589215
1950-09-28,-1.965051
1950-09-29,-2.585145
1950-09-30,3.848453
1950-10-01,5.727085
1950-10-02,4.971463
1950-10-03,5.325052
1950-10-04,6.080681
1950-10-05,4.261901
1950-10-06,-0.200365
1950-10-07,-1.489159
1950-10-08,0.811551
1950-10-09,-1.785405
1950-10-10,-2.818701
1950-10-11,0.966490
1950-10-12,2.580263
1950-10-13,3.060930
1950-10-14,2.908125
1950-10-15,2.866839
1950-10-16,1.870087
1950-10-17,3.265255
1950-10-18,0.360090
1950-10-19,3.100441
1950-10-20,-0.917696
1950-10-21,0.589184
1950-10-22,-1.703089
1950-10-23,2.426922
1950-10-24,3.885322
1950-10-25,5.248689
1950-10-26,1.451555
1950-10-27,-4.370370
1950-10-28,4.685039
1950-10-29,5.292318
1950-10-30,-6.112434
1950-10-31,2.785185
1950-11-01,6.930418
1950-11-02,4.318109
1950-11-03,2.754187
1950-11-04,4.768884
1950-11-05,1.921250
1950-11-06,2.265494
1950-11-07,0.954122
1950-11-08,-0.574257
1950-11-09,3.209547
1950-11-10,3.329333
1950-11-11,2.809898
1950-11-12,3.467861
1950-11-13,4.193272
1950-11-14,4.247958
1950-11-15,4.561487
1950-11-16,5.135275
1950-11-17,-5.176862
1950-11-18,1.735831
1950-11-19,2.530886
1950-11-20,0.978643
1950-11-21,3.632806
1950-11-22,3.814102
1950-11-23,5.507761
1950-11-24,2.656296
1950-11-25,2.242993
1950-11-26,-4.302981
1950-11-27,-4.347178
1950-11-28,-2.681489
1950-11-29,1.939670
1950-11-30,-4.332380
1950-12-01,-3.426980
1950-12-02,1.197088
1950-12-03,4.025545
1950-12-04,-5.750514
1950-12-05,3.194376
1950-12-06,1.516802
1950-12-07,4.153553
1950-12-08,3.847523
1950-12-09,-4.118920
1950-12-10,-4.334032
1950-12-11,4.397433
1950-12-12,5.525178
1950-12-13,-1.865330
1950-12-14,-4.006251
1950-12-15,2.391402
1950-12-16,5.929424
1950-12-17,7.200597
1950-12-18,-3.107237
1950-12-19,-7.177556
1950-12-20,-2.595588
1950-12-21,1.255345
1950-12-22,2.159614
1950-12-23,3.926323
1950-12-24,3.725444
1950-12-25,4.097627
1950-12-26,4.134562
1950-12-27,-0.301965
1950-12-28,-4.694479
1950-12-29,-1.944592
1950-12-30,-1.667241
1950-12-31,1.237842
1951-01-01,2.428255
1951-01-02,0.235663
1951-01-03,1.776306
1951-01-04,-5.600549
1951-01-05,-5.366456
1951-01-06,-2.337552
1951-01-07,4.582230
1951-01-08,4.460336
1951-01-09,1.977746
1951-01-10,2.495637
1951-01-11,4.496210
1951-01-12,5.860675
1951-01-13,3.703574
1951-01-14,2.443087
1951-01-15,-2.259830
1951-01-16,5.014625
1951-01-17,3.964065
1951-01-18,2.365408
1951-01-19,-2.080859
1951-01-20,0.377677
1951-01-21,1.173221
1951-01-22,2.900349
1951-01-23,-1.675975
1951-01-24,-0.374414
1951-01-25,4.077558
1951-01-26,5.778567
1951-01-27,5.252269
1951-01-28,3.599946
1951-01-29,5.825928
1951-01-30,2.992789
1951-01-31,1.406958
1951-02-01,3.341152
1951-02-02,-2.428559
1951-02-03,2.267027
1951-02-04,2.686891
1951-02-05,5.000127
1951-02-06,-4.692364
1951-02-07,-1.711942
1951-02-08,2.336760
1951-02-09,1.959143
1951-02-10,-1.014821
1951-02-11,3.045232
1951-02-12,4.253110
1951-02-13,4.097194
1951-02-14,-2.664013
1951-02-15,1.246693
1951-02-16,3.774451
1951-02-17,-1.912710
1951-02-18,-4.318363
1951-02-19,-3.306423
1951-02-20,-3.687302
1951-02-21,-3.789731
1951-02-22,-4.314102
1951-02-23,1.677269
1951-02-24,4.949989
1951-02-25,5.352714
1951-02-26,4.211024
1951-02-27,7.245125
1951-02-28,2.737177
1951-03-01,-5.788406
1951-03-02,-2.887789
1951-03-03,2.417557
1951-03-04,5.991461
1951-03-05,4.714606
1951-03-06,0.369955
1951-03-07,-1.716313
1951-03-08,1.065166
1951-03-09,5.182859
1951-03-10,4.667307
1951-03-11,2.708639
1951-03-12,-1.641639
1951-03-13,6.097916
1951-03-14,3.862646
1951-03-15,4.255380
1951-03-16,8.062084
1951-03-17,5.954141
1951-03-18,3.377577
1951-03-19,1.368762
1951-03-20,-3.429317
1951-03-21,-1.041299
1951-03-22,3.061781
1951-03-23,5.053844
1951-03-24,6.299352
1951-03-25,4.480373
1951-03-26,-3.321922
1951-03-27,-3.161063
1951-03-28,-4.155409
1951-03-29,-2.933537
1951-03-30,2.895035
1951-03-31,5.717561
1951-04-01,3.880608
1951-04-02,1.344800
1951-04-03,4.186920
1951-04-04,5.969240
1951-04-05,5.103570
1951-04-06,5.025211
1951-04-07,5.031135
1951-04-08,5.395348
1951-04-09,4.687169
1951-04-10,5.201431
1951-04-11,2.407727
1951-04-12,2.706524
1951-04-13,-5.060843
1951-04-14,-4.541318
1951-04-15,2.863493
1951-04-16,4.812352
1951-04-17,7.598699
1951-04-18,4.619744
1951-04-19,4.505198
1951-04-20,5.558798
1951-04-21,-6.968706
1951-04-22,4.487815
1951-04-23,5.823909
1951-04-24,3.810173
1951-04-25,5.170053
1951-04-26,6.353436
1951-04-27,4.139252
1951-04-28,-3.484613
1951-04-29,-2.751158
1951-04-30,3.747146
1951-05-01,6.566783
1951-05-02,6.267739
1951-05-03,5.103129
1951-05-04,5.391854
1951-05-05,5.301240
1951-05-06,5.258101
1951-05-07,4.845031
1951-05-08,2.306936
1951-05-09,3.856725
1951-05-10,7.336744
1951-05-11,4.503997
1951-05-12,-1.950336
1951-05-13,3.903610
1951-05-14,6.377394
1951-05-15,4.784214
1951-05-16,2.876089
1951-05-17,5.323601
1951-05-18,6.270061
1951-05-19,6.705686
1951-05-20,5.783425
1951-05-21,3.522531
1951-05-22,4.784533
1951-05-23,-1.260517
1951-05-24,1.105215
1951-05-25,1.576021
1951-05-26,4.299257
1951-05-27,8.663778
1951-05-28,7.065939
1951-05-29,5.864707
1951-05-30,6.977643
1951-05-31,6.584713
1951-06-01,3.469220
1951-06-02,-0.730003
1951-06-03,-2.357729
1951-06-04,1.758712
1951-06-05,2.936227
1951-06-06,3.621722
1951-06-07,3.927981
1951-06-08,3.716079
1951-06-09,4.221542
1951-06-10,3.834445
1951-06-11,3.574314
1951-06-12,4.415268
1951-06-13,3.503267
1951-06-14,3.760509
1951-06-15,3.148273
1951-06-16,3.888600
1951-06-17,4.677155
1951-06-18,3.860166
1951-06-19,2.703537
1951-06-20,2.372966
1951-06-21,1.924197
1951-06-22,3.448241
1951-06-23,2.038575
1951-06-24,1.833018
1951-06-25,-0.778617
1951-06-26,-1.966589
1951-06-27,1.159432
1951-06-28,3.376528
1951-06-29,4.239152
1951-06-30,3.432335
1951-07-01,2.642397
1951-07-02,0.994240
1951-07-03,1.770148
1951-07-04,2.979166
1951-07-05,4.018829
1951-07-06,4.212448
1951-07-07,3.891698
1951-07-08,3.909364
1951-07-09,3.907736
