#Variables:
#uas_bcc-csm1-1_rcp85(ms-1):Eastward Wind
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_uas_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,uas_bcc-csm1-1_rcp85(ms-1)"
""
yyyy-mm-dd,uas_bcc-csm1-1_rcp85(ms-1)
2006-01-01,-0.345259
2006-01-02,0.954206
2006-01-03,-0.496480
2006-01-04,-1.019192
2006-01-05,-0.055551
2006-01-06,-0.711548
2006-01-07,1.324645
2006-01-08,4.307441
2006-01-09,6.336545
2006-01-10,4.407388
2006-01-11,3.420997
2006-01-12,2.586960
2006-01-13,-2.491978
2006-01-14,-5.078786
2006-01-15,-3.564672
2006-01-16,-2.323678
2006-01-17,3.014498
2006-01-18,0.598832
2006-01-19,-0.740298
2006-01-20,-6.070483
2006-01-21,-2.437593
2006-01-22,-2.034501
2006-01-23,-1.553639
2006-01-24,2.452808
2006-01-25,-1.703992
2006-01-26,-2.767851
2006-01-27,-2.351225
2006-01-28,1.035298
2006-01-29,0.073817
2006-01-30,0.387009
2006-01-31,0.733405
2006-02-01,0.206399
2006-02-02,-5.392303
2006-02-03,-3.844094
2006-02-04,0.113741
2006-02-05,0.612908
2006-02-06,2.646826
2006-02-07,1.913973
2006-02-08,-1.955266
2006-02-09,-3.228461
2006-02-10,-2.792819
2006-02-11,-2.380320
2006-02-12,0.272223
2006-02-13,-0.775622
2006-02-14,-4.113608
2006-02-15,-3.709732
2006-02-16,-3.105297
2006-02-17,-0.081933
2006-02-18,0.561103
2006-02-19,-2.705903
2006-02-20,-2.015871
2006-02-21,-2.424243
2006-02-22,6.163548
2006-02-23,1.869174
2006-02-24,1.134579
2006-02-25,2.072206
2006-02-26,2.936616
2006-02-27,3.895121
2006-02-28,-1.989796
2006-03-01,-5.713500
2006-03-02,-0.935413
2006-03-03,2.166611
2006-03-04,3.018264
2006-03-05,0.911508
2006-03-06,3.842572
2006-03-07,0.780212
2006-03-08,-0.279005
2006-03-09,0.313141
2006-03-10,0.334570
2006-03-11,-2.189102
2006-03-12,0.019891
2006-03-13,-1.912619
2006-03-14,-2.942252
2006-03-15,-0.138053
2006-03-16,2.298650
2006-03-17,1.209095
2006-03-18,-3.548635
2006-03-19,-1.744145
2006-03-20,0.084242
2006-03-21,-0.676337
2006-03-22,-2.244937
2006-03-23,-2.987411
2006-03-24,-2.666106
2006-03-25,-0.311530
2006-03-26,0.163286
2006-03-27,0.507774
2006-03-28,-0.471522
2006-03-29,-2.495130
2006-03-30,-2.437513
2006-03-31,-0.892225
2006-04-01,-1.085376
2006-04-02,-3.581403
2006-04-03,-2.325954
2006-04-04,0.364197
2006-04-05,-2.020916
2006-04-06,1.719588
2006-04-07,1.953529
2006-04-08,-3.140021
2006-04-09,-4.098557
2006-04-10,-1.407953
2006-04-11,4.837028
2006-04-12,-2.425544
2006-04-13,-3.594196
2006-04-14,3.025967
2006-04-15,3.724133
2006-04-16,1.219199
2006-04-17,0.453071
2006-04-18,3.630333
2006-04-19,-1.835785
2006-04-20,-3.114537
2006-04-21,-3.414377
2006-04-22,-1.877027
2006-04-23,2.067595
2006-04-24,6.967559
2006-04-25,5.671739
2006-04-26,-2.940069
2006-04-27,-5.112267
2006-04-28,-2.104362
2006-04-29,-0.073963
2006-04-30,1.694184
2006-05-01,1.860730
2006-05-02,0.379086
2006-05-03,-4.775346
2006-05-04,-4.574100
2006-05-05,-0.981046
2006-05-06,2.283068
2006-05-07,1.949073
2006-05-08,-2.421391
2006-05-09,-3.374462
2006-05-10,0.273381
2006-05-11,-1.334544
2006-05-12,-1.419667
2006-05-13,-0.761417
2006-05-14,0.089154
2006-05-15,-1.196429
2006-05-16,-6.579025
2006-05-17,-3.370214
2006-05-18,-0.388051
2006-05-19,-0.881700
2006-05-20,-2.214922
2006-05-21,-3.067959
2006-05-22,-2.753949
2006-05-23,-0.268005
2006-05-24,-3.405162
2006-05-25,-5.443153
2006-05-26,-4.626725
2006-05-27,-3.564474
2006-05-28,-3.773001
2006-05-29,-2.305637
2006-05-30,-1.321478
2006-05-31,-0.566086
2006-06-01,-1.203544
2006-06-02,-1.476206
2006-06-03,-2.327464
2006-06-04,-3.404595
2006-06-05,-3.252596
2006-06-06,-1.858441
2006-06-07,-1.658556
2006-06-08,-2.641439
2006-06-09,-1.857879
2006-06-10,-1.672312
2006-06-11,-2.017278
2006-06-12,-1.757503
2006-06-13,-0.767981
2006-06-14,0.112453
2006-06-15,-1.062483
2006-06-16,-1.687769
2006-06-17,-2.466207
2006-06-18,-2.797526
2006-06-19,-2.277675
2006-06-20,-2.119329
2006-06-21,-1.926287
2006-06-22,-2.507983
2006-06-23,-2.855262
2006-06-24,-3.801205
2006-06-25,-2.364657
2006-06-26,-1.732219
2006-06-27,-2.095274
2006-06-28,-2.582181
2006-06-29,-2.538023
2006-06-30,-2.119775
2006-07-01,-2.478195
2006-07-02,-2.661549
2006-07-03,-1.598381
2006-07-04,-0.567266
2006-07-05,-0.566141
2006-07-06,-1.093837
2006-07-07,-1.637983
2006-07-08,-1.690705
2006-07-09,-2.038872
2006-07-10,-2.107086
2006-07-11,-0.374677
2006-07-12,1.298239
2006-07-13,1.983919
2006-07-14,1.328841
2006-07-15,-0.290973
2006-07-16,-0.449624
2006-07-17,-0.528005
2006-07-18,-1.083403
2006-07-19,-0.945704
2006-07-20,-0.961747
2006-07-21,-0.996670
2006-07-22,-2.043815
2006-07-23,-2.630249
2006-07-24,-2.174103
2006-07-25,-1.248115
2006-07-26,-0.711361
2006-07-27,-0.342385
2006-07-28,-0.400549
2006-07-29,-1.259728
2006-07-30,-1.575608
2006-07-31,-0.588164
2006-08-01,-0.041873
2006-08-02,0.716236
2006-08-03,-1.602708
2006-08-04,-1.977955
2006-08-05,-1.326676
2006-08-06,-1.087364
2006-08-07,-1.437979
2006-08-08,-0.870513
2006-08-09,-0.344153
2006-08-10,-0.439332
2006-08-11,-1.045714
2006-08-12,-1.889503
2006-08-13,-2.832517
2006-08-14,-2.224296
2006-08-15,-1.900612
2006-08-16,-2.453657
2006-08-17,-2.151058
2006-08-18,-1.595876
2006-08-19,-2.303134
2006-08-20,-1.931272
2006-08-21,-1.994879
2006-08-22,-2.442051
2006-08-23,-1.300612
2006-08-24,-1.102037
2006-08-25,-0.478864
2006-08-26,0.263482
2006-08-27,-0.405183
2006-08-28,-0.650609
2006-08-29,-0.406605
2006-08-30,0.260145
2006-08-31,0.823313
2006-09-01,0.274417
2006-09-02,-0.803246
2006-09-03,-1.400262
2006-09-04,-1.635501
2006-09-05,-1.356566
2006-09-06,3.306687
2006-09-07,3.265061
2006-09-08,-2.266769
2006-09-09,-2.492745
2006-09-10,-0.416754
2006-09-11,0.253565
2006-09-12,-2.006100
2006-09-13,-2.842610
2006-09-14,-2.878503
2006-09-15,-2.028120
2006-09-16,-1.605744
2006-09-17,-1.433809
2006-09-18,-0.009332
2006-09-19,0.045104
2006-09-20,-2.389285
2006-09-21,-4.491888
2006-09-22,-4.780731
2006-09-23,-4.580031
2006-09-24,-4.145036
2006-09-25,-3.387559
2006-09-26,-3.128539
2006-09-27,-1.319398
2006-09-28,-0.381996
2006-09-29,-0.847264
2006-09-30,-0.830626
2006-10-01,1.182416
2006-10-02,-1.563760
2006-10-03,-1.990556
2006-10-04,-0.068965
2006-10-05,1.598441
2006-10-06,-0.089794
2006-10-07,0.499850
2006-10-08,-0.767994
2006-10-09,0.651754
2006-10-10,-0.341904
2006-10-11,0.689747
2006-10-12,-1.444035
2006-10-13,-3.747611
2006-10-14,-4.213574
2006-10-15,-3.836431
2006-10-16,0.909415
2006-10-17,-0.309526
2006-10-18,-0.924635
2006-10-19,-3.120349
2006-10-20,-0.372754
2006-10-21,-1.303639
2006-10-22,4.411602
2006-10-23,3.354371
2006-10-24,-0.517841
2006-10-25,-2.592039
2006-10-26,-2.432169
2006-10-27,-2.518743
2006-10-28,-3.567105
2006-10-29,-0.640632
2006-10-30,0.907753
2006-10-31,-0.749510
2006-11-01,2.940805
2006-11-02,2.930768
2006-11-03,0.353665
2006-11-04,-0.288833
2006-11-05,-1.468205
2006-11-06,-0.078084
2006-11-07,1.443676
2006-11-08,0.257199
2006-11-09,0.493578
2006-11-10,1.551815
2006-11-11,2.623368
2006-11-12,1.610116
2006-11-13,1.981245
2006-11-14,-1.049617
2006-11-15,-1.673815
2006-11-16,-2.126236
2006-11-17,-1.597844
2006-11-18,0.427035
2006-11-19,0.893177
2006-11-20,-0.731565
2006-11-21,3.210577
2006-11-22,4.066797
2006-11-23,1.162539
2006-11-24,-1.590013
2006-11-25,0.425349
2006-11-26,0.006940
2006-11-27,3.576243
2006-11-28,2.656189
2006-11-29,2.177786
2006-11-30,0.835549
2006-12-01,-4.675036
2006-12-02,-3.990608
2006-12-03,-0.676215
2006-12-04,0.038627
2006-12-05,-0.985209
2006-12-06,-3.691644
2006-12-07,-4.676528
2006-12-08,-3.544487
2006-12-09,-2.174308
2006-12-10,-2.577436
2006-12-11,4.396025
2006-12-12,1.759151
2006-12-13,2.200818
2006-12-14,1.879719
2006-12-15,0.820414
2006-12-16,-0.221730
2006-12-17,-3.336287
2006-12-18,-1.906516
2006-12-19,0.667019
2006-12-20,1.868353
2006-12-21,2.375478
2006-12-22,2.425100
2006-12-23,5.309436
2006-12-24,2.077010
2006-12-25,0.592678
2006-12-26,3.001807
2006-12-27,2.962970
2006-12-28,-0.765269
2006-12-29,0.835927
2006-12-30,2.194049
2006-12-31,2.266679
2007-01-01,2.989178
2007-01-02,-3.242420
2007-01-03,-0.712616
2007-01-04,-1.147868
2007-01-05,-0.465640
2007-01-06,3.772917
2007-01-07,2.178431
2007-01-08,0.771978
2007-01-09,-1.105654
2007-01-10,-4.596615
2007-01-11,-4.037436
2007-01-12,-1.563469
2007-01-13,-1.033181
2007-01-14,-3.048041
2007-01-15,-2.910729
2007-01-16,-2.038479
2007-01-17,-2.441144
2007-01-18,-2.123248
2007-01-19,-2.126120
2007-01-20,-0.686776
2007-01-21,2.295836
2007-01-22,-0.703295
2007-01-23,-0.528355
2007-01-24,1.003507
2007-01-25,-0.443295
2007-01-26,-2.301545
2007-01-27,1.044423
2007-01-28,-0.833352
2007-01-29,-1.787424
2007-01-30,1.439855
2007-01-31,0.832648
2007-02-01,-0.998868
2007-02-02,0.195526
2007-02-03,-3.338176
2007-02-04,-3.302947
2007-02-05,-3.309510
2007-02-06,-1.077464
2007-02-07,-2.216862
2007-02-08,-4.632552
2007-02-09,-5.667760
2007-02-10,2.640867
2007-02-11,4.600522
2007-02-12,5.101250
2007-02-13,2.315050
2007-02-14,-1.271596
2007-02-15,-3.290690
2007-02-16,2.062120
2007-02-17,1.900548
2007-02-18,-1.833755
2007-02-19,0.837552
2007-02-20,1.857608
2007-02-21,-2.893081
2007-02-22,0.160443
2007-02-23,0.048276
2007-02-24,0.636848
2007-02-25,-2.473595
2007-02-26,-1.581847
2007-02-27,1.114141
2007-02-28,-2.011971
2007-03-01,-2.748957
2007-03-02,-3.273542
2007-03-03,-1.276441
2007-03-04,0.401976
2007-03-05,-2.583261
2007-03-06,-1.460724
2007-03-07,0.026875
2007-03-08,0.567750
2007-03-09,-1.344471
2007-03-10,-1.347774
2007-03-11,1.977751
2007-03-12,-1.739084
2007-03-13,-2.518705
2007-03-14,-0.914112
2007-03-15,-2.623635
2007-03-16,0.299799
2007-03-17,0.493608
2007-03-18,-0.537023
2007-03-19,0.595014
2007-03-20,-2.526632
2007-03-21,-0.916071
2007-03-22,0.789302
2007-03-23,0.566954
2007-03-24,0.594928
2007-03-25,-5.287208
2007-03-26,-5.222555
2007-03-27,-1.487406
2007-03-28,-2.415460
2007-03-29,1.558655
2007-03-30,-2.347781
2007-03-31,0.724265
2007-04-01,2.536323
2007-04-02,-1.962264
2007-04-03,-4.995876
2007-04-04,-1.324740
2007-04-05,0.901495
2007-04-06,2.143396
2007-04-07,-1.595395
2007-04-08,0.267880
2007-04-09,4.114819
2007-04-10,-0.132995
2007-04-11,-3.024574
2007-04-12,-3.589147
2007-04-13,-1.929171
2007-04-14,5.501194
2007-04-15,-0.182510
2007-04-16,-0.105977
2007-04-17,0.590257
2007-04-18,-3.411497
2007-04-19,0.629871
2007-04-20,4.777813
2007-04-21,-0.824499
2007-04-22,-3.639266
2007-04-23,-2.840098
2007-04-24,-0.781975
2007-04-25,-0.422995
2007-04-26,-3.350796
2007-04-27,-3.211880
2007-04-28,-6.017680
2007-04-29,-4.393679
2007-04-30,-2.318444
2007-05-01,-0.281395
2007-05-02,-0.116036
2007-05-03,-1.253862
2007-05-04,0.380087
2007-05-05,0.257587
2007-05-06,0.699706
2007-05-07,0.146241
2007-05-08,-5.463424
2007-05-09,-3.449556
2007-05-10,-3.003392
2007-05-11,-3.588993
2007-05-12,-3.514458
2007-05-13,-0.144750
2007-05-14,-1.521858
2007-05-15,-5.093670
2007-05-16,-4.626244
2007-05-17,-0.909595
2007-05-18,1.300682
2007-05-19,1.246691
2007-05-20,-1.223272
2007-05-21,-1.948020
2007-05-22,-1.539777
2007-05-23,-0.781894
2007-05-24,-0.385379
2007-05-25,-0.584491
2007-05-26,-0.113850
2007-05-27,0.602235
2007-05-28,-0.497201
2007-05-29,-2.086884
2007-05-30,-3.034991
2007-05-31,-1.785872
2007-06-01,-0.488652
2007-06-02,-3.328297
2007-06-03,-3.167565
2007-06-04,-1.232672
2007-06-05,-0.725122
2007-06-06,-0.646907
2007-06-07,-0.214760
2007-06-08,-0.986608
2007-06-09,-2.794180
2007-06-10,-2.446253
2007-06-11,-1.755181
2007-06-12,-3.106628
2007-06-13,-2.093533
2007-06-14,-0.042861
2007-06-15,0.373353
2007-06-16,0.293086
2007-06-17,0.468765
2007-06-18,-0.302390
2007-06-19,-1.289986
2007-06-20,-2.184202
