#Variables:
#huss_bcc-csm1-1_rcp85(kgkg-1):Daily Mean Near-Surface Specific Humidity
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_huss_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,huss_bcc-csm1-1_rcp85(kgkg-1)"
""
yyyy-mm-dd,huss_bcc-csm1-1_rcp85(kgkg-1)
2006-01-01,0.004812
2006-01-02,0.003438
2006-01-03,0.003601
2006-01-04,0.005199
2006-01-05,0.004949
2006-01-06,0.003291
2006-01-07,0.002976
2006-01-08,0.003045
2006-01-09,0.003146
2006-01-10,0.003665
2006-01-11,0.004261
2006-01-12,0.007302
2006-01-13,0.005982
2006-01-14,0.002739
2006-01-15,0.002092
2006-01-16,0.002302
2006-01-17,0.002781
2006-01-18,0.002777
2006-01-19,0.003482
2006-01-20,0.002826
2006-01-21,0.002581
2006-01-22,0.002453
2006-01-23,0.003183
2006-01-24,0.003236
2006-01-25,0.003101
2006-01-26,0.002308
2006-01-27,0.002498
2006-01-28,0.003206
2006-01-29,0.004603
2006-01-30,0.007754
2006-01-31,0.009791
2006-02-01,0.010271
2006-02-02,0.007043
2006-02-03,0.003767
2006-02-04,0.004438
2006-02-05,0.005221
2006-02-06,0.007349
2006-02-07,0.007867
2006-02-08,0.004792
2006-02-09,0.002309
2006-02-10,0.001867
2006-02-11,0.001851
2006-02-12,0.001877
2006-02-13,0.002574
2006-02-14,0.002958
2006-02-15,0.004538
2006-02-16,0.008020
2006-02-17,0.008753
2006-02-18,0.008943
2006-02-19,0.008508
2006-02-20,0.009482
2006-02-21,0.010315
2006-02-22,0.008724
2006-02-23,0.005390
2006-02-24,0.006501
2006-02-25,0.006106
2006-02-26,0.004970
2006-02-27,0.004673
2006-02-28,0.004594
2006-03-01,0.002994
2006-03-02,0.003865
2006-03-03,0.007010
2006-03-04,0.005512
2006-03-05,0.005430
2006-03-06,0.007939
2006-03-07,0.005158
2006-03-08,0.004625
2006-03-09,0.005454
2006-03-10,0.005767
2006-03-11,0.005521
2006-03-12,0.006365
2006-03-13,0.008877
2006-03-14,0.010811
2006-03-15,0.007893
2006-03-16,0.006816
2006-03-17,0.006937
2006-03-18,0.005848
2006-03-19,0.003349
2006-03-20,0.004627
2006-03-21,0.005820
2006-03-22,0.007617
2006-03-23,0.009536
2006-03-24,0.011760
2006-03-25,0.012137
2006-03-26,0.010926
2006-03-27,0.009222
2006-03-28,0.004987
2006-03-29,0.006848
2006-03-30,0.008644
2006-03-31,0.009171
2006-04-01,0.006391
2006-04-02,0.008375
2006-04-03,0.007480
2006-04-04,0.006279
2006-04-05,0.005775
2006-04-06,0.004994
2006-04-07,0.003956
2006-04-08,0.002790
2006-04-09,0.003464
2006-04-10,0.008074
2006-04-11,0.004295
2006-04-12,0.004573
2006-04-13,0.009823
2006-04-14,0.008707
2006-04-15,0.007222
2006-04-16,0.006208
2006-04-17,0.006390
2006-04-18,0.005689
2006-04-19,0.007247
2006-04-20,0.009350
2006-04-21,0.010567
2006-04-22,0.012703
2006-04-23,0.012547
2006-04-24,0.004806
2006-04-25,0.004682
2006-04-26,0.006867
2006-04-27,0.009413
2006-04-28,0.013608
2006-04-29,0.012755
2006-04-30,0.011622
2006-05-01,0.008597
2006-05-02,0.005980
2006-05-03,0.011601
2006-05-04,0.014958
2006-05-05,0.015783
2006-05-06,0.010152
2006-05-07,0.007431
2006-05-08,0.009676
2006-05-09,0.011325
2006-05-10,0.012138
2006-05-11,0.013046
2006-05-12,0.013700
2006-05-13,0.014448
2006-05-14,0.013416
2006-05-15,0.007504
2006-05-16,0.012014
2006-05-17,0.014481
2006-05-18,0.011789
2006-05-19,0.010854
2006-05-20,0.012155
2006-05-21,0.014309
2006-05-22,0.015337
2006-05-23,0.013584
2006-05-24,0.012468
2006-05-25,0.016365
2006-05-26,0.015202
2006-05-27,0.014982
2006-05-28,0.014669
2006-05-29,0.014064
2006-05-30,0.012465
2006-05-31,0.011465
2006-06-01,0.012080
2006-06-02,0.012924
2006-06-03,0.015367
2006-06-04,0.016051
2006-06-05,0.018123
2006-06-06,0.018572
2006-06-07,0.017525
2006-06-08,0.016829
2006-06-09,0.016012
2006-06-10,0.015552
2006-06-11,0.015464
2006-06-12,0.016140
2006-06-13,0.016504
2006-06-14,0.013336
2006-06-15,0.013252
2006-06-16,0.013625
2006-06-17,0.015730
2006-06-18,0.016849
2006-06-19,0.016320
2006-06-20,0.016298
2006-06-21,0.015277
2006-06-22,0.015529
2006-06-23,0.015914
2006-06-24,0.016086
2006-06-25,0.016115
2006-06-26,0.015795
2006-06-27,0.016346
2006-06-28,0.016615
2006-06-29,0.015984
2006-06-30,0.016848
2006-07-01,0.017418
2006-07-02,0.016857
2006-07-03,0.016113
2006-07-04,0.015094
2006-07-05,0.014041
2006-07-06,0.013291
2006-07-07,0.014884
2006-07-08,0.014976
2006-07-09,0.016053
2006-07-10,0.017158
2006-07-11,0.016438
2006-07-12,0.015664
2006-07-13,0.015102
2006-07-14,0.014884
2006-07-15,0.014233
2006-07-16,0.014128
2006-07-17,0.014367
