#Variables:
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 29.7713 Latitude, -98.6892 Longitude (closest value to Latitude:29.7839, Longitude:-98.7092) "
#Original Data File(s):
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K)"
""
yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K)
2006-01-01,288.953522
2006-01-02,287.072357
2006-01-03,285.390808
2006-01-04,287.866089
2006-01-05,287.248749
2006-01-06,284.510803
2006-01-07,285.811981
2006-01-08,288.345154
2006-01-09,292.224762
2006-01-10,296.339600
2006-01-11,294.790833
2006-01-12,294.154907
2006-01-13,293.430878
2006-01-14,276.697845
2006-01-15,268.105316
2006-01-16,281.117645
2006-01-17,281.939850
2006-01-18,284.799652
2006-01-19,284.262329
2006-01-20,285.741791
2006-01-21,272.565186
2006-01-22,274.599304
2006-01-23,281.402588
2006-01-24,281.934967
2006-01-25,281.319427
2006-01-26,280.965179
2006-01-27,281.911713
2006-01-28,286.111542
2006-01-29,287.728241
2006-01-30,295.179474
2006-01-31,294.610199
2006-02-01,294.174835
2006-02-02,292.958405
2006-02-03,280.301727
2006-02-04,285.410889
2006-02-05,289.666107
2006-02-06,295.092041
2006-02-07,293.388245
2006-02-08,290.102631
2006-02-09,282.006836
2006-02-10,278.764252
2006-02-11,281.362549
2006-02-12,285.645996
2006-02-13,288.398254
2006-02-14,288.793335
2006-02-15,296.236115
2006-02-16,291.852234
2006-02-17,294.696655
2006-02-18,293.792358
2006-02-19,291.962036
2006-02-20,291.199646
2006-02-21,297.138092
2006-02-22,297.001221
2006-02-23,291.177490
2006-02-24,297.482788
2006-02-25,294.356537
2006-02-26,297.796295
2006-02-27,299.900757
2006-02-28,300.017212
2006-03-01,294.187164
2006-03-02,294.354034
2006-03-03,301.432190
2006-03-04,301.866089
2006-03-05,301.955078
2006-03-06,302.048584
2006-03-07,302.187836
2006-03-08,304.222900
2006-03-09,303.292877
2006-03-10,303.057190
2006-03-11,303.776886
2006-03-12,303.780853
2006-03-13,303.100952
2006-03-14,298.587219
2006-03-15,298.849304
2006-03-16,302.073120
2006-03-17,302.436188
2006-03-18,298.935577
2006-03-19,293.649628
2006-03-20,298.648224
2006-03-21,301.593018
2006-03-22,301.371948
2006-03-23,300.721771
2006-03-24,301.298187
2006-03-25,299.912262
2006-03-26,299.190552
2006-03-27,296.622833
2006-03-28,299.861603
2006-03-29,300.929108
2006-03-30,301.814056
2006-03-31,305.061066
2006-04-01,302.567413
2006-04-02,301.384827
2006-04-03,301.441376
2006-04-04,301.327423
2006-04-05,303.532288
2006-04-06,305.003998
2006-04-07,304.067871
2006-04-08,299.799164
2006-04-09,294.979187
2006-04-10,302.042542
2006-04-11,301.852661
2006-04-12,301.093079
2006-04-13,300.891266
2006-04-14,293.269745
2006-04-15,301.975006
2006-04-16,304.571777
2006-04-17,304.221100
2006-04-18,302.478058
2006-04-19,302.119995
2006-04-20,297.994171
2006-04-21,297.681702
2006-04-22,301.851379
2006-04-23,301.830444
2006-04-24,302.069977
2006-04-25,302.572510
2006-04-26,302.288727
2006-04-27,302.024597
2006-04-28,305.304749
2006-04-29,305.947876
2006-04-30,306.808838
2006-05-01,305.646454
2006-05-02,307.066071
2006-05-03,306.141174
2006-05-04,297.278290
2006-05-05,305.859741
2006-05-06,309.089661
2006-05-07,307.758270
2006-05-08,306.370453
2006-05-09,299.367981
2006-05-10,303.673645
2006-05-11,304.999939
2006-05-12,305.864441
2006-05-13,305.018524
2006-05-14,310.598022
2006-05-15,311.030762
2006-05-16,305.058136
2006-05-17,309.021362
2006-05-18,309.389313
2006-05-19,309.174225
2006-05-20,307.146118
2006-05-21,305.526398
2006-05-22,306.229584
2006-05-23,308.300110
2006-05-24,308.003815
2006-05-25,304.248322
2006-05-26,306.374115
2006-05-27,306.920807
2006-05-28,306.374512
2006-05-29,304.638916
2006-05-30,307.448090
2006-05-31,307.657867
2006-06-01,307.393555
2006-06-02,307.474609
2006-06-03,307.342529
2006-06-04,305.504333
2006-06-05,298.821442
2006-06-06,302.412842
2006-06-07,300.872070
2006-06-08,298.621002
2006-06-09,300.868835
2006-06-10,302.795105
2006-06-11,302.169891
2006-06-12,303.011963
2006-06-13,306.407318
2006-06-14,308.779755
2006-06-15,308.545959
2006-06-16,308.751526
2006-06-17,307.478271
2006-06-18,306.628082
2006-06-19,305.779266
2006-06-20,304.567505
2006-06-21,304.911102
2006-06-22,305.352875
2006-06-23,305.342865
2006-06-24,304.893921
2006-06-25,304.604614
2006-06-26,303.245941
2006-06-27,303.382721
2006-06-28,306.401398
2006-06-29,306.975586
2006-06-30,307.880646
2006-07-01,311.443512
2006-07-02,305.807983
2006-07-03,304.641052
2006-07-04,305.368225
2006-07-05,306.810638
2006-07-06,307.737946
2006-07-07,307.284943
2006-07-08,306.695099
2006-07-09,306.076050
2006-07-10,303.860474
2006-07-11,304.476166
2006-07-12,306.076996
2006-07-13,307.345886
2006-07-14,308.560516
2006-07-15,310.146576
2006-07-16,310.191925
2006-07-17,309.549316
2006-07-18,308.725677
2006-07-19,309.909485
2006-07-20,310.024078
2006-07-21,310.374054
2006-07-22,310.305481
2006-07-23,309.481018
2006-07-24,306.892548
2006-07-25,307.435608
2006-07-26,307.674133
2006-07-27,308.724243
2006-07-28,309.418091
2006-07-29,308.967224
2006-07-30,309.692505
2006-07-31,309.505188
2006-08-01,312.038086
2006-08-02,312.329041
2006-08-03,311.760376
2006-08-04,309.161346
2006-08-05,307.958221
2006-08-06,309.326599
2006-08-07,309.404205
2006-08-08,309.786957
2006-08-09,310.902252
2006-08-10,311.313751
2006-08-11,310.836395
2006-08-12,309.819824
2006-08-13,308.561523
2006-08-14,308.420837
2006-08-15,307.909180
2006-08-16,306.401520
2006-08-17,305.483612
2006-08-18,304.214111
2006-08-19,304.829590
2006-08-20,304.131195
2006-08-21,301.233490
2006-08-22,304.126801
2006-08-23,305.396179
2006-08-24,305.849976
2006-08-25,306.819733
2006-08-26,307.023163
2006-08-27,306.406769
2006-08-28,305.680542
2006-08-29,305.474304
2006-08-30,306.005859
2006-08-31,307.020569
2006-09-01,306.998688
2006-09-02,307.143463
2006-09-03,307.738068
2006-09-04,308.828094
2006-09-05,309.058167
2006-09-06,309.720490
2006-09-07,309.904846
2006-09-08,309.466400
2006-09-09,306.561005
2006-09-10,307.603149
2006-09-11,309.137207
2006-09-12,309.802643
2006-09-13,309.027679
2006-09-14,307.487305
2006-09-15,307.369629
2006-09-16,306.747131
2006-09-17,306.667694
2006-09-18,307.498016
2006-09-19,308.339539
2006-09-20,307.886719
2006-09-21,305.053284
2006-09-22,300.879333
2006-09-23,297.644806
2006-09-24,297.065704
2006-09-25,294.061829
2006-09-26,294.240997
2006-09-27,298.512665
2006-09-28,299.501221
2006-09-29,298.960541
2006-09-30,302.074951
2006-10-01,304.175842
2006-10-02,302.710175
2006-10-03,299.782501
2006-10-04,300.132965
2006-10-05,302.406067
2006-10-06,303.261383
2006-10-07,304.539429
2006-10-08,303.886810
2006-10-09,302.783173
2006-10-10,301.761719
2006-10-11,303.797638
2006-10-12,303.448792
2006-10-13,288.421814
2006-10-14,292.302063
2006-10-15,293.527893
2006-10-16,291.903564
2006-10-17,294.102814
2006-10-18,295.923431
2006-10-19,295.602692
2006-10-20,298.626038
2006-10-21,299.076630
2006-10-22,298.044189
2006-10-23,297.182800
2006-10-24,295.259033
2006-10-25,292.807892
2006-10-26,292.445801
2006-10-27,292.291901
2006-10-28,293.713989
2006-10-29,290.294159
2006-10-30,292.923065
2006-10-31,291.748230
2006-11-01,297.536316
2006-11-02,298.681824
2006-11-03,297.033508
2006-11-04,299.065247
2006-11-05,297.229675
2006-11-06,296.595428
2006-11-07,293.101685
2006-11-08,295.055756
2006-11-09,296.608643
2006-11-10,295.684235
2006-11-11,297.217041
2006-11-12,296.147247
2006-11-13,284.943573
2006-11-14,284.731750
2006-11-15,285.381134
2006-11-16,283.894501
2006-11-17,284.087891
2006-11-18,288.162292
2006-11-19,285.309692
2006-11-20,284.279083
2006-11-21,287.609619
2006-11-22,290.697601
2006-11-23,293.362671
2006-11-24,290.167145
2006-11-25,281.657471
2006-11-26,282.651611
2006-11-27,292.060394
2006-11-28,296.360779
2006-11-29,296.914551
2006-11-30,296.686371
2006-12-01,289.429535
2006-12-02,281.510834
2006-12-03,281.148926
2006-12-04,283.102631
2006-12-05,285.187500
2006-12-06,283.413422
2006-12-07,285.234283
2006-12-08,293.115509
2006-12-09,295.595886
2006-12-10,296.367035
2006-12-11,296.685822
2006-12-12,289.641144
2006-12-13,289.713196
2006-12-14,289.174438
2006-12-15,286.310577
2006-12-16,281.876160
2006-12-17,279.442963
2006-12-18,279.976044
2006-12-19,281.801147
2006-12-20,280.793182
2006-12-21,284.828735
2006-12-22,283.843475
2006-12-23,287.865387
2006-12-24,285.137054
2006-12-25,283.359558
2006-12-26,287.526672
2006-12-27,290.984467
2006-12-28,289.843048
2006-12-29,291.034515
2006-12-30,288.750305
2006-12-31,291.334412
2007-01-01,293.044830
2007-01-02,289.615387
2007-01-03,295.302948
2007-01-04,290.756317
2007-01-05,291.325928
2007-01-06,289.012054
2007-01-07,288.729980
2007-01-08,290.031128
2007-01-09,289.120880
2007-01-10,286.049255
2007-01-11,289.023254
2007-01-12,288.454254
2007-01-13,283.105286
2007-01-14,281.605560
2007-01-15,283.615906
2007-01-16,286.483612
2007-01-17,285.636383
2007-01-18,283.903015
2007-01-19,284.859497
2007-01-20,286.396027
2007-01-21,289.167206
2007-01-22,286.642334
2007-01-23,284.287964
2007-01-24,289.985016
2007-01-25,287.737274
2007-01-26,291.566071
2007-01-27,290.289795
2007-01-28,283.739319
2007-01-29,283.753876
2007-01-30,288.126495
2007-01-31,288.981598
2007-02-01,291.877869
2007-02-02,295.027374
2007-02-03,289.840576
2007-02-04,287.192078
2007-02-05,269.992981
2007-02-06,276.716248
2007-02-07,278.277283
2007-02-08,283.275757
2007-02-09,290.665253
2007-02-10,289.375824
2007-02-11,292.351776
2007-02-12,294.926544
2007-02-13,296.503540
2007-02-14,293.160583
2007-02-15,290.325623
2007-02-16,295.962952
2007-02-17,293.901062
2007-02-18,286.932312
2007-02-19,289.430817
2007-02-20,296.294800
2007-02-21,299.748932
2007-02-22,299.015137
2007-02-23,297.375092
2007-02-24,296.025391
2007-02-25,295.067657
2007-02-26,298.861115
2007-02-27,301.996643
2007-02-28,300.475616
2007-03-01,299.547180
2007-03-02,296.467743
2007-03-03,290.229218
2007-03-04,297.471252
2007-03-05,296.514709
2007-03-06,289.886658
2007-03-07,295.136292
2007-03-08,299.894409
2007-03-09,299.467834
2007-03-10,294.914917
2007-03-11,300.740784
2007-03-12,299.762970
2007-03-13,301.696320
2007-03-14,302.817749
2007-03-15,302.464813
2007-03-16,303.111298
2007-03-17,303.053314
2007-03-18,301.759949
2007-03-19,296.534851
2007-03-20,289.189301
2007-03-21,293.970520
2007-03-22,296.418854
2007-03-23,301.040497
2007-03-24,301.420807
2007-03-25,300.701202
2007-03-26,292.973541
2007-03-27,299.897003
2007-03-28,302.547058
2007-03-29,305.668365
2007-03-30,305.571167
2007-03-31,308.459015
2007-04-01,305.165314
2007-04-02,304.286804
2007-04-03,303.965240
2007-04-04,304.139618
2007-04-05,305.796539
2007-04-06,305.562622
2007-04-07,304.829803
2007-04-08,303.314240
2007-04-09,303.053619
2007-04-10,301.193451
2007-04-11,299.778778
2007-04-12,299.779663
2007-04-13,299.645355
2007-04-14,298.231232
2007-04-15,299.828369
2007-04-16,304.655182
2007-04-17,304.408630
2007-04-18,306.964630
2007-04-19,306.224854
2007-04-20,303.522034
2007-04-21,299.122284
2007-04-22,298.104614
2007-04-23,299.296509
2007-04-24,299.518982
2007-04-25,303.726257
2007-04-26,304.812225
2007-04-27,304.977295
2007-04-28,301.721466
2007-04-29,299.483398
2007-04-30,303.131317
2007-05-01,304.955048
2007-05-02,307.212006
2007-05-03,308.626007
2007-05-04,307.723450
2007-05-05,304.020844
2007-05-06,303.326965
2007-05-07,304.428650
2007-05-08,303.276062
2007-05-09,294.926483
2007-05-10,301.250488
2007-05-11,300.920929
2007-05-12,305.084412
2007-05-13,310.594879
2007-05-14,309.687073
2007-05-15,305.449158
2007-05-16,299.025574
2007-05-17,299.377716
2007-05-18,303.051056
2007-05-19,304.162689
2007-05-20,303.530090
2007-05-21,305.553253
2007-05-22,303.523773
2007-05-23,302.655487
2007-05-24,303.528137
2007-05-25,303.470001
2007-05-26,303.281464
2007-05-27,305.339813
2007-05-28,307.586273
2007-05-29,307.792328
2007-05-30,305.467560
2007-05-31,305.967590
2007-06-01,306.148438
2007-06-02,303.814850
2007-06-03,305.391296
2007-06-04,307.539948
2007-06-05,310.110474
2007-06-06,310.321442
2007-06-07,311.862396
2007-06-08,310.981934
2007-06-09,309.777283
2007-06-10,308.303406
2007-06-11,307.115997
2007-06-12,306.523376
2007-06-13,307.731293
2007-06-14,307.517090
2007-06-15,307.525024
2007-06-16,307.281433
2007-06-17,306.768616
2007-06-18,302.939697
2007-06-19,303.539459
2007-06-20,303.096802
2007-06-21,304.384949
2007-06-22,307.198944
2007-06-23,308.046692
2007-06-24,308.775818
2007-06-25,308.703094
2007-06-26,308.456360
2007-06-27,308.284546
2007-06-28,306.984283
2007-06-29,306.481293
2007-06-30,306.624451
2007-07-01,306.165955
2007-07-02,306.055267
2007-07-03,307.435303
2007-07-04,308.013733
2007-07-05,308.709259
2007-07-06,308.608337
2007-07-07,308.099640
2007-07-08,307.868164
2007-07-09,305.680237
2007-07-10,305.339142
2007-07-11,305.676910
2007-07-12,305.033539
2007-07-13,304.112427
2007-07-14,303.377563
2007-07-15,303.878265
2007-07-16,305.703857
2007-07-17,306.335724
2007-07-18,306.432312
2007-07-19,305.891785
2007-07-20,306.053711
2007-07-21,308.041473
2007-07-22,310.452820
2007-07-23,311.116211
2007-07-24,311.309845
2007-07-25,311.524292
2007-07-26,311.313354
2007-07-27,309.308685
2007-07-28,309.622253
2007-07-29,310.345581
2007-07-30,311.395020
2007-07-31,312.160645
2007-08-01,311.971161
2007-08-02,311.549683
2007-08-03,311.543488
2007-08-04,311.946411
2007-08-05,311.483429
2007-08-06,311.702820
2007-08-07,311.287689
2007-08-08,311.094116
2007-08-09,310.353760
2007-08-10,308.703003
2007-08-11,308.815063
2007-08-12,308.627869
2007-08-13,309.375519
2007-08-14,309.822418
2007-08-15,309.433105
2007-08-16,308.442017
2007-08-17,308.341827
2007-08-18,307.763062
2007-08-19,307.779510
2007-08-20,308.605408
2007-08-21,309.643250
2007-08-22,309.123383
2007-08-23,309.073853
2007-08-24,308.366089
2007-08-25,307.621674
2007-08-26,308.148621
2007-08-27,308.852600
2007-08-28,309.730347
2007-08-29,309.702576
2007-08-30,310.148834
2007-08-31,309.958344
2007-09-01,309.948151
2007-09-02,309.980316
2007-09-03,309.910156
2007-09-04,309.182068
