#Variables:
#tasmin_HadGEM2-CC365_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_HadGEM2-CC365_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_HadGEM2-CC365_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_HadGEM2-CC365_rcp85(K),tasmax_HadGEM2-CC365_rcp85(K),pr_HadGEM2-CC365_rcp85(mm)"
""
yyyy-mm-dd,tasmin_HadGEM2-CC365_rcp85(K),tasmax_HadGEM2-CC365_rcp85(K),pr_HadGEM2-CC365_rcp85(mm)
2006-01-01,278.177948,288.133789,0.000000
2006-01-02,280.085663,286.691376,0.000000
2006-01-03,273.748474,284.259216,0.953581
2006-01-04,274.853363,282.259521,0.000000
2006-01-05,277.162628,282.424408,16.317314
2006-01-06,279.075165,290.104309,0.000000
2006-01-07,282.147186,295.984344,0.000000
2006-01-08,273.912598,291.199982,0.000000
2006-01-09,274.262573,286.688507,0.000000
2006-01-10,273.941406,288.463654,0.000000
2006-01-11,281.039581,291.572327,0.328728
2006-01-12,274.607300,291.357269,0.000000
2006-01-13,270.577576,282.622650,0.845280
2006-01-14,270.277100,281.490662,0.000000
2006-01-15,272.369171,282.117340,0.000000
2006-01-16,272.689209,283.874542,0.000000
2006-01-17,271.080048,284.007355,0.000000
2006-01-18,271.134552,288.703186,0.000000
2006-01-19,274.920746,290.072113,0.000000
2006-01-20,274.869110,290.613342,0.000000
2006-01-21,281.223328,296.312927,1.812855
2006-01-22,279.132111,297.808899,0.835942
2006-01-23,278.291107,292.141907,0.902268
2006-01-24,274.583527,288.639252,0.000000
2006-01-25,275.692047,287.341034,0.000000
2006-01-26,275.932861,284.691956,0.000000
2006-01-27,273.200623,284.809326,0.000000
2006-01-28,271.878571,287.311096,0.000000
2006-01-29,272.976593,289.147400,0.000000
2006-01-30,276.770386,291.170776,0.000000
2006-01-31,277.951050,289.498047,0.000000
2006-02-01,277.598907,292.683716,0.000000
2006-02-02,275.552277,291.772766,0.000000
2006-02-03,275.448334,290.554718,0.000000
2006-02-04,279.623505,292.609070,0.000000
2006-02-05,278.867767,291.419098,3.060979
2006-02-06,272.167877,285.358093,1.419394
2006-02-07,270.028168,281.851685,0.000000
2006-02-08,271.396332,283.053070,0.000000
2006-02-09,272.365326,286.773773,0.000000
2006-02-10,276.293793,287.907440,0.000000
2006-02-11,280.282867,286.281677,0.338582
2006-02-12,280.516296,286.904999,0.607842
2006-02-13,281.437439,289.584229,1.433451
2006-02-14,281.319061,295.140656,0.659622
2006-02-15,280.697144,298.524353,0.000000
2006-02-16,283.036987,299.236969,0.000000
2006-02-17,284.826111,298.700684,0.000000
2006-02-18,285.491913,297.048859,0.000000
2006-02-19,287.396210,298.243988,0.000000
2006-02-20,284.782166,300.920410,1.860849
2006-02-21,276.335175,291.821808,3.272030
2006-02-22,274.975250,280.570709,0.602320
2006-02-23,276.250336,286.976501,0.000000
2006-02-24,277.154114,292.026123,0.000000
2006-02-25,276.552704,297.034576,0.000000
2006-02-26,278.504120,299.932251,0.000000
2006-02-27,280.496399,295.888824,0.000000
2006-02-28,280.284485,294.181732,0.000000
2006-03-01,283.537109,295.014343,0.000000
2006-03-02,286.701263,293.186798,8.473839
2006-03-03,286.891296,294.683228,14.391924
2006-03-04,284.413300,290.328247,14.068641
2006-03-05,287.301544,295.112061,14.563850
2006-03-06,286.869690,294.889526,1.677445
2006-03-07,286.740387,290.978882,21.705877
2006-03-08,282.399292,287.308655,43.872681
2006-03-09,286.254333,289.367157,17.023727
2006-03-10,283.947906,287.861420,9.063268
2006-03-11,283.681091,288.552185,13.874743
2006-03-12,283.169708,291.842529,38.914013
2006-03-13,286.824585,299.167633,7.128086
2006-03-14,285.403381,300.487244,0.000000
2006-03-15,287.153534,298.724548,0.000000
2006-03-16,288.869171,294.769836,8.358489
2006-03-17,289.096680,296.580078,26.073883
2006-03-18,289.788391,300.047791,0.891407
2006-03-19,291.600098,300.005524,3.062860
2006-03-20,288.859314,299.733734,2.912390
2006-03-21,282.883057,298.197296,0.000000
2006-03-22,282.583496,301.976898,0.000000
2006-03-23,284.876617,302.871216,0.000000
2006-03-24,286.752899,301.624359,0.000000
2006-03-25,289.301514,298.799500,0.000000
2006-03-26,289.270447,297.704163,2.407597
2006-03-27,290.190796,298.972137,1.401645
2006-03-28,291.527710,300.954865,3.468607
2006-03-29,289.672577,301.162476,3.081404
2006-03-30,283.822571,301.096497,0.000000
2006-03-31,282.639069,298.970551,0.000000
2006-04-01,280.985382,295.154388,0.000000
2006-04-02,286.450592,297.319977,0.000000
2006-04-03,289.836945,301.459320,0.000000
2006-04-04,290.206543,304.266144,0.000000
2006-04-05,291.331024,305.038910,0.000000
2006-04-06,287.560913,300.786743,0.000000
2006-04-07,281.398438,297.154968,0.000000
2006-04-08,281.529541,296.978149,0.000000
2006-04-09,283.847595,295.442871,0.000000
2006-04-10,288.044281,298.731567,0.000000
2006-04-11,290.800385,302.166443,0.000000
2006-04-12,291.561798,303.322144,0.000000
2006-04-13,291.754913,301.888702,0.000000
2006-04-14,287.608093,301.093719,0.000000
2006-04-15,282.091888,302.405396,0.000000
2006-04-16,282.741852,305.611572,0.000000
2006-04-17,284.954376,308.174835,0.000000
2006-04-18,286.348053,308.125549,0.000000
2006-04-19,288.372833,306.507019,0.000000
2006-04-20,289.481628,306.066162,0.000000
2006-04-21,290.721283,307.962402,0.000000
2006-04-22,291.725006,309.206268,0.000000
2006-04-23,292.600555,309.038422,0.000000
2006-04-24,292.604370,309.341888,0.000000
2006-04-25,292.275391,310.759949,0.000000
2006-04-26,292.929291,309.187592,0.000000
2006-04-27,293.904114,307.792267,0.000000
2006-04-28,294.519196,308.633881,0.000000
2006-04-29,293.333649,308.777069,0.000000
2006-04-30,293.568024,308.613037,0.000000
2006-05-01,294.090546,306.979462,0.000000
2006-05-02,293.429749,306.213379,2.754830
2006-05-03,293.060303,305.227539,0.000000
2006-05-04,293.407623,307.820404,0.000000
2006-05-05,294.904907,307.010101,1.176665
2006-05-06,295.033142,307.985504,0.000000
2006-05-07,294.608826,308.904510,0.539238
2006-05-08,294.088379,308.504700,0.000000
2006-05-09,293.140106,308.029449,0.000000
2006-05-10,292.560425,306.089111,15.642734
2006-05-11,288.437012,300.944092,14.164629
2006-05-12,286.603088,292.222687,0.000000
2006-05-13,287.048431,297.816620,0.000000
2006-05-14,284.768402,298.238983,0.000000
2006-05-15,285.607971,299.595276,0.000000
2006-05-16,290.845795,299.199280,0.000000
2006-05-17,292.804474,299.289246,0.595190
2006-05-18,293.551331,301.862976,0.000000
2006-05-19,293.330658,305.224426,0.659755
2006-05-20,294.235992,306.611908,0.000000
2006-05-21,294.083069,308.269531,0.000000
2006-05-22,294.343018,307.971924,0.000000
2006-05-23,293.544769,306.766876,4.342592
2006-05-24,292.657745,305.832977,0.000000
2006-05-25,293.328278,306.626923,0.000000
2006-05-26,294.114990,307.175690,0.000000
2006-05-27,293.831726,304.128876,0.000000
2006-05-28,294.491821,300.766449,4.461078
2006-05-29,293.659119,302.550140,1.476477
2006-05-30,291.514038,305.867126,0.000000
2006-05-31,291.194397,305.726868,0.000000
2006-06-01,294.157959,305.171906,0.000000
2006-06-02,296.360046,307.087769,0.000000
2006-06-03,296.913391,308.117249,0.000000
2006-06-04,297.207733,308.398956,0.000000
2006-06-05,298.114197,308.639923,0.440081
2006-06-06,297.474182,307.709534,4.439383
2006-06-07,297.157990,306.772888,8.320702
2006-06-08,297.059021,304.946228,12.301356
2006-06-09,296.841827,306.103058,5.536166
2006-06-10,296.694763,305.198334,3.703938
2006-06-11,297.815674,309.031830,0.000000
2006-06-12,298.964203,309.667664,4.288216
2006-06-13,298.875916,309.168365,0.000000
2006-06-14,297.894318,309.415466,0.000000
2006-06-15,296.703918,308.988403,0.000000
2006-06-16,296.306641,309.105804,0.000000
2006-06-17,296.606628,309.067139,0.000000
2006-06-18,296.780670,309.203613,0.000000
2006-06-19,296.734253,309.392548,0.000000
2006-06-20,296.680145,309.021942,0.000000
2006-06-21,296.339630,307.832123,0.992137
2006-06-22,296.195038,307.876465,0.000000
2006-06-23,295.660065,308.234894,0.000000
2006-06-24,294.795593,308.861267,0.000000
2006-06-25,295.276733,309.654480,0.000000
2006-06-26,295.557404,309.659302,0.000000
2006-06-27,295.612762,309.439026,0.000000
2006-06-28,296.078461,309.048492,0.000000
2006-06-29,296.708862,309.392090,0.000000
2006-06-30,296.978210,310.643585,0.000000
2006-07-01,296.732086,310.500549,0.000000
2006-07-02,296.854706,309.960724,0.000000
2006-07-03,295.563538,309.686951,0.000000
2006-07-04,295.027710,309.551910,0.000000
2006-07-05,295.196808,309.024780,0.000000
2006-07-06,296.556519,308.335938,0.000000
2006-07-07,297.014221,308.625549,0.000000
2006-07-08,296.604675,309.343140,0.511942
2006-07-09,296.145447,309.833618,0.000000
2006-07-10,296.383545,310.143341,0.000000
2006-07-11,296.748444,310.447021,0.000000
2006-07-12,296.682648,310.182281,0.000000
2006-07-13,296.510803,310.054321,0.000000
