#Variables:
#tasmin_HadGEM2-ES365_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_HadGEM2-ES365_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_HadGEM2-ES365_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_HadGEM2-ES365_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_HadGEM2-ES365_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_HadGEM2-ES365_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_HadGEM2-ES365_historical(K),tasmax_HadGEM2-ES365_historical(K),pr_HadGEM2-ES365_historical(mm)"
""
yyyy-mm-dd,tasmin_HadGEM2-ES365_historical(K),tasmax_HadGEM2-ES365_historical(K),pr_HadGEM2-ES365_historical(mm)
1950-01-01,275.196228,283.292511,0.000000
1950-01-02,271.277832,287.889740,0.000000
1950-01-03,274.537933,292.479370,0.000000
1950-01-04,269.832947,287.448364,0.000000
1950-01-05,267.768860,275.304840,0.000000
1950-01-06,268.059021,277.814545,0.000000
1950-01-07,268.698761,284.284607,0.000000
1950-01-08,271.683685,289.389313,0.000000
1950-01-09,277.324646,285.808502,4.643909
1950-01-10,281.506653,294.228424,3.722305
1950-01-11,282.262756,293.199646,0.000000
1950-01-12,286.316833,293.327545,0.000000
1950-01-13,279.936981,291.096405,1.942665
1950-01-14,275.821259,293.055420,0.000000
1950-01-15,276.876312,292.391998,0.000000
1950-01-16,282.584198,290.748047,0.000000
1950-01-17,275.606262,288.023712,0.000000
1950-01-18,275.650391,290.893005,0.000000
1950-01-19,280.335968,295.447784,0.000000
1950-01-20,281.008575,293.452911,0.000000
1950-01-21,282.382782,294.478851,0.000000
1950-01-22,281.424286,295.761475,0.000000
1950-01-23,275.488098,298.083435,0.000000
1950-01-24,277.495331,294.288147,1.016048
1950-01-25,276.379303,287.733917,0.000000
1950-01-26,274.534973,284.464508,0.000000
1950-01-27,275.263275,283.086365,0.000000
1950-01-28,276.912811,283.655670,0.000000
1950-01-29,276.804291,285.358429,8.030148
1950-01-30,279.801056,288.365143,4.104550
1950-01-31,277.481934,286.850708,0.000000
1950-02-01,273.707947,287.456604,0.000000
1950-02-02,272.958832,290.506775,0.000000
1950-02-03,274.065582,293.539856,0.000000
1950-02-04,279.631989,293.100525,2.962424
1950-02-05,284.357452,293.765808,4.612079
1950-02-06,282.476013,298.918304,2.059304
1950-02-07,282.477753,299.171051,0.000000
1950-02-08,280.487854,298.408051,2.089449
1950-02-09,272.954285,291.777191,0.000000
1950-02-10,272.599213,286.984985,0.000000
1950-02-11,274.331451,291.133850,0.000000
1950-02-12,274.054993,291.236603,0.000000
1950-02-13,276.208923,292.017090,0.000000
1950-02-14,280.202728,291.231659,0.000000
1950-02-15,278.321991,288.426636,0.000000
1950-02-16,277.648621,288.027374,0.000000
1950-02-17,280.923706,292.079529,0.000000
1950-02-18,284.517303,296.962433,0.000000
1950-02-19,286.554932,300.358734,0.000000
1950-02-20,288.548981,303.400238,0.000000
1950-02-21,285.610474,301.168976,0.000000
1950-02-22,277.780823,297.700836,0.000000
1950-02-23,275.128387,296.669952,0.000000
1950-02-24,275.823914,302.184845,0.000000
1950-02-25,277.365051,306.304504,0.000000
1950-02-26,278.150116,305.900238,0.000000
1950-02-27,283.532593,302.414764,0.000000
1950-02-28,285.418274,300.723846,0.447495
1950-03-01,285.938110,300.796295,2.313632
1950-03-02,284.145691,300.973053,0.000000
1950-03-03,286.695099,302.243408,0.000000
1950-03-04,288.015686,305.113953,0.000000
1950-03-05,286.119415,305.429657,0.000000
1950-03-06,282.015076,296.632111,11.879854
1950-03-07,280.769165,286.690063,5.461435
1950-03-08,279.505310,292.584473,0.000000
1950-03-09,278.511841,297.206085,0.000000
1950-03-10,281.636169,301.755463,0.000000
1950-03-11,286.945038,300.414825,0.000000
1950-03-12,288.102386,306.616943,1.186760
1950-03-13,280.334961,303.701691,0.324903
1950-03-14,281.377991,291.550140,0.000000
1950-03-15,280.719696,289.507568,0.000000
1950-03-16,276.830200,281.458405,0.000000
1950-03-17,279.750214,296.094757,0.000000
1950-03-18,287.297943,302.551575,0.000000
1950-03-19,279.672913,300.571564,6.564861
1950-03-20,276.840302,284.982849,3.063289
1950-03-21,273.084747,293.077484,0.000000
1950-03-22,279.829224,299.753662,0.000000
1950-03-23,283.328949,296.939758,0.000000
1950-03-24,283.139801,297.514404,0.000000
1950-03-25,285.757446,300.506592,0.000000
1950-03-26,288.621033,298.791626,0.000000
1950-03-27,287.189362,295.981232,0.000000
1950-03-28,283.439240,297.364594,0.000000
1950-03-29,282.963104,300.394409,0.000000
1950-03-30,285.244690,301.457977,0.000000
1950-03-31,286.491577,302.386536,0.000000
1950-04-01,287.048279,301.710266,0.000000
1950-04-02,288.244598,302.258728,0.000000
1950-04-03,288.749847,301.474945,0.000000
1950-04-04,289.390137,300.381500,0.000000
