#Variables:
#tasmin_inmcm4_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_inmcm4_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_inmcm4_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_inmcm4_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_inmcm4_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_inmcm4_rcp45(K),tasmax_inmcm4_rcp45(K),pr_inmcm4_rcp45(mm)"
""
yyyy-mm-dd,tasmin_inmcm4_rcp45(K),tasmax_inmcm4_rcp45(K),pr_inmcm4_rcp45(mm)
2006-01-01,266.295868,286.923126,0.000000
2006-01-02,275.993164,295.633789,0.000000
2006-01-03,267.735687,295.703766,0.000000
2006-01-04,276.088654,304.259735,0.000000
2006-01-05,278.035400,304.708160,0.000000
2006-01-06,274.189728,306.380096,0.000000
2006-01-07,278.000641,305.737640,0.000000
2006-01-08,282.757141,304.414429,0.000000
2006-01-09,287.684906,299.407074,1.356246
2006-01-10,284.087982,296.308167,3.310256
2006-01-11,274.639679,293.327911,0.000000
2006-01-12,277.723846,294.424988,0.000000
2006-01-13,269.114624,290.945892,0.000000
2006-01-14,268.918060,295.767090,0.000000
2006-01-15,281.749054,301.146057,0.000000
2006-01-16,281.183197,300.322876,0.000000
2006-01-17,272.042755,299.216614,0.000000
2006-01-18,287.250305,300.350525,1.159026
2006-01-19,278.457092,300.462067,0.357872
2006-01-20,273.053009,297.288025,1.177427
2006-01-21,270.395782,280.131317,0.000000
2006-01-22,273.897797,284.075195,3.390015
2006-01-23,272.961853,275.932373,0.511890
2006-01-24,272.115051,275.802002,1.172888
2006-01-25,275.842163,277.680084,0.860726
2006-01-26,277.469543,280.845642,2.147304
2006-01-27,275.192993,279.533508,3.251343
2006-01-28,274.509186,279.352875,10.129207
