#Variables:
#tasmin_IPSL-CM5A-LR_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_IPSL-CM5A-LR_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_IPSL-CM5A-LR_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5A-LR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_IPSL-CM5A-LR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_IPSL-CM5A-LR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_IPSL-CM5A-LR_rcp45(K),tasmax_IPSL-CM5A-LR_rcp45(K),pr_IPSL-CM5A-LR_rcp45(mm)"
""
yyyy-mm-dd,tasmin_IPSL-CM5A-LR_rcp45(K),tasmax_IPSL-CM5A-LR_rcp45(K),pr_IPSL-CM5A-LR_rcp45(mm)
2006-01-01,272.807648,280.461334,0.430193
2006-01-02,271.896362,285.605133,0.000000
2006-01-03,269.421570,285.237762,0.000000
2006-01-04,273.592346,287.327667,0.000000
2006-01-05,273.311371,288.996155,0.000000
2006-01-06,277.182831,291.224243,0.000000
2006-01-07,276.819611,289.483307,0.000000
2006-01-08,270.327179,286.779114,0.000000
2006-01-09,271.382233,286.339935,0.000000
2006-01-10,272.505554,288.717010,0.000000
2006-01-11,275.208557,287.066315,0.000000
2006-01-12,270.714691,286.913696,0.000000
2006-01-13,272.096497,293.597107,0.000000
2006-01-14,275.703735,294.391235,0.000000
2006-01-15,280.151642,295.231232,0.434514
2006-01-16,279.328522,295.373810,0.000000
2006-01-17,281.222107,297.004944,0.000000
2006-01-18,285.875549,293.979401,3.382212
2006-01-19,288.247314,298.186401,5.271574
2006-01-20,273.485168,291.577606,0.000000
2006-01-21,269.754028,280.218994,0.000000
2006-01-22,272.871796,290.619171,0.000000
2006-01-23,282.714996,295.938385,0.000000
2006-01-24,276.093933,291.646729,0.000000
2006-01-25,284.041748,297.913971,0.000000
2006-01-26,287.456055,299.765869,0.000000
2006-01-27,284.535980,298.885559,0.000000
2006-01-28,284.907776,296.274963,0.000000
2006-01-29,282.957031,299.658997,0.000000
2006-01-30,285.066132,300.152069,0.000000
2006-01-31,282.518341,293.231934,2.674757
2006-02-01,275.591309,280.962585,0.583603
2006-02-02,274.511932,281.301819,0.000000
2006-02-03,273.669556,289.146637,0.000000
2006-02-04,278.802094,293.221954,0.000000
2006-02-05,278.731750,292.504333,0.000000
2006-02-06,275.724823,285.067688,0.570699
2006-02-07,275.653748,281.316345,4.619503
2006-02-08,279.718201,290.553284,2.949656
2006-02-09,285.088715,297.596527,6.897470
2006-02-10,286.447083,298.918976,0.000000
2006-02-11,282.581543,294.878021,0.000000
2006-02-12,284.756714,300.098938,0.589234
2006-02-13,281.696350,294.625031,0.330445
2006-02-14,274.374634,289.603271,0.000000
2006-02-15,283.194275,294.899506,0.000000
2006-02-16,273.678192,288.579712,1.062408
2006-02-17,278.640076,294.075226,5.954594
2006-02-18,279.251434,299.456177,0.000000
2006-02-19,286.913879,304.243958,0.364420
2006-02-20,287.799713,303.844452,0.000000
2006-02-21,287.488617,305.916565,0.000000
2006-02-22,286.719238,300.544342,0.367702
2006-02-23,285.964172,295.933990,5.208294
2006-02-24,283.145691,294.117737,4.463711
2006-02-25,288.713989,294.001923,4.935979
2006-02-26,284.806885,292.264893,0.861419
2006-02-27,281.979889,293.409576,1.354425
2006-02-28,283.897095,295.558533,0.000000
2006-03-01,287.285095,299.326294,3.036873
2006-03-02,288.862366,297.686218,6.987530
2006-03-03,282.688721,292.910431,1.792106
2006-03-04,278.731171,284.716949,1.712583
2006-03-05,278.618500,295.870483,0.000000
2006-03-06,287.439606,297.614014,1.755527
2006-03-07,281.818054,295.191925,0.000000
2006-03-08,282.311737,294.324982,0.000000
2006-03-09,287.427338,300.555847,4.345520
2006-03-10,285.572144,294.553802,0.473953
2006-03-11,282.082275,290.040649,2.947534
2006-03-12,284.500458,296.193359,4.900038
2006-03-13,280.529114,297.501678,0.000000
2006-03-14,288.174255,303.306854,0.000000
2006-03-15,290.066528,302.279724,0.000000
2006-03-16,288.550446,301.841644,1.018348
2006-03-17,277.356445,294.006897,0.000000
2006-03-18,279.124634,286.787476,0.000000
2006-03-19,281.659637,297.411987,0.000000
2006-03-20,284.013794,296.441040,0.000000
2006-03-21,282.526428,297.088165,0.286388
2006-03-22,287.300690,300.366211,0.000000
2006-03-23,288.728638,299.744202,0.000000
2006-03-24,291.273804,306.158264,0.000000
2006-03-25,292.535828,304.129974,0.000000
2006-03-26,291.436676,303.128479,0.000000
2006-03-27,290.216034,299.416351,1.100082
2006-03-28,284.914764,297.615051,0.000000
