#Variables:
#tasmin_IPSL-CM5A-MR_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_IPSL-CM5A-MR_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_IPSL-CM5A-MR_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5A-MR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_IPSL-CM5A-MR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_IPSL-CM5A-MR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_IPSL-CM5A-MR_historical(K),tasmax_IPSL-CM5A-MR_historical(K),pr_IPSL-CM5A-MR_historical(mm)"
""
yyyy-mm-dd,tasmin_IPSL-CM5A-MR_historical(K),tasmax_IPSL-CM5A-MR_historical(K),pr_IPSL-CM5A-MR_historical(mm)
1950-01-01,269.461761,272.982452,2.269662
1950-01-02,268.826324,278.888000,0.000000
1950-01-03,271.441742,287.960571,0.000000
1950-01-04,281.224854,292.679626,3.722305
1950-01-05,282.404480,295.237823,0.000000
1950-01-06,282.422852,295.930450,0.000000
1950-01-07,276.142181,290.418243,4.918578
1950-01-08,269.710663,281.898743,11.618538
1950-01-09,260.762695,269.185364,0.323086
1950-01-10,265.808807,278.708984,0.000000
1950-01-11,273.289093,284.094666,0.000000
1950-01-12,267.906525,284.111755,0.000000
1950-01-13,270.189789,282.397766,1.172302
1950-01-14,273.769501,285.835602,0.358072
1950-01-15,276.184662,289.310577,0.000000
1950-01-16,275.488098,288.233612,0.000000
1950-01-17,278.224640,289.437805,0.932504
1950-01-18,283.638733,292.017639,15.928650
1950-01-19,286.530762,297.098297,1.206712
1950-01-20,278.504456,290.673126,1.016048
1950-01-21,274.531921,287.738739,2.718716
1950-01-22,275.234619,288.588135,0.000000
1950-01-23,275.201416,290.931824,0.000000
1950-01-24,280.585510,289.370605,0.000000
1950-01-25,282.167603,297.659637,0.611071
1950-01-26,278.858917,298.401947,0.000000
1950-01-27,281.316528,298.819122,0.000000
1950-01-28,282.282898,292.530304,0.000000
1950-01-29,274.066742,291.240112,0.000000
1950-01-30,277.249695,293.290558,0.000000
1950-01-31,277.372131,294.083710,0.000000
1950-02-01,282.282715,289.449951,4.721269
1950-02-02,278.460846,286.783447,2.089449
1950-02-03,274.797516,290.357880,0.000000
1950-02-04,276.867645,291.308167,0.743945
1950-02-05,278.322144,296.964478,0.380467
1950-02-06,280.853149,295.630371,0.000000
1950-02-07,280.427124,299.787994,0.000000
1950-02-08,281.167236,291.803680,0.000000
1950-02-09,277.744019,283.999420,0.000000
1950-02-10,277.280304,283.906586,0.947180
1950-02-11,281.089844,287.072021,27.344868
1950-02-12,278.903320,286.527039,2.886886
1950-02-13,277.675629,284.519257,5.655085
1950-02-14,278.384644,286.367035,13.193293
1950-02-15,277.358856,293.501740,0.729536
1950-02-16,278.578888,293.601044,0.000000
