#Variables:
#tasmin_IPSL-CM5A-MR_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_IPSL-CM5A-MR_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_IPSL-CM5A-MR_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5A-MR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_IPSL-CM5A-MR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_IPSL-CM5A-MR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_IPSL-CM5A-MR_rcp45(K),tasmax_IPSL-CM5A-MR_rcp45(K),pr_IPSL-CM5A-MR_rcp45(mm)"
""
yyyy-mm-dd,tasmin_IPSL-CM5A-MR_rcp45(K),tasmax_IPSL-CM5A-MR_rcp45(K),pr_IPSL-CM5A-MR_rcp45(mm)
2006-01-01,279.690338,292.748199,0.000000
2006-01-02,278.376465,290.456543,0.000000
2006-01-03,277.825012,294.021454,0.000000
2006-01-04,279.327179,297.119293,0.000000
2006-01-05,283.198669,299.047272,0.000000
2006-01-06,281.888214,297.110229,0.000000
2006-01-07,280.266846,292.383789,0.000000
2006-01-08,280.623535,299.361298,0.000000
2006-01-09,281.776001,294.431732,0.000000
2006-01-10,280.061951,287.675079,0.000000
2006-01-11,275.447968,293.477112,0.000000
2006-01-12,280.073212,299.965668,0.000000
2006-01-13,281.781006,297.437286,0.000000
2006-01-14,279.900970,294.309296,0.000000
2006-01-15,283.654114,296.422302,1.319683
2006-01-16,281.511871,297.462402,0.000000
2006-01-17,273.608948,292.474396,4.368788
2006-01-18,270.888550,277.170502,3.878731
2006-01-19,270.348846,281.335022,0.000000
2006-01-20,271.133911,288.269989,0.000000
2006-01-21,274.987457,289.645050,0.000000
2006-01-22,283.125061,297.216339,0.788350
2006-01-23,281.738007,291.539093,0.000000
2006-01-24,277.414032,294.632233,0.000000
2006-01-25,276.296478,292.441071,0.000000
2006-01-26,280.640167,296.848236,0.000000
2006-01-27,283.476044,299.352020,0.000000
2006-01-28,283.294098,299.804199,0.000000
2006-01-29,279.451111,294.818329,1.094849
2006-01-30,269.861786,280.673798,0.000000
2006-01-31,267.065918,279.629456,0.000000
2006-02-01,267.213318,277.158386,0.000000
2006-02-02,266.405945,283.670990,0.000000
2006-02-03,273.131134,291.315979,0.000000
2006-02-04,278.541870,292.167419,0.000000
2006-02-05,272.796539,284.450378,7.079958
2006-02-06,271.703064,284.147583,1.454892
2006-02-07,270.832275,286.397247,0.000000
2006-02-08,276.179565,290.435577,0.000000
2006-02-09,279.239136,298.534485,0.000000
2006-02-10,283.922302,303.015961,0.000000
2006-02-11,285.532959,298.686127,0.000000
2006-02-12,280.249390,293.103149,0.000000
2006-02-13,282.218689,297.966370,0.322224
2006-02-14,288.754852,298.080200,1.602201
2006-02-15,281.918976,292.446503,0.000000
2006-02-16,277.297180,294.857056,0.000000
2006-02-17,283.596893,297.838379,0.000000
2006-02-18,281.742798,294.344910,0.000000
2006-02-19,281.029724,295.498230,0.000000
2006-02-20,285.302917,299.011902,0.000000
2006-02-21,285.561279,301.914246,0.000000
2006-02-22,287.370209,304.137939,0.000000
2006-02-23,286.794067,305.022614,0.000000
2006-02-24,288.988403,301.913574,0.000000
2006-02-25,282.192383,298.983459,1.244399
2006-02-26,277.079285,296.067993,0.000000
2006-02-27,283.420502,292.028717,0.443671
2006-02-28,278.324280,295.547180,0.000000
2006-03-01,283.525513,301.236816,0.000000
2006-03-02,285.036987,298.605652,0.000000
2006-03-03,288.520142,303.464417,0.000000
2006-03-04,287.916718,300.417175,0.418871
2006-03-05,278.791656,287.335449,0.000000
2006-03-06,279.986633,292.957397,0.000000
2006-03-07,282.943024,292.670807,0.000000
2006-03-08,286.862427,296.715118,3.042361
2006-03-09,286.943481,294.530304,4.392600
2006-03-10,287.337433,290.997375,13.337455
2006-03-11,286.638062,296.952667,3.694152
2006-03-12,288.825531,295.885254,4.412894
2006-03-13,281.176544,291.290924,6.101036
2006-03-14,286.503479,298.775543,0.690792
2006-03-15,288.909210,296.514008,1.720085
2006-03-16,288.579163,299.223236,0.978954
2006-03-17,289.433685,301.232727,3.599124
2006-03-18,290.764587,299.770721,5.802189
2006-03-19,292.486053,303.858459,5.506310
2006-03-20,290.880371,301.218567,8.025877
2006-03-21,286.584473,296.582672,2.640266
2006-03-22,282.083893,292.897400,0.000000
2006-03-23,282.159363,295.373108,0.000000
2006-03-24,289.246338,301.109833,5.473069
2006-03-25,276.354645,288.343292,0.000000
2006-03-26,276.039764,294.540802,0.000000
2006-03-27,281.063019,300.564819,0.000000
2006-03-28,285.978119,301.703796,0.000000
2006-03-29,288.379822,298.991089,0.000000
2006-03-30,285.351898,301.372955,0.000000
2006-03-31,288.382629,304.719177,0.000000
2006-04-01,288.395294,304.994080,0.369866
2006-04-02,290.439423,299.834473,0.000000
2006-04-03,287.239990,295.730774,7.101159
2006-04-04,291.066467,303.754150,3.577362
2006-04-05,292.299072,305.523590,0.000000
2006-04-06,288.474365,301.381409,0.000000
2006-04-07,289.080444,296.352417,4.213392
2006-04-08,288.573761,303.382416,0.000000
2006-04-09,292.727692,300.968750,0.872529
2006-04-10,292.389038,302.407776,0.299123
2006-04-11,289.901031,302.589325,0.839816
2006-04-12,279.151398,297.537689,2.150461
2006-04-13,278.984711,294.179810,0.000000
2006-04-14,280.365570,299.703094,0.000000
2006-04-15,283.242371,304.945038,0.000000
2006-04-16,285.221771,306.806549,0.000000
2006-04-17,292.312195,303.706909,0.593752
2006-04-18,285.762848,293.727173,0.000000
2006-04-19,283.958954,301.875214,0.000000
2006-04-20,289.029175,304.702698,0.000000
2006-04-21,292.405396,303.024170,0.000000
2006-04-22,292.148712,300.492798,0.000000
2006-04-23,289.360657,304.075409,0.000000
2006-04-24,293.267090,304.077515,0.324482
2006-04-25,292.416718,305.578247,0.000000
2006-04-26,294.680695,305.627075,0.000000
2006-04-27,294.767639,303.074860,0.000000
2006-04-28,291.441528,300.507446,0.000000
2006-04-29,290.850433,304.613892,0.000000
2006-04-30,292.816528,304.746277,0.000000
2006-05-01,293.447601,306.297516,0.000000
2006-05-02,294.823425,306.298279,0.000000
2006-05-03,289.241180,301.083771,0.000000
2006-05-04,290.762848,299.775024,0.000000
2006-05-05,291.165100,301.836639,0.000000
2006-05-06,294.234650,308.516388,0.000000
2006-05-07,295.633423,309.528046,0.000000
2006-05-08,295.545441,308.582825,0.000000
2006-05-09,295.137146,308.918762,0.000000
2006-05-10,295.337677,310.546295,0.000000
2006-05-11,295.970215,306.698822,0.000000
2006-05-12,295.003021,305.695953,0.000000
2006-05-13,295.425385,306.213470,0.000000
2006-05-14,296.393799,304.746582,4.308403
2006-05-15,291.266449,300.067352,1.019253
2006-05-16,292.560089,301.540436,0.000000
2006-05-17,294.452820,305.192139,0.000000
2006-05-18,295.619507,303.948486,0.825526
2006-05-19,296.120575,309.503357,0.000000
2006-05-20,298.848145,308.456787,0.000000
2006-05-21,297.964142,303.695740,0.000000
2006-05-22,296.331879,304.744202,2.536587
2006-05-23,293.398376,300.940155,10.865358
2006-05-24,290.226807,296.231323,3.790258
2006-05-25,289.767120,301.233002,0.000000
2006-05-26,292.744476,303.897888,0.000000
2006-05-27,294.424286,302.288513,0.000000
2006-05-28,295.455536,301.021790,0.000000
2006-05-29,295.719299,302.966187,7.991870
2006-05-30,296.169769,301.709961,59.686905
2006-05-31,293.718781,296.462006,34.083496
2006-06-01,291.930817,300.871826,22.047987
2006-06-02,293.186737,306.392548,3.762206
2006-06-03,292.867096,309.628815,0.621720
2006-06-04,294.117462,310.777588,0.000000
2006-06-05,294.643219,310.885742,0.000000
2006-06-06,295.035645,308.767487,0.000000
2006-06-07,295.510193,305.870514,0.289103
2006-06-08,295.846985,306.665314,0.000000
2006-06-09,295.412994,306.345825,1.661829
2006-06-10,294.864410,305.456909,0.746733
2006-06-11,294.198822,307.451324,0.590396
2006-06-12,295.807068,308.183441,0.000000
2006-06-13,296.313660,309.233704,0.000000
2006-06-14,296.821106,311.168152,0.000000
2006-06-15,298.007812,310.769012,0.000000
2006-06-16,298.138214,310.486664,0.000000
2006-06-17,298.497925,308.161591,0.454189
2006-06-18,297.968933,307.169525,4.065117
2006-06-19,298.276733,304.683258,6.896634
2006-06-20,295.557434,306.151825,1.549423
2006-06-21,295.788727,306.637787,0.579822
2006-06-22,296.447723,307.497040,0.704333
2006-06-23,297.025330,306.623108,2.045033
2006-06-24,296.704285,305.161469,1.956939
2006-06-25,297.739075,306.675995,11.458735
2006-06-26,296.989410,305.496704,17.989285
2006-06-27,296.221802,304.839142,9.179528
2006-06-28,295.840302,305.876617,1.901124
2006-06-29,295.212952,304.943115,2.894583
2006-06-30,295.415741,305.905823,0.000000
2006-07-01,295.984802,307.740387,0.000000
2006-07-02,296.493439,309.420258,0.000000
2006-07-03,297.172546,309.664490,0.000000
2006-07-04,297.616516,308.888763,0.000000
2006-07-05,297.571472,308.690338,0.000000
2006-07-06,296.704529,307.681732,1.144403
2006-07-07,294.916443,307.439545,0.000000
2006-07-08,295.095825,308.477356,0.000000
2006-07-09,295.939117,309.058502,0.000000
2006-07-10,296.244293,309.965698,0.000000
2006-07-11,296.830536,309.970154,0.000000
2006-07-12,297.716309,308.383026,0.000000
2006-07-13,296.667572,307.277985,0.000000
2006-07-14,295.959167,308.877014,0.000000
2006-07-15,296.763794,309.376190,0.000000
2006-07-16,296.438629,310.034760,0.000000
2006-07-17,296.885101,310.066101,0.000000
2006-07-18,297.285522,308.812927,0.000000
2006-07-19,297.269409,308.912109,0.000000
2006-07-20,297.287872,308.769135,0.000000
2006-07-21,297.642059,309.825897,0.000000
2006-07-22,297.422668,311.303711,0.000000
2006-07-23,297.665253,311.335693,0.000000
2006-07-24,297.419800,310.285980,0.000000
2006-07-25,297.385834,310.091034,0.000000
2006-07-26,297.292450,308.384003,0.000000
2006-07-27,296.932373,307.002350,0.000000
2006-07-28,297.184509,308.189850,0.000000
2006-07-29,297.374390,309.842377,0.000000
2006-07-30,297.492676,309.983612,0.961636
2006-07-31,297.323151,306.840393,0.000000
2006-08-01,296.916443,307.421997,0.516960
2006-08-02,297.799713,308.859100,0.000000
2006-08-03,297.747101,308.861115,3.476892
2006-08-04,297.410278,309.929260,0.000000
2006-08-05,297.205109,308.872314,0.000000
2006-08-06,296.822693,308.834259,1.587419
2006-08-07,296.508759,308.708771,0.692440
2006-08-08,296.964905,309.834320,0.000000
2006-08-09,297.697601,309.353699,0.000000
2006-08-10,297.043762,308.199310,2.920219
2006-08-11,296.663879,308.773346,0.721749
2006-08-12,296.995697,309.001068,1.173413
2006-08-13,297.407471,308.958130,0.000000
2006-08-14,297.505432,309.995148,2.909244
2006-08-15,298.374634,309.477905,0.000000
2006-08-16,297.154083,310.414520,0.334201
2006-08-17,297.673676,311.103455,0.000000
2006-08-18,297.802795,311.210449,0.000000
2006-08-19,297.658478,310.359955,0.000000
2006-08-20,297.281067,309.764465,0.000000
2006-08-21,297.400024,309.616974,0.000000
2006-08-22,297.175842,309.951569,0.000000
2006-08-23,297.336121,309.478821,0.000000
2006-08-24,298.745209,310.994293,0.346103
2006-08-25,297.873993,309.150513,19.312712
2006-08-26,297.694397,303.226257,30.410255
2006-08-27,296.426910,302.864410,21.043558
2006-08-28,295.346497,303.843903,5.966594
2006-08-29,295.346954,303.170380,21.302219
2006-08-30,295.300354,303.274994,26.298901
2006-08-31,295.903229,304.723206,31.611732
2006-09-01,290.026337,303.676331,16.940119
2006-09-02,291.027100,304.563324,0.000000
2006-09-03,292.271301,305.106934,0.000000
2006-09-04,294.136932,305.449219,0.000000
2006-09-05,293.487579,306.671417,0.435892
2006-09-06,293.021088,305.812286,0.488479
2006-09-07,293.111359,305.070587,1.536610
2006-09-08,292.976807,304.334564,0.358205
2006-09-09,293.174805,305.527527,0.000000
2006-09-10,292.797821,306.227417,0.000000
2006-09-11,292.747314,305.947937,1.289274
2006-09-12,293.285858,304.561798,18.025558
2006-09-13,294.596954,305.974213,30.165783
2006-09-14,294.016815,303.839294,11.817498
2006-09-15,288.870056,300.187561,4.999195
2006-09-16,289.773010,303.544342,0.000000
2006-09-17,292.161652,305.061432,0.000000
2006-09-18,292.152679,303.775787,0.000000
2006-09-19,291.090729,301.963989,3.009246
2006-09-20,290.249359,302.915161,0.000000
2006-09-21,288.885620,305.182159,0.000000
2006-09-22,290.393524,305.542755,0.000000
2006-09-23,291.850861,303.962219,10.786128
2006-09-24,289.089081,299.581879,16.955751
2006-09-25,293.128296,301.799225,10.791113
2006-09-26,286.465057,298.945435,1.516508
2006-09-27,289.023071,301.794800,0.671827
2006-09-28,291.087494,306.098053,0.420895
2006-09-29,293.231445,309.395721,0.000000
2006-09-30,283.062012,303.173920,5.178309
2006-10-01,281.719940,291.797974,0.000000
2006-10-02,282.375275,299.092590,0.000000
2006-10-03,283.469513,303.149658,0.000000
2006-10-04,288.048828,306.566406,0.000000
2006-10-05,291.353851,305.759460,0.000000
2006-10-06,292.014313,308.557587,0.000000
2006-10-07,294.483765,308.768280,0.000000
2006-10-08,291.278229,303.488922,0.000000
2006-10-09,286.527405,300.423218,0.000000
2006-10-10,288.906403,303.714783,0.000000
2006-10-11,293.685669,304.321808,0.000000
2006-10-12,293.649658,303.690063,0.000000
2006-10-13,294.071503,306.600220,0.990123
2006-10-14,290.447144,301.695160,0.000000
2006-10-15,288.058929,302.334625,0.000000
2006-10-16,288.758392,304.134949,0.000000
2006-10-17,290.129120,304.562866,0.000000
2006-10-18,292.412445,304.737244,0.000000
2006-10-19,292.714478,304.553009,0.000000
2006-10-20,293.562683,305.261230,0.000000
2006-10-21,293.778839,303.167145,5.335678
2006-10-22,288.959259,299.447021,1.809014
2006-10-23,283.090302,296.716339,0.000000
2006-10-24,285.469055,298.693298,0.394562
2006-10-25,285.512024,300.742401,0.000000
2006-10-26,288.399475,302.338684,0.000000
2006-10-27,292.436005,300.658844,2.477263
2006-10-28,291.551239,299.612122,6.324412
2006-10-29,294.309540,304.395569,6.755206
2006-10-30,291.722839,301.741211,2.000017
2006-10-31,289.103119,298.578766,10.344791
2006-11-01,286.405670,293.615265,3.479558
2006-11-02,286.957062,297.393311,0.000000
2006-11-03,288.009430,301.106567,0.000000
2006-11-04,290.671600,301.340790,0.000000
2006-11-05,290.508911,300.197418,0.889772
2006-11-06,289.973724,301.366089,0.000000
2006-11-07,289.599670,302.870361,0.000000
2006-11-08,286.900940,298.882904,0.684945
2006-11-09,282.584747,290.052826,0.456791
2006-11-10,285.193054,299.266907,6.852485
2006-11-11,288.524536,297.928192,0.000000
2006-11-12,284.809601,295.263580,0.000000
2006-11-13,281.250000,300.389221,0.000000
2006-11-14,286.784393,302.362122,0.000000
2006-11-15,289.228607,303.483337,0.000000
2006-11-16,284.817322,297.327423,0.000000
2006-11-17,283.439301,297.901367,0.000000
2006-11-18,286.574951,300.003510,0.628729
2006-11-19,286.291565,299.046326,0.000000
2006-11-20,283.310913,295.489197,0.000000
2006-11-21,283.300354,296.885468,0.000000
2006-11-22,286.991974,300.719574,0.000000
2006-11-23,285.296875,296.243622,0.000000
2006-11-24,283.203857,291.254730,0.000000
2006-11-25,277.846466,289.968719,0.000000
2006-11-26,275.306152,289.344391,0.000000
2006-11-27,278.681366,296.489685,0.000000
2006-11-28,280.469940,294.192291,0.000000
2006-11-29,280.416229,294.645477,0.000000
2006-11-30,282.446869,298.723938,0.000000
2006-12-01,282.795197,300.011871,0.000000
2006-12-02,284.645599,299.417877,0.000000
2006-12-03,283.342651,295.634644,0.000000
2006-12-04,276.384888,286.605225,0.000000
2006-12-05,271.449036,283.770477,0.000000
2006-12-06,277.270172,289.729950,1.089815
2006-12-07,273.399475,289.606598,0.000000
2006-12-08,278.479126,294.441498,0.000000
2006-12-09,279.427185,292.013855,0.000000
2006-12-10,278.510712,296.985992,0.000000
2006-12-11,280.073120,294.180176,0.000000
2006-12-12,278.823151,290.100464,0.000000
2006-12-13,279.272705,294.993439,0.000000
2006-12-14,283.852448,292.933136,0.000000
2006-12-15,278.081543,288.095886,0.000000
2006-12-16,277.244019,284.242096,4.193848
2006-12-17,281.166687,288.776733,33.393040
2006-12-18,276.928772,283.915344,4.743849
2006-12-19,273.818634,283.534760,0.000000
2006-12-20,269.945984,283.226868,0.000000
2006-12-21,270.760590,287.727020,0.000000
2006-12-22,277.273010,289.797974,0.000000
2006-12-23,276.522369,287.219086,0.000000
2006-12-24,279.897217,292.534088,2.573582
2006-12-25,273.279297,288.853577,0.776289
2006-12-26,270.468719,284.111145,0.000000
2006-12-27,271.706329,285.491211,0.000000
2006-12-28,273.256104,291.111664,0.000000
2006-12-29,279.536407,293.064758,0.000000
2006-12-30,284.515747,298.293396,0.000000
2006-12-31,286.435791,300.085449,0.000000
2007-01-01,281.630920,294.795807,0.000000
2007-01-02,277.057648,295.719574,0.000000
2007-01-03,284.017517,298.869171,0.000000
2007-01-04,281.631256,292.307373,0.000000
2007-01-05,276.620972,296.966949,0.000000
2007-01-06,282.993805,292.766815,0.435691
2007-01-07,274.136963,289.100800,0.000000
2007-01-08,277.990814,294.766113,0.000000
2007-01-09,285.037933,294.662140,0.000000
2007-01-10,276.849365,295.406586,0.000000
2007-01-11,279.828827,290.873383,0.000000
2007-01-12,274.372040,292.585846,0.000000
2007-01-13,280.569275,299.750275,0.000000
2007-01-14,283.464294,299.345032,0.000000
2007-01-15,277.906891,292.342377,0.000000
2007-01-16,276.778198,287.110718,0.000000
2007-01-17,276.355530,290.466675,0.308777
2007-01-18,280.176575,293.233032,0.000000
2007-01-19,281.643829,297.461121,0.000000
2007-01-20,285.960419,299.400391,0.349170
2007-01-21,289.552490,298.592316,4.830034
2007-01-22,277.352844,293.472504,0.000000
2007-01-23,282.095032,293.624573,0.000000
2007-01-24,274.447906,286.641541,0.000000
2007-01-25,274.535980,291.563660,0.000000
2007-01-26,279.487305,291.671753,0.000000
2007-01-27,275.873108,291.188599,0.000000
2007-01-28,280.809906,290.012115,0.000000
2007-01-29,278.576874,289.992859,0.000000
2007-01-30,278.044403,293.128052,0.000000
2007-01-31,277.881104,288.367584,0.000000
2007-02-01,278.337036,295.720337,0.000000
2007-02-02,276.769684,291.716675,0.000000
2007-02-03,279.918243,294.087006,0.000000
2007-02-04,278.906006,298.944550,0.000000
2007-02-05,279.026062,292.211700,0.000000
2007-02-06,278.301331,286.142822,0.000000
2007-02-07,275.208466,290.940887,0.000000
2007-02-08,280.809570,296.912506,0.000000
2007-02-09,282.504822,293.454254,0.315687
2007-02-10,278.331268,293.255859,0.000000
2007-02-11,279.753479,292.926514,0.000000
2007-02-12,277.886749,288.763153,0.000000
2007-02-13,274.825378,283.898102,0.000000
2007-02-14,270.261963,277.200989,0.000000
2007-02-15,270.214935,287.556580,0.000000
2007-02-16,276.122101,295.530457,0.000000
2007-02-17,279.456940,297.917023,0.000000
2007-02-18,283.365204,300.444122,0.000000
2007-02-19,282.544312,296.136932,0.000000
2007-02-20,277.213196,288.514496,0.000000
2007-02-21,277.765564,295.598694,0.000000
2007-02-22,284.589905,301.828949,0.000000
2007-02-23,286.408478,299.741699,0.000000
2007-02-24,280.127289,292.448395,0.000000
2007-02-25,282.077118,298.760956,0.000000
2007-02-26,285.180054,299.735565,0.000000
2007-02-27,277.194061,290.839508,0.553234
2007-02-28,278.617279,292.765625,0.000000
2007-03-01,286.445129,298.389496,2.875695
2007-03-02,286.926849,293.428070,8.518610
2007-03-03,277.717590,288.724701,1.278054
2007-03-04,277.921997,286.295349,0.000000
2007-03-05,274.152802,292.971283,0.000000
2007-03-06,279.988098,292.147064,0.000000
2007-03-07,279.734619,293.343384,0.000000
2007-03-08,280.537628,298.316010,0.000000
2007-03-09,283.916321,301.994202,0.000000
2007-03-10,275.456268,298.001892,0.000000
2007-03-11,270.030609,285.806915,0.000000
2007-03-12,274.349884,293.519775,0.000000
2007-03-13,279.118347,299.590332,0.000000
2007-03-14,283.355591,300.790833,0.000000
2007-03-15,284.616791,299.089355,0.000000
2007-03-16,285.693695,300.265900,0.000000
2007-03-17,290.047485,301.132904,2.392484
2007-03-18,291.764404,301.374664,9.829141
2007-03-19,289.177795,297.734619,0.000000
2007-03-20,282.148773,299.335632,0.000000
2007-03-21,282.331970,303.234772,0.000000
2007-03-22,288.993042,305.367035,0.000000
2007-03-23,283.558807,299.791901,0.000000
2007-03-24,281.525269,301.466187,0.000000
2007-03-25,290.865448,301.255707,0.000000
2007-03-26,279.058380,294.961395,0.000000
2007-03-27,281.265350,301.372955,0.000000
2007-03-28,290.012634,305.308411,0.000000
2007-03-29,291.564270,303.588379,0.324125
2007-03-30,292.436951,305.596008,0.535261
2007-03-31,291.605530,305.177216,1.392386
2007-04-01,279.546143,293.220764,2.993917
2007-04-02,279.357361,287.221924,6.284316
2007-04-03,282.865570,289.559052,7.705795
2007-04-04,286.173676,298.485626,1.675005
