#Variables:
#tasmin_IPSL-CM5B-LR_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_IPSL-CM5B-LR_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_IPSL-CM5B-LR_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5B-LR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_IPSL-CM5B-LR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_IPSL-CM5B-LR_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_IPSL-CM5B-LR_historical(K),tasmax_IPSL-CM5B-LR_historical(K),pr_IPSL-CM5B-LR_historical(mm)"
""
yyyy-mm-dd,tasmin_IPSL-CM5B-LR_historical(K),tasmax_IPSL-CM5B-LR_historical(K),pr_IPSL-CM5B-LR_historical(mm)
1950-01-01,279.966980,293.867554,0.000000
1950-01-02,282.432587,295.214966,0.675242
1950-01-03,284.780029,293.500092,0.336502
1950-01-04,281.380920,291.294830,0.000000
1950-01-05,279.477997,288.028778,0.000000
1950-01-06,280.288483,289.053345,0.000000
1950-01-07,285.181763,290.634735,0.000000
1950-01-08,285.416199,295.083099,0.000000
1950-01-09,285.884796,296.393341,0.000000
1950-01-10,287.205475,293.343353,0.000000
1950-01-11,275.390686,289.393433,0.000000
1950-01-12,273.576141,283.430847,0.000000
1950-01-13,274.295349,282.596893,0.000000
1950-01-14,275.040894,286.592590,0.000000
1950-01-15,280.527924,292.355316,0.000000
1950-01-16,282.443848,293.377472,0.000000
1950-01-17,280.000244,290.291687,0.000000
1950-01-18,280.149689,295.506470,0.000000
1950-01-19,282.949585,291.300934,4.749477
1950-01-20,276.901825,287.710632,11.340343
1950-01-21,273.149841,282.848663,1.933364
1950-01-22,279.759094,287.204346,2.097587
1950-01-23,284.303558,290.323822,1.170773
1950-01-24,282.255920,297.700867,0.772638
1950-01-25,282.948700,298.635651,0.871973
1950-01-26,282.023804,298.718628,0.000000
1950-01-27,282.946991,299.526123,0.000000
1950-01-28,282.625946,299.836975,0.000000
1950-01-29,282.327362,297.346039,0.000000
1950-01-30,284.599945,297.985901,0.000000
1950-01-31,284.318542,296.959778,0.000000
1950-02-01,287.415588,294.453003,4.486187
1950-02-02,287.082336,290.847748,7.115851
1950-02-03,285.292633,292.923065,3.853540
1950-02-04,283.787384,293.100525,1.256974
1950-02-05,277.387848,289.894104,0.000000
1950-02-06,280.112823,284.560486,0.341043
1950-02-07,277.830200,286.835236,0.000000
1950-02-08,277.365845,289.835907,0.000000
1950-02-09,275.991302,286.880768,0.000000
1950-02-10,272.958832,286.975616,0.000000
1950-02-11,275.588867,289.705933,0.000000
1950-02-12,281.094147,288.034882,22.166451
1950-02-13,281.705994,291.486084,1.451324
1950-02-14,280.983612,291.333221,0.000000
1950-02-15,285.874023,297.156433,0.000000
1950-02-16,285.085754,299.745667,0.000000
1950-02-17,287.592804,300.094421,0.000000
1950-02-18,287.771667,300.284424,0.000000
1950-02-19,288.251587,298.594238,0.544445
1950-02-20,289.376038,299.751495,2.699865
1950-02-21,288.510498,297.662720,4.606319
1950-02-22,284.412903,293.358765,1.698352
1950-02-23,277.248688,289.602112,0.000000
1950-02-24,277.043152,287.294952,0.000000
1950-02-25,278.939148,289.901306,0.000000
1950-02-26,281.010590,291.534119,0.000000
1950-02-27,279.889160,290.744629,5.729010
1950-02-28,284.507935,292.013336,6.210081
1950-03-01,277.139404,288.979889,0.000000
1950-03-02,276.201111,290.615723,0.000000
1950-03-03,278.058197,293.643799,0.000000
1950-03-04,280.739960,295.594452,0.000000
1950-03-05,280.251831,296.986755,0.000000
1950-03-06,284.358337,297.480286,0.000000
1950-03-07,283.632385,293.998444,0.000000
1950-03-08,282.776947,295.065277,0.000000
1950-03-09,281.808685,295.651337,0.000000
1950-03-10,282.780487,296.601166,0.000000
1950-03-11,283.266296,298.708740,0.000000
1950-03-12,284.478455,297.718536,0.000000
1950-03-13,285.310608,299.960419,0.000000
1950-03-14,287.446838,301.972382,0.000000
1950-03-15,288.930756,299.514160,0.000000
1950-03-16,289.506348,298.993378,0.000000
1950-03-17,288.145844,300.765289,0.000000
1950-03-18,287.315674,296.417419,0.000000
1950-03-19,283.133728,294.634064,0.000000
1950-03-20,285.015503,294.724640,1.051674
1950-03-21,287.663788,295.976807,0.000000
1950-03-22,288.411285,300.037781,0.281302
1950-03-23,287.615784,302.106140,0.000000
1950-03-24,286.797455,300.351349,0.000000
1950-03-25,289.593536,297.811157,1.358860
1950-03-26,287.021301,295.073456,6.797272
1950-03-27,280.393829,291.730927,0.000000
1950-03-28,281.588562,292.210815,0.000000
1950-03-29,289.148865,295.872101,6.835536
1950-03-30,285.786530,295.155334,23.902849
1950-03-31,284.855621,295.497375,0.000000
1950-04-01,281.832306,298.694672,0.000000
1950-04-02,285.181091,304.263306,0.000000
1950-04-03,289.006073,307.771149,0.000000
1950-04-04,291.694397,305.445374,0.000000
1950-04-05,292.966858,303.671783,0.000000
1950-04-06,292.623657,303.253571,2.075810
1950-04-07,287.656250,300.873352,0.000000
1950-04-08,287.068573,302.759796,0.000000
1950-04-09,289.168243,302.668884,0.000000
1950-04-10,288.789856,300.924225,0.868921
1950-04-11,288.248169,299.086853,0.000000
1950-04-12,290.315033,299.137360,0.000000
1950-04-13,288.230133,303.830505,0.000000
1950-04-14,292.190430,304.576508,0.000000
1950-04-15,292.652802,302.761749,0.000000
1950-04-16,290.814606,302.753418,0.000000
1950-04-17,291.665894,299.141663,8.392069
1950-04-18,290.103394,299.381165,9.910280
1950-04-19,288.496399,302.328308,2.327023
1950-04-20,286.135193,302.781433,1.213657
1950-04-21,286.011597,299.579712,0.000000
1950-04-22,284.796204,301.818878,0.000000
1950-04-23,288.009338,304.424042,0.000000
1950-04-24,288.958221,303.649261,0.000000
1950-04-25,288.931732,304.365295,0.000000
1950-04-26,289.319153,305.942535,0.743923
1950-04-27,293.846222,307.194824,0.000000
1950-04-28,291.399719,307.946350,0.000000
1950-04-29,290.970795,309.791656,0.000000
1950-04-30,291.800507,309.533051,0.000000
1950-05-01,293.853607,308.546295,0.000000
1950-05-02,294.061279,307.495697,0.440109
1950-05-03,293.091400,306.947235,0.000000
1950-05-04,291.766754,305.979156,0.000000
1950-05-05,292.177887,305.343872,0.000000
1950-05-06,293.092316,307.977936,0.000000
1950-05-07,293.855316,311.367981,0.000000
