#Variables:
#tasmin_IPSL-CM5B-LR_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_IPSL-CM5B-LR_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_IPSL-CM5B-LR_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5B-LR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_IPSL-CM5B-LR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_IPSL-CM5B-LR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_IPSL-CM5B-LR_rcp45(K),tasmax_IPSL-CM5B-LR_rcp45(K),pr_IPSL-CM5B-LR_rcp45(mm)"
""
yyyy-mm-dd,tasmin_IPSL-CM5B-LR_rcp45(K),tasmax_IPSL-CM5B-LR_rcp45(K),pr_IPSL-CM5B-LR_rcp45(mm)
2006-01-01,271.081116,291.859802,0.000000
2006-01-02,284.829651,293.252686,0.000000
2006-01-03,271.369995,292.300323,0.000000
2006-01-04,280.426758,293.560181,0.000000
2006-01-05,277.221985,302.128906,0.000000
2006-01-06,277.722290,294.232086,0.000000
2006-01-07,271.945801,286.007629,0.000000
2006-01-08,269.712494,288.489990,0.000000
2006-01-09,272.897552,293.387299,0.000000
2006-01-10,277.014618,297.040894,0.000000
2006-01-11,280.504791,296.481567,0.000000
2006-01-12,281.663544,297.736511,0.000000
2006-01-13,281.733398,292.230316,3.571343
2006-01-14,280.707092,287.195404,3.300980
2006-01-15,278.052948,287.637695,8.272317
2006-01-16,274.627289,284.736237,2.375067
2006-01-17,275.099396,288.774994,0.000000
2006-01-18,272.027435,292.063324,0.000000
2006-01-19,274.809052,294.938690,0.000000
2006-01-20,277.214630,299.103394,0.000000
2006-01-21,282.707703,299.307709,0.000000
2006-01-22,279.608734,296.130341,0.000000
2006-01-23,272.595184,285.916046,0.000000
2006-01-24,270.087555,287.121735,0.000000
2006-01-25,270.791138,292.174225,0.000000
2006-01-26,275.917511,297.640686,0.000000
2006-01-27,278.919556,298.747284,0.000000
2006-01-28,280.979736,294.578186,0.000000
2006-01-29,273.838470,288.688477,0.000000
2006-01-30,272.866272,287.386078,0.000000
2006-01-31,271.379486,285.190552,0.000000
2006-02-01,271.748444,286.473938,0.000000
2006-02-02,273.133392,292.963989,0.000000
2006-02-03,276.491760,297.873108,0.000000
2006-02-04,279.871674,296.753540,0.000000
2006-02-05,277.423035,291.533783,0.000000
2006-02-06,279.217285,301.191742,0.000000
2006-02-07,279.066101,294.281586,0.000000
2006-02-08,280.923462,303.214355,0.000000
2006-02-09,283.363586,303.593109,0.000000
2006-02-10,285.042786,306.024323,0.000000
2006-02-11,286.028290,306.033630,0.000000
2006-02-12,287.597443,305.430634,0.000000
2006-02-13,289.415466,301.371582,0.337858
2006-02-14,283.269836,301.447205,0.000000
2006-02-15,289.512665,301.167786,0.822142
2006-02-16,289.381287,300.864471,0.000000
2006-02-17,285.218170,295.557495,0.000000
