#Variables:
#tasmin_MIROC5_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC5_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_MIROC5_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_MIROC5_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MIROC5_historical(K),tasmax_MIROC5_historical(K),pr_MIROC5_historical(mm)"
""
yyyy-mm-dd,tasmin_MIROC5_historical(K),tasmax_MIROC5_historical(K),pr_MIROC5_historical(mm)
1950-01-01,278.914520,291.872162,0.000000
1950-01-02,274.570984,280.166992,0.000000
1950-01-03,272.521240,282.965027,0.000000
1950-01-04,269.626526,286.483612,0.000000
1950-01-05,272.773590,287.899902,0.000000
1950-01-06,274.952423,284.142120,0.000000
1950-01-07,275.439301,278.436035,0.415648
1950-01-08,274.345825,282.172699,0.000000
1950-01-09,276.575623,283.374359,2.967653
1950-01-10,277.634460,284.678314,2.216330
1950-01-11,279.093689,285.339050,3.722305
1950-01-12,277.059692,284.117249,6.929592
1950-01-13,276.905731,282.307739,4.490745
1950-01-14,270.737885,280.149353,0.000000
1950-01-15,271.315552,286.796814,0.000000
1950-01-16,270.434265,282.742554,0.000000
1950-01-17,273.980286,287.023163,0.000000
1950-01-18,281.094360,295.190063,0.000000
1950-01-19,285.401581,298.754883,1.587677
1950-01-20,281.790283,295.630432,0.000000
1950-01-21,276.590515,291.549591,0.000000
1950-01-22,274.046326,288.120239,0.000000
1950-01-23,272.201996,287.773956,0.000000
1950-01-24,277.807892,295.311584,0.000000
1950-01-25,277.761688,296.635315,0.000000
1950-01-26,278.105896,291.994904,0.309324
1950-01-27,274.287323,290.435028,0.000000
1950-01-28,276.691071,297.087158,0.000000
1950-01-29,279.537262,299.698639,0.000000
1950-01-30,282.116089,299.659149,0.000000
1950-01-31,280.721069,298.424866,0.000000
1950-02-01,283.598267,299.462738,0.000000
1950-02-02,276.397888,294.697357,0.000000
1950-02-03,277.311127,297.480927,0.000000
1950-02-04,276.052032,295.225739,0.000000
1950-02-05,284.670837,293.610779,0.000000
1950-02-06,277.604279,299.542664,0.000000
1950-02-07,282.945557,297.645264,0.000000
1950-02-08,277.798157,295.598846,0.000000
1950-02-09,274.805298,291.893097,0.000000
1950-02-10,273.658173,283.276703,1.357842
1950-02-11,272.978973,286.819458,0.000000
1950-02-12,274.479614,290.236298,0.000000
1950-02-13,278.296661,292.063416,0.000000
1950-02-14,285.472595,290.847748,0.484944
1950-02-15,284.851196,293.831635,8.864201
1950-02-16,284.105804,299.473358,1.853446
1950-02-17,280.811279,294.686157,0.000000
1950-02-18,275.691742,286.436981,0.000000
1950-02-19,277.080444,283.393524,0.000000
