#Variables:
#tasmin_MIROC5_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC5_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_MIROC5_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MIROC5_rcp45(K),tasmax_MIROC5_rcp45(K),pr_MIROC5_rcp45(mm)"
""
yyyy-mm-dd,tasmin_MIROC5_rcp45(K),tasmax_MIROC5_rcp45(K),pr_MIROC5_rcp45(mm)
2006-01-01,280.063232,291.507935,0.000000
2006-01-02,280.839569,290.128662,0.000000
2006-01-03,274.846924,288.722900,0.000000
2006-01-04,278.838745,292.178467,0.000000
2006-01-05,274.626831,288.527252,0.000000
2006-01-06,273.758972,290.234070,0.000000
2006-01-07,279.685760,291.390747,0.000000
2006-01-08,276.151825,292.780853,0.000000
2006-01-09,280.414764,290.395325,0.000000
2006-01-10,270.437653,285.051941,0.000000
2006-01-11,272.561554,286.318512,0.000000
2006-01-12,274.377716,286.997253,0.000000
2006-01-13,280.793427,286.002258,0.940374
2006-01-14,277.364166,288.637573,0.298927
2006-01-15,275.988220,290.177429,0.000000
2006-01-16,275.095825,286.207001,0.000000
2006-01-17,276.265961,280.721527,0.000000
2006-01-18,278.954834,291.755371,0.914300
2006-01-19,276.345093,289.650238,0.000000
2006-01-20,278.419525,288.743774,0.000000
2006-01-21,275.573914,294.458466,0.000000
2006-01-22,279.543365,291.430023,0.000000
2006-01-23,275.047791,284.770172,0.283960
2006-01-24,271.074982,280.185944,0.000000
2006-01-25,268.957062,279.248718,0.000000
2006-01-26,267.497406,275.639435,2.408740
2006-01-27,266.303986,273.412445,0.000000
2006-01-28,268.125732,279.955505,0.000000
2006-01-29,271.155182,282.748840,0.000000
2006-01-30,269.072754,283.632812,0.000000
2006-01-31,272.710388,285.759674,0.000000
2006-02-01,271.587555,288.439270,0.000000
2006-02-02,277.858459,288.945740,0.000000
2006-02-03,275.199097,286.714539,1.384255
2006-02-04,269.692780,286.467926,0.000000
2006-02-05,271.392273,285.380371,0.000000
2006-02-06,275.414429,290.479156,0.000000
2006-02-07,275.249664,295.949921,0.000000
2006-02-08,277.848907,299.293762,0.000000
2006-02-09,280.154114,300.899445,0.000000
2006-02-10,282.503235,296.760742,0.000000
2006-02-11,277.296112,291.394836,0.000000
2006-02-12,276.857452,290.805756,0.000000
2006-02-13,282.551727,294.751709,0.000000
2006-02-14,285.552765,298.185486,0.000000
2006-02-15,281.265991,294.318207,1.874293
2006-02-16,280.380280,286.576569,24.703432
2006-02-17,274.778473,286.688507,0.932553
2006-02-18,276.312958,286.978485,0.000000
2006-02-19,273.203888,288.310303,0.000000
2006-02-20,278.309174,300.082214,0.000000
2006-02-21,281.326019,295.779938,0.000000
2006-02-22,277.804596,290.730286,0.000000
2006-02-23,281.828430,289.791748,0.000000
2006-02-24,280.027557,293.889313,0.000000
2006-02-25,278.462341,290.674652,0.000000
2006-02-26,278.568207,287.011200,0.000000
2006-02-27,282.964539,290.822357,0.000000
2006-02-28,285.158905,288.842255,4.775208
2006-03-01,284.320343,289.196564,2.353981
2006-03-02,274.603333,286.293793,0.000000
2006-03-03,279.200043,294.187683,0.000000
2006-03-04,284.550476,294.023438,0.000000
2006-03-05,275.089661,288.522278,0.000000
2006-03-06,275.944580,291.266113,0.000000
2006-03-07,279.726288,297.354523,0.000000
2006-03-08,283.266602,297.545166,0.000000
2006-03-09,288.082367,305.047546,0.000000
2006-03-10,288.464203,304.318359,0.000000
2006-03-11,284.413330,299.915588,0.000000
2006-03-12,284.716217,294.406647,0.000000
2006-03-13,286.993286,302.972931,0.000000
2006-03-14,289.386749,299.921387,0.000000
2006-03-15,290.855591,302.108978,4.235599
2006-03-16,291.134857,300.792145,0.312214
2006-03-17,290.654175,300.571838,8.072091
2006-03-18,290.237762,302.110168,0.000000
2006-03-19,284.699280,303.696747,0.000000
2006-03-20,283.981476,299.149750,0.000000
2006-03-21,284.867126,296.697601,18.358669
2006-03-22,289.994873,301.535217,8.724717
2006-03-23,284.644867,296.060150,0.452780
2006-03-24,282.227814,299.825531,0.000000
2006-03-25,283.941772,300.911957,0.000000
2006-03-26,285.378357,301.984344,0.000000
2006-03-27,288.515625,302.720612,0.000000
2006-03-28,288.183594,299.831604,0.000000
2006-03-29,288.545502,299.374268,0.000000
2006-03-30,290.699860,300.329742,24.666229
2006-03-31,288.374573,294.325195,51.835602
2006-04-01,287.306702,294.469330,4.814608
2006-04-02,283.301544,297.846466,0.000000
2006-04-03,284.978455,296.543701,0.000000
2006-04-04,287.113251,301.292084,0.000000
2006-04-05,288.184418,305.006104,0.000000
2006-04-06,286.388855,301.563293,0.000000
2006-04-07,282.802765,303.441132,0.000000
2006-04-08,284.677673,303.996918,0.000000
2006-04-09,288.037323,300.886688,0.000000
2006-04-10,289.469879,297.941925,0.000000
2006-04-11,291.629913,299.051483,0.000000
2006-04-12,291.136780,297.045685,0.000000
2006-04-13,291.626190,304.161926,0.000000
2006-04-14,291.424835,305.915863,0.000000
2006-04-15,290.546509,304.144196,0.000000
2006-04-16,289.088837,305.535614,0.000000
2006-04-17,289.953857,303.828796,0.000000
2006-04-18,287.739868,301.239532,0.000000
2006-04-19,285.391144,299.834869,0.000000
2006-04-20,286.618286,301.246735,0.000000
2006-04-21,289.381744,306.834839,0.000000
2006-04-22,291.230103,310.147736,0.000000
2006-04-23,294.964630,309.441315,0.000000
2006-04-24,295.068237,308.759186,0.000000
2006-04-25,297.635468,308.837524,0.000000
2006-04-26,296.615692,307.783264,0.000000
2006-04-27,295.713684,305.686920,0.342085
2006-04-28,293.300598,300.203522,6.216578
2006-04-29,292.099731,300.105957,1.822380
2006-04-30,290.816040,302.134979,0.000000
