#Variables:
#tasmin_MIROC-ESM_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC-ESM_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_MIROC-ESM_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC-ESM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MIROC-ESM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_MIROC-ESM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MIROC-ESM_historical(K),tasmax_MIROC-ESM_historical(K),pr_MIROC-ESM_historical(mm)"
""
yyyy-mm-dd,tasmin_MIROC-ESM_historical(K),tasmax_MIROC-ESM_historical(K),pr_MIROC-ESM_historical(mm)
1950-01-01,271.041992,277.564056,13.713722
1950-01-02,264.811218,272.308319,0.000000
1950-01-03,265.645050,273.029816,0.000000
1950-01-04,273.978882,286.527405,32.271458
1950-01-05,279.484406,282.108521,2.967653
1950-01-06,268.588806,275.899506,0.309640
1950-01-07,269.308899,274.322723,4.040714
1950-01-08,266.239136,275.948242,0.000000
1950-01-09,274.114258,277.403320,0.933212
1950-01-10,276.327179,285.506165,0.000000
1950-01-11,274.360077,280.380554,0.000000
1950-01-12,270.491455,282.520538,0.000000
1950-01-13,272.942627,284.018250,0.000000
1950-01-14,267.506073,278.307434,0.000000
1950-01-15,269.620331,282.663696,0.000000
1950-01-16,269.816437,278.864929,0.000000
1950-01-17,270.748871,284.816406,1.062533
1950-01-18,274.081329,290.426727,0.000000
1950-01-19,281.921234,293.835510,0.742702
1950-01-20,275.390381,286.555481,0.000000
1950-01-21,274.168396,287.984650,0.000000
1950-01-22,281.530212,290.047943,0.000000
1950-01-23,276.786224,286.030701,1.195005
1950-01-24,273.022888,291.627502,0.000000
1950-01-25,278.574860,287.044006,0.000000
1950-01-26,273.334503,285.047424,0.000000
1950-01-27,281.016052,285.213531,1.470375
1950-01-28,276.631561,289.075226,0.000000
1950-01-29,274.903595,297.338684,0.000000
1950-01-30,281.728180,293.705750,7.900267
1950-01-31,278.704285,289.070618,1.169040
1950-02-01,275.072723,285.459351,0.000000
1950-02-02,275.321533,292.216156,0.000000
1950-02-03,279.796722,291.186218,0.000000
1950-02-04,279.526398,295.188385,0.000000
1950-02-05,284.842072,296.485962,0.000000
1950-02-06,283.910980,297.592926,0.000000
1950-02-07,281.660370,302.322205,0.000000
1950-02-08,284.058868,296.718445,0.000000
1950-02-09,279.341919,292.623474,0.000000
1950-02-10,278.977997,295.723206,0.000000
1950-02-11,281.369415,298.782318,0.000000
1950-02-12,283.232513,300.930908,0.000000
1950-02-13,284.670837,297.565460,0.000000
1950-02-14,284.327606,294.291565,0.000000
1950-02-15,277.335724,288.644165,0.000000
1950-02-16,273.526550,286.034912,0.000000
1950-02-17,280.975403,291.914825,0.000000
1950-02-18,277.560394,291.018463,0.000000
1950-02-19,276.548431,290.749298,0.000000
1950-02-20,277.265961,288.367737,0.000000
1950-02-21,275.126678,284.500366,0.000000
1950-02-22,274.719574,290.686432,0.000000
1950-02-23,278.920227,287.897400,0.000000
1950-02-24,272.061157,283.939728,0.000000
1950-02-25,275.562805,286.724457,0.000000
1950-02-26,278.225525,297.807739,0.000000
1950-02-27,281.007660,296.410828,0.000000
1950-02-28,284.715454,296.938538,0.000000
1950-03-01,283.786621,299.788544,0.000000
1950-03-02,284.369720,299.319611,0.000000
1950-03-03,285.701172,300.817902,0.000000
1950-03-04,285.327271,298.068665,3.683830
1950-03-05,286.836517,299.679993,0.921080
1950-03-06,285.863464,299.272400,0.000000
1950-03-07,283.566711,298.562408,0.000000
1950-03-08,281.132263,293.081818,0.797719
1950-03-09,286.980103,299.203522,0.775535
1950-03-10,288.102386,304.029205,0.000000
1950-03-11,291.012756,303.370056,4.667158
1950-03-12,286.531494,303.771393,0.000000
1950-03-13,288.635925,299.628021,11.180884
1950-03-14,289.260712,296.000885,3.935722
1950-03-15,283.609985,295.591766,0.000000
1950-03-16,282.040039,298.987518,0.000000
1950-03-17,285.508789,292.030609,0.000000
1950-03-18,285.288788,298.515289,0.000000
1950-03-19,288.111237,298.461823,16.956083
1950-03-20,285.913879,295.250641,0.903361
1950-03-21,284.547943,299.060516,0.000000
1950-03-22,288.562042,300.404449,0.000000
1950-03-23,286.461517,294.832458,17.510281
1950-03-24,279.983887,293.471161,0.000000
1950-03-25,281.262817,300.695587,0.000000
1950-03-26,287.724548,300.875732,0.000000
1950-03-27,287.231049,298.960052,0.000000
1950-03-28,288.512268,294.673492,0.000000
1950-03-29,281.472137,291.371857,0.000000
1950-03-30,278.886932,293.251251,0.000000
1950-03-31,279.567780,297.364594,0.000000
1950-04-01,280.777039,296.418915,0.000000
1950-04-02,281.515656,299.236969,0.000000
1950-04-03,281.938629,302.233246,0.000000
1950-04-04,285.241760,307.219116,0.000000
1950-04-05,287.054108,302.893799,0.000000
1950-04-06,287.505188,296.904388,10.719255
1950-04-07,283.309357,289.608490,15.752505
1950-04-08,284.922180,292.741119,13.226797
1950-04-09,287.044312,294.278381,18.743391
1950-04-10,286.834137,299.418457,0.000000
1950-04-11,290.213898,300.217194,1.015061
1950-04-12,289.410187,296.623779,34.068527
1950-04-13,290.331696,302.296112,0.746909
1950-04-14,291.759766,301.849609,0.000000
1950-04-15,290.338654,300.767914,0.000000
1950-04-16,287.975647,302.067780,0.000000
1950-04-17,288.706116,297.608093,0.000000
1950-04-18,287.785187,299.471039,0.918524
