#Variables:
#tasmin_MIROC-ESM_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC-ESM_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_MIROC-ESM_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC-ESM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MIROC-ESM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_MIROC-ESM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MIROC-ESM_rcp85(K),tasmax_MIROC-ESM_rcp85(K),pr_MIROC-ESM_rcp85(mm)"
""
yyyy-mm-dd,tasmin_MIROC-ESM_rcp85(K),tasmax_MIROC-ESM_rcp85(K),pr_MIROC-ESM_rcp85(mm)
2006-01-01,277.639191,294.935822,0.000000
2006-01-02,279.125427,294.008728,0.000000
2006-01-03,280.274445,299.273163,0.000000
2006-01-04,286.168396,297.615204,2.089798
2006-01-05,289.464172,293.100250,3.997616
2006-01-06,273.485046,288.845245,0.000000
2006-01-07,277.796051,294.477356,0.000000
2006-01-08,275.735382,289.690918,0.000000
2006-01-09,275.267426,292.633728,0.000000
2006-01-10,274.356842,286.556335,0.000000
2006-01-11,273.640808,290.552856,0.000000
2006-01-12,276.311249,295.171234,0.000000
2006-01-13,280.175720,291.523315,0.000000
2006-01-14,280.911530,290.568512,0.000000
2006-01-15,280.708710,297.067627,2.175860
2006-01-16,283.149323,294.391785,0.000000
2006-01-17,270.138031,287.923096,0.000000
2006-01-18,269.236908,286.255554,0.000000
2006-01-19,278.197174,288.367676,16.759611
2006-01-20,274.306976,285.564056,1.438293
2006-01-21,273.255676,289.534363,0.000000
2006-01-22,274.594269,293.184601,1.128075
2006-01-23,285.969269,296.718353,4.487607
2006-01-24,283.933014,292.045319,3.521266
2006-01-25,273.445679,285.632996,0.340717
2006-01-26,272.637604,288.840820,0.000000
2006-01-27,274.433136,295.485138,0.000000
2006-01-28,284.915283,298.065125,0.429472
2006-01-29,281.419403,292.502686,0.000000
2006-01-30,273.227386,284.689484,0.000000
2006-01-31,273.297729,294.305054,0.000000
2006-02-01,277.092346,287.618713,0.000000
2006-02-02,272.176880,290.026947,0.000000
2006-02-03,278.333527,297.870483,0.000000
2006-02-04,287.275818,297.238007,2.565948
2006-02-05,289.677460,300.307922,4.968081
2006-02-06,287.872314,299.391632,0.000000
2006-02-07,289.192566,298.960602,2.481928
2006-02-08,288.878662,294.542236,3.206245
2006-02-09,278.580048,295.138947,0.000000
2006-02-10,275.774231,288.300171,0.000000
2006-02-11,278.052338,295.084625,5.854884
2006-02-12,286.084503,294.502228,0.719778
2006-02-13,274.662689,286.011505,0.000000
2006-02-14,277.706390,295.261078,0.000000
2006-02-15,280.299011,289.883270,0.000000
2006-02-16,268.785583,284.450134,0.000000
2006-02-17,273.768768,283.933289,1.313851
2006-02-18,285.902863,293.543793,23.874889
2006-02-19,277.722748,285.072205,7.681902
2006-02-20,275.576019,288.432526,0.906733
2006-02-21,276.845459,293.823242,0.000000
2006-02-22,280.263214,296.518280,0.000000
2006-02-23,281.565674,297.574615,0.000000
2006-02-24,284.599304,299.078735,0.393478
2006-02-25,287.409424,299.583527,2.483549
2006-02-26,286.955200,302.301544,0.000000
2006-02-27,287.942017,298.324982,2.082760
2006-02-28,279.681000,291.516418,0.000000
2006-03-01,277.663635,288.929108,0.000000
2006-03-02,279.557983,296.310211,0.000000
2006-03-03,282.314117,291.589386,0.000000
2006-03-04,279.696564,295.422394,0.000000
2006-03-05,277.724670,290.673248,0.000000
2006-03-06,284.778503,296.412048,4.806827
2006-03-07,290.494873,300.440247,8.212208
2006-03-08,286.027405,295.581177,0.000000
2006-03-09,285.063965,297.333740,0.000000
2006-03-10,289.412689,297.073425,1.068190
2006-03-11,283.916595,300.428986,0.000000
2006-03-12,289.351654,301.479156,0.783178
2006-03-13,290.139465,301.064240,0.730156
2006-03-14,290.507416,299.142456,25.193714
2006-03-15,291.423462,301.991547,9.249424
2006-03-16,292.396484,304.135132,3.045767
2006-03-17,292.731110,303.280060,5.473228
2006-03-18,285.552551,296.880219,0.000000
2006-03-19,283.215485,292.806091,0.000000
2006-03-20,285.624512,292.752319,0.540349
2006-03-21,281.928772,293.550476,0.000000
2006-03-22,283.408386,295.534515,0.656960
2006-03-23,287.320953,300.819366,0.402467
2006-03-24,289.452911,301.124146,0.312733
2006-03-25,289.705322,300.460510,0.000000
2006-03-26,289.862183,307.270477,1.077592
2006-03-27,290.963806,304.540009,0.000000
2006-03-28,288.104248,298.014557,0.000000
2006-03-29,279.186035,291.817017,1.287195
2006-03-30,281.903198,292.780579,0.000000
2006-03-31,288.508667,301.811005,17.715359
2006-04-01,287.517822,294.554779,37.197887
2006-04-02,281.294434,285.763000,25.407648
2006-04-03,277.999878,297.396179,0.000000
2006-04-04,282.932404,292.493652,0.000000
2006-04-05,281.567291,288.482391,0.897490
2006-04-06,288.810883,300.318909,12.506247
2006-04-07,288.216156,296.887787,2.280403
2006-04-08,282.002869,289.082062,0.000000
2006-04-09,284.971313,290.181702,0.000000
2006-04-10,282.855530,289.184662,0.000000
2006-04-11,283.458221,297.335938,0.000000
2006-04-12,287.993652,300.319733,0.000000
2006-04-13,284.611847,301.942932,0.000000
2006-04-14,288.213898,299.317108,0.000000
2006-04-15,287.400085,296.652985,0.000000
2006-04-16,284.775757,298.457397,0.000000
2006-04-17,284.191132,297.257385,0.000000
2006-04-18,285.480133,302.137421,0.000000
2006-04-19,286.423431,299.468872,0.000000
2006-04-20,286.222321,299.972626,0.000000
2006-04-21,287.108978,304.786072,0.000000
2006-04-22,290.364258,301.234344,0.000000
2006-04-23,292.087158,303.065002,11.208304
2006-04-24,291.730164,302.384918,5.050838
2006-04-25,286.742645,298.080688,0.000000
2006-04-26,289.924927,293.888092,1.666712
