#Variables:
#tasmin_MIROC-ESM-CHEM_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC-ESM-CHEM_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_MIROC-ESM-CHEM_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC-ESM-CHEM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MIROC-ESM-CHEM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_MIROC-ESM-CHEM_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MIROC-ESM-CHEM_historical(K),tasmax_MIROC-ESM-CHEM_historical(K),pr_MIROC-ESM-CHEM_historical(mm)"
""
yyyy-mm-dd,tasmin_MIROC-ESM-CHEM_historical(K),tasmax_MIROC-ESM-CHEM_historical(K),pr_MIROC-ESM-CHEM_historical(mm)
1950-01-01,279.614349,299.564789,0.000000
1950-01-02,280.984131,301.991241,0.000000
1950-01-03,282.329803,292.704926,0.000000
1950-01-04,276.193207,290.577118,0.000000
1950-01-05,275.407532,293.377533,0.000000
1950-01-06,275.214539,291.453979,0.000000
1950-01-07,275.612152,284.401672,0.000000
1950-01-08,267.506073,281.310760,0.000000
1950-01-09,271.683685,290.089722,0.000000
1950-01-10,276.273987,290.722534,0.000000
1950-01-11,273.780701,297.710907,0.000000
1950-01-12,286.034058,297.805878,0.000000
1950-01-13,278.893677,290.415741,0.000000
1950-01-14,274.200012,292.750366,0.000000
1950-01-15,277.865631,296.862915,0.000000
1950-01-16,273.042297,292.124634,0.000000
1950-01-17,276.212585,298.038544,0.000000
1950-01-18,285.918457,298.545441,0.000000
1950-01-19,271.897003,290.686432,0.000000
1950-01-20,282.286163,293.076660,0.000000
1950-01-21,275.886047,297.346039,0.000000
1950-01-22,281.560455,294.797852,0.000000
1950-01-23,279.348328,293.747864,2.435680
1950-01-24,273.792236,290.016113,13.566074
1950-01-25,277.346527,286.526489,52.193089
1950-01-26,282.037140,291.164764,8.889004
1950-01-27,281.733887,295.106537,0.000000
1950-01-28,287.639679,299.180573,7.702721
1950-01-29,281.468292,292.962311,0.822833
1950-01-30,275.079803,288.740295,0.000000
1950-01-31,276.182831,289.845215,0.000000
1950-02-01,272.394714,282.905762,0.000000
1950-02-02,266.770294,277.069977,0.000000
1950-02-03,268.984985,283.571472,0.000000
1950-02-04,274.479614,288.682434,0.000000
1950-02-05,280.877869,287.824738,5.075693
1950-02-06,284.990295,290.734650,4.928330
1950-02-07,285.936340,294.620728,0.000000
1950-02-08,284.322205,299.692505,0.000000
1950-02-09,288.073181,299.172791,0.000000
1950-02-10,288.689026,297.492004,0.000000
1950-02-11,289.409790,302.010956,0.000000
1950-02-12,289.945312,300.607025,0.000000
1950-02-13,278.054199,291.843597,0.000000
1950-02-14,276.085114,295.848358,0.000000
1950-02-15,278.667908,295.437195,0.000000
1950-02-16,281.314484,301.005066,0.000000
1950-02-17,281.125183,295.556366,0.000000
1950-02-18,281.017273,293.247040,0.000000
1950-02-19,280.510162,300.004272,0.000000
1950-02-20,281.265747,302.035736,0.000000
1950-02-21,280.073975,295.888916,0.000000
1950-02-22,279.096771,296.967499,0.000000
1950-02-23,278.686829,298.370819,0.000000
1950-02-24,283.284119,302.995422,0.000000
1950-02-25,287.076294,297.208679,0.000000
1950-02-26,275.156738,290.894409,0.000000
1950-02-27,281.714569,301.553680,0.000000
1950-02-28,283.332397,301.356018,0.000000
1950-03-01,285.106628,296.452850,1.879821
1950-03-02,289.146545,299.953339,5.766330
1950-03-03,286.023773,299.320526,0.000000
1950-03-04,284.810913,299.072601,0.000000
1950-03-05,286.437317,301.478516,0.000000
1950-03-06,288.643280,304.734863,0.000000
1950-03-07,290.779663,300.731934,0.000000
1950-03-08,282.520477,301.554535,0.000000
