#Variables:
#tasmin_MIROC-ESM-CHEM_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC-ESM-CHEM_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_MIROC-ESM-CHEM_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC-ESM-CHEM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MIROC-ESM-CHEM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_MIROC-ESM-CHEM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MIROC-ESM-CHEM_rcp85(K),tasmax_MIROC-ESM-CHEM_rcp85(K),pr_MIROC-ESM-CHEM_rcp85(mm)"
""
yyyy-mm-dd,tasmin_MIROC-ESM-CHEM_rcp85(K),tasmax_MIROC-ESM-CHEM_rcp85(K),pr_MIROC-ESM-CHEM_rcp85(mm)
2006-01-01,276.096283,294.926361,0.000000
2006-01-02,276.181061,287.058655,0.000000
2006-01-03,274.778839,282.057678,0.000000
2006-01-04,269.643860,287.296021,0.000000
2006-01-05,275.353210,285.832550,1.249090
2006-01-06,267.570709,281.191406,0.000000
2006-01-07,271.978180,283.410187,0.000000
2006-01-08,273.959320,292.505920,0.000000
2006-01-09,278.772400,289.808502,0.000000
2006-01-10,272.760040,283.755157,0.000000
2006-01-11,278.989899,296.865448,0.693402
2006-01-12,282.041718,297.377838,0.000000
2006-01-13,283.175232,294.908142,0.331330
2006-01-14,273.607269,287.079346,1.948617
2006-01-15,276.134125,286.314484,0.661593
2006-01-16,276.244476,297.880219,0.000000
2006-01-17,281.746063,294.208374,0.000000
2006-01-18,269.233459,285.072296,5.920847
2006-01-19,270.289917,284.474213,3.112180
2006-01-20,273.012573,289.482422,0.000000
2006-01-21,276.815430,289.787323,0.596880
2006-01-22,279.197449,293.301453,1.167452
2006-01-23,279.592285,296.390900,0.000000
2006-01-24,280.134003,297.619019,0.000000
2006-01-25,280.355072,300.062988,0.000000
2006-01-26,282.696655,296.097107,0.000000
2006-01-27,281.376495,301.640839,0.000000
2006-01-28,286.558411,301.140656,1.661842
2006-01-29,286.796295,296.655518,3.553015
