#Variables:
#tasmin_MRI-CGCM3_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_MRI-CGCM3_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_MRI-CGCM3_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MRI-CGCM3_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_MRI-CGCM3_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_MRI-CGCM3_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_MRI-CGCM3_historical(K),tasmax_MRI-CGCM3_historical(K),pr_MRI-CGCM3_historical(mm)"
""
yyyy-mm-dd,tasmin_MRI-CGCM3_historical(K),tasmax_MRI-CGCM3_historical(K),pr_MRI-CGCM3_historical(mm)
1950-01-01,275.759308,286.642883,6.382607
1950-01-02,280.207581,296.861206,3.503169
1950-01-03,285.039246,297.381500,1.942665
1950-01-04,284.205536,296.323029,2.943383
1950-01-05,282.157257,288.587341,8.528349
1950-01-06,280.409485,294.931458,4.436474
1950-01-07,269.710663,284.604828,0.000000
1950-01-08,273.011810,279.770508,0.507785
1950-01-09,274.741821,281.556244,0.822506
1950-01-10,277.811554,292.006775,0.000000
1950-01-11,278.364197,292.065704,0.000000
1950-01-12,285.553925,297.460205,0.000000
1950-01-13,282.021851,300.904877,0.000000
1950-01-14,267.254547,288.965149,0.000000
1950-01-15,268.564545,281.974030,1.480758
1950-01-16,280.968109,297.945465,0.361411
1950-01-17,287.962708,299.148010,0.000000
1950-01-18,288.881134,298.654114,1.561805
1950-01-19,289.101166,300.868530,0.000000
1950-01-20,287.219574,299.580292,0.000000
1950-01-21,284.872284,297.659637,0.932504
1950-01-22,285.928375,300.311462,1.444417
1950-01-23,269.461823,295.025513,4.749477
1950-01-24,266.137512,274.834686,1.897605
1950-01-25,268.491211,278.391113,1.110954
1950-01-26,274.730347,289.142639,1.587677
1950-01-27,280.234528,289.057861,0.932516
1950-01-28,270.687103,283.778503,0.000000
1950-01-29,269.254211,279.203613,0.000000
1950-01-30,270.096985,279.218262,0.000000
1950-01-31,272.204193,278.180603,0.000000
1950-02-01,267.493896,275.373566,1.261472
1950-02-02,272.048126,280.843933,13.574905
1950-02-03,274.349060,285.836487,2.886886
1950-02-04,276.584686,287.744598,0.598057
1950-02-05,280.853149,291.615082,5.375973
1950-02-06,278.273621,290.236298,0.000000
1950-02-07,275.119476,285.302338,0.000000
1950-02-08,275.407471,288.324249,0.000000
1950-02-09,275.637512,292.452179,0.000000
1950-02-10,275.150269,292.868774,0.000000
1950-02-11,276.501465,290.253479,0.000000
1950-02-12,275.644653,292.661682,0.000000
1950-02-13,275.652069,292.721497,0.000000
1950-02-14,279.631042,293.192078,0.000000
1950-02-15,286.586121,297.077545,1.395464
1950-02-16,284.489990,300.487518,0.520756
1950-02-17,285.270081,299.538025,5.441323
1950-02-18,278.590912,296.983826,0.883696
1950-02-19,275.883881,289.727020,0.000000
1950-02-20,278.013275,294.981537,0.000000
1950-02-21,279.796661,293.639771,0.000000
1950-02-22,272.700165,290.315399,0.880754
1950-02-23,272.064178,283.230438,0.000000
1950-02-24,273.794434,285.074463,0.000000
1950-02-25,272.803864,286.912994,0.000000
1950-02-26,277.414001,293.549805,0.000000
1950-02-27,274.879120,292.642242,0.000000
1950-02-28,281.229858,298.411407,0.000000
1950-03-01,280.509338,294.499207,0.000000
1950-03-02,283.223022,295.297607,0.862742
1950-03-03,289.135498,300.181763,1.616836
1950-03-04,281.405579,297.709686,4.870259
1950-03-05,278.511841,291.264587,0.000000
1950-03-06,276.042267,289.009644,0.000000
1950-03-07,277.078308,289.433990,0.000000
1950-03-08,278.024384,286.093781,0.000000
1950-03-09,279.689606,290.013123,0.000000
1950-03-10,283.026245,290.896637,0.000000
1950-03-11,284.773895,297.739319,1.818394
1950-03-12,286.209808,297.894043,11.180884
1950-03-13,286.000183,295.981384,0.000000
1950-03-14,275.620911,290.680756,0.000000
1950-03-15,277.625488,292.785614,0.000000
1950-03-16,278.934113,296.417206,0.000000
1950-03-17,285.255798,298.370392,0.000000
1950-03-18,287.654907,295.048706,0.466172
1950-03-19,286.155426,291.960632,0.000000
1950-03-20,285.012085,290.034149,0.000000
1950-03-21,285.981171,299.212006,0.808431
1950-03-22,286.397278,301.275909,0.000000
1950-03-23,286.312744,298.871887,2.094616
1950-03-24,279.948669,299.416321,0.000000
1950-03-25,282.782013,296.151642,0.000000
1950-03-26,288.739685,300.514343,1.212758
1950-03-27,290.824158,300.948761,5.670300
1950-03-28,284.092010,298.962341,18.297651
1950-03-29,284.491333,301.429932,1.153775
1950-03-30,283.625458,300.394409,0.000000
1950-03-31,287.208832,297.118378,3.332906
1950-04-01,288.727051,300.803375,2.038692
1950-04-02,282.509308,296.377625,0.000000
1950-04-03,283.494629,292.867035,0.000000
1950-04-04,286.182373,296.709106,5.209247
1950-04-05,282.895996,299.505219,0.000000
1950-04-06,285.773926,301.494537,0.000000
1950-04-07,282.547546,302.372223,0.000000
1950-04-08,290.369415,299.227997,2.234981
1950-04-09,285.258911,302.237427,0.000000
1950-04-10,284.363770,303.365906,0.000000
1950-04-11,285.124847,298.414246,11.228049
1950-04-12,279.361084,288.304932,24.619200
1950-04-13,279.207458,284.225983,0.535890
1950-04-14,282.726288,295.071808,33.709896
1950-04-15,283.158325,302.496246,0.000000
1950-04-16,289.339325,300.668823,0.000000
1950-04-17,290.330139,304.923584,0.000000
1950-04-18,291.692535,302.430206,0.000000
1950-04-19,283.656860,303.065552,0.000000
1950-04-20,287.031860,300.428070,0.000000
1950-04-21,283.338043,303.658020,0.000000
1950-04-22,288.731201,305.022827,0.000000
1950-04-23,287.461609,300.997498,0.000000
1950-04-24,288.226776,300.347107,0.000000
1950-04-25,291.586395,302.746490,0.619117
1950-04-26,291.871124,303.637939,7.763597
1950-04-27,286.013824,308.137573,0.000000
1950-04-28,290.886261,304.934021,0.000000
1950-04-29,286.810852,298.294769,0.000000
1950-04-30,284.489990,295.915924,0.000000
1950-05-01,281.550446,299.822968,0.000000
1950-05-02,286.339539,303.227570,0.000000
1950-05-03,285.784210,303.220215,0.000000
1950-05-04,287.670319,301.125610,0.000000
1950-05-05,290.438385,305.095612,1.124559
1950-05-06,292.249481,305.748840,0.000000
1950-05-07,291.120514,303.752319,0.000000
1950-05-08,291.663483,302.021027,0.000000
1950-05-09,292.724823,300.031891,0.000000
1950-05-10,292.834564,301.178375,0.989894
1950-05-11,293.581329,303.980591,7.613790
1950-05-12,294.132446,303.027435,4.567530
1950-05-13,294.669495,301.285248,12.887179
1950-05-14,294.675140,303.816833,13.185040
1950-05-15,295.255310,305.952301,0.000000
1950-05-16,295.466064,309.008423,0.392296
1950-05-17,295.525635,309.461395,0.000000
1950-05-18,295.136566,306.821899,0.000000
1950-05-19,295.251038,307.738678,0.000000
1950-05-20,295.418121,308.256653,0.000000
1950-05-21,295.788605,308.920319,0.000000
1950-05-22,295.458008,306.815674,0.000000
1950-05-23,294.603088,303.769073,0.000000
1950-05-24,295.082642,301.639130,5.386462
1950-05-25,291.786865,301.189392,4.631949
1950-05-26,292.636353,302.279938,0.000000
1950-05-27,292.468872,306.584778,0.000000
1950-05-28,291.891083,308.209961,0.000000
1950-05-29,293.648895,307.891174,0.000000
1950-05-30,292.850433,307.995331,0.000000
1950-05-31,294.086914,307.456329,0.000000
1950-06-01,295.572784,307.470520,0.000000
1950-06-02,296.614227,306.875244,0.747095
1950-06-03,297.826569,306.735626,0.000000
1950-06-04,297.184387,301.669891,25.930908
1950-06-05,296.716217,301.652496,10.534440
1950-06-06,296.191223,304.669983,5.755162
1950-06-07,295.369904,306.531921,10.521525
1950-06-08,295.812988,309.463318,4.676256
1950-06-09,293.991302,306.257385,0.000000
1950-06-10,290.649811,305.607483,0.000000
1950-06-11,289.908936,305.558411,0.000000
1950-06-12,290.702637,306.655701,0.000000
1950-06-13,290.710205,307.865143,0.000000
1950-06-14,292.080017,307.024475,0.000000
1950-06-15,291.319977,305.215881,0.000000
1950-06-16,293.572662,306.613586,0.000000
1950-06-17,294.214539,302.619507,0.000000
1950-06-18,294.899414,302.832428,0.000000
1950-06-19,293.659698,303.599823,0.000000
1950-06-20,293.723175,306.094574,0.000000
1950-06-21,294.734863,305.333130,0.000000
1950-06-22,295.873413,302.061401,7.615006
1950-06-23,295.901550,301.734039,33.976856
1950-06-24,295.916260,306.724182,4.584754
1950-06-25,295.132690,306.546478,0.000000
1950-06-26,294.613037,306.913574,0.000000
1950-06-27,295.264221,307.454895,0.000000
1950-06-28,295.948883,308.440887,1.387974
1950-06-29,296.364288,310.597229,0.609405
1950-06-30,297.326721,310.251251,0.000000
1950-07-01,295.462708,306.971100,0.000000
1950-07-02,295.822937,306.496521,0.000000
1950-07-03,297.255829,311.501617,0.000000
1950-07-04,298.950806,311.992493,0.000000
1950-07-05,297.563660,310.398010,0.000000
1950-07-06,296.720551,307.771057,6.874269
1950-07-07,295.838867,309.468018,5.782701
1950-07-08,296.249146,311.046448,0.000000
1950-07-09,298.192383,310.965424,0.991711
1950-07-10,297.231964,310.612152,1.066662
1950-07-11,296.973755,310.710571,0.000000
1950-07-12,296.991394,309.493958,0.000000
1950-07-13,296.317230,309.434418,0.000000
1950-07-14,295.742188,308.555939,0.000000
1950-07-15,295.411469,310.203674,0.000000
1950-07-16,295.646942,310.158142,0.000000
1950-07-17,296.014984,309.827881,0.000000
1950-07-18,295.005646,309.528839,0.000000
1950-07-19,294.656281,309.550598,0.000000
1950-07-20,295.987610,309.431488,0.000000
1950-07-21,296.665405,310.205536,0.000000
1950-07-22,296.895233,308.112030,1.430680
1950-07-23,296.814606,304.469727,0.837403
1950-07-24,295.718536,307.393372,0.000000
1950-07-25,295.843567,305.839783,0.000000
1950-07-26,296.493530,309.052826,0.000000
1950-07-27,295.354614,311.071442,0.000000
1950-07-28,297.186615,311.725403,0.000000
1950-07-29,298.211212,311.968994,0.000000
1950-07-30,297.581238,311.596588,0.000000
1950-07-31,296.123291,311.115631,0.000000
1950-08-01,296.133057,309.553436,0.000000
1950-08-02,295.865692,310.397034,0.000000
1950-08-03,295.090637,311.459839,0.000000
1950-08-04,295.646942,311.709686,0.000000
1950-08-05,297.549866,311.054779,3.358119
1950-08-06,295.992157,309.982727,0.366240
1950-08-07,295.176880,310.666992,0.000000
1950-08-08,295.969116,310.083801,0.000000
1950-08-09,294.352661,311.278168,0.000000
1950-08-10,296.304749,311.135895,0.000000
1950-08-11,296.874969,311.410461,0.501560
1950-08-12,296.457642,311.873383,0.000000
1950-08-13,297.796967,312.654388,0.000000
1950-08-14,298.539398,311.320709,2.078106
1950-08-15,298.507080,310.820496,0.000000
1950-08-16,297.862213,311.815399,0.000000
1950-08-17,298.394196,311.435944,0.000000
1950-08-18,299.068970,311.623291,0.000000
1950-08-19,298.382904,311.873627,0.000000
1950-08-20,296.548920,311.078064,0.000000
1950-08-21,296.474060,310.631012,0.000000
1950-08-22,297.995026,307.925934,0.000000
1950-08-23,297.838715,308.147491,0.401815
1950-08-24,297.686890,306.665680,3.061218
1950-08-25,295.570160,309.674500,0.000000
1950-08-26,295.108002,310.834381,0.968492
1950-08-27,297.287109,311.585297,1.265493
1950-08-28,299.279816,311.422516,0.000000
1950-08-29,297.003906,309.821228,9.509811
1950-08-30,296.549255,306.113495,19.437391
1950-08-31,293.126404,301.477997,43.482731
1950-09-01,292.201263,300.283173,5.238275
1950-09-02,292.459869,301.162903,1.219402
1950-09-03,291.809418,303.273132,1.381284
1950-09-04,291.759369,305.921997,0.000000
1950-09-05,293.237030,306.546478,0.000000
1950-09-06,292.965027,307.033783,0.000000
1950-09-07,293.963776,306.253967,0.000000
1950-09-08,293.677185,305.613800,0.000000
1950-09-09,294.499786,306.524841,0.000000
1950-09-10,294.747345,306.912079,0.000000
1950-09-11,293.733185,306.016174,0.000000
1950-09-12,293.931335,305.972626,0.000000
1950-09-13,294.106323,306.459351,0.427825
1950-09-14,293.735229,305.375244,0.000000
1950-09-15,291.365479,306.826019,0.000000
1950-09-16,290.459717,307.475769,0.000000
1950-09-17,293.915924,307.331696,0.000000
1950-09-18,294.875122,308.192596,0.000000
1950-09-19,295.385742,306.873993,0.000000
1950-09-20,294.971710,305.396118,0.000000
1950-09-21,294.010223,306.067749,0.000000
1950-09-22,294.801300,303.715332,12.652747
1950-09-23,291.162140,300.618561,1.796141
1950-09-24,289.131561,298.584351,4.192815
1950-09-25,291.535706,304.757324,0.775518
1950-09-26,292.703644,306.025635,0.000000
1950-09-27,294.959320,306.099396,0.000000
1950-09-28,295.505798,305.374634,0.000000
1950-09-29,283.679535,299.137878,19.501566
1950-09-30,284.832764,298.857513,0.000000
1950-10-01,284.541626,301.627472,0.000000
1950-10-02,287.425171,302.415375,0.000000
1950-10-03,287.686737,303.126160,0.000000
1950-10-04,291.110413,305.864471,0.000000
1950-10-05,292.451630,305.508514,0.000000
1950-10-06,291.948212,305.264709,0.000000
1950-10-07,292.286987,304.443970,0.000000
1950-10-08,292.790649,303.872162,0.000000
1950-10-09,290.416504,305.552124,2.746161
1950-10-10,292.802307,304.196198,0.000000
1950-10-11,293.642212,303.595459,2.172465
1950-10-12,294.624023,303.196442,14.561510
1950-10-13,286.140381,302.291534,0.000000
1950-10-14,281.879456,300.481506,0.000000
1950-10-15,286.442200,304.105804,0.000000
1950-10-16,289.383972,305.521179,0.000000
1950-10-17,290.690399,306.190247,0.000000
1950-10-18,290.822601,305.321106,0.000000
1950-10-19,291.397278,305.964417,0.293960
1950-10-20,292.771362,303.105621,2.006902
1950-10-21,289.194000,300.345642,0.000000
1950-10-22,283.342834,298.128204,0.000000
1950-10-23,281.674438,298.005951,0.000000
1950-10-24,288.654144,301.712677,0.000000
1950-10-25,281.950714,298.370331,0.000000
1950-10-26,278.253326,291.866882,0.000000
1950-10-27,279.065308,298.010223,0.000000
1950-10-28,286.266815,304.285309,0.000000
1950-10-29,288.025757,301.623383,0.000000
1950-10-30,284.882965,297.429443,0.000000
1950-10-31,279.758972,294.934906,0.000000
1950-11-01,274.100372,298.289459,0.000000
1950-11-02,276.685547,300.955536,0.000000
1950-11-03,280.570129,303.775024,0.000000
1950-11-04,288.191101,305.113586,0.000000
1950-11-05,291.127014,306.300415,0.000000
1950-11-06,294.288116,306.760284,0.000000
1950-11-07,290.680145,305.668457,0.000000
1950-11-08,280.982117,296.501007,0.000000
1950-11-09,283.605042,296.802002,0.000000
