#Variables:,,,
#tasmin_bcc-csm1-1_historical(K):Daily Minimum Near-Surface Air Temperature,,,
#tasmax_bcc-csm1-1_historical(K):Daily Maximum Near-Surface Air Temperature,,,
#pr_bcc-csm1-1_historical(mm):Precipitation,,,
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) ",,,
#Original Data File(s):,,,
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc ,,,
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc ,,,
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc ,,,
#===============================================,,,
"yyyy-mm-dd,tasmin_bcc-csm1-1_historical(K),tasmax_bcc-csm1-1_historical(K),pr_bcc-csm1-1_historical(mm)",,,
,,,
yyyy-mm-dd,tasmin_bcc-csm1-1_historical(K),tasmax_bcc-csm1-1_historical(K),pr_bcc-csm1-1_historical(mm)
1/1/1950,278.814941,293.908783,0
1/2/1950,280.727112,291.860535,0
1/3/1950,275.390686,292.105103,0
1/4/1950,279.954102,296.862915,0
1/5/1950,282.157257,294.94281,0
1/6/1950,283.341705,295.102448,0
1/7/1950,280.239288,299.019287,0
1/8/1950,281.717529,295.659576,0
1/9/1950,272.03833,285.835602,0
1/10/1950,270.969025,283.013672,0
1/11/1950,274.111328,287.888214,0
1/12/1950,275.524017,288.884216,0
1/13/1950,275.461731,293.151733,0
1/14/1950,276.6362,292.678497,0
1/15/1950,276.756226,296.586365,0
1/16/1950,279.348328,297.630188,0
1/17/1950,281.839325,299.730225,0
1/18/1950,277.139191,297.347748,0
1/19/1950,265.541138,284.257202,0
1/20/1950,265.030975,271.845551,0
1/21/1950,267.889435,280.071777,0
1/22/1950,270.67572,284.900543,0
1/23/1950,274.490845,291.234344,0
1/24/1950,280.534637,291.795563,0
1/25/1950,282.414948,294.296875,0
1/26/1950,280.515808,294.861908,0
1/27/1950,280.455688,294.980743,0
1/28/1950,281.598053,292.717499,0
1/29/1950,280.256653,290.036621,0
1/30/1950,279.692322,297.83783,0
1/31/1950,285.725769,298.590881,0
2/1/1950,285.331665,301.635254,0
2/2/1950,286.145782,302.225433,0
2/3/1950,287.305664,302.974182,0
2/4/1950,287.996674,302.010956,0
2/5/1950,290.137177,302.322205,0
2/6/1950,287.168793,297.784424,1.139277
2/7/1950,285.518738,293.753052,5.210354
2/8/1950,283.780396,295.235626,0
2/9/1950,282.856506,296.964478,0
2/10/1950,285.505432,299.01004,0
2/11/1950,287.059204,298.486053,0.898861
2/12/1950,280.189636,295.097351,2.089449
2/13/1950,276.817474,292.191681,0
2/14/1950,278.246643,294.608856,0
2/15/1950,283.845306,300.900269,0
2/16/1950,284.818909,302.13504,0
2/17/1950,289.886749,302.590607,0
2/18/1950,289.954834,302.045502,1.046322
2/19/1950,288.815979,300.559387,4.606319
2/20/1950,287.959869,299.083557,0.520756
2/21/1950,282.407013,296.807953,0
2/22/1950,276.386017,291.599915,0
2/23/1950,278.26123,287.806824,0
2/24/1950,281.116486,293.483307,0
2/25/1950,288.426147,300.971283,0
2/26/1950,288.653442,302.570312,0
2/27/1950,288.955811,303.880188,0
2/28/1950,288.13623,303.008026,0
3/1/1950,285.536957,302.05603,0
3/2/1950,289.86673,303.003815,0.349793
3/3/1950,289.248993,302.613922,0
3/4/1950,283.866058,295.774231,8.262534
3/5/1950,283.469391,290.809692,23.738791
3/6/1950,283.285431,288.095978,44.786926
3/7/1950,283.625946,290.071655,16.270079
3/8/1950,277.097351,284.914551,0
3/9/1950,275.872131,285.029816,0
3/10/1950,274.935425,286.719757,0
3/11/1950,279.360168,287.076172,8.101478
3/12/1950,288.041351,297.24649,4.265766
3/13/1950,289.463531,295.707489,1.811273
3/14/1950,287.039032,291.595367,4.870259
3/15/1950,287.29837,291.868286,0.608885
3/16/1950,282.316193,291.473358,0
3/17/1950,284.127228,292.987396,10.36865
3/18/1950,283.418793,290.493774,1.264987
3/19/1950,282.10614,290.002502,0.921816
3/20/1950,282.410004,290.26236,3.078456
3/21/1950,289.834167,297.600739,8.669861
3/22/1950,285.522003,294.666962,0.319536
3/23/1950,277.186493,291.786407,0
3/24/1950,277.473236,292.184113,0
3/25/1950,280.457001,295.437042,0
3/26/1950,283.243561,295.497375,0.324547
3/27/1950,290.881927,298.958557,19.729
3/28/1950,277.983459,293.04071,0.54384
3/29/1950,285.967285,290.835602,37.929634
3/30/1950,283.815216,288.10907,19.091743
3/31/1950,281.747772,288.988129,33.366085
4/1/1950,278.845428,284.696289,7.928264
4/2/1950,277.050232,288.48941,0
4/3/1950,277.967041,291.376282,0
4/4/1950,279.765167,292.006256,0
4/5/1950,280.858582,293.809723,0.422523
4/6/1950,286.486298,297.045105,0
4/7/1950,288.209442,298.957794,0.514433
4/8/1950,289.011749,298.367035,0.440219
4/9/1950,290.323517,298.911163,1.212852
4/10/1950,287.433167,298.431946,0.353899
4/11/1950,282.188293,297.460114,0
4/12/1950,284.110138,301.419037,0
4/13/1950,287.602234,303.114258,0
4/14/1950,289.973846,305.502197,0
4/15/1950,292.164825,307.072845,0
4/16/1950,290.096069,306.622803,0
4/17/1950,290.085449,305.955078,0
4/18/1950,291.047333,307.503815,0
4/19/1950,293.382996,308.778992,0
4/20/1950,292.830109,307.149506,0
4/21/1950,293.120697,307.097931,0
4/22/1950,293.846222,305.005768,0
4/23/1950,292.763336,297.619537,2.327023
4/24/1950,293.66925,300.343842,0.327968
4/25/1950,293.65094,304.488739,0
4/26/1950,294.218109,303.976074,0
4/27/1950,294.565338,301.408203,2.016534
4/28/1950,292.879333,301.937653,0.617027
4/29/1950,293.678162,303.222504,0
4/30/1950,293.087799,301.195007,19.8027
5/1/1950,289.203461,298.226837,16.266579
