#Variables:
#tasmin_bcc-csm1-1_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_bcc-csm1-1_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),pr_bcc-csm1-1_rcp45(mm)"
""
yyyy-mm-dd,tasmin_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),pr_bcc-csm1-1_rcp45(mm)
2006-01-01,276.937469,289.653168,0.000000
2006-01-02,274.282898,287.839600,0.000000
2006-01-03,276.890991,285.555817,1.719066
2006-01-04,277.826355,289.186951,0.000000
2006-01-05,278.977325,287.671967,0.000000
2006-01-06,274.228088,285.529633,0.000000
2006-01-07,272.379456,286.462341,0.000000
2006-01-08,274.104462,289.461395,0.000000
2006-01-09,276.360809,292.990509,0.000000
2006-01-10,279.230591,297.544464,0.000000
2006-01-11,280.550629,298.807465,0.000000
2006-01-12,284.116364,295.700897,0.000000
2006-01-13,284.364624,295.305511,2.188587
2006-01-14,276.012238,291.826660,0.000000
2006-01-15,273.947052,282.102325,2.758516
2006-01-16,274.458527,281.961670,3.474083
2006-01-17,272.241943,281.885529,0.000000
2006-01-18,272.088074,281.460449,0.000000
2006-01-19,271.623444,287.629150,0.000000
2006-01-20,274.690643,291.113373,0.000000
2006-01-21,275.056030,290.451447,0.000000
2006-01-22,275.162415,289.082886,0.000000
2006-01-23,277.117676,295.218445,0.000000
2006-01-24,278.628235,297.514313,0.000000
2006-01-25,279.558136,296.062531,0.000000
2006-01-26,276.971313,293.979218,0.000000
2006-01-27,276.749023,294.742950,0.000000
2006-01-28,278.515961,296.851807,0.000000
2006-01-29,280.108124,297.978607,0.000000
2006-01-30,281.510651,299.398621,0.000000
2006-01-31,286.850372,297.405914,4.207623
2006-02-01,278.072388,292.933899,0.000000
