#Variables:
#tasmin_NorESM1-M_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_NorESM1-M_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_NorESM1-M_rcp85(K),tasmax_NorESM1-M_rcp85(K),pr_NorESM1-M_rcp85(mm)"
""
yyyy-mm-dd,tasmin_NorESM1-M_rcp85(K),tasmax_NorESM1-M_rcp85(K),pr_NorESM1-M_rcp85(mm)
2006-01-01,277.624420,295.723022,0.000000
2006-01-02,279.524109,295.561859,0.000000
2006-01-03,278.008301,291.904999,0.000000
2006-01-04,278.365082,294.479767,0.000000
2006-01-05,277.462311,294.055878,0.000000
2006-01-06,277.726685,294.711884,0.000000
2006-01-07,279.751831,294.980377,0.000000
2006-01-08,275.985809,288.489655,0.000000
2006-01-09,274.436615,291.990265,0.000000
2006-01-10,275.519348,293.985657,0.000000
2006-01-11,278.472046,293.986694,0.000000
2006-01-12,281.004486,292.687317,2.787128
2006-01-13,277.196228,286.495514,2.009569
2006-01-14,276.422394,285.724976,0.811214
2006-01-15,272.022339,281.508453,0.849295
2006-01-16,272.283203,286.298981,0.000000
2006-01-17,273.051483,289.362671,0.000000
2006-01-18,277.923981,290.099457,0.000000
2006-01-19,286.285309,294.163605,23.266144
2006-01-20,276.045654,290.695618,2.256138
2006-01-21,269.833221,280.903442,0.000000
2006-01-22,271.681030,278.854828,0.000000
2006-01-23,273.601654,279.889252,26.553757
2006-01-24,274.824524,277.461243,19.334496
2006-01-25,275.000397,281.132751,8.708668
2006-01-26,274.717010,287.593842,1.911610
2006-01-27,275.152344,283.532654,0.000000
2006-01-28,272.586060,283.841156,13.258999
2006-01-29,270.283752,278.275787,5.276620
2006-01-30,276.240692,293.668762,5.134525
2006-01-31,276.954346,288.677032,1.358177
2006-02-01,273.573212,284.250977,0.372037
2006-02-02,269.067413,275.649414,0.000000
2006-02-03,269.726807,276.854431,0.000000
2006-02-04,275.708008,286.203613,0.488163
2006-02-05,282.491516,295.821381,0.823447
2006-02-06,284.897919,298.180298,0.000000
2006-02-07,285.953644,301.760834,0.000000
2006-02-08,282.170105,292.368683,0.000000
2006-02-09,275.730255,289.261108,0.000000
2006-02-10,281.567017,295.279724,0.000000
2006-02-11,284.813629,300.934601,0.000000
2006-02-12,285.124054,301.438904,0.000000
2006-02-13,284.803772,298.754608,0.000000
2006-02-14,287.172180,298.072876,0.610758
2006-02-15,286.970306,297.059479,0.000000
2006-02-16,288.850616,296.181335,11.316087
2006-02-17,288.429108,293.107849,24.199545
2006-02-18,284.447266,295.079132,31.430243
2006-02-19,282.398987,294.480255,13.010431
2006-02-20,280.241302,297.901672,0.659811
2006-02-21,283.418030,298.128479,0.000000
2006-02-22,278.255005,295.101746,0.000000
2006-02-23,275.678955,288.476166,0.000000
2006-02-24,273.971191,291.025757,0.000000
2006-02-25,279.244965,289.748413,0.000000
2006-02-26,275.726471,286.679810,0.000000
2006-02-27,273.413086,288.667236,0.000000
2006-02-28,279.235687,294.694885,0.000000
2006-03-01,282.653992,296.645599,0.000000
2006-03-02,284.194702,297.100464,0.000000
2006-03-03,285.437988,298.528687,2.091001
2006-03-04,280.323944,293.568573,0.000000
2006-03-05,278.869843,295.358032,0.000000
2006-03-06,279.791718,297.905548,0.000000
2006-03-07,281.968750,297.846710,0.529533
2006-03-08,283.636688,292.969727,0.000000
2006-03-09,286.381195,292.599121,13.735638
2006-03-10,285.407379,293.625549,38.439919
2006-03-11,282.619843,291.530884,1.227412
2006-03-12,284.907715,290.986908,9.804452
2006-03-13,279.006165,288.578186,0.000000
2006-03-14,279.439880,288.608704,7.720320
2006-03-15,288.426971,293.105469,51.928669
2006-03-16,280.677368,291.814423,5.283167
2006-03-17,278.693542,291.278534,0.000000
2006-03-18,280.684998,292.714722,0.000000
2006-03-19,282.277252,293.484528,0.356109
2006-03-20,285.424835,292.023407,0.000000
