#Variables:
#tasmin_bcc-csm1-1-m_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_bcc-csm1-1-m_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_bcc-csm1-1-m_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_bcc-csm1-1-m_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_bcc-csm1-1-m_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_bcc-csm1-1-m_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_bcc-csm1-1-m_rcp45(K),tasmax_bcc-csm1-1-m_rcp45(K),pr_bcc-csm1-1-m_rcp45(mm)"
""
yyyy-mm-dd,tasmin_bcc-csm1-1-m_rcp45(K),tasmax_bcc-csm1-1-m_rcp45(K),pr_bcc-csm1-1-m_rcp45(mm)
2006-01-01,272.470520,289.287750,0.000000
2006-01-02,276.873260,293.115601,0.000000
2006-01-03,280.051697,297.747925,0.000000
2006-01-04,281.588837,298.081665,0.000000
2006-01-05,281.653900,300.235931,0.000000
2006-01-06,285.360077,299.497986,0.000000
2006-01-07,284.039429,298.991882,0.000000
2006-01-08,269.808350,290.398376,6.449910
2006-01-09,266.820190,276.757568,0.300464
2006-01-10,270.652069,285.757843,0.000000
2006-01-11,275.554718,290.793457,0.000000
2006-01-12,276.588928,293.208221,0.000000
2006-01-13,277.846771,295.435333,0.000000
2006-01-14,280.937683,297.768677,0.000000
2006-01-15,280.499786,295.226379,0.000000
2006-01-16,281.078125,289.139069,0.314440
2006-01-17,283.778870,289.804382,0.000000
2006-01-18,284.370209,290.239380,4.875073
2006-01-19,288.266693,295.420319,13.552691
2006-01-20,280.749359,293.388519,0.000000
2006-01-21,275.375092,288.626434,0.000000
2006-01-22,274.585266,291.596100,0.000000
2006-01-23,278.139496,294.995972,0.000000
2006-01-24,282.143341,297.594147,0.000000
2006-01-25,283.813721,296.992889,0.000000
2006-01-26,283.486267,296.173767,0.000000
2006-01-27,275.853058,293.085297,0.000000
2006-01-28,273.846710,289.138885,0.000000
2006-01-29,279.086365,293.377716,0.000000
2006-01-30,281.899414,295.956238,0.803941
2006-01-31,285.359833,293.974365,0.304024
