#Variables:
#tasmin_BNU-ESM_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_BNU-ESM_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_BNU-ESM_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_BNU-ESM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_BNU-ESM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_BNU-ESM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_BNU-ESM_rcp85(K),tasmax_BNU-ESM_rcp85(K),pr_BNU-ESM_rcp85(mm)"
""
yyyy-mm-dd,tasmin_BNU-ESM_rcp85(K),tasmax_BNU-ESM_rcp85(K),pr_BNU-ESM_rcp85(mm)
2006-01-01,288.276276,290.517609,0.000000
2006-01-02,285.056122,298.018311,0.000000
2006-01-03,286.336334,294.355103,0.000000
2006-01-04,281.844818,293.641510,0.000000
2006-01-05,282.876495,294.547882,0.000000
2006-01-06,285.683746,295.629120,0.000000
2006-01-07,287.282074,294.503540,0.000000
2006-01-08,279.706238,290.647522,0.000000
2006-01-09,278.042664,286.259155,0.000000
2006-01-10,279.069458,285.720703,0.000000
2006-01-11,279.459198,284.631012,0.000000
2006-01-12,277.371735,282.653870,0.366069
2006-01-13,275.604889,281.110962,0.283318
2006-01-14,277.006744,284.007996,0.000000
2006-01-15,280.284637,289.144562,0.000000
2006-01-16,280.914825,297.815704,0.000000
2006-01-17,274.226929,293.078888,2.780873
2006-01-18,269.514801,280.603607,0.000000
2006-01-19,271.373474,284.247162,1.134659
2006-01-20,277.614319,284.535248,5.597445
2006-01-21,272.279297,281.228271,0.000000
2006-01-22,274.787292,287.551208,1.243346
2006-01-23,279.190063,293.080261,0.000000
2006-01-24,277.239563,290.620117,6.113538
2006-01-25,275.588593,286.712524,5.447663
2006-01-26,273.319519,282.535980,14.409719
2006-01-27,279.558197,286.903625,8.948050
2006-01-28,281.121063,287.964874,7.056161
2006-01-29,275.698303,290.135925,0.000000
2006-01-30,278.443085,295.673798,0.000000
2006-01-31,284.630219,297.961975,0.000000
2006-02-01,284.597382,299.540833,0.000000
2006-02-02,286.623718,301.234192,0.000000
2006-02-03,286.871948,297.957367,0.000000
2006-02-04,283.132050,293.706482,0.000000
2006-02-05,275.563263,287.555328,0.000000
2006-02-06,279.517517,294.469940,0.000000
2006-02-07,287.428467,297.569733,1.063778
2006-02-08,285.049194,299.363464,0.000000
2006-02-09,287.402832,298.234253,0.000000
2006-02-10,287.120148,298.444061,0.000000
2006-02-11,286.210815,298.347137,0.000000
2006-02-12,286.035919,298.667633,1.065888
2006-02-13,285.369934,296.206940,0.295751
2006-02-14,277.720673,290.044159,0.000000
2006-02-15,276.569061,289.168793,0.000000
2006-02-16,277.280914,290.973816,0.000000
2006-02-17,278.034332,291.707520,0.000000
2006-02-18,280.020630,290.960693,0.000000
2006-02-19,280.147858,296.070557,0.000000
2006-02-20,281.484131,294.659332,0.000000
2006-02-21,284.410217,292.566162,0.000000
2006-02-22,281.876068,295.511902,0.000000
2006-02-23,282.769073,297.986816,0.000000
2006-02-24,284.250824,300.931427,0.000000
2006-02-25,284.875946,304.285980,0.000000
2006-02-26,285.080475,303.172028,0.000000
2006-02-27,286.640747,298.844421,0.000000
2006-02-28,287.414062,293.697266,4.230060
2006-03-01,287.945831,294.210205,1.203350
2006-03-02,286.472412,293.793823,0.000000
2006-03-03,288.588074,296.251953,6.348150
2006-03-04,287.794098,298.195374,0.958007
2006-03-05,287.517181,295.614716,2.292650
2006-03-06,291.752716,302.162750,15.719592
2006-03-07,282.684814,288.731262,3.765565
2006-03-08,281.209076,295.995453,0.000000
2006-03-09,287.093567,299.629272,0.000000
2006-03-10,283.724304,297.293671,0.000000
2006-03-11,289.046753,298.646545,0.000000
2006-03-12,282.730377,296.879028,0.000000
2006-03-13,280.716187,295.634277,0.000000
2006-03-14,282.787537,288.924438,15.132403
2006-03-15,271.301971,284.180817,0.000000
2006-03-16,270.178864,286.423676,0.000000
2006-03-17,272.644867,287.819794,0.000000
2006-03-18,277.355194,293.614929,0.000000
2006-03-19,281.632111,299.807861,0.000000
2006-03-20,283.750610,296.997559,0.000000
2006-03-21,284.568085,295.590118,0.000000
2006-03-22,284.659302,299.728455,0.000000
2006-03-23,287.081635,297.407593,0.000000
2006-03-24,282.317291,302.622772,0.000000
2006-03-25,286.228790,305.331543,0.000000
2006-03-26,289.588928,305.302887,2.874435
2006-03-27,282.007202,304.804718,1.200577
2006-03-28,271.381775,288.478271,0.000000
2006-03-29,275.615936,294.600128,0.000000
2006-03-30,281.013031,296.991882,0.000000
2006-03-31,281.671051,300.525055,0.000000
2006-04-01,287.574036,303.142975,0.000000
2006-04-02,291.212097,302.756805,0.000000
2006-04-03,283.277954,298.643036,0.000000
2006-04-04,285.970001,300.089172,0.000000
2006-04-05,288.768402,307.198090,0.000000
2006-04-06,291.151672,307.929504,0.000000
2006-04-07,291.812500,307.947357,0.000000
2006-04-08,293.215729,305.222137,0.000000
2006-04-09,290.831268,300.982300,5.511665
2006-04-10,287.999939,300.793610,0.000000
2006-04-11,290.686340,297.683228,3.261003
2006-04-12,285.750336,298.551361,0.000000
2006-04-13,286.256226,298.614471,0.000000
2006-04-14,283.956879,297.957184,0.000000
2006-04-15,284.281616,296.599548,0.000000
2006-04-16,291.686218,297.959503,37.309517
2006-04-17,291.959808,296.860138,58.064823
2006-04-18,286.743896,299.814758,0.000000
2006-04-19,287.345337,298.331665,0.000000
2006-04-20,282.179382,286.323273,16.543444
2006-04-21,286.557098,287.208557,0.406197
2006-04-22,285.983490,286.884766,0.000000
2006-04-23,286.911652,292.576477,0.000000
2006-04-24,289.125824,295.838135,0.000000
2006-04-25,291.029175,297.292389,4.090564
2006-04-26,291.707703,292.001678,32.717026
2006-04-27,291.856140,297.764099,30.607304
2006-04-28,286.551178,296.293030,0.000000
2006-04-29,284.557526,297.622986,0.000000
2006-04-30,286.906036,303.029755,0.000000
2006-05-01,288.487549,303.400452,0.000000
2006-05-02,288.954651,300.847504,0.000000
2006-05-03,291.180054,299.572418,0.000000
2006-05-04,291.230042,299.746643,0.000000
2006-05-05,291.714874,298.909241,0.000000
2006-05-06,292.136261,300.526825,0.000000
2006-05-07,292.983643,300.955170,0.000000
2006-05-08,290.707642,302.336334,11.364424
2006-05-09,287.550171,306.420349,0.000000
2006-05-10,289.871094,307.287354,0.000000
2006-05-11,289.883942,307.508545,0.000000
2006-05-12,289.735352,307.297791,15.077020
2006-05-13,293.637238,303.990387,0.445102
2006-05-14,290.280365,301.288391,1.040950
2006-05-15,291.375397,299.028259,29.761517
2006-05-16,293.528107,299.581085,44.372284
2006-05-17,292.104218,298.560211,12.756726
2006-05-18,293.002258,304.825073,1.047719
2006-05-19,293.245636,306.841919,0.000000
2006-05-20,289.565247,306.188934,0.000000
2006-05-21,292.495911,299.314240,9.195430
2006-05-22,294.057465,299.361755,23.567194
2006-05-23,294.382477,298.760162,1.213400
2006-05-24,293.043701,298.660492,0.000000
2006-05-25,292.184052,301.021942,0.000000
2006-05-26,291.614838,301.662018,0.000000
2006-05-27,291.038544,300.982361,0.000000
2006-05-28,291.295563,303.007568,0.000000
2006-05-29,292.494537,305.333679,0.000000
2006-05-30,295.333252,305.889313,0.000000
2006-05-31,295.827271,307.092224,0.000000
2006-06-01,296.136810,307.138855,0.335034
2006-06-02,295.234283,306.288300,17.133377
2006-06-03,295.815247,305.611450,17.011152
2006-06-04,294.082153,309.577606,4.229692
2006-06-05,294.247131,309.342865,0.000000
2006-06-06,294.593079,309.447327,0.000000
2006-06-07,293.454620,312.237213,0.000000
2006-06-08,295.731171,313.816040,0.000000
2006-06-09,296.385803,312.817230,0.000000
2006-06-10,296.372986,311.924225,0.000000
2006-06-11,297.125671,304.733643,38.875744
