#Variables:
#tasmin_CanESM2_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CanESM2_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_CanESM2_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CanESM2_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CanESM2_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CanESM2_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CanESM2_rcp45(K),tasmax_CanESM2_rcp45(K),pr_CanESM2_rcp45(mm)"
""
yyyy-mm-dd,tasmin_CanESM2_rcp45(K),tasmax_CanESM2_rcp45(K),pr_CanESM2_rcp45(mm)
2006-01-01,276.873535,291.492249,0.000000
2006-01-02,284.799591,295.376556,0.000000
2006-01-03,281.635895,293.750946,0.343915
2006-01-04,274.678589,280.799347,0.000000
2006-01-05,274.459473,277.164307,0.000000
2006-01-06,274.350494,277.458069,2.361072
2006-01-07,272.581665,280.795776,0.000000
2006-01-08,273.439514,280.639465,0.000000
2006-01-09,271.250061,277.291107,0.574663
2006-01-10,274.015625,284.212433,0.347484
2006-01-11,275.919006,283.470306,0.000000
2006-01-12,277.887573,291.102661,11.862968
2006-01-13,280.566498,291.601776,21.466915
2006-01-14,278.841949,287.235107,1.601743
2006-01-15,278.124176,287.703918,0.000000
2006-01-16,277.130096,287.004333,0.000000
2006-01-17,275.300781,293.193054,0.000000
2006-01-18,278.696442,291.358276,0.000000
2006-01-19,276.279999,287.716064,0.000000
2006-01-20,276.172882,288.496368,0.000000
2006-01-21,276.178284,288.370026,0.667957
2006-01-22,278.462708,286.320923,0.000000
2006-01-23,280.206848,285.839813,4.595984
2006-01-24,284.318726,295.509064,5.961910
2006-01-25,282.520447,292.475739,2.704180
2006-01-26,279.386536,286.322845,0.000000
2006-01-27,275.785736,285.261139,0.000000
2006-01-28,271.510437,288.315887,0.000000
2006-01-29,278.081360,285.701294,4.652434
2006-01-30,270.982117,282.140808,2.815661
2006-01-31,267.218292,283.495483,0.000000
2006-02-01,269.668304,286.005951,0.000000
2006-02-02,272.909943,287.307922,0.000000
2006-02-03,273.476532,285.988983,0.000000
2006-02-04,277.020538,290.035004,0.000000
2006-02-05,282.803070,294.055389,0.000000
2006-02-06,278.340088,290.464386,0.000000
2006-02-07,269.547211,282.917023,0.000000
2006-02-08,275.930603,292.974091,0.000000
2006-02-09,278.052551,286.566711,0.000000
2006-02-10,274.641968,284.731934,0.000000
2006-02-11,270.966522,287.332855,0.000000
2006-02-12,272.645142,285.825928,0.000000
2006-02-13,277.755066,282.318298,1.393307
2006-02-14,277.214935,292.789001,1.244456
2006-02-15,280.139313,299.180847,0.000000
2006-02-16,276.835541,300.462494,0.000000
2006-02-17,281.805328,295.634094,0.000000
2006-02-18,278.650879,295.628601,0.000000
2006-02-19,279.098389,297.485321,0.000000
2006-02-20,284.222534,305.800385,0.000000
2006-02-21,285.371552,306.620819,0.000000
2006-02-22,283.929321,301.376343,0.000000
2006-02-23,274.068878,297.665222,0.000000
2006-02-24,276.714661,297.755676,0.000000
2006-02-25,282.546692,292.513916,0.000000
2006-02-26,284.805481,290.716034,0.000000
2006-02-27,281.796570,287.915741,3.598493
2006-02-28,280.211304,289.467865,3.266933
2006-03-01,283.848969,293.796783,6.186592
2006-03-02,280.220459,286.822174,23.683594
2006-03-03,276.887482,289.983917,0.000000
2006-03-04,280.416687,291.529755,0.000000
2006-03-05,281.120453,291.201385,0.000000
2006-03-06,282.382202,288.962128,30.224976
2006-03-07,288.364624,295.883728,52.443352
2006-03-08,281.534637,294.038208,0.458326
2006-03-09,278.065948,295.242615,0.000000
2006-03-10,282.450134,293.628998,0.000000
2006-03-11,282.654846,295.185242,0.000000
2006-03-12,279.254852,292.829987,0.000000
2006-03-13,280.977448,290.533356,0.000000
2006-03-14,278.070770,294.152466,0.000000
2006-03-15,277.047852,298.303772,0.000000
2006-03-16,286.364288,299.923737,0.000000
2006-03-17,288.542389,301.410065,2.313441
2006-03-18,283.584290,297.000153,2.345778
2006-03-19,279.902954,289.380829,0.000000
2006-03-20,279.978455,286.190033,0.000000
2006-03-21,277.446320,284.733917,0.000000
2006-03-22,277.258087,283.876923,0.000000
2006-03-23,274.390533,280.860992,14.486642
2006-03-24,279.373169,284.364380,45.173733
2006-03-25,277.148895,283.554382,6.605979
2006-03-26,275.525269,283.519867,0.000000
2006-03-27,273.352905,286.678345,0.000000
2006-03-28,279.022461,286.783539,0.000000
2006-03-29,281.706543,286.626831,0.000000
2006-03-30,285.978516,299.559235,1.800271
2006-03-31,285.130707,297.609528,0.000000
2006-04-01,284.175720,297.679382,0.000000
2006-04-02,284.301971,294.013428,0.000000
2006-04-03,288.410339,301.437988,0.990824
2006-04-04,286.385803,297.017273,0.000000
2006-04-05,276.845856,289.428955,0.000000
2006-04-06,276.607727,293.859406,0.000000
2006-04-07,283.469025,301.740845,0.000000
2006-04-08,287.968170,301.269806,0.000000
2006-04-09,290.324280,301.186584,0.000000
2006-04-10,289.862732,299.281799,2.097162
2006-04-11,283.924164,299.633514,0.000000
2006-04-12,284.713928,302.539307,0.000000
2006-04-13,290.730377,301.086792,0.000000
2006-04-14,287.167816,298.916443,0.950333
2006-04-15,284.029877,295.287201,0.000000
2006-04-16,280.444305,301.176208,0.000000
2006-04-17,285.744293,305.381653,0.000000
2006-04-18,285.765778,306.244904,0.000000
2006-04-19,287.491455,303.531494,0.000000
2006-04-20,291.620941,306.191498,0.000000
2006-04-21,292.104523,310.385284,0.000000
2006-04-22,293.947815,307.494659,0.000000
2006-04-23,287.151031,303.256775,0.000000
2006-04-24,284.619446,302.239288,0.000000
2006-04-25,285.239136,306.117371,0.000000
2006-04-26,286.074463,305.454712,0.000000
2006-04-27,285.021423,305.409943,0.321828
2006-04-28,286.505951,305.312439,0.000000
2006-04-29,287.916870,305.472382,1.690328
2006-04-30,289.296143,305.918915,0.000000
2006-05-01,285.848480,310.359955,0.000000
2006-05-02,292.390900,311.266449,0.000000
2006-05-03,294.513794,308.204926,0.000000
2006-05-04,297.026093,305.055023,6.485446
2006-05-05,292.835663,304.591858,0.000000
2006-05-06,285.607208,306.430389,0.000000
2006-05-07,293.658630,303.077606,0.000000
2006-05-08,293.392181,305.340454,0.000000
2006-05-09,296.348999,302.704926,6.873312
2006-05-10,292.427368,297.859283,28.847000
2006-05-11,286.554230,297.461426,7.178607
2006-05-12,290.793976,297.906311,14.347386
2006-05-13,289.949249,298.196747,1.406945
2006-05-14,291.910645,300.634888,22.862303
2006-05-15,291.108612,298.189972,16.258015
2006-05-16,287.518585,294.794952,7.487701
2006-05-17,293.539307,298.709259,14.360782
2006-05-18,290.037994,295.190582,10.476367
2006-05-19,290.239349,295.788483,0.808508
2006-05-20,290.446472,296.215363,0.000000
2006-05-21,288.229858,297.546387,0.000000
2006-05-22,287.821960,298.012878,0.000000
2006-05-23,288.020325,300.422424,0.000000
2006-05-24,289.482300,303.971527,7.361147
2006-05-25,289.364166,303.690918,0.000000
2006-05-26,290.700653,303.214142,0.000000
2006-05-27,290.845001,304.365173,0.000000
2006-05-28,293.408234,304.498627,0.000000
2006-05-29,294.926910,305.464417,0.000000
2006-05-30,294.094147,307.069794,0.000000
2006-05-31,294.227234,309.027527,0.000000
2006-06-01,293.487610,307.593414,0.333885
2006-06-02,293.391357,306.024170,0.000000
2006-06-03,294.842560,303.806793,11.447105
2006-06-04,295.225555,299.153870,60.434708
2006-06-05,294.131561,303.543610,3.550560
2006-06-06,295.297668,306.100861,0.332494
2006-06-07,296.651428,308.180054,4.668695
2006-06-08,296.382812,307.991089,0.552823
2006-06-09,297.509552,306.395294,0.336704
2006-06-10,297.156982,307.731537,6.797673
2006-06-11,296.361816,308.830231,2.623599
2006-06-12,296.356995,308.642700,0.352953
2006-06-13,295.698700,306.860260,0.285893
