#Variables:
#tasmin_CNRM-CM5_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CNRM-CM5_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_CNRM-CM5_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CNRM-CM5_rcp45(K),tasmax_CNRM-CM5_rcp45(K),pr_CNRM-CM5_rcp45(mm)"
""
yyyy-mm-dd,tasmin_CNRM-CM5_rcp45(K),tasmax_CNRM-CM5_rcp45(K),pr_CNRM-CM5_rcp45(mm)
2006-01-01,276.244507,290.457642,0.661183
2006-01-02,274.353729,282.372864,0.000000
2006-01-03,273.934448,283.234222,0.000000
2006-01-04,273.556732,285.884796,0.000000
2006-01-05,274.316162,288.036530,0.000000
2006-01-06,277.039948,288.069763,0.000000
2006-01-07,278.071442,289.169556,0.000000
2006-01-08,275.834534,285.606812,0.000000
2006-01-09,280.423492,285.340942,0.000000
2006-01-10,272.355652,286.233948,0.000000
2006-01-11,275.837463,292.054382,0.000000
2006-01-12,274.997101,290.282806,0.000000
2006-01-13,280.901794,288.599762,0.000000
2006-01-14,273.699646,289.361786,0.000000
2006-01-15,276.449615,293.816895,0.000000
2006-01-16,281.108826,299.132355,0.000000
2006-01-17,282.035919,292.410767,0.000000
2006-01-18,282.754547,298.247711,0.916744
2006-01-19,276.505890,293.269135,4.322180
2006-01-20,275.121674,281.795166,0.646490
2006-01-21,277.580292,282.581818,2.648860
2006-01-22,282.808228,296.412750,4.333927
2006-01-23,275.852020,295.382355,17.628992
2006-01-24,275.139862,284.424927,0.564692
2006-01-25,274.266449,287.347626,0.000000
2006-01-26,274.710999,288.082062,0.000000
2006-01-27,278.000458,293.630066,0.000000
2006-01-28,283.533020,291.849121,0.000000
2006-01-29,280.233307,285.460083,0.000000
2006-01-30,275.309235,290.287537,0.000000
2006-01-31,276.822021,288.044403,0.000000
2006-02-01,277.780273,290.451080,0.000000
2006-02-02,281.009796,296.153900,0.000000
2006-02-03,285.786591,295.488129,0.352534
2006-02-04,283.493988,299.261108,0.000000
2006-02-05,278.169769,292.998566,0.000000
2006-02-06,279.844788,284.910400,27.754599
2006-02-07,279.553864,285.363953,3.505676
2006-02-08,280.402618,289.608582,34.646595
2006-02-09,280.078278,284.931458,9.978324
2006-02-10,276.571716,288.234741,0.451105
2006-02-11,275.765533,292.015045,0.000000
2006-02-12,276.825653,290.089142,0.000000
2006-02-13,278.494324,284.569275,5.634717
2006-02-14,273.859680,275.560974,13.104279
2006-02-15,272.494568,283.045105,0.000000
2006-02-16,275.265350,282.599152,0.000000
2006-02-17,272.273682,287.475220,0.000000
2006-02-18,275.746002,284.168549,0.000000
2006-02-19,270.731689,283.928314,0.000000
2006-02-20,272.647003,287.953339,0.000000
2006-02-21,273.247589,286.275787,0.000000
2006-02-22,276.487793,289.129181,0.000000
2006-02-23,277.186432,294.228943,0.000000
2006-02-24,278.155518,293.644836,0.000000
2006-02-25,282.960693,298.088928,0.855462
2006-02-26,282.348969,298.371582,0.000000
2006-02-27,279.504425,297.887299,0.000000
2006-02-28,285.975159,294.470917,1.580199
2006-03-01,277.898224,294.732391,0.000000
2006-03-02,281.504456,298.029816,0.000000
2006-03-03,284.999573,293.862457,0.000000
2006-03-04,277.855530,293.877594,0.000000
2006-03-05,281.795593,294.166870,0.000000
2006-03-06,277.747528,288.659515,0.000000
2006-03-07,277.354156,292.861572,0.000000
2006-03-08,284.113556,295.763336,0.000000
2006-03-09,287.567352,297.172729,0.000000
2006-03-10,284.547089,297.644226,0.000000
2006-03-11,287.641571,295.394104,0.508693
2006-03-12,289.042969,300.778839,0.000000
2006-03-13,287.380920,298.635101,0.000000
2006-03-14,284.849457,300.292023,1.344935
2006-03-15,290.885223,301.889618,2.606014
2006-03-16,287.011414,297.895660,0.000000
2006-03-17,281.938354,290.762573,0.000000
