#Variables:
#tasmin_CSIRO-Mk3-6-0_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CSIRO-Mk3-6-0_rcp85(K):Daily Maximum Near-Surface Air Temperature
#pr_CSIRO-Mk3-6-0_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CSIRO-Mk3-6-0_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CSIRO-Mk3-6-0_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CSIRO-Mk3-6-0_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CSIRO-Mk3-6-0_rcp85(K),tasmax_CSIRO-Mk3-6-0_rcp85(K),pr_CSIRO-Mk3-6-0_rcp85(mm)"
""
yyyy-mm-dd,tasmin_CSIRO-Mk3-6-0_rcp85(K),tasmax_CSIRO-Mk3-6-0_rcp85(K),pr_CSIRO-Mk3-6-0_rcp85(mm)
2006-01-01,283.195801,299.645294,1.718826
2006-01-02,285.662628,298.473511,0.639522
2006-01-03,280.636444,291.758362,0.000000
2006-01-04,269.465057,284.792267,0.000000
2006-01-05,273.356598,280.148987,0.000000
2006-01-06,278.741577,284.333923,0.522651
2006-01-07,280.863953,289.287018,0.000000
2006-01-08,283.133759,296.803192,3.722331
2006-01-09,282.686981,294.947754,0.000000
2006-01-10,275.195862,287.217560,0.000000
2006-01-11,278.544098,287.625793,0.000000
2006-01-12,282.332214,295.290649,2.291257
2006-01-13,288.379852,299.126434,0.839673
2006-01-14,289.792389,301.198944,0.559539
2006-01-15,282.814636,297.104065,1.041596
2006-01-16,276.303894,289.041626,0.000000
2006-01-17,278.859070,283.933838,0.000000
2006-01-18,276.852631,282.189301,19.009291
2006-01-19,275.581818,286.344391,0.570732
2006-01-20,272.491760,289.165192,0.000000
2006-01-21,276.782349,284.822723,0.806315
2006-01-22,274.647797,281.324799,0.000000
2006-01-23,280.002197,296.149506,0.000000
2006-01-24,284.517181,298.468719,0.000000
2006-01-25,285.277405,296.830048,4.012848
2006-01-26,275.452576,290.523621,0.000000
2006-01-27,274.764099,286.385864,0.000000
2006-01-28,273.842773,289.395111,0.000000
2006-01-29,275.085327,290.465302,0.000000
2006-01-30,275.104736,293.205444,0.000000
2006-01-31,276.543213,291.789124,0.000000
2006-02-01,276.930481,289.009216,0.000000
2006-02-02,278.431549,293.450409,0.000000
2006-02-03,280.838654,299.783569,0.000000
2006-02-04,281.519897,295.531158,0.000000
2006-02-05,284.666595,295.201355,1.258942
2006-02-06,281.631927,293.502350,0.000000
2006-02-07,283.880615,291.217590,0.000000
2006-02-08,286.525177,300.390106,1.026579
2006-02-09,280.531952,298.956024,0.000000
2006-02-10,286.512115,298.257446,0.000000
2006-02-11,277.971802,294.325531,0.000000
2006-02-12,273.274994,288.302826,0.000000
2006-02-13,273.375641,291.186066,0.000000
2006-02-14,276.966980,298.706940,0.000000
2006-02-15,277.705078,300.905731,0.000000
2006-02-16,280.349243,298.235352,0.000000
2006-02-17,278.114838,294.566956,0.000000
