#Variables:
#tasmin_GFDL-ESM2M_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_GFDL-ESM2M_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_GFDL-ESM2M_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),pr_GFDL-ESM2M_rcp45(mm)"
""
yyyy-mm-dd,tasmin_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),pr_GFDL-ESM2M_rcp45(mm)
2006-01-01,271.365814,282.535187,0.000000
2006-01-02,276.535248,282.693848,7.559966
2006-01-03,274.444519,282.655273,1.816187
2006-01-04,274.795044,282.732788,27.078741
2006-01-05,270.977509,275.221405,4.664334
2006-01-06,270.558899,277.370972,1.247831
2006-01-07,268.983521,278.670471,0.000000
2006-01-08,269.344849,280.009399,0.000000
2006-01-09,271.597046,285.804871,0.000000
2006-01-10,273.224213,286.188477,0.000000
2006-01-11,275.811798,285.600250,0.372489
2006-01-12,277.109222,284.954315,0.000000
2006-01-13,272.923401,284.569427,0.000000
2006-01-14,272.967712,284.690247,0.000000
2006-01-15,274.189362,284.755310,0.000000
2006-01-16,273.777588,286.070679,0.000000
2006-01-17,276.969788,293.175720,0.000000
2006-01-18,283.175079,298.197418,0.000000
2006-01-19,284.246826,298.195435,0.000000
2006-01-20,283.215271,298.892517,0.000000
2006-01-21,287.905823,298.620697,0.000000
2006-01-22,272.273590,295.378418,0.000000
2006-01-23,273.474854,288.175537,0.000000
2006-01-24,274.740112,288.879303,0.000000
2006-01-25,280.774445,293.585022,5.192968
2006-01-26,287.179993,295.376617,1.782872
2006-01-27,278.869080,294.630951,0.000000
2006-01-28,274.424744,284.067566,0.000000
2006-01-29,276.608765,285.796173,0.000000
2006-01-30,279.663727,289.412231,0.383784
2006-01-31,282.937012,293.948303,0.578280
2006-02-01,286.504242,296.657043,2.015121
2006-02-02,272.634399,294.110992,2.185917
2006-02-03,269.715210,277.638947,0.000000
2006-02-04,272.422333,278.186401,0.000000
2006-02-05,273.793274,279.696655,0.000000
2006-02-06,275.352509,290.165894,0.000000
2006-02-07,279.433136,295.750000,0.000000
2006-02-08,282.582489,299.358582,0.000000
2006-02-09,285.084076,299.823853,0.000000
2006-02-10,283.934937,299.968536,6.058156
2006-02-11,282.385864,289.389465,14.286749
2006-02-12,279.226013,286.203003,3.392326
2006-02-13,278.342163,286.760559,1.558785
2006-02-14,278.058838,290.784149,0.000000
2006-02-15,282.369385,289.619293,0.000000
2006-02-16,283.651611,290.989166,6.595652
2006-02-17,281.751770,288.994293,0.000000
2006-02-18,281.484711,289.675964,0.000000
2006-02-19,280.874603,293.984161,0.000000
2006-02-20,283.708191,297.237335,0.000000
2006-02-21,282.119019,295.533386,0.000000
2006-02-22,282.390656,293.803680,0.000000
2006-02-23,283.491211,296.022400,0.000000
2006-02-24,284.973846,298.456451,0.000000
2006-02-25,287.629913,300.527283,0.000000
2006-02-26,289.006683,299.229736,0.000000
2006-02-27,285.978333,296.540833,0.279667
2006-02-28,282.376587,296.818726,1.684431
2006-03-01,282.865997,298.050964,0.000000
2006-03-02,285.011932,296.520050,0.000000
2006-03-03,287.053436,299.330688,1.613523
2006-03-04,285.993927,299.120667,2.100923
2006-03-05,284.054596,294.952972,0.000000
2006-03-06,280.321747,293.961945,0.000000
2006-03-07,281.451050,299.314972,0.000000
2006-03-08,286.009003,301.362549,0.000000
2006-03-09,285.756439,300.131378,0.000000
2006-03-10,288.197784,299.219818,0.000000
2006-03-11,289.730713,303.576782,0.493032
2006-03-12,289.730286,304.604706,0.000000
2006-03-13,288.976379,303.474915,0.000000
2006-03-14,285.642151,297.551392,0.000000
2006-03-15,282.643066,292.955902,7.363970
2006-03-16,282.427704,295.926178,0.000000
2006-03-17,282.172882,296.714447,0.000000
2006-03-18,287.096497,301.850342,0.000000
