#Variables:
#tasmin_bcc-csm1-1_historical(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) "
#Original Data File(s):
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_bcc-csm1-1_historical(K)"
""
yyyy-mm-dd,tasmin_bcc-csm1-1_historical(K)
1950-01-01,278.814941
1950-01-02,280.727112
1950-01-03,275.390686
1950-01-04,279.954102
1950-01-05,282.157257
1950-01-06,283.341705
1950-01-07,280.239288
1950-01-08,281.717529
1950-01-09,272.038330
1950-01-10,270.969025
1950-01-11,274.111328
1950-01-12,275.524017
1950-01-13,275.461731
1950-01-14,276.636200
1950-01-15,276.756226
1950-01-16,279.348328
1950-01-17,281.839325
1950-01-18,277.139191
1950-01-19,265.541138
1950-01-20,265.030975
1950-01-21,267.889435
1950-01-22,270.675720
1950-01-23,274.490845
1950-01-24,280.534637
1950-01-25,282.414948
1950-01-26,280.515808
1950-01-27,280.455688
1950-01-28,281.598053
1950-01-29,280.256653
1950-01-30,279.692322
1950-01-31,285.725769
1950-02-01,285.331665
1950-02-02,286.145782
1950-02-03,287.305664
1950-02-04,287.996674
1950-02-05,290.137177
1950-02-06,287.168793
1950-02-07,285.518738
1950-02-08,283.780396
1950-02-09,282.856506
1950-02-10,285.505432
1950-02-11,287.059204
1950-02-12,280.189636
1950-02-13,276.817474
1950-02-14,278.246643
1950-02-15,283.845306
1950-02-16,284.818909
1950-02-17,289.886749
1950-02-18,289.954834
1950-02-19,288.815979
1950-02-20,287.959869
1950-02-21,282.407013
1950-02-22,276.386017
1950-02-23,278.261230
1950-02-24,281.116486
1950-02-25,288.426147
1950-02-26,288.653442
1950-02-27,288.955811
1950-02-28,288.136230
1950-03-01,285.536957
1950-03-02,289.866730
1950-03-03,289.248993
1950-03-04,283.866058
1950-03-05,283.469391
1950-03-06,283.285431
1950-03-07,283.625946
1950-03-08,277.097351
1950-03-09,275.872131
1950-03-10,274.935425
1950-03-11,279.360168
1950-03-12,288.041351
1950-03-13,289.463531
1950-03-14,287.039032
1950-03-15,287.298370
1950-03-16,282.316193
1950-03-17,284.127228
1950-03-18,283.418793
1950-03-19,282.106140
1950-03-20,282.410004
1950-03-21,289.834167
1950-03-22,285.522003
1950-03-23,277.186493
1950-03-24,277.473236
1950-03-25,280.457001
1950-03-26,283.243561
1950-03-27,290.881927
1950-03-28,277.983459
1950-03-29,285.967285
1950-03-30,283.815216
1950-03-31,281.747772
1950-04-01,278.845428
1950-04-02,277.050232
1950-04-03,277.967041
1950-04-04,279.765167
1950-04-05,280.858582
1950-04-06,286.486298
1950-04-07,288.209442
1950-04-08,289.011749
1950-04-09,290.323517
1950-04-10,287.433167
1950-04-11,282.188293
1950-04-12,284.110138
1950-04-13,287.602234
1950-04-14,289.973846
1950-04-15,292.164825
1950-04-16,290.096069
1950-04-17,290.085449
1950-04-18,291.047333
1950-04-19,293.382996
1950-04-20,292.830109
1950-04-21,293.120697
1950-04-22,293.846222
1950-04-23,292.763336
1950-04-24,293.669250
1950-04-25,293.650940
1950-04-26,294.218109
1950-04-27,294.565338
1950-04-28,292.879333
1950-04-29,293.678162
1950-04-30,293.087799
1950-05-01,289.203461
1950-05-02,290.660034
1950-05-03,292.101257
1950-05-04,290.948456
1950-05-05,288.393738
1950-05-06,289.320007
1950-05-07,287.426636
1950-05-08,290.317780
1950-05-09,290.327515
1950-05-10,292.582642
1950-05-11,294.043610
1950-05-12,295.625122
1950-05-13,293.537140
1950-05-14,292.378632
1950-05-15,291.362488
1950-05-16,292.093994
1950-05-17,291.810455
1950-05-18,293.659027
1950-05-19,295.674561
1950-05-20,293.642212
1950-05-21,294.628662
1950-05-22,294.376190
1950-05-23,294.363861
1950-05-24,294.867249
1950-05-25,294.017456
1950-05-26,291.472168
1950-05-27,291.748108
1950-05-28,292.951141
1950-05-29,292.711731
1950-05-30,292.176666
1950-05-31,290.850983
1950-06-01,291.413849
1950-06-02,291.750580
1950-06-03,293.942749
1950-06-04,294.027130
1950-06-05,294.314575
1950-06-06,293.826843
1950-06-07,294.241241
1950-06-08,292.812897
1950-06-09,293.510773
1950-06-10,291.095612
1950-06-11,293.431549
1950-06-12,295.404663
1950-06-13,295.243927
1950-06-14,295.362396
1950-06-15,296.506927
1950-06-16,295.098785
1950-06-17,294.813538
1950-06-18,294.102753
1950-06-19,295.301361
1950-06-20,296.352844
1950-06-21,295.680420
1950-06-22,295.990662
1950-06-23,296.196136
1950-06-24,298.448029
1950-06-25,295.744995
1950-06-26,295.798462
1950-06-27,295.460724
1950-06-28,294.893677
1950-06-29,295.480652
1950-06-30,296.193115
1950-07-01,296.985168
1950-07-02,296.922150
1950-07-03,296.363159
1950-07-04,295.974304
1950-07-05,295.294800
1950-07-06,295.799835
1950-07-07,296.036438
1950-07-08,296.181854
1950-07-09,296.849548
1950-07-10,296.279999
1950-07-11,295.990967
1950-07-12,297.671631
1950-07-13,298.240051
1950-07-14,298.411530
1950-07-15,297.857269
1950-07-16,296.472412
1950-07-17,296.263245
1950-07-18,297.235565
1950-07-19,297.971252
1950-07-20,296.871124
1950-07-21,295.483398
1950-07-22,296.427277
1950-07-23,297.277588
1950-07-24,297.098389
1950-07-25,296.881805
1950-07-26,296.913879
1950-07-27,297.511871
1950-07-28,296.944611
1950-07-29,297.116852
1950-07-30,297.831573
1950-07-31,296.988464
1950-08-01,295.989655
1950-08-02,296.785309
1950-08-03,297.381073
1950-08-04,297.395691
1950-08-05,296.457642
1950-08-06,294.929779
1950-08-07,294.710205
1950-08-08,295.031433
1950-08-09,295.286255
1950-08-10,295.372253
1950-08-11,294.827545
1950-08-12,294.186890
1950-08-13,294.635864
1950-08-14,295.983337
1950-08-15,295.891663
1950-08-16,298.057709
1950-08-17,297.739502
1950-08-18,295.952209
1950-08-19,296.286316
1950-08-20,295.449341
1950-08-21,294.996490
1950-08-22,296.276337
1950-08-23,298.348022
1950-08-24,297.349579
1950-08-25,297.246765
1950-08-26,296.119720
1950-08-27,295.577362
1950-08-28,295.046844
1950-08-29,293.310272
1950-08-30,291.982422
1950-08-31,294.436829
1950-09-01,295.490692
1950-09-02,296.354828
1950-09-03,295.119568
1950-09-04,293.954895
1950-09-05,294.637207
1950-09-06,295.508514
1950-09-07,297.287628
1950-09-08,296.307068
1950-09-09,296.058929
1950-09-10,291.269257
1950-09-11,296.604828
1950-09-12,296.668793
1950-09-13,295.276184
1950-09-14,295.440521
1950-09-15,294.849731
1950-09-16,294.818390
1950-09-17,295.441864
1950-09-18,295.970032
1950-09-19,294.731659
1950-09-20,295.617584
1950-09-21,296.244080
1950-09-22,297.068726
1950-09-23,293.692047
1950-09-24,290.847565
1950-09-25,287.738556
1950-09-26,287.514679
1950-09-27,291.557526
1950-09-28,292.450562
1950-09-29,287.885193
1950-09-30,287.313629
1950-10-01,292.858948
1950-10-02,293.931702
1950-10-03,292.414307
1950-10-04,293.807526
1950-10-05,294.437195
1950-10-06,290.535736
1950-10-07,290.138458
1950-10-08,291.203003
1950-10-09,289.343628
1950-10-10,286.499176
1950-10-11,286.063293
1950-10-12,285.733917
1950-10-13,287.841187
1950-10-14,288.311737
1950-10-15,290.628876
1950-10-16,290.897766
1950-10-17,292.058838
1950-10-18,290.027374
1950-10-19,288.967316
1950-10-20,289.714539
1950-10-21,288.332794
1950-10-22,288.088287
1950-10-23,283.965485
1950-10-24,284.665619
1950-10-25,291.241364
1950-10-26,286.053101
1950-10-27,282.674255
1950-10-28,282.650208
1950-10-29,287.274231
1950-10-30,280.137390
1950-10-31,279.450775
1950-11-01,287.303650
1950-11-02,290.475311
1950-11-03,290.984558
1950-11-04,292.158539
1950-11-05,289.351013
1950-11-06,284.987213
1950-11-07,286.722717
1950-11-08,285.354370
1950-11-09,284.836792
1950-11-10,285.928101
1950-11-11,285.009949
1950-11-12,285.693054
1950-11-13,285.861816
1950-11-14,287.591858
1950-11-15,287.521515
1950-11-16,289.566223
1950-11-17,280.070618
1950-11-18,275.199249
1950-11-19,276.056274
1950-11-20,276.673187
1950-11-21,277.483185
1950-11-22,278.139648
1950-11-23,279.917297
1950-11-24,285.697876
1950-11-25,281.289337
1950-11-26,280.947479
1950-11-27,279.767639
1950-11-28,275.799011
1950-11-29,276.594574
1950-11-30,278.695984
1950-12-01,275.517761
1950-12-02,276.630768
1950-12-03,277.568756
1950-12-04,271.306091
1950-12-05,270.794250
1950-12-06,275.070343
1950-12-07,278.357025
1950-12-08,285.200653
1950-12-09,269.769012
1950-12-10,267.984467
1950-12-11,271.500702
1950-12-12,284.376984
1950-12-13,285.587280
1950-12-14,272.429382
1950-12-15,269.253510
1950-12-16,275.983337
1950-12-17,287.646149
1950-12-18,278.564941
1950-12-19,258.992584
1950-12-20,265.892365
1950-12-21,270.257446
1950-12-22,271.322510
