#Variables:
#tasmin_CCSM4_historical(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CCSM4_historical(K):Daily Maximum Near-Surface Air Temperature
#pr_CCSM4_historical(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CCSM4_r6i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CCSM4_r6i1p1_historical_1950_2005_CONUS_daily.nc 
#agg_macav2metdata_pr_CCSM4_r6i1p1_historical_1950_2005_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CCSM4_historical(K),tasmax_CCSM4_historical(K),pr_CCSM4_historical(mm)"
""
yyyy-mm-dd,tasmin_CCSM4_historical(K),tasmax_CCSM4_historical(K),pr_CCSM4_historical(mm)
1950-01-01,278.857941,294.711914,0.000000
1950-01-02,280.198578,299.694641,0.000000
1950-01-03,280.973969,298.644775,0.000000
1950-01-04,280.288483,291.854645,0.493018
1950-01-05,277.541199,291.669067,0.000000
1950-01-06,280.170197,291.467773,0.000000
1950-01-07,279.681702,295.862793,0.525914
1950-01-08,280.131439,296.713623,0.000000
1950-01-09,284.513123,297.408203,1.358056
1950-01-10,286.124451,296.867767,0.847751
1950-01-11,278.525574,284.887878,17.054211
1950-01-12,279.145905,290.490417,15.576447
1950-01-13,284.224548,291.148590,18.101032
1950-01-14,279.397491,288.482178,14.285247
1950-01-15,278.892059,291.357727,3.503169
1950-01-16,279.587830,292.718170,0.000000
1950-01-17,279.879852,291.255157,0.000000
1950-01-18,278.602173,293.784637,0.000000
1950-01-19,279.728058,290.259705,0.000000
1950-01-20,277.677063,287.612579,0.000000
1950-01-21,274.903595,289.729736,0.000000
1950-01-22,276.496277,291.246399,0.000000
1950-01-23,280.041382,290.416016,0.000000
1950-01-24,282.116089,294.673523,0.000000
1950-01-25,281.974091,293.345520,0.000000
1950-01-26,281.241730,291.009979,0.000000
1950-01-27,278.387146,290.364044,0.000000
1950-01-28,278.324677,289.547302,0.000000
1950-01-29,278.001373,290.076385,0.000000
1950-01-30,278.578796,289.656097,0.000000
1950-01-31,275.358582,287.589355,0.000000
1950-02-01,276.401276,290.348297,0.000000
1950-02-02,280.940674,294.187927,0.000000
1950-02-03,283.463348,300.228485,0.000000
1950-02-04,282.344116,297.995667,0.000000
1950-02-05,284.639984,293.490387,1.323327
1950-02-06,279.043488,290.496704,2.277765
1950-02-07,271.932648,284.587341,0.487925
1950-02-08,267.323608,272.910553,0.000000
1950-02-09,266.615662,279.435211,0.000000
1950-02-10,271.842255,288.426941,0.000000
1950-02-11,273.189697,283.918945,0.000000
1950-02-12,272.362854,285.430725,0.000000
1950-02-13,273.828674,288.746246,0.000000
1950-02-14,275.531097,290.735809,0.000000
1950-02-15,280.955627,293.259369,0.000000
1950-02-16,282.817657,293.966919,0.000000
1950-02-17,282.529572,295.256561,0.000000
1950-02-18,280.764709,293.634766,0.000000
1950-02-19,285.150848,291.973663,1.083590
1950-02-20,285.526093,294.560974,1.363237
1950-02-21,284.469574,296.728363,0.000000
1950-02-22,285.073120,299.112762,0.541278
1950-02-23,286.672394,296.505157,0.000000
1950-02-24,287.490326,296.486145,0.292668
1950-02-25,287.444855,296.441376,0.000000
1950-02-26,287.249878,299.110168,0.000000
1950-02-27,286.049377,302.772369,0.000000
1950-02-28,286.593079,301.560699,0.000000
1950-03-01,284.406860,303.412720,0.000000
1950-03-02,287.081055,299.902588,7.335793
1950-03-03,285.104034,289.907196,36.734634
1950-03-04,277.139954,291.814209,0.703817
1950-03-05,280.583344,300.922546,0.000000
1950-03-06,281.039124,295.102509,0.000000
1950-03-07,282.325226,301.982391,0.000000
