#Variables:
#tasmin_CCSM4_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmax_CCSM4_rcp45(K):Daily Maximum Near-Surface Air Temperature
#pr_CCSM4_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.5312, Longitude:-98.4683) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CCSM4_r6i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmax_CCSM4_r6i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_pr_CCSM4_r6i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin_CCSM4_rcp45(K),tasmax_CCSM4_rcp45(K),pr_CCSM4_rcp45(mm)"
""
yyyy-mm-dd,tasmin_CCSM4_rcp45(K),tasmax_CCSM4_rcp45(K),pr_CCSM4_rcp45(mm)
2006-01-01,290.485077,301.991638,2.025701
2006-01-02,288.274139,300.873962,2.257721
2006-01-03,275.245728,293.829285,3.476029
2006-01-04,275.416260,284.921143,0.000000
2006-01-05,278.186615,287.350433,0.000000
2006-01-06,278.983063,294.408844,0.000000
2006-01-07,277.986725,295.459290,0.000000
2006-01-08,282.656769,297.090240,0.000000
2006-01-09,285.764313,294.368378,3.497371
2006-01-10,276.162292,288.987122,0.000000
2006-01-11,276.879028,290.125488,0.000000
2006-01-12,275.437897,290.701355,0.345180
2006-01-13,275.567688,292.688385,0.000000
2006-01-14,278.321014,294.692322,0.000000
2006-01-15,278.018036,293.916351,0.000000
2006-01-16,281.802246,297.468658,0.000000
2006-01-17,285.443817,298.255524,10.992262
2006-01-18,285.493744,295.995941,5.016342
2006-01-19,280.852997,288.253082,0.826300
2006-01-20,280.552460,287.994476,9.361677
2006-01-21,280.826385,292.076660,1.665689
2006-01-22,279.648438,296.336304,0.000000
2006-01-23,278.036713,291.932983,0.000000
2006-01-24,272.397614,285.842529,0.000000
2006-01-25,275.987335,291.979248,0.000000
2006-01-26,275.726624,287.062622,0.000000
2006-01-27,273.222748,288.314606,0.000000
2006-01-28,276.437927,290.834473,0.000000
2006-01-29,280.532593,297.973145,0.000000
2006-01-30,281.857697,295.805298,0.000000
2006-01-31,274.944672,286.163666,0.000000
2006-02-01,272.997589,287.546448,0.000000
2006-02-02,276.764954,293.232758,0.000000
2006-02-03,280.849182,293.422302,0.000000
2006-02-04,277.769501,297.506653,0.000000
2006-02-05,273.957581,288.919342,0.000000
2006-02-06,276.538696,294.202515,0.000000
2006-02-07,288.082214,298.206299,0.000000
2006-02-08,289.429382,298.576477,0.000000
2006-02-09,285.837799,297.047943,4.745589
2006-02-10,275.000854,288.817017,0.000000
2006-02-11,275.584778,287.816284,0.000000
2006-02-12,279.956635,297.739441,0.000000
2006-02-13,285.528107,301.076782,0.000000
2006-02-14,286.401550,299.854980,0.334522
2006-02-15,287.772919,302.014374,0.000000
2006-02-16,288.058624,303.069672,0.000000
2006-02-17,288.717041,303.069794,0.000000
2006-02-18,288.267151,302.444672,0.000000
2006-02-19,289.833038,302.568573,0.000000
2006-02-20,288.761963,302.562469,0.000000
2006-02-21,287.900513,303.978180,0.000000
2006-02-22,285.457397,304.073883,0.000000
2006-02-23,287.273071,302.186951,0.000000
2006-02-24,283.794800,297.569519,0.000000
2006-02-25,281.742615,294.409302,0.000000
2006-02-26,282.859924,295.129395,0.000000
2006-02-27,283.992249,297.454865,0.000000
2006-02-28,283.565186,302.564453,0.000000
2006-03-01,285.164551,304.571594,0.000000
2006-03-02,288.869324,302.660767,0.000000
2006-03-03,291.839966,302.456970,5.940277
2006-03-04,289.719849,299.353333,14.374725
2006-03-05,289.424988,294.577911,7.912846
2006-03-06,289.075195,297.500519,10.534326
2006-03-07,288.845703,300.030731,16.003754
2006-03-08,284.968445,297.493103,0.513374
2006-03-09,286.511200,293.712830,0.000000
2006-03-10,288.153595,294.707458,44.043808
2006-03-11,285.509277,294.237549,6.219017
2006-03-12,286.766235,293.986420,4.846041
2006-03-13,285.221069,303.396393,0.000000
2006-03-14,286.788605,304.350128,0.000000
2006-03-15,288.917480,297.682831,20.253542
2006-03-16,288.181671,294.576538,0.000000
2006-03-17,279.217010,297.996124,0.000000
2006-03-18,283.392670,301.995758,0.000000
2006-03-19,289.388519,303.247498,2.404148
2006-03-20,279.297577,295.250153,0.000000
2006-03-21,281.062134,298.784851,0.000000
2006-03-22,285.583374,302.844360,0.000000
2006-03-23,286.839905,296.974884,0.486849
2006-03-24,281.021515,298.978729,0.000000
2006-03-25,286.302734,303.134094,0.000000
2006-03-26,288.164642,300.082855,0.489870
2006-03-27,281.116974,301.869202,0.000000
2006-03-28,284.341858,303.145020,0.000000
2006-03-29,290.173004,303.152405,0.000000
2006-03-30,289.567200,302.896454,0.000000
2006-03-31,288.863770,300.779327,0.343065
