#Variables:,
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature,
"#Data Extracted for Average over Grid Cell w/ center: 29.5213 Latitude, -98.4809 Longitude (closest value to Latitude:29.54, Longitude:-98.47) ",
#Original Data File(s):,
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc ,
#===============================================,
"yyyy-mm-dd,tasmax_bcc-csm1-1_rcp45(K)",
,
yyyy-mm-dd,tasmax_CCSM4_rcp45(K)
1/1/2006,301.991638
1/2/2006,300.873962
1/3/2006,293.829285
1/4/2006,284.921143
1/5/2006,287.350433
1/6/2006,294.408844
1/7/2006,295.45929
1/8/2006,297.09024
1/9/2006,294.368378
1/10/2006,288.987122
1/11/2006,290.125488
1/12/2006,290.701355
1/13/2006,292.688385
1/14/2006,294.692322
1/15/2006,293.916351
1/16/2006,297.468658
1/17/2006,298.255524
1/18/2006,295.995941
1/19/2006,288.253082
1/20/2006,287.994476
1/21/2006,292.07666
1/22/2006,296.336304
1/23/2006,291.932983
1/24/2006,285.842529
1/25/2006,291.979248
1/26/2006,287.062622
1/27/2006,288.314606
1/28/2006,290.834473
1/29/2006,297.973145
1/30/2006,295.805298
1/31/2006,286.163666
2/1/2006,287.546448
2/2/2006,293.232758
2/3/2006,293.422302
2/4/2006,297.506653
2/5/2006,288.919342
2/6/2006,294.202515
2/7/2006,298.206299
2/8/2006,298.576477
2/9/2006,297.047943
2/10/2006,288.817017
2/11/2006,287.816284
2/12/2006,297.739441
2/13/2006,301.076782
2/14/2006,299.85498
2/15/2006,302.014374
2/16/2006,303.069672
2/17/2006,303.069794
2/18/2006,302.444672
2/19/2006,302.568573
2/20/2006,302.562469
2/21/2006,303.97818
2/22/2006,304.073883
2/23/2006,302.186951
2/24/2006,297.569519
2/25/2006,294.409302
2/26/2006,295.129395
2/27/2006,297.454865
2/28/2006,302.564453
3/1/2006,304.571594
3/2/2006,302.660767
3/3/2006,302.45697
3/4/2006,299.353333
3/5/2006,294.577911
3/6/2006,297.500519
3/7/2006,300.030731
3/8/2006,297.493103
3/9/2006,293.71283
3/10/2006,294.707458
3/11/2006,294.237549
3/12/2006,293.98642
3/13/2006,303.396393
3/14/2006,304.350128
3/15/2006,297.682831
3/16/2006,294.576538
3/17/2006,297.996124
3/18/2006,301.995758
3/19/2006,303.247498
3/20/2006,295.250153
3/21/2006,298.784851
3/22/2006,302.84436
3/23/2006,296.974884
3/24/2006,298.978729
3/25/2006,303.134094
3/26/2006,300.082855
3/27/2006,301.869202
3/28/2006,303.14502
3/29/2006,303.152405
3/30/2006,302.896454
3/31/2006,300.779327
4/1/2006,299.21936
4/2/2006,301.385712
4/3/2006,303.305023
4/4/2006,296.860962
4/5/2006,298.248108
4/6/2006,302.291351
4/7/2006,304.538605
4/8/2006,298.613617
4/9/2006,300.547058
4/10/2006,301.562134
4/11/2006,302.804352
